comment_text,published_at,query
Alguien que recomiendan otras canciones cómo está que sean como hip hop pero con el acordeón bien perron,2024-12-25T14:40:55Z,Gobierno de Tampico
Alguien que recomiendan otras canciones cómo está que sean como hip hop pero con el acordeón bien perron,2024-12-25T14:40:55Z,gobierno de Tampico
Alguien que recomiendan otras canciones cómo está que sean como hip hop pero con el acordeón bien perron,2024-12-25T14:40:55Z,Gobierno de Tampico
Alguien que recomiendan otras canciones cómo está que sean como hip hop pero con el acordeón bien perron,2024-12-25T14:40:55Z,gobierno de Tampico
Alcalde ponte las pilas....,2024-12-25T19:25:56Z,presidenta municipal de Tampico
Alcalde ponte las pilas....,2024-12-25T19:25:56Z,Presidenta municipal de Tampico
Alcalde ponte las pilas....,2024-12-25T19:25:56Z,Gobierno de Tampico
Alcalde ponte las pilas....,2024-12-25T19:25:56Z,gobierno de Tampico
Alcalde ponte las pilas....,2024-12-25T19:25:56Z,presidenta municipal de Tampico
Alcalde ponte las pilas....,2024-12-25T19:25:56Z,Presidenta municipal de Tampico
Alcalde ponte las pilas....,2024-12-25T19:25:56Z,Gobierno de Tampico
Alcalde ponte las pilas....,2024-12-25T19:25:56Z,gobierno de Tampico
❤,2024-12-25T19:33:14Z,Gobierno de Tampico
❤,2024-12-25T19:33:14Z,Gobierno de Tampico
YO ANDO ALUCIN QUE ES PARA MI,2024-12-25T20:41:18Z,Gobierno de Tampico
YO ANDO ALUCIN QUE ES PARA MI,2024-12-25T20:41:18Z,gobierno de Tampico
YO ANDO ALUCIN QUE ES PARA MI,2024-12-25T20:41:18Z,Gobierno de Tampico
YO ANDO ALUCIN QUE ES PARA MI,2024-12-25T20:41:18Z,gobierno de Tampico
"<a href=""https://www.youtube.com/watch?v=ZsqgXFEfzfc&amp;t=12"">0:12</a>digan lo que digan está rola está buena",2024-12-26T01:08:04Z,Gobierno de Tampico
"<a href=""https://www.youtube.com/watch?v=ZsqgXFEfzfc&amp;t=12"">0:12</a>digan lo que digan está rola está buena",2024-12-26T01:08:04Z,gobierno de Tampico
"<a href=""https://www.youtube.com/watch?v=ZsqgXFEfzfc&amp;t=12"">0:12</a>digan lo que digan está rola está buena",2024-12-26T01:08:04Z,Gobierno de Tampico
"<a href=""https://www.youtube.com/watch?v=ZsqgXFEfzfc&amp;t=12"">0:12</a>digan lo que digan está rola está buena",2024-12-26T01:08:04Z,gobierno de Tampico
¿Hay video reseña de la convención donde fue Jaime Mausan? O ¿cancelaron el evento?,2024-12-26T02:39:05Z,Gobierno de Tampico
¿Hay video reseña de la convención donde fue Jaime Mausan? O ¿cancelaron el evento?,2024-12-26T02:39:05Z,gobierno de Tampico
A poco sí nos van a quitar el que le sobra le sobra un pedacito de terrenito para vivir un perrito desolado le van a quitar para que viva otro,2024-12-26T21:43:18Z,presidenta municipal de Tampico
A poco sí nos van a quitar el que le sobra le sobra un pedacito de terrenito para vivir un perrito desolado le van a quitar para que viva otro,2024-12-26T21:43:18Z,Presidenta municipal de Tampico
A poco sí nos van a quitar el que le sobra le sobra un pedacito de terrenito para vivir un perrito desolado le van a quitar para que viva otro,2024-12-26T21:43:18Z,Gobierno de Tampico
A poco sí nos van a quitar el que le sobra le sobra un pedacito de terrenito para vivir un perrito desolado le van a quitar para que viva otro,2024-12-26T21:43:18Z,gobierno de Tampico
A poco sí nos van a quitar el que le sobra le sobra un pedacito de terrenito para vivir un perrito desolado le van a quitar para que viva otro,2024-12-26T21:43:18Z,presidenta municipal de Tampico
