comment_text,published_at,query
Se debe castigar a la ladrona independientemente que sea lo que tome no es suyo,2025-01-21T06:25:56Z,Gobierno de Tampico
Se debe castigar a la ladrona independientemente que sea lo que tome no es suyo,2025-01-21T06:25:56Z,gobierno de Tampico
Viva Altamira Tamaulipas,2025-01-21T07:09:11Z,Gobierno de Tampico
Viva Altamira Tamaulipas,2025-01-21T07:09:11Z,Gobierno de Tampico
Es una auténtica y reverenda ratota🐀🐭<br>Tambo!..,2025-01-21T08:00:53Z,Gobierno de Tampico
Es una auténtica y reverenda ratota🐀🐭<br>Tambo!..,2025-01-21T08:00:53Z,gobierno de Tampico
Que bergunza tener tantos ladrones y ladronas en el país de  Mexicó,2025-01-21T09:01:37Z,Gobierno de Tampico
Que bergunza tener tantos ladrones y ladronas en el país de  Mexicó,2025-01-21T09:01:37Z,gobierno de Tampico
México de rodillas o en 4 patas 🙈,2025-01-21T11:24:30Z,Gobierno de Tampico
México de rodillas o en 4 patas 🙈,2025-01-21T11:24:30Z,gobierno de Tampico
"Abusiv4, ladr0na   q asc0 de gente q no puede trabajar x obtener lo suyo y no apropiarse de lo ajeno🤬🤬",2025-01-21T13:13:48Z,Gobierno de Tampico
"Abusiv4, ladr0na   q asc0 de gente q no puede trabajar x obtener lo suyo y no apropiarse de lo ajeno🤬🤬",2025-01-21T13:13:48Z,gobierno de Tampico
Ni la pelaron a la títere de claudia,2025-01-21T13:15:50Z,Gobierno de Tampico
Ni la pelaron a la títere de claudia,2025-01-21T13:15:50Z,gobierno de Tampico
Por favor detengan a esa mujer. No es la primera vez que lo hace tiene mucha práctica 😢😢😢,2025-01-21T16:33:51Z,Gobierno de Tampico
Por favor detengan a esa mujer. No es la primera vez que lo hace tiene mucha práctica 😢😢😢,2025-01-21T16:33:51Z,gobierno de Tampico
Viva Que bueno que regrese nuevamente el tren de tampico a Magozal,2025-01-21T17:24:14Z,Gobierno de Tampico
Viva Que bueno que regrese nuevamente el tren de tampico a Magozal,2025-01-21T17:24:14Z,gobierno de Tampico
Viva Que bueno que regrese nuevamente el tren de tampico a Magozal,2025-01-21T17:24:14Z,Gobierno de Tampico
Viva Que bueno que regrese nuevamente el tren de tampico a Magozal,2025-01-21T17:24:14Z,gobierno de Tampico
"Deberían  de ponerle cargos, ya que las autoridades castigan alos propietarios,  cuando  nuestros  🐕 atacan  atravez de las rejas.Esta vez ellos sufren  el ataque .",2025-01-21T18:10:27Z,Gobierno de Tampico
"Deberían  de ponerle cargos, ya que las autoridades castigan alos propietarios,  cuando  nuestros  🐕 atacan  atravez de las rejas.Esta vez ellos sufren  el ataque .",2025-01-21T18:10:27Z,gobierno de Tampico
"...empiezan con perros y siguen con niños, lo que sea inocente y facil de robar...",2025-01-21T18:17:57Z,Gobierno de Tampico
"...empiezan con perros y siguen con niños, lo que sea inocente y facil de robar...",2025-01-21T18:17:57Z,gobierno de Tampico
"Pobre de México con este su gobierno , pero si no se arrepienten de ser los propios enemigos de la patria, verán las consecuencias!<br>Felicidades para Donald Trump!<br>Ah, se me olvida, esa tal India no hace reír ni a su mamá!",2025-01-21T18:54:28Z,presidenta municipal de Tampico
"Pobre de México con este su gobierno , pero si no se arrepienten de ser los propios enemigos de la patria, verán las consecuencias!<br>Felicidades para Donald Trump!<br>Ah, se me olvida, esa tal India no hace reír ni a su mamá!",2025-01-21T18:54:28Z,Presidenta municipal de Tampico
Gera quien es ?💎,2025-01-21T19:23:24Z,Gobierno de Tampico
Gera quien es ?💎,2025-01-21T19:23:24Z,gobierno de Tampico
Gera quien es ?💎,2025-01-21T19:23:24Z,Gobierno de Tampico
Gera quien es ?💎,2025-01-21T19:23:24Z,gobierno de Tampico
Pura Santa 🔥🔥🔥,2025-01-21T19:23:37Z,Gobierno de Tampico
Pura Santa 🔥🔥🔥,2025-01-21T19:23:37Z,gobierno de Tampico
Pura Santa 🔥🔥🔥,2025-01-21T19:23:37Z,Gobierno de Tampico
Pura Santa 🔥🔥🔥,2025-01-21T19:23:37Z,gobierno de Tampico
Mexicanos,2025-01-21T20:31:28Z,presidenta municipal de Tampico
Mexicanos,2025-01-21T20:31:28Z,Presidenta municipal de Tampico
Mexicanos,2025-01-21T20:46:06Z,presidenta municipal de Tampico
Mexicanos,2025-01-21T20:46:06Z,Presidenta municipal de Tampico
Mirandaaaaa😮,2025-01-21T21:26:12Z,Gobierno de Tampico
😂😂😂,2025-01-21T21:31:41Z,presidenta municipal de Tampico
😂😂😂,2025-01-21T21:31:41Z,Presidenta municipal de Tampico
Exelenteee rolonnnn pura santa,2025-01-21T21:49:49Z,Gobierno de Tampico
Exelenteee rolonnnn pura santa,2025-01-21T21:49:49Z,gobierno de Tampico
Exelenteee rolonnnn pura santa,2025-01-21T21:49:49Z,Gobierno de Tampico
Exelenteee rolonnnn pura santa,2025-01-21T21:49:49Z,gobierno de Tampico
😂😂😂😂,2025-01-21T21:55:14Z,presidenta municipal de Tampico
😂😂😂😂,2025-01-21T21:55:14Z,Presidenta municipal de Tampico
😂😂😂😂😂,2025-01-21T22:09:55Z,presidenta municipal de Tampico
😂😂😂😂😂,2025-01-21T22:09:55Z,Presidenta municipal de Tampico
😂😂😂😂 yo pense que nadamas a mi me asustaban con la lechuza y las brujas .........😂😂😂😂😂😂,2025-01-21T22:24:26Z,presidenta municipal de Tampico
😂😂😂😂 yo pense que nadamas a mi me asustaban con la lechuza y las brujas .........😂😂😂😂😂😂,2025-01-21T22:24:26Z,Presidenta municipal de Tampico
"Yo tengo un perro Husky y son así, se dejan acariciar por cualquier persona, no les ladran, son tan amorosos que piensan que todas las personas tienen buenas intenciones… es por eso que esta raza de perros (Husky) son fácil de robar. Así que hay que cuidarlos bien 😭😭🩵",2025-01-21T22:29:19Z,Gobierno de Tampico
"Yo tengo un perro Husky y son así, se dejan acariciar por cualquier persona, no les ladran, son tan amorosos que piensan que todas las personas tienen buenas intenciones… es por eso que esta raza de perros (Husky) son fácil de robar. Así que hay que cuidarlos bien 😭😭🩵",2025-01-21T22:29:19Z,gobierno de Tampico
Desde aqui se escucho el rugido de tripas de esa señpra,2025-01-21T22:32:24Z,Gobierno de Tampico
Desde aqui se escucho el rugido de tripas de esa señpra,2025-01-21T22:32:24Z,gobierno de Tampico
A mí me decían duérmete o hay viene tecoman😅,2025-01-21T23:00:32Z,presidenta municipal de Tampico
A mí me decían duérmete o hay viene tecoman😅,2025-01-21T23:00:32Z,Presidenta municipal de Tampico
Ahoa los papás  somos sus pendejos o no?,2025-01-21T23:04:52Z,presidenta municipal de Tampico
Ahoa los papás  somos sus pendejos o no?,2025-01-21T23:04:52Z,Presidenta municipal de Tampico
Calmate doña lambiscona de graciosa no tienes nada 🤨,2025-01-21T23:07:25Z,presidenta municipal de Tampico
