comment_text,published_at,query
💯 Goa,2025-02-18T06:03:27Z,Gobierno de Tampico
💯 Goa,2025-02-18T06:03:27Z,gobierno de Tampico
Igualmente viva Mexico desde Honduras un abrazo a los mexicanos,2025-02-18T06:04:59Z,Gobierno de Tampico
Igualmente viva Mexico desde Honduras un abrazo a los mexicanos,2025-02-18T06:04:59Z,gobierno de Tampico
"Hahaha, preocupese por los narcos.",2025-02-18T06:05:26Z,Gobierno de Tampico
"Hahaha, preocupese por los narcos.",2025-02-18T06:05:26Z,gobierno de Tampico
Boycott a Google! Dejemolo de usar.,2025-02-18T06:07:05Z,Gobierno de Tampico
Boycott a Google! Dejemolo de usar.,2025-02-18T06:07:05Z,gobierno de Tampico
El golfo de México es Nodal😂😂😂😂😂,2025-02-18T06:07:15Z,Gobierno de Tampico
El golfo de México es Nodal😂😂😂😂😂,2025-02-18T06:07:15Z,gobierno de Tampico
eso es todo señora presidenta claudia  mis respetos viva claudia presidenta de México 🇲🇽,2025-02-18T06:09:17Z,Gobierno de Tampico
eso es todo señora presidenta claudia  mis respetos viva claudia presidenta de México 🇲🇽,2025-02-18T06:09:17Z,gobierno de Tampico
"No soy Americano pero defiendo con mi vida  EEUU y alos que no les gusta vayanse y no sean cara dura de seguir aqui malagradecidos  , esta mujer es la peor basura",2025-02-18T06:14:19Z,Gobierno de Tampico
"No soy Americano pero defiendo con mi vida  EEUU y alos que no les gusta vayanse y no sean cara dura de seguir aqui malagradecidos  , esta mujer es la peor basura",2025-02-18T06:14:19Z,gobierno de Tampico
Los saqueadores ladrones americanos,2025-02-18T06:18:04Z,Gobierno de Tampico
Los saqueadores ladrones americanos,2025-02-18T06:18:04Z,gobierno de Tampico
Tampoco eres Presidenta.. <br>eres Presidente,2025-02-18T06:27:49Z,Gobierno de Tampico
Tampoco eres Presidenta.. <br>eres Presidente,2025-02-18T06:27:49Z,gobierno de Tampico
Con tan poquita agua te andas ahogando ... inutiles,2025-02-18T06:30:21Z,Gobierno de Tampico
Con tan poquita agua te andas ahogando ... inutiles,2025-02-18T06:30:21Z,gobierno de Tampico
Esta bien pndjo trompas,2025-02-18T06:32:30Z,Gobierno de Tampico
Esta bien pndjo trompas,2025-02-18T06:32:30Z,gobierno de Tampico
Bella usted,2025-02-18T06:32:54Z,Gobierno de Tampico
Bella usted,2025-02-18T06:32:54Z,gobierno de Tampico
Lo bueno es que mi presidenta es una mujer super preparada  y inteligente  que uviese dicho Xochitl en este caso arriba el américa. 🤔🤔? O peña. Señor si señor.,2025-02-18T06:34:13Z,Gobierno de Tampico
Lo bueno es que mi presidenta es una mujer super preparada  y inteligente  que uviese dicho Xochitl en este caso arriba el américa. 🤔🤔? O peña. Señor si señor.,2025-02-18T06:34:13Z,gobierno de Tampico
Completamente de acuerdo.,2025-02-18T06:37:17Z,Gobierno de Tampico
Completamente de acuerdo.,2025-02-18T06:37:17Z,gobierno de Tampico
Bla bla bla,2025-02-18T06:39:15Z,Gobierno de Tampico
Bla bla bla,2025-02-18T06:39:15Z,gobierno de Tampico
"En 200 años eeuu, rusia y china se  reparten el mumdo inevitablemente",2025-02-18T06:39:54Z,Gobierno de Tampico
"En 200 años eeuu, rusia y china se  reparten el mumdo inevitablemente",2025-02-18T06:39:54Z,gobierno de Tampico
