Query_Str,Post_URL,Author_Name,Author_Web_Page_URL,Author_Handle,Verified_Status,UTC_Time,Ads,Tweet_Content,Post_ID,Tweet_URL,Reply_Count,Repost_Count,Like_Count,View_Count,Bookmark_Count,Tweet_Image_URL,Replying_to,Reply_to_Whom,Reply_to_Whom_URL,Reply_to_Whom_Username,Reply_to_Whom_Handle,Language,Type
(@@TampicoGob OR @@MonicaVTampico) min_replies:0 min_faves:0 min_retweets:0,https://x.com/search?q=(@@TampicoGob OR @@MonicaVTampico) min_replies:0 min_faves:0 min_retweets:0 until:2025-03-26 since:2025-03-25&src=typed_query,VamosTampico,https://x.com/yosoytampico,yosoytampico,False,2025-03-25 15:52:51+00:00,False,"Avenida VillaHermosa entre calle 7, 8, 9° y Calle 10A enfrente de la Primaria Eliseo Zamudio #Tampico hay unas planas camionetas chatarras sin luces ni señalamientos. YA ANTERIORMENTE HUBO ACCIDENTES #Inseguridad @GobMunTampico @PCiviltampico @delenorte_tam @MonicaVTampico",1904562130809913809,https://x.com/yosoytampico/status/1904562130809913809,0,1,1,84,0,,False,,,,,es,Top
(@@TampicoGob OR @@MonicaVTampico) min_replies:0 min_faves:0 min_retweets:0,https://x.com/search?q=(@@TampicoGob OR @@MonicaVTampico) min_replies:0 min_faves:0 min_retweets:0 until:2025-03-26 since:2025-03-25&src=typed_query,VamosTampico,https://x.com/yosoytampico,yosoytampico,False,2025-03-25 16:01:13+00:00,False,@delenorte_tam @GobMunTampico @Comapa_Sur @MonicaVTampico @Dr_AVillarreal Solicitan Modernizar Avenida Villa Hermosa Tampico Colonia Villa Hermosa Colapso en alcantarillas provocan hundimientos y baches aguas negras,1904564233527840875,https://x.com/yosoytampico/status/1904564233527840875,0,0,0,9,0,,True,delenorte_tam,https://x.com/delenorte_tam,Delegación ZonaNorte,delenorte_tam,es,Top
(@@TampicoGob OR @@MonicaVTampico) min_replies:0 min_faves:0 min_retweets:0,https://x.com/search?q=(@@TampicoGob OR @@MonicaVTampico) min_replies:0 min_faves:0 min_retweets:0 until:2025-03-26 since:2025-03-25&src=typed_query,VamosTampico,https://x.com/yosoytampico,yosoytampico,False,2025-03-25 16:26:21+00:00,False,"Calles en mal estado, colonos solicitan pavimentación en Col. Villahermosa Tampico @GobTampico2024 @MonicaVTampico",1904570560585093533,https://x.com/yosoytampico/status/1904570560585093533,0,1,1,64,0,,False,,,,,es,Top
(@@TampicoGob OR @@MonicaVTampico) min_replies:0 min_faves:0 min_retweets:0,https://x.com/search?q=(@@TampicoGob OR @@MonicaVTampico) min_replies:0 min_faves:0 min_retweets:0 until:2025-03-27 since:2025-03-26&src=typed_query,Roberto Randu,https://x.com/robertsranduks,robertsranduks,False,2025-03-26 15:09:21+00:00,False,"VIOLADOR #Mexico no solo en el Congreso de la Union defienden a los ACOSADORES SEXUALES en algunas partes hasta en #Nomina municipal los tienen #Tampico y la Alcaldesa @MonicaVTampico vaya que lo consiente y hasta ""compe"" les da #Tamaulipas",1904913571953148348,https://x.com/robertsranduks/status/1904913571953148348,0,0,0,47,0,https://pbs.twimg.com/media/Gm-cyumXoAAOVvt.jpg;https://pbs.twimg.com/media/Gm-cyzqXAAAsQGg.jpg;https://pbs.twimg.com/media/Gm-czHOXEAAV85W.jpg,False,,,,,es,Top
(@@TampicoGob OR @@MonicaVTampico) min_replies:0 min_faves:0 min_retweets:0,https://x.com/search?q=(@@TampicoGob OR @@MonicaVTampico) min_replies:0 min_faves:0 min_retweets:0 until:2025-03-27 since:2025-03-26&src=typed_query,VamosTampico,https://x.com/yosoytampico,yosoytampico,False,2025-03-26 15:17:21+00:00,False,@MonicaVTampico ya quite a los vecinos que Bloquean calles Mano dura Colonia VillaHermosa Tampico,1904915582907986190,https://x.com/yosoytampico/status/1904915582907986190,0,0,0,37,0,,True,MonicaVTampico,https://x.com/MonicaVTampico,Mónica Villarreal Anaya,MonicaVTampico,es,Top
(@@TampicoGob OR @@MonicaVTampico) min_replies:0 min_faves:0 min_retweets:0,https://x.com/search?q=(@@TampicoGob OR @@MonicaVTampico) min_replies:0 min_faves:0 min_retweets:0 until:2025-03-27 since:2025-03-26&src=typed_query,Vox Populi Noticias,https://x.com/VoxPopuliNoti,VoxPopuliNoti,True,2025-03-26 22:39:05+00:00,False,Tampico descarta acuario y apuesta por rescatar su centro histórico Tampico espera 500 mil visitantes en las Fiestas de Abril y una derrama de 450 millones https://voxpopulinoticias.com.mx/2025/03/monica-villarreal-descarta-acuario-en-tampico/ #Tampico #Tamaulipas @MonicaVTampico,1905026750075359579,https://x.com/VoxPopuliNoti/status/1905026750075359579,0,0,0,142,0,https://pbs.twimg.com/media/GnADfGJW8AEyEMr.jpg,False,,,,,es,Top
(@@TampicoGob OR @@MonicaVTampico) min_replies:0 min_faves:0 min_retweets:0,https://x.com/search?q=(@@TampicoGob OR @@MonicaVTampico) min_replies:0 min_faves:0 min_retweets:0 until:2025-03-28 since:2025-03-27&src=typed_query,Los Traicioneros Con Ava,https://x.com/TraidoresConAVA,TraidoresConAVA,False,2025-03-27 18:09:18+00:00,False,😱Se rompió el pacto: doñitas de la Villahermosa confrontan a los pastores enviados de Dios y a la 🚔; no quieren que se construya la iglesia‼️#CdMadero #Altamira #Tamaulipas #Tampico @MonicaVTampico,1905321244666322961,https://x.com/TraidoresConAVA/status/1905321244666322961,0,1,0,146,0,https://pbs.twimg.com/ext_tw_video_thumb/1905321156602667008/pu/img/CF8-x6xdgiZr1nGR.jpg,False,,,,,es,Top
(@@TampicoGob OR @@MonicaVTampico) min_replies:0 min_faves:0 min_retweets:0,https://x.com/search?q=(@@TampicoGob OR @@MonicaVTampico) min_replies:0 min_faves:0 min_retweets:0 until:2025-03-28 since:2025-03-27&src=typed_query,Los Traicioneros Con Ava,https://x.com/TraidoresConAVA,TraidoresConAVA,False,2025-03-27 18:14:17+00:00,False,"Hace como que paga, se lleva el pan y hasta feria 🤬🤬! #Tampico Por lo menos que le dé vergüenza! #Altamira #CdMadero #CdVictoria #NuevoLaredo #Reynosa #Tamaulipas @MonicaVTampico",1905322499627204710,https://x.com/TraidoresConAVA/status/1905322499627204710,0,2,1,289,0,https://pbs.twimg.com/ext_tw_video_thumb/1905322462377582592/pu/img/5XvIS_04_mV7iTaQ.jpg,False,,,,,es,Top
(@@TampicoGob OR @@MonicaVTampico) min_replies:0 min_faves:0 min_retweets:0,https://x.com/search?q=(@@TampicoGob OR @@MonicaVTampico) min_replies:0 min_faves:0 min_retweets:0 until:2025-03-28 since:2025-03-27&src=typed_query,J Raúl Martínez G,https://x.com/jraulmtz3,jraulmtz3,False,2025-03-27 23:16:17+00:00,False,"Todos los regidores de Morena y sus coaligados en #Tampico han tomado la palabra en 19 sesiones de cabildo @TampicoGob excepto María Elena Herrera Ordorica, quién hasta el momento es una completa desconocida. Mejor que le de chanza al suplente.",1905398498457256129,https://x.com/jraulmtz3/status/1905398498457256129,0,0,0,85,0,https://pbs.twimg.com/media/GnFV1kVbgAAoZ-I.jpg,False,,,,,es,Top
(@@TampicoGob OR @@MonicaVTampico) min_replies:0 min_faves:0 min_retweets:0,https://x.com/search?q=(@@TampicoGob OR @@MonicaVTampico) min_replies:0 min_faves:0 min_retweets:0 until:2025-03-29 since:2025-03-28&src=typed_query,Ing. Fili Trujillo Uresti,https://x.com/filitrujillo,filitrujillo,False,2025-03-28 01:59:46+00:00,False,@gobtam @ChuchoNader @MonMaron @MonicaVTampico @TampicoGob me puede ayudar ya hice el reporte por Messenger en la cuenta de servicios publicos Tampico el primer reporte fue el 1 de febrero y el 2do el 1 de Marzo y aún nada Colonia México Tampico Calle privada Oaxaca y Nayarit,1905439642968588557,https://x.com/filitrujillo/status/1905439642968588557,0,1,0,54,0,https://pbs.twimg.com/media/GnF7QT8WkAAogx1.jpg;https://pbs.twimg.com/media/GnF7QVjXUAA-8al.jpg,True,gobtam,https://x.com/gobtam,Gobierno Tamaulipas,gobtam,es,Top
