comment_text,published_at,query
pobres mapachitos :(((,2025-04-01T07:12:26Z,Gobierno de Tampico
Maldito que se pudra en la carcel,2025-04-01T07:19:35Z,Gobierno de Tampico
viejo tan pendejo,2025-04-01T08:38:38Z,Gobierno de Tampico
Cómo sabe tanto y nunca lo dijo hasta que se hizo el decomiso?,2025-04-01T10:20:31Z,Gobierno de Tampico
Cómo sabe tanto y nunca lo dijo hasta que se hizo el decomiso?,2025-04-01T10:20:31Z,gobierno de Tampico
"La corrupción de López Obrador es monstruosa e inmensa, todo su combate al huachicol fue un súper engaño, la escasez de gasolinas por el cierre de ductos, la compra de pipas etc. etc. Todo fue un engaño populista para lograr sus fines… Pobre México😡",2025-04-01T13:08:57Z,Gobierno de Tampico
"La corrupción de López Obrador es monstruosa e inmensa, todo su combate al huachicol fue un súper engaño, la escasez de gasolinas por el cierre de ductos, la compra de pipas etc. etc. Todo fue un engaño populista para lograr sus fines… Pobre México😡",2025-04-01T13:08:57Z,gobierno de Tampico
"Mendigo viejo, si ya no le gusta esta vida se viera aventado el al mar, y no dañar a esos animalitos k son tan lindos, y no le asen mal a nadie solo te piden comidita cuando vas🥰",2025-04-01T13:21:03Z,Gobierno de Tampico
No sean mentirosos,2025-04-01T14:29:32Z,Gobierno de Tampico
No sean mentirosos,2025-04-01T14:29:32Z,gobierno de Tampico
Lefty estaría orgulloso 🇲🇽🦾.<br>¡Viva México libre 🇲🇽🦾.<br> Cabrones de México todavía están aquí contigo 🦾🇲🇽🇲🇽,2025-04-01T14:39:53Z,Gobierno de Tampico
Lefty estaría orgulloso 🇲🇽🦾.<br>¡Viva México libre 🇲🇽🦾.<br> Cabrones de México todavía están aquí contigo 🦾🇲🇽🇲🇽,2025-04-01T14:39:53Z,gobierno de Tampico
Lefty estaría orgulloso 🇲🇽🦾.<br>¡Viva México libre 🇲🇽🦾.<br> Cabrones de México todavía están aquí contigo 🦾🇲🇽🇲🇽,2025-04-01T14:39:53Z,Gobierno de Tampico
Lefty estaría orgulloso 🇲🇽🦾.<br>¡Viva México libre 🇲🇽🦾.<br> Cabrones de México todavía están aquí contigo 🦾🇲🇽🇲🇽,2025-04-01T14:39:53Z,gobierno de Tampico
