"path";"id";"parent_id";"level";"object_id";"object_type";"object_key";"query_status";"query_time";"query_type";"message";"created_time";"like_count";"comment_count";"error.message"
"964877296876825_1252859946403897/964877296876825_1246289677060924";"46";"1";"1";"964877296876825_1246289677060924";"data";"data.*";"fetched (200)";"2025-11-14 08:21:57.712938";"Facebook:/<page-id>/posts";"Descanse en paz. Vuelve al padre.";"2025-04-21T13:51:47+0000";"";"";""
"964877296876825_1252859946403897/964877296876825_1246289677060924/964877296876825_1246289677060924";"1284";"46";"2";"964877296876825_1246289677060924";"data";"data.*";"fetched (200)";"2025-11-14 08:22:58.662891";"Facebook:/<post-id>/comments";"QEPD 🙏🏼";"2025-04-21T13:58:08+0000";"0";"0";""
"964877296876825_1252859946403897/474462132406835_122150772026546197";"155";"2";"1";"474462132406835_122150772026546197";"data";"data.*";"fetched (200)";"2025-11-14 08:22:02.934008";"Facebook:/<page-id>/posts";"";"2025-04-18T16:54:14+0000";"";"";""
"964877296876825_1252859946403897/474462132406835_122150660810546197";"156";"2";"1";"474462132406835_122150660810546197";"data";"data.*";"fetched (200)";"2025-11-14 08:22:02.934008";"Facebook:/<page-id>/posts";"Gracias a todos los que participaron en la carrera atlética del 202 Aniversario de Tampico!";"2025-04-18T02:24:17+0000";"";"";""
"964877296876825_1252859946403897/474462132406835_122150660810546197/474462132406835_122150660810546197";"3447";"156";"2";"474462132406835_122150660810546197";"data";"data.*";"fetched (200)";"2025-11-14 08:24:02.819104";"Facebook:/<post-id>/comments";"Sin miedo al éxito 🙏  🏃☁️";"2025-04-18T02:46:13+0000";"2";"0";""
"TampicoGob/474462132406835_122150660810546197/474462132406835_122150660810546197";"3447";"156";"2";"474462132406835_122150660810546197";"data";"data.*";"fetched (200)";"2025-11-14 08:24:02.819104";"Facebook:/<post-id>/comments";"Sin miedo al éxito 🙏  🏃☁️";"2025-04-18T02:46:13+0000";"2";"0";""
"964877296876825_1252859946403897/474462132406835_122150495240546197";"158";"2";"1";"474462132406835_122150495240546197";"data";"data.*";"fetched (200)";"2025-11-14 08:22:02.934008";"Facebook:/<page-id>/posts";"¡Las Fiestas de Abril en Tampico están con todo! Si vienes a la feria, no te puedes ir sin tu foto con el cocodrilo 🐊… ¡ya es tradición! 📸✨  Súbela a tus redes y etiquétanos.  Queremos ver cómo se la están pasando en esta gran fiesta familiar 🎡🎉  ¡La feria es de todos y para todos!";"2025-04-17T03:57:05+0000";"";"";""
"964877296876825_1252859946403897/474462132406835_122150495240546197/474462132406835_122150495240546197";"3462";"158";"2";"474462132406835_122150495240546197";"data";"data.*";"fetched (200)";"2025-11-14 08:24:03.666569";"Facebook:/<post-id>/comments";"¡Muy bonita nuestras fiestas de abril! 😌🫶🏻";"2025-04-17T03:58:07+0000";"0";"0";""
"TampicoGob/474462132406835_122150495240546197/474462132406835_122150495240546197";"3462";"158";"2";"474462132406835_122150495240546197";"data";"data.*";"fetched (200)";"2025-11-14 08:24:03.666569";"Facebook:/<post-id>/comments";"¡Muy bonita nuestras fiestas de abril! 😌🫶🏻";"2025-04-17T03:58:07+0000";"0";"0";""
"964877296876825_1252859946403897/964877296876825_1242101230813102";"57";"1";"1";"964877296876825_1242101230813102";"data";"data.*";"fetched (200)";"2025-11-14 08:21:57.712938";"Facebook:/<page-id>/posts";"En compañía del Gobernador Américo Villarreal y de mis hermanos alcaldes de Madero y Altamira. Visitamos el Puente Moralillo, supervisamos los avances del proyecto Dique El Moralillo junto al Secretario de Recursos Hidráulicos, Ing. Raúl Quiroga, y más tarde, navegamos sobre la cuenca del Guayalejo y el majestuoso río Pánuco, partiendo desde el Club de Yates Tampico.  Ver de cerca estos proyectos nos llena de esperanza y compromiso. Unidos, seguimos construyendo un mejor futuro para nuestra tierra, cuidando nuestros ríos, conectando nuestras ciudades  y fortaleciendo el corazón del sur de Tamaulipas.";"2025-04-16T02:47:09+0000";"";"";""
