Query_Str,Post_URL,Author_Name,Author_Web_Page_URL,Author_Handle,Verified_Status,UTC_Time,Ads,Tweet_Content,Post_ID,Tweet_URL,Reply_Count,Repost_Count,Like_Count,View_Count,Bookmark_Count,Tweet_Image_URL,Replying_to,Reply_to_Whom,Reply_to_Whom_URL,Reply_to_Whom_Username,Reply_to_Whom_Handle,Language,Type
(@@TampicoGob OR @@MonicaVTampico) min_replies:0 min_faves:0 min_retweets:0,https://x.com/search?q=(@@TampicoGob OR @@MonicaVTampico) min_replies:0 min_faves:0 min_retweets:0 until:2025-05-21 since:2025-05-20&src=typed_query,El Mañana de Reynosa,https://x.com/elmananarey,elmananarey,False,2025-05-20 19:41:05+00:00,False,"#Tamaulipas 📹 #EnVivo Conferencia de prensa con la secretaria de Desarrollo Económico, @ninfacantu, autoridades del IMPI, y la presidenta municipal de Tampico, @MonicaVTampico https://www.facebook.com/ElMananaDeReynosa/videos/1206853807606450",1924913287243682261,https://x.com/elmananarey/status/1924913287243682261,0,0,0,199,0,,False,,,,,es,Top
(@@TampicoGob OR @@MonicaVTampico) min_replies:0 min_faves:0 min_retweets:0,https://x.com/search?q=(@@TampicoGob OR @@MonicaVTampico) min_replies:0 min_faves:0 min_retweets:0 until:2025-05-21 since:2025-05-20&src=typed_query,El Mañana de Reynosa,https://x.com/elmananareynosa,elmananareynosa,False,2025-05-20 19:41:15+00:00,False,"#Tamaulipas 📹 #EnVivo Conferencia de prensa con la secretaria de Desarrollo Económico, @ninfacantu, autoridades del IMPI, y la presidenta municipal de Tampico, @MonicaVTampico https://www.facebook.com/ElMananaDeReynosa/videos/1206853807606450",1924913327135756301,https://x.com/elmananareynosa/status/1924913327135756301,0,0,0,140,0,,False,,,,,es,Top
(@@TampicoGob OR @@MonicaVTampico) min_replies:0 min_faves:0 min_retweets:0,https://x.com/search?q=(@@TampicoGob OR @@MonicaVTampico) min_replies:0 min_faves:0 min_retweets:0 until:2025-05-20 since:2025-05-19&src=typed_query,QUACKITY INFO 🌐,https://x.com/QuackityInfo,QuackityInfo,False,2025-05-20 21:32:30+00:00,False,🚫 ¡Tweet eliminado! Trad: mayo 26 junio 2do 9no De nada,1924941325767508118,https://x.com/QuackityInfo/status/1924941325767508118,15,220,1805,24714,117,https://pbs.twimg.com/media/GrbD7s4WsAAT4XX.jpg,False,,,,,es,Top
(@@TampicoGob OR @@MonicaVTampico) min_replies:0 min_faves:0 min_retweets:0,https://x.com/search?q=(@@TampicoGob OR @@MonicaVTampico) min_replies:0 min_faves:0 min_retweets:0 until:2025-05-22 since:2025-05-21&src=typed_query,LA MONA QUILOMBERA 2.0 🗡🐵,https://x.com/MONAQUILOMBERA,MONAQUILOMBERA,False,2025-05-21 01:06:54+00:00,False,IMPRESIONANTE EL CHUPACULISMO DE SANDRA. LO TRATAN COMO SI TUVIERA 5 AÑOS,1924995280224526668,https://x.com/MONAQUILOMBERA/status/1924995280224526668,18,55,530,10493,5,,False,,,,,es,Top
(@@TampicoGob OR @@MonicaVTampico) min_replies:0 min_faves:0 min_retweets:0,https://x.com/search?q=(@@TampicoGob OR @@MonicaVTampico) min_replies:0 min_faves:0 min_retweets:0 until:2025-05-22 since:2025-05-21&src=typed_query,Pilara,https://x.com/youfavlovaa,youfavlovaa,False,2025-05-21 01:24:03+00:00,False,“no quiero saberlo tmpoco me hace falta” 🧘🏻‍♀️🧘🏻‍♀️,1924999596154970159,https://x.com/youfavlovaa/status/1924999596154970159,3,3051,7800,441006,462,,False,,,,,es,Top
(@@TampicoGob OR @@MonicaVTampico) min_replies:0 min_faves:0 min_retweets:0,https://x.com/search?q=(@@TampicoGob OR @@MonicaVTampico) min_replies:0 min_faves:0 min_retweets:0 until:2025-05-22 since:2025-05-21&src=typed_query,Monica Garza,https://x.com/monicagarzag,monicagarzag,True,2025-05-21 01:42:19+00:00,False,".@AlianzaMediosMx se pronuncia sobre las medidas tomadas en Tamaulipas contra @El_Universal_Mx y el periodista @hdemauleon: ""Alertamos por este intento de censura judicial y ataque a la libertad de expresión""",1925004196140446106,https://x.com/monicagarzag/status/1925004196140446106,45,513,828,17470,3,https://pbs.twimg.com/media/Grb8jtQXsAATGxv.png,False,,,,,es,Top
(@@TampicoGob OR @@MonicaVTampico) min_replies:0 min_faves:0 min_retweets:0,https://x.com/search?q=(@@TampicoGob OR @@MonicaVTampico) min_replies:0 min_faves:0 min_retweets:0 until:2025-05-22 since:2025-05-21&src=typed_query,Jorge Fernández Menéndez,https://x.com/J_Fdz_Menendez,J_Fdz_Menendez,True,2025-05-21 02:25:00+00:00,False,"🛑 El Tribunal Electoral de Tamaulipas, controlado por afines al gobernador Américo Villarreal, intenta censurar a @hdemauleon y a @El_Universal_Mx por revelar nexos de Tania Contreras con el huachicol fiscal. La información hoy en #TodoPersonal",1925014935383212366,https://x.com/J_Fdz_Menendez/status/1925014935383212366,11,834,1220,11543,6,https://pbs.twimg.com/media/GrcCqBZXYAAm9NK.jpg,False,,,,,es,Top
(@@TampicoGob OR @@MonicaVTampico) min_replies:0 min_faves:0 min_retweets:0,https://x.com/search?q=(@@TampicoGob OR @@MonicaVTampico) min_replies:0 min_faves:0 min_retweets:0 until:2025-05-22 since:2025-05-21&src=typed_query,Valentina Kryp ✨,https://x.com/VKryp,VKryp,True,2025-05-21 12:45:54+00:00,False,Mi amiga vive en México y aún así se tomó la molestia de gestionarme un desayuno sorpresa de cumpleaños ❤️ @MaguiSunshine siempre dejando la vara altísima que decirles yo la amo,1925171189527245061,https://x.com/VKryp/status/1925171189527245061,7,11,342,26124,10,https://pbs.twimg.com/media/GreU_YkXwAAO46a.jpg,False,,,,,es,Top
(@@TampicoGob OR @@MonicaVTampico) min_replies:0 min_faves:0 min_retweets:0,https://x.com/search?q=(@@TampicoGob OR @@MonicaVTampico) min_replies:0 min_faves:0 min_retweets:0 until:2025-05-22 since:2025-05-21&src=typed_query,❤️‍🔥Momo Ft.อันวาร์บลู❤️‍🔥,https://x.com/Momo1581060,Momo1581060,False,2025-05-21 14:39:39+00:00,False,กุ๊งกิ๊งสั่งลุยย ! 🔥🔥 JOIN WITH TMK MISSION #MajorxThomasKongxMi8 #kongjiro,1925199817699164237,https://x.com/Momo1581060/status/1925199817699164237,2,259,368,5115,7,https://pbs.twimg.com/media/GrevBsXaAAAKMn2.jpg,False,,,,,und,Top
(@@TampicoGob OR @@MonicaVTampico) min_replies:0 min_faves:0 min_retweets:0,https://x.com/search?q=(@@TampicoGob OR @@MonicaVTampico) min_replies:0 min_faves:0 min_retweets:0 until:2025-05-22 since:2025-05-21&src=typed_query,TIN,https://x.com/amoranimal2020,amoranimal2020,False,2025-05-21 15:28:33+00:00,False,"“Yo me junto a tomar vino con gente decente” mientras la gente Moria y no podía salir de sus casas, ella haciendo fiestas con sus amigos!!.. si gente , la misma que se indigna con otros que rompieron el protocolo. LA MORALISTA, LA QUE TIENE VALORES ,LA DECENTE!. #puntitalatorre",1925212124772536602,https://x.com/amoranimal2020/status/1925212124772536602,68,308,910,26774,20,https://pbs.twimg.com/amplify_video_thumb/1925211968773734400/img/jmxlQGfGuysQ5qa1.jpg;https://pbs.twimg.com/media/Gre6FdyWcAAlJ50.jpg,False,,,,,es,Top
