comment_text,published_at,query
Hola yo tengo mi inapan y como puedo tener un apoyo económico?,2025-06-10T09:46:05Z,Gobierno de Tampico
"Desgraciadamente en Michoacán predomina el narco.<br>En 2017 fui para esos rumbos y me quede impáctala al darme cuenta que asta los niños que ven matar a alguien y para ellos es normal no se asustan y lo comentan como algo normal.  Desgraciadamente muchos jefes en el gobierno son jefes de grupos delictivos y aparte hay mucha corrupción y aparte tienen un gran negocio con la ley nueva extorsionan al pueblo, la judicial y el ministerio publico debe ser cambiado por completo pero por soldados porque las demás autoridades son delincuentes con placa y no hacen nada porque porque en su mayoría están departe de grupos delictivos, y los que no están coludidos no hacen nada, porque arriesgan sus vidas",2025-06-10T10:36:11Z,presidenta municipal de Tampico
"Desgraciadamente en Michoacán predomina el narco.<br>En 2017 fui para esos rumbos y me quede impáctala al darme cuenta que asta los niños que ven matar a alguien y para ellos es normal no se asustan y lo comentan como algo normal.  Desgraciadamente muchos jefes en el gobierno son jefes de grupos delictivos y aparte hay mucha corrupción y aparte tienen un gran negocio con la ley nueva extorsionan al pueblo, la judicial y el ministerio publico debe ser cambiado por completo pero por soldados porque las demás autoridades son delincuentes con placa y no hacen nada porque porque en su mayoría están departe de grupos delictivos, y los que no están coludidos no hacen nada, porque arriesgan sus vidas",2025-06-10T10:36:11Z,Presidenta municipal de Tampico
"Desgraciadamente todos los mexicanos no confiamos en el poder judicial, ministerial y ministerio público y fiscalías, porque no hacen nada por ayudar al pueblo, solo se mueven según sus intereses.",2025-06-10T10:50:18Z,presidenta municipal de Tampico
"Desgraciadamente todos los mexicanos no confiamos en el poder judicial, ministerial y ministerio público y fiscalías, porque no hacen nada por ayudar al pueblo, solo se mueven según sus intereses.",2025-06-10T10:50:18Z,Presidenta municipal de Tampico
Entonces  ahora xochitl  Gálvez  estará en la primera fila .,2025-06-10T12:18:50Z,presidenta municipal de Tampico
Entonces  ahora xochitl  Gálvez  estará en la primera fila .,2025-06-10T12:18:50Z,Presidenta municipal de Tampico
🤑🤑🤑🤢🤢🤢🤮🤮🤮🤮👽👽👽👽👽👽💚💚💚💚💚💚,2025-06-10T13:55:23Z,presidenta municipal de Tampico
🤑🤑🤑🤢🤢🤢🤮🤮🤮🤮👽👽👽👽👽👽💚💚💚💚💚💚,2025-06-10T13:55:23Z,Presidenta municipal de Tampico
Cuando se irán acabar todas estás lacras. Basura de la sociedad,2025-06-10T14:47:37Z,gobierno de Tampico
Cuando viene MARCO RUBIO,2025-06-10T14:58:12Z,gobierno de Tampico
La información más correcta y oportuna Código Magenta saludos desde Baja California Sur Mexico⭐️🌝☺️💥,2025-06-10T16:21:58Z,gobierno de Tampico
Deberían hacer una película con el puro don José reyes buenismo,2025-06-10T16:45:38Z,presidenta municipal de Tampico
Deberían hacer una película con el puro don José reyes buenismo,2025-06-10T16:45:38Z,Presidenta municipal de Tampico
"A veces en zonas rurales, sólo hay un comisario ejidal para la rancheria, comunidad o poblado.",2025-06-10T17:34:48Z,presidenta municipal de Tampico
"A veces en zonas rurales, sólo hay un comisario ejidal para la rancheria, comunidad o poblado.",2025-06-10T17:34:48Z,Presidenta municipal de Tampico
"Yo le pondría,  leondres,  😂",2025-06-10T18:22:17Z,presidenta municipal de Tampico
"Yo le pondría,  leondres,  😂",2025-06-10T18:22:17Z,Presidenta municipal de Tampico
Frase Célebre de don Gómez Cruz!!😅😅😂😂😂,2025-06-10T19:36:35Z,presidenta municipal de Tampico
Frase Célebre de don Gómez Cruz!!😅😅😂😂😂,2025-06-10T19:36:35Z,Presidenta municipal de Tampico
Guasteco 😅😂😅😂😅😂,2025-06-10T21:02:49Z,presidenta municipal de Tampico
Guasteco 😅😂😅😂😅😂,2025-06-10T21:02:49Z,Presidenta municipal de Tampico
🤢🤮🤑🧑🏻‍🎤🧟‍♀️🧟🧟‍♂️🧝🏻🧝🏻‍♂️🧚🏻🩲👒🧤🪖🐸🐛🪲🐍🐢🦖🦎🐊🦚🦜🐉🐲🌵🌴🌳🌲🎄🌱🌿☘️🍀🍃🪴🎍🎋🌾🍏🍐🍈🥝🍋‍🟩🍐🥑🫛🥦🥬🥒🫑🫒🥗🧃🍾🍵🥙🎾🪀🥎🧩🛣️🔋🪛🔫💶🦠🧪🧼📗💚💹❇️✳️❎🈯️✅♻️🟢🟩🇸🇦🇩🇿🇧🇩🇧🇷🇩🇲🇨🇨🇳🇫🇲🇴🇵🇰listo faltaron dos pero no me dejo ponerlos son todos los que encontré 😅verdes,2025-06-10T21:24:09Z,presidenta municipal de Tampico
🤢🤮🤑🧑🏻‍🎤🧟‍♀️🧟🧟‍♂️🧝🏻🧝🏻‍♂️🧚🏻🩲👒🧤🪖🐸🐛🪲🐍🐢🦖🦎🐊🦚🦜🐉🐲🌵🌴🌳🌲🎄🌱🌿☘️🍀🍃🪴🎍🎋🌾🍏🍐🍈🥝🍋‍🟩🍐🥑🫛🥦🥬🥒🫑🫒🥗🧃🍾🍵🥙🎾🪀🥎🧩🛣️🔋🪛🔫💶🦠🧪🧼📗💚💹❇️✳️❎🈯️✅♻️🟢🟩🇸🇦🇩🇿🇧🇩🇧🇷🇩🇲🇨🇨🇳🇫🇲🇴🇵🇰listo faltaron dos pero no me dejo ponerlos son todos los que encontré 😅verdes,2025-06-10T21:24:09Z,Presidenta municipal de Tampico
"Hay  mucho favoritismo y la verdad, en cuestión de apoyo a los pescadores esta muy indiferente o olvidado",2025-06-10T21:32:33Z,Gobierno de Tampico
"Hay  mucho favoritismo y la verdad, en cuestión de apoyo a los pescadores esta muy indiferente o olvidado",2025-06-10T21:32:33Z,gobierno de Tampico
"<a href=""https://www.youtube.com/watch?v=PDQPEgCrEZs&amp;t=1114"">18:34</a>",2025-06-10T22:14:26Z,Gobierno de Tampico
"<a href=""https://www.youtube.com/watch?v=PDQPEgCrEZs&amp;t=1426"">23:46</a>",2025-06-10T22:20:28Z,Gobierno de Tampico
ROLON CÑ,2025-06-10T22:34:43Z,gobierno de Tampico
Canelo Alvarez: &quot;déjate de pu..te..rí..as&quot;,2025-06-10T23:20:12Z,presidenta municipal de Tampico
Canelo Alvarez: &quot;déjate de pu..te..rí..as&quot;,2025-06-10T23:20:12Z,Presidenta municipal de Tampico
Tampico hermoso que bonito es recorrer la zona centro muuy limpio,2025-06-11T03:18:27Z,Gobierno de Tampico
Lmao. I can&#39;t with those ridiculous clothes. 😂😂,2025-06-11T04:55:37Z,presidenta municipal de Tampico
Lmao. I can&#39;t with those ridiculous clothes. 😂😂,2025-06-11T04:55:37Z,Presidenta municipal de Tampico
❤❤❤❤🎉,2025-06-11T07:56:31Z,gobierno de Tampico
❤❤❤❤❤❤😂😂❤❤❤,2025-06-11T13:28:37Z,presidenta municipal de Tampico
❤❤❤❤❤❤😂😂❤❤❤,2025-06-11T13:28:37Z,Presidenta municipal de Tampico
la cara del huasteco cuando forman equipo 😂😂😂😂,2025-06-11T14:53:00Z,presidenta municipal de Tampico
la cara del huasteco cuando forman equipo 😂😂😂😂,2025-06-11T14:53:00Z,Presidenta municipal de Tampico
se inmortalizo esa frese dejate de p......rias huasteco jajajjaja,2025-06-11T17:29:01Z,presidenta municipal de Tampico
se inmortalizo esa frese dejate de p......rias huasteco jajajjaja,2025-06-11T17:29:01Z,Presidenta municipal de Tampico
