"path";"id";"parent_id";"level";"object_id";"object_type";"object_key";"query_status";"query_time";"query_type";"message";"created_time";"like_count";"comment_count";"error.message"
"964877296876825_1322129919476899/474462132406835_122163438398546197";"7567";"7335";"1";"474462132406835_122163438398546197";"data";"data.*";"fetched (200)";"2025-11-14 09:13:49.465987";"Facebook:/<page-id>/posts";"Estuvimos en la colonia Pescadores, otra zona afectada por el incremento del nivel del agua, donde entregamos apoyo alimentario gracias al respaldo de nuestro gobernador, el Dr. Américo Villarreal.  Este apoyo solidario representa más que una despensa: es un mensaje claro de que no están solos. El gobierno del estado, el federal y el municipal estamos trabajando en unidad para cuidar de cada familia tampiqueña que lo necesita.  También estamos invitando a quienes viven en zonas de mayor riesgo a acudir a los albergues habilitados, donde pueden resguardarse. Y si necesitan mover muebles, contamos con el apoyo del Ejército Mexicano para hacerlo posible.  Seguimos recorriendo casa por casa, con el corazón y el compromiso de siempre. Vamos a seguir mientras sea necesario.";"2025-07-08T04:55:25+0000";"";"";""
"964877296876825_1322129919476899/474462132406835_122163438398546197/474462132406835_122163438398546197";"12224";"7567";"2";"474462132406835_122163438398546197";"data";"data.*";"fetched (200)";"2025-11-14 09:17:24.539365";"Facebook:/<post-id>/comments";"Excelente Presidenta un Gobierno Humanista!!";"2025-07-08T04:57:22+0000";"3";"0";""
"TampicoGob/474462132406835_122163438398546197/474462132406835_122163438398546197";"12224";"7567";"2";"474462132406835_122163438398546197";"data";"data.*";"fetched (200)";"2025-11-14 09:17:24.539365";"Facebook:/<post-id>/comments";"Excelente Presidenta un Gobierno Humanista!!";"2025-07-08T04:57:22+0000";"3";"0";""
"964877296876825_1322129919476899/964877296876825_1301350604888164";"7432";"7334";"1";"964877296876825_1301350604888164";"data";"data.*";"fetched (200)";"2025-11-14 09:13:42.744998";"Facebook:/<page-id>/posts";"Esta tarde tuve el honor de asistir a la supervisión de obra del Hospital General IMSS-Bienestar ""Heriberto Espinosa Rosales"" en Ciudad Madero, Tamaulipas, acompañando a nuestra presidenta de México, Claudia Sheinbaum Pardo, y a nuestro gobernador el Dr. Américo Villarreal Anaya.  Este hospital, que será inaugurado el 15 de diciembre de este año, representa un paso firme hacia un objetivo claro: garantizar el derecho a la salud para todas y todos los mexicanos.";"2025-07-05T03:14:50+0000";"";"";""
"964877296876825_1322129919476899/964877296876825_1301350604888164/964877296876825_1301350604888164";"10161";"7432";"2";"964877296876825_1301350604888164";"data";"data.*";"fetched (200)";"2025-11-14 09:15:31.955572";"Facebook:/<post-id>/comments";"Bienvenida a T4MPICO PresidentA";"2025-07-05T03:18:13+0000";"1";"0";""
"964877296876825_1322129919476899/964877296876825_1299716985051526";"7442";"7334";"1";"964877296876825_1299716985051526";"data";"data.*";"fetched (200)";"2025-11-14 09:13:42.744998";"Facebook:/<page-id>/posts";"Nos llena de alegría compartir que nuestra directora Nora Izaguire Acevedo, titular de Desarrollo Económico ha sido invitada a participar en el Seminario de Administración Pública para México en Beijing, China, organizado por la Academia Nacional de Gobernanza de China que se realizará del 5 al 25 de julio de este año.  Esta invitación llega por ser estudiante del Doctorado en Administración Pública en el Instituto Nacional de Administración Pública (INAP).  Le deseamos el mayor de los éxitos en esta experiencia internacional que, sin duda, enriquecerá su visión profesional y fortalecerá el trabajo que realiza en nuestra ciudad. 🌍✨";"2025-07-03T00:08:18+0000";"";"";""
"964877296876825_1322129919476899/964877296876825_1299716985051526/964877296876825_1299716985051526";"10414";"7442";"2";"964877296876825_1299716985051526";"data";"data.*";"fetched (200)";"2025-11-14 09:15:39.536160";"Facebook:/<post-id>/comments";"en hora buena 👍 👌";"2025-07-03T00:27:55+0000";"0";"0";""
"964877296876825_1322129919476899/964877296876825_1299056821784209";"7448";"7334";"1";"964877296876825_1299056821784209";"data";"data.*";"fetched (200)";"2025-11-14 09:13:42.744998";"Facebook:/<page-id>/posts";"Mensaje del gobernador Américo Villarreal.";"2025-07-02T02:57:28+0000";"";"";""
"964877296876825_1322129919476899/964877296876825_1299056821784209/964877296876825_1299056821784209";"10574";"7448";"2";"964877296876825_1299056821784209";"data";"data.*";"fetched (200)";"2025-11-14 09:15:43.158148";"Facebook:/<post-id>/comments";"";"2025-07-02T03:10:32+0000";"0";"0";""
"964877296876825_1322129919476899/964877296876825_1299072835115941";"7447";"7334";"1";"964877296876825_1299072835115941";"data";"data.*";"fetched (200)";"2025-11-14 09:13:42.744998";"Facebook:/<page-id>/posts";"Con el compromiso de brindar espacios seguros y dignos, realizamos un recorrido por el auditorio municipal y por el polideportivo que están funcionando como refugios temporales.  Con el compromiso claro de asegurar que todo esté en orden y preparado para recibir a las personas que necesiten resguardo. Queremos que quienes lleguen a estos refugios temporales se sientan cuidados, protegidos y con lo necesario para pasar este momento de la mejor manera posible.  Seguimos trabajando con el corazón y con responsabilidad, siempre pensando en ti y en tu bienestar. ❤️🏠  Tampico te cuida.";"2025-07-02T03:29:26+0000";"";"";""
