Query_Str,Post_URL,Author_Name,Author_Web_Page_URL,Author_Handle,Verified_Status,UTC_Time,Ads,Tweet_Content,Post_ID,Tweet_URL,Reply_Count,Repost_Count,Like_Count,View_Count,Bookmark_Count,Tweet_Image_URL,Replying_to,Reply_to_Whom,Reply_to_Whom_URL,Reply_to_Whom_Username,Reply_to_Whom_Handle,Language,Type
(@@TampicoGob OR @@MonicaVTampico) min_replies:0 min_faves:0 min_retweets:0,https://x.com/search?q=(@@TampicoGob OR @@MonicaVTampico) min_replies:0 min_faves:0 min_retweets:0 until:2025-07-02 since:2025-07-01&src=typed_query,tati,https://x.com/ysitedigoquesi2,ysitedigoquesi2,False,2025-07-01 06:44:06+00:00,False,Imagínate ser Pampita y tener de amiga a esta gorda traumada que se sienta en un programa a defender A LA MINA QUE ARRUINÓ TU FAMILIA Y TE HIZO PASAR LOS PEORES MOMENTOS MATERNANDO 3 pibes y haciendo el duelo de tu hija que falleció. Para que enemigas?,1939938042384376064,https://x.com/ysitedigoquesi2/status/1939938042384376064,18,78,1417,56649,28,,False,,,,,es,Top
(@@TampicoGob OR @@MonicaVTampico) min_replies:0 min_faves:0 min_retweets:0,https://x.com/search?q=(@@TampicoGob OR @@MonicaVTampico) min_replies:0 min_faves:0 min_retweets:0 until:2025-07-02 since:2025-07-01&src=typed_query,TANA 🔥 🔥 🔥,https://x.com/Tana17809,Tana17809,False,2025-07-01 06:53:11+00:00,False,"LOS AMO , SOY UN PUENTE DE TODA LA COMUNIDAD DE TIK TOK QUE LOS AMA Y APOYO AL TRIDENTE DESDE EL DIA UNO , SIN BAJARSE DEL BARCO 🔱 SIEMPRE TRIDENTE NUNCA CAUSA SIEMPRE TRIDENTE NUNCA APOSTOL SIEMPRE TRIDENTE NUNCA HONGO #GranHermano",1939940327395127426,https://x.com/Tana17809/status/1939940327395127426,22,140,1303,19604,68,https://pbs.twimg.com/ext_tw_video_thumb/1939940304792035328/pu/img/u96Rj1xSwBjzZnfn.jpg,False,,,,,es,Top
(@@TampicoGob OR @@MonicaVTampico) min_replies:0 min_faves:0 min_retweets:0,https://x.com/search?q=(@@TampicoGob OR @@MonicaVTampico) min_replies:0 min_faves:0 min_retweets:0 until:2025-07-02 since:2025-07-01&src=typed_query,Rubén Rivera,https://x.com/rubenrivera,rubenrivera,False,2025-07-01 07:02:35+00:00,False,Y la morenista @olgapsosa mando eliminar los videos donde estaba con el director de @VectorCB aquí huele muy mal y esto implica de manera directa al #NarcoGobernador @Dr_AVillarreal y a su hermana la @MonicaVTampico que impusieron como alcaldesa en #Tampico,1939942695398428955,https://x.com/rubenrivera/status/1939942695398428955,0,0,1,175,0,,False,,,,,es,Top
(@@TampicoGob OR @@MonicaVTampico) min_replies:0 min_faves:0 min_retweets:0,https://x.com/search?q=(@@TampicoGob OR @@MonicaVTampico) min_replies:0 min_faves:0 min_retweets:0 until:2025-07-02 since:2025-07-01&src=typed_query,Rubén Rivera,https://x.com/rubenrivera,rubenrivera,False,2025-07-01 07:03:38+00:00,False,@FDoringCasar @OHarfuch Y la morenista @olgapsosa mando eliminar los videos donde estaba con el director de @VectorCB aquí huele muy mal y esto implica de manera directa al #NarcoGobernador @Dr_AVillarreal y a su hermana la @MonicaVTampico que impusieron como alcaldesa en #Tampico,1939942959283130430,https://x.com/rubenrivera/status/1939942959283130430,0,4,10,369,0,,True,FDoringCasar,https://x.com/FDoringCasar,Federico Döring 🇺🇦,FDoringCasar,es,Top
(@@TampicoGob OR @@MonicaVTampico) min_replies:0 min_faves:0 min_retweets:0,https://x.com/search?q=(@@TampicoGob OR @@MonicaVTampico) min_replies:0 min_faves:0 min_retweets:0 until:2025-07-02 since:2025-07-01&src=typed_query,ABC.es,https://x.com/abc_es,abc_es,True,2025-07-01 07:23:31+00:00,False,❗️ Un voto particular denuncia que Conde-Pumpido dio a dedo a Montalbán la ponencia de la amnistía ✍️ Nati Villanueva https://ver.abc.es/bza_u,1939947964350267467,https://x.com/abc_es/status/1939947964350267467,40,1552,2772,49808,32,,False,,,,,es,Top
(@@TampicoGob OR @@MonicaVTampico) min_replies:0 min_faves:0 min_retweets:0,https://x.com/search?q=(@@TampicoGob OR @@MonicaVTampico) min_replies:0 min_faves:0 min_retweets:0 until:2025-07-02 since:2025-07-01&src=typed_query,Hermandad San Benito,https://x.com/Hdad_SanBenito,Hdad_SanBenito,False,2025-07-01 09:09:29+00:00,False,🟣 Nuestra Madre luce ataviada para presidir la toma de posesión de la nueva Junta de Gobierno en el día de hoy. #SanBenito25,1939974630137040987,https://x.com/Hdad_SanBenito/status/1939974630137040987,1,62,277,31786,5,https://pbs.twimg.com/media/Guwso8kWIAAicCf.jpg;https://pbs.twimg.com/media/Guwso8hWkAAQKJx.jpg;https://pbs.twimg.com/media/Guwso8iWkAEU541.jpg;https://pbs.twimg.com/media/Guwso8gWYAAo21U.jpg,False,,,,,es,Top
(@@TampicoGob OR @@MonicaVTampico) min_replies:0 min_faves:0 min_retweets:0,https://x.com/search?q=(@@TampicoGob OR @@MonicaVTampico) min_replies:0 min_faves:0 min_retweets:0 until:2025-07-02 since:2025-07-01&src=typed_query,𝙏𝙃𝙊𝙥𝙞𝙘𝙖𝙡 ; 𝙏𝙝𝙤𝙢𝙖𝙨,https://x.com/THOpical,THOpical,True,2025-07-01 12:03:06+00:00,False,⌇ #kongjiro @kongjiro_ ⌇ — พี่โทอย่าแกล้งน้องก้องดั้ยมั้ย 🐱❕️💢 EVERPINK LIVE WITH TMK #EVERPINKxThomasKongLive,1940018323187695686,https://x.com/THOpical/status/1940018323187695686,3,738,914,12888,42,https://pbs.twimg.com/media/GuxUD1DXkAAWqFa.jpg;https://pbs.twimg.com/media/GuxUD04WEAEQ5bd.jpg,False,,,,,th,Top
(@@TampicoGob OR @@MonicaVTampico) min_replies:0 min_faves:0 min_retweets:0,https://x.com/search?q=(@@TampicoGob OR @@MonicaVTampico) min_replies:0 min_faves:0 min_retweets:0 until:2025-07-02 since:2025-07-01&src=typed_query,Presidencia de la República de Panamá,https://x.com/presidenciapma,presidenciapma,True,2025-07-01 12:12:19+00:00,False,"Hace un año dijimos que veníamos a gobernar con seriedad. Hoy, los hechos lo confirman. ✅ Cerramos el paso por nuestras fronteras, defendiendo la soberanía nacional. ✅ Alcanzamos cifras récord en becas, salud, inversión y ejecución. ✅ Retomamos obras abandonadas y pusimos al panameño en el centro de la gestión pública. 🇵🇦 365 días de gestión. 365 días cumpliendo. Y apenas estamos comenzando. #ConPasoFirme #Mulino365",1940020640552992868,https://x.com/presidenciapma/status/1940020640552992868,141,122,228,14901,3,https://pbs.twimg.com/media/GuxWfF6WYAAzqKP.jpg,False,,,,,es,Top
(@@TampicoGob OR @@MonicaVTampico) min_replies:0 min_faves:0 min_retweets:0,https://x.com/search?q=(@@TampicoGob OR @@MonicaVTampico) min_replies:0 min_faves:0 min_retweets:0 until:2025-07-02 since:2025-07-01&src=typed_query,Angel Fuentes Lopez,https://x.com/angelfuentesl,angelfuentesl,True,2025-07-01 12:37:59+00:00,False,"Hace un año, Táchira retumbó con la fuerza de un Terremoto de Esperanza. De pueblo en pueblo, nuestro recorrido con nuestra Guerrera @MariaCorinaYA se convirtió en un río imparable de Gente; Valiente, Apasionada, Indomable. Mis hermanos Gochos, lo que vivimos fue Épico. En San Cristóbal, hicimos Historia: más de 150,000 almas unidas en un solo Grito de Libertad. Los esbirros del Régimen del Terror intentaron todo: carreteras cerradas, combustible negado, equipos confiscados. Pero nada pudo detenernos. Caminamos, superamos, y lo logramos Juntos. Ese día quedará grabado en nuestras almas. Horas y horas de familias, de jóvenes con fuego en los ojos, de manos unidas en oración. Un país que se abrazó bajo una sola bandera: la de la Resistencia. Táchira no se dobla. Táchira no se rinde. Esa energía, ese espíritu, está más vivo que nunca. Organizados, decididos, listos para seguir hasta el final. Dios los bendiga. 🇻🇪💪 #HastaElFinal #TáchiraNoSeRinde",1940027099269718169,https://x.com/angelfuentesl/status/1940027099269718169,10,242,549,7994,3,,False,,,,,es,Top
(@@TampicoGob OR @@MonicaVTampico) min_replies:0 min_faves:0 min_retweets:0,https://x.com/search?q=(@@TampicoGob OR @@MonicaVTampico) min_replies:0 min_faves:0 min_retweets:0 until:2025-07-02 since:2025-07-01&src=typed_query,𝙏𝙃𝙊𝙥𝙞𝙘𝙖𝙡 ; 𝙏𝙝𝙤𝙢𝙖𝙨,https://x.com/THOpical,THOpical,True,2025-07-01 12:41:16+00:00,False,⌇ #kongjiro @kongjiro_ ⌇ — เข้าใจพี่โททั้งหมดเลย 🥺🫶🏻 EVERPINK LIVE WITH TMK #EVERPINKxThomasKongLive,1940027925618991517,https://x.com/THOpical/status/1940027925618991517,0,320,407,6425,23,https://pbs.twimg.com/media/GuxdBxAWAAAEXGm.jpg;https://pbs.twimg.com/media/GuxdBwlWgAAROb1.jpg,False,,,,,und,Top
