comment_text,published_at,query
Deberían de pagar los 10 años,2025-07-29T06:04:53Z,Gobierno de Tampico
Mejor que chambie 😂😂😅😅 o ya que anda en eso de las pajinitas pues que se pase a la de adultos porque vergüenza no tiene !!!😂😂😂total ya está Vien quemada,2025-07-29T06:06:24Z,Gobierno de Tampico
"Lo que mal empieza, mal termina.",2025-07-29T06:13:59Z,Gobierno de Tampico
Amo los finales felices 🥰🥰🥰!!!!.....,2025-07-29T06:14:06Z,presidenta municipal de Tampico
Amo los finales felices 🥰🥰🥰!!!!.....,2025-07-29T06:14:06Z,Presidenta municipal de Tampico
"Quien les va a querer rentar después de esto, da pena verlas así pero es algo que se buscaron",2025-07-29T06:17:18Z,Gobierno de Tampico
Ahh pero nos prohíben el derecho a portar arma de fuego para defensa personal <br><br>🤬🤬🤬🤬🤬,2025-07-29T06:29:58Z,presidenta municipal de Tampico
Ahh pero nos prohíben el derecho a portar arma de fuego para defensa personal <br><br>🤬🤬🤬🤬🤬,2025-07-29T06:29:58Z,Presidenta municipal de Tampico
Le vino Huango don ramon😂😂,2025-07-29T06:52:57Z,Gobierno de Tampico
"Ah, pa&#39;nombrecito de tu P1NCH3 canal para enaltecer a una PRESIRVIENTA AUTORITARIA y espuria.<br>NARCOGOBERNANTE, CORRUPTA, DIGNA MARIONETA DEL NARCOEXPRESIDENTE.",2025-07-29T06:58:59Z,presidenta municipal de Tampico
"Ah, pa&#39;nombrecito de tu P1NCH3 canal para enaltecer a una PRESIRVIENTA AUTORITARIA y espuria.<br>NARCOGOBERNANTE, CORRUPTA, DIGNA MARIONETA DEL NARCOEXPRESIDENTE.",2025-07-29T06:58:59Z,Presidenta municipal de Tampico
Awww amiga 😢  no te preocupes todo va estar bien. Tqm,2025-07-29T07:00:01Z,Gobierno de Tampico
Si y también con estos politicos qué son parte culpables de esta situación ya estamos hasta la madre.,2025-07-29T07:01:20Z,presidenta municipal de Tampico
Si y también con estos politicos qué son parte culpables de esta situación ya estamos hasta la madre.,2025-07-29T07:01:20Z,Presidenta municipal de Tampico
Conozco unos que son de Altamira Tamaulipas que deberás están PAL perro a y bien bravos.... Nonono,2025-07-29T07:02:03Z,presidenta municipal de Tampico
Conozco unos que son de Altamira Tamaulipas que deberás están PAL perro a y bien bravos.... Nonono,2025-07-29T07:02:03Z,Presidenta municipal de Tampico
"Que bueno que las sacaron, duro contra todos esos vividores y vividoras que se quieren robar la propiedad ajena.",2025-07-29T07:14:52Z,Gobierno de Tampico
felicidades veracruz son valientes gracias por el ejemplo,2025-07-29T07:15:18Z,presidenta municipal de Tampico
felicidades veracruz son valientes gracias por el ejemplo,2025-07-29T07:15:18Z,Presidenta municipal de Tampico
En todo México. Así son los policías. En Tijuana.   Es un robo  descarado,2025-07-29T07:34:48Z,presidenta municipal de Tampico
En todo México. Así son los policías. En Tijuana.   Es un robo  descarado,2025-07-29T07:34:48Z,Presidenta municipal de Tampico
"Dios guarde, yo sufrí un asalto en Monterrey. Les juro que si me hubiesen pedido la ropa, se las doy. Eran 3 asaltantes, uno me amagaron con cuchillo y pistola, con prudencia hay que saber cuando ser valientes y cuando hay que perder.",2025-07-29T07:35:25Z,presidenta municipal de Tampico
"Dios guarde, yo sufrí un asalto en Monterrey. Les juro que si me hubiesen pedido la ropa, se las doy. Eran 3 asaltantes, uno me amagaron con cuchillo y pistola, con prudencia hay que saber cuando ser valientes y cuando hay que perder.",2025-07-29T07:35:25Z,Presidenta municipal de Tampico
"esta sabrosa, alguien le hará el favor (mientras siga sabrosa)",2025-07-29T07:45:16Z,Gobierno de Tampico
Muy bien hecho,2025-07-29T07:57:29Z,presidenta municipal de Tampico
Muy bien hecho,2025-07-29T07:57:29Z,Presidenta municipal de Tampico
Que horror todas estas “ladies” en Mexico!!,2025-07-29T08:05:46Z,Gobierno de Tampico
"Dónde te encuentro preciosa, yo te doy casa",2025-07-29T08:05:49Z,Gobierno de Tampico
Inche rata sinvergüenza....depresión ?? Esto es porque ahora si va a tener que pagar una casa. ....😡,2025-07-29T08:22:33Z,Gobierno de Tampico
Steal a dog,2025-07-29T08:24:25Z,Gobierno de Tampico
Steal a dog,2025-07-29T08:24:25Z,gobierno de Tampico
Que Ratas.,2025-07-29T09:38:12Z,Gobierno de Tampico
Por qué quiere bente ala mia 😂😂😂,2025-07-29T09:41:40Z,Gobierno de Tampico
México es el infiern0,2025-07-29T09:47:27Z,presidenta municipal de Tampico
México es el infiern0,2025-07-29T09:47:27Z,Presidenta municipal de Tampico
Bravoooo q sigan así en todo el pais,2025-07-29T10:54:18Z,presidenta municipal de Tampico
Bravoooo q sigan así en todo el pais,2025-07-29T10:54:18Z,Presidenta municipal de Tampico
