comment_text,published_at,query
apollo el pueblo 👏 los policías son más rateros que jente sin trabajo,2025-08-05T06:01:07Z,presidenta municipal de Tampico
apollo el pueblo 👏 los policías son más rateros que jente sin trabajo,2025-08-05T06:01:07Z,Presidenta municipal de Tampico
"Horrible trabajo, horrible muerte, horrible ciudad, horrible estado, horrible pais.",2025-08-05T06:02:55Z,presidenta municipal de Tampico
"Horrible trabajo, horrible muerte, horrible ciudad, horrible estado, horrible pais.",2025-08-05T06:02:55Z,Presidenta municipal de Tampico
C..prendio..cola..la..troka..no..c.agan..granadazo..la..tronaron...no.prendio..sola..traka..ni..murio..d..infarto..,2025-08-05T06:07:19Z,presidenta municipal de Tampico
C..prendio..cola..la..troka..no..c.agan..granadazo..la..tronaron...no.prendio..sola..traka..ni..murio..d..infarto..,2025-08-05T06:07:19Z,Presidenta municipal de Tampico
Trump tiene razón de decir que los cárteles gobiernan México,2025-08-05T06:08:02Z,presidenta municipal de Tampico
Trump tiene razón de decir que los cárteles gobiernan México,2025-08-05T06:08:02Z,Presidenta municipal de Tampico
Los gringos operando ..con su aliado exgobernador..,2025-08-05T06:10:00Z,presidenta municipal de Tampico
Los gringos operando ..con su aliado exgobernador..,2025-08-05T06:10:00Z,Presidenta municipal de Tampico
K...es..terrrrrorizmo.....y..no..paza..nada,2025-08-05T06:10:06Z,presidenta municipal de Tampico
K...es..terrrrrorizmo.....y..no..paza..nada,2025-08-05T06:10:06Z,Presidenta municipal de Tampico
"En qué lugar se puede degustar estos taquitos,es decir adónde está ubicada?",2025-08-05T06:14:13Z,presidenta municipal de Tampico
"En qué lugar se puede degustar estos taquitos,es decir adónde está ubicada?",2025-08-05T06:14:13Z,Presidenta municipal de Tampico
En un país que se normaliza el narco-terrorismo por parte de la comandante de las fuerzas armadas. No hay nada que hacer solo esperar  a que termine su sexenio. Y esperar a que algún ciudadano con huevos les haga frente con todo el peso de la ley.,2025-08-05T06:15:20Z,presidenta municipal de Tampico
En un país que se normaliza el narco-terrorismo por parte de la comandante de las fuerzas armadas. No hay nada que hacer solo esperar  a que termine su sexenio. Y esperar a que algún ciudadano con huevos les haga frente con todo el peso de la ley.,2025-08-05T06:15:20Z,Presidenta municipal de Tampico
No ce preocupen gente ya ce abrió una carpeta de investigación 😂,2025-08-05T06:16:48Z,presidenta municipal de Tampico
No ce preocupen gente ya ce abrió una carpeta de investigación 😂,2025-08-05T06:16:48Z,Presidenta municipal de Tampico
"Queda claro que ese atentado vs un funcionario de los 32 que hay en toda la República, nos dice, que los 31 restantes o son muy honestos o bien son cómplices locales que por eso no ocurre lo mismo.",2025-08-05T06:17:49Z,presidenta municipal de Tampico
"Queda claro que ese atentado vs un funcionario de los 32 que hay en toda la República, nos dice, que los 31 restantes o son muy honestos o bien son cómplices locales que por eso no ocurre lo mismo.",2025-08-05T06:17:49Z,Presidenta municipal de Tampico
Abrazos no Balazos!!!!,2025-08-05T06:18:46Z,presidenta municipal de Tampico
Abrazos no Balazos!!!!,2025-08-05T06:18:46Z,Presidenta municipal de Tampico
Que bueno 🎉,2025-08-05T06:19:55Z,presidenta municipal de Tampico
Que bueno 🎉,2025-08-05T06:19:55Z,Presidenta municipal de Tampico
😂😂😂 nose pierde nadaaaaaaa,2025-08-05T06:22:33Z,presidenta municipal de Tampico
😂😂😂 nose pierde nadaaaaaaa,2025-08-05T06:22:33Z,Presidenta municipal de Tampico
El mismo gobierno sabían que lo iban a matar entre ellos mismos se ponen por eso no fueron los soldados ni los statales a rescatarlo por que ya sabían que lo iban a matar,2025-08-05T06:24:00Z,presidenta municipal de Tampico
El mismo gobierno sabían que lo iban a matar entre ellos mismos se ponen por eso no fueron los soldados ni los statales a rescatarlo por que ya sabían que lo iban a matar,2025-08-05T06:24:00Z,Presidenta municipal de Tampico
Que bien asi una lacra más y corruptos asi debería ser,2025-08-05T06:24:51Z,presidenta municipal de Tampico
Que bien asi una lacra más y corruptos asi debería ser,2025-08-05T06:24:51Z,Presidenta municipal de Tampico
JAJAJAJAJAJAJA fue un infarto,2025-08-05T06:25:29Z,presidenta municipal de Tampico
JAJAJAJAJAJAJA fue un infarto,2025-08-05T06:25:29Z,Presidenta municipal de Tampico
Un país en las manos del crimen organizado con el apoyo de los inútiles políticos.,2025-08-05T06:26:25Z,presidenta municipal de Tampico
Un país en las manos del crimen organizado con el apoyo de los inútiles políticos.,2025-08-05T06:26:25Z,Presidenta municipal de Tampico
😂😂😂😂😂😂 Claudia sheimbaum yo tengo otros datos eso no fue en México Tamaulipas es otro país 😂😂😂😂,2025-08-05T06:28:22Z,presidenta municipal de Tampico
😂😂😂😂😂😂 Claudia sheimbaum yo tengo otros datos eso no fue en México Tamaulipas es otro país 😂😂😂😂,2025-08-05T06:28:22Z,Presidenta municipal de Tampico
Esperemos que Claudia sheimbaum abra una carpeta de investigación 😂😂😂😂,2025-08-05T06:29:07Z,presidenta municipal de Tampico
Esperemos que Claudia sheimbaum abra una carpeta de investigación 😂😂😂😂,2025-08-05T06:29:07Z,Presidenta municipal de Tampico
Les hackear la imagen sólo se escucha la voz en el video 😱,2025-08-05T06:29:44Z,presidenta municipal de Tampico
Les hackear la imagen sólo se escucha la voz en el video 😱,2025-08-05T06:29:44Z,Presidenta municipal de Tampico
"Noticias falsas, la presidenta ya dijo que estamos rebosando de seguridad",2025-08-05T06:30:25Z,presidenta municipal de Tampico
"Noticias falsas, la presidenta ya dijo que estamos rebosando de seguridad",2025-08-05T06:30:25Z,Presidenta municipal de Tampico
Un día más en el mundo de narco morena,2025-08-05T06:30:39Z,presidenta municipal de Tampico
"Se hubieran dado abrazos, sigo esperando que los malos se vuelvan agricultores, como prometió el ente-loco",2025-08-05T06:30:39Z,presidenta municipal de Tampico
Un día más en el mundo de narco morena,2025-08-05T06:30:39Z,Presidenta municipal de Tampico
