comment_text,published_at,query
Sigue <br>HARFUCH sea incluido en esa lista <br>MARIO DELGADO <br>ALFONSO DURAZO <br>HERTZ Manero <br>Rubén Rocha Moya <br>Marina del pilar <br>Rocio NAHALE <br>Sheinbaun <br>Todos coludidos con AMLO <br>Y los Hijos de AMLO,2025-09-09T06:00:44Z,Gobierno de Tampico
Sigue <br>HARFUCH sea incluido en esa lista <br>MARIO DELGADO <br>ALFONSO DURAZO <br>HERTZ Manero <br>Rubén Rocha Moya <br>Marina del pilar <br>Rocio NAHALE <br>Sheinbaun <br>Todos coludidos con AMLO <br>Y los Hijos de AMLO,2025-09-09T06:00:44Z,gobierno de Tampico
DESDE HACE 100 AÑOS LO MISMO PERO AHORA PEOR QUE NUNCA CON ESTE GOBIERNO DE CUARTA LA 4T O MORENA HECHO POR EL PEJELAGARTO HDSP.....,2025-09-09T06:01:12Z,Gobierno de Tampico
DESDE HACE 100 AÑOS LO MISMO PERO AHORA PEOR QUE NUNCA CON ESTE GOBIERNO DE CUARTA LA 4T O MORENA HECHO POR EL PEJELAGARTO HDSP.....,2025-09-09T06:01:12Z,gobierno de Tampico
No mientas Ciro,2025-09-09T06:02:41Z,Gobierno de Tampico
No mientas Ciro,2025-09-09T06:02:41Z,gobierno de Tampico
"No que eran blancas palomitas, sin cola que les pisen, políticos mentirosos",2025-09-09T06:02:55Z,Gobierno de Tampico
"No que eran blancas palomitas, sin cola que les pisen, políticos mentirosos",2025-09-09T06:02:55Z,gobierno de Tampico
"Estas hablando el año 2019 , esto  acaba de pasar el año pasado y no soy morenita",2025-09-09T06:04:08Z,Gobierno de Tampico
"Estas hablando el año 2019 , esto  acaba de pasar el año pasado y no soy morenita",2025-09-09T06:04:08Z,gobierno de Tampico
Cheimbu la del Feis me bloqueó 2 teléfonos yo hago lo correcto la dueña del Feis le caigo mal está amafiada ella que según ella ayudeme😅,2025-09-09T06:05:11Z,gobierno de Tampico
Tiene metida ala mafia,2025-09-09T06:06:09Z,gobierno de Tampico
"Jajaja pura simulación, ahí tiene a Mario Delgado, Rocha Moya, Adán Augusto y no los atora.",2025-09-09T06:07:10Z,Gobierno de Tampico
"Jajaja pura simulación, ahí tiene a Mario Delgado, Rocha Moya, Adán Augusto y no los atora.",2025-09-09T06:07:10Z,gobierno de Tampico
"Gracias a amlo se empezo a atacar el huachicol...se ve que no tienen memoria, esto no sorprende el pais gobernado por mas de 70 años por el prian dejo in cochinero, que pensaban que se hiba acabar en un sexenio? Y lo que falta todavia... pero hay vamos poco apoco, solo que medios co estos solo les gusta tirar mierd..",2025-09-09T06:15:58Z,Gobierno de Tampico
"Gracias a amlo se empezo a atacar el huachicol...se ve que no tienen memoria, esto no sorprende el pais gobernado por mas de 70 años por el prian dejo in cochinero, que pensaban que se hiba acabar en un sexenio? Y lo que falta todavia... pero hay vamos poco apoco, solo que medios co estos solo les gusta tirar mierd..",2025-09-09T06:15:58Z,gobierno de Tampico
Falta que vengan por los de nuevo león <br>Hay un lugar que le llaman el saffi o algo así 😂,2025-09-09T06:18:32Z,gobierno de Tampico
"Obrador dijo: <br>&quot;Todos los negocios Jugosos de corrupción, tienen el visto bueno del presidente&quot; <br><br>Que bonito como arrestan chivos expiatorios,  y los Presidentes? Y los Gobernadores? Y los  jefes de FGR?",2025-09-09T06:20:34Z,Gobierno de Tampico
"Obrador dijo: <br>&quot;Todos los negocios Jugosos de corrupción, tienen el visto bueno del presidente&quot; <br><br>Que bonito como arrestan chivos expiatorios,  y los Presidentes? Y los Gobernadores? Y los  jefes de FGR?",2025-09-09T06:20:34Z,gobierno de Tampico
Excelente trabajo mi presidenta,2025-09-09T06:23:13Z,gobierno de Tampico
