Query_Str,Post_URL,Author_Name,Author_Web_Page_URL,Author_Handle,Verified_Status,UTC_Time,Ads,Tweet_Content,Post_ID,Tweet_URL,Reply_Count,Repost_Count,Like_Count,View_Count,Bookmark_Count,Tweet_Image_URL,Replying_to,Reply_to_Whom,Reply_to_Whom_URL,Reply_to_Whom_Username,Reply_to_Whom_Handle,Language,Type
(@@TampicoGob OR @@MonicaVTampico) min_replies:0 min_faves:0 min_retweets:0,https://x.com/search?q=(@@TampicoGob OR @@MonicaVTampico) min_replies:0 min_faves:0 min_retweets:0 until:2025-09-25 since:2025-09-24&src=typed_query,M,https://x.com/mbez95,mbez95,False,2025-09-24 16:59:24+00:00,False,Algo con estos sujetos que causan daños huyen y las autoridades no pueden o no quieren hacer algo.... mano dura para esta parásitos irresponsables conductores...@MonicaVTampico @TampicoGob @gobtam @adn40 @azucenau @Milenio @Reporteroszona @AztecaNoticias @aztecanoreste,1970895859102757130,https://x.com/mbez95/status/1970895859102757130,0,0,0,13,0,,True,mbez95,https://x.com/mbez95,Mónica Villarreal Anaya,mbez95,es,Top
(@@TampicoGob OR @@MonicaVTampico) min_replies:0 min_faves:0 min_retweets:0,https://x.com/search?q=(@@TampicoGob OR @@MonicaVTampico) min_replies:0 min_faves:0 min_retweets:0 until:2025-09-26 since:2025-09-25&src=typed_query,Ana Card.,https://x.com/AnaC8291079432,AnaC8291079432,False,2025-09-25 14:11:41+00:00,False,En el ojo del huracán otra vez la alcaldesa @MonicaVTampico sus funcionarios más cercanos utilizan vehículos oficiales para su diversión personal con bebidas alcohólicas y mujeres. 🤷🏻‍♀️ https://www.facebook.com/share/1BCEDxodGs/?mibextid=wwXIfr @gobtam @Claudiashein @Dr_AVillarreal #Tampico #Tamaulipas,1971216036235182395,https://x.com/AnaC8291079432/status/1971216036235182395,0,0,0,8,0,,False,,,,,es,Top
(@@TampicoGob OR @@MonicaVTampico) min_replies:0 min_faves:0 min_retweets:0,https://x.com/search?q=(@@TampicoGob OR @@MonicaVTampico) min_replies:0 min_faves:0 min_retweets:0 until:2025-09-26 since:2025-09-25&src=typed_query,VamosTampico,https://x.com/yosoytampico,yosoytampico,False,2025-09-25 14:58:31+00:00,False,"@MonicaVTampico Avenida Villa Hermosa entre calle 8, 9° y Calle 10A enfrente de la Primaria Eliseo Zamudio #Tampico hay unas planas camiones chatarras sin luces ni señalamientos. YA ANTERIORMENTE HUBO ACCIDENTES #Inseguridad @GobMunTampico @PCiviltampico @delenorte_tam",1971227823299047897,https://x.com/yosoytampico/status/1971227823299047897,0,0,0,9,0,,True,MonicaVTampico,https://x.com/MonicaVTampico,Mónica Villarreal Anaya,MonicaVTampico,es,Top
(@@TampicoGob OR @@MonicaVTampico) min_replies:0 min_faves:0 min_retweets:0,https://x.com/search?q=(@@TampicoGob OR @@MonicaVTampico) min_replies:0 min_faves:0 min_retweets:0 until:2025-09-26 since:2025-09-25&src=typed_query,VamosTampico,https://x.com/yosoytampico,yosoytampico,False,2025-09-25 15:01:36+00:00,False,@MonicaVTampico Colonia Villa Hermosa Calle 10a Colapso en alcantarillas provocan aguas negras ya esta saliendo de los registros de las casas agua negras @Comapa_Sur @delenorte_tam @GobMunTampico @Dr_AVillarreal,1971228598091854211,https://x.com/yosoytampico/status/1971228598091854211,0,0,0,7,0,,True,MonicaVTampico,https://x.com/MonicaVTampico,Mónica Villarreal Anaya,MonicaVTampico,es,Top
(@@TampicoGob OR @@MonicaVTampico) min_replies:0 min_faves:0 min_retweets:0,https://x.com/search?q=(@@TampicoGob OR @@MonicaVTampico) min_replies:0 min_faves:0 min_retweets:0 until:2025-09-26 since:2025-09-25&src=typed_query,VamosTampico,https://x.com/yosoytampico,yosoytampico,False,2025-09-25 15:02:53+00:00,False,Transporte Público #Tampico #Madero #Altamira Todo los de la ruta Altamira Tampico Altamira Madero y Pedrera Tampico Transportes Sin Ley #Transporte #Muertes #Accidentes #Tampico #Madero #Altamira @MonicaVTampico @GobCiudadMadero @GobAltamira4T @gobtam @PCTamaulipas,1971228924224119167,https://x.com/yosoytampico/status/1971228924224119167,0,1,1,43,0,,False,,,,,es,Top
(@@TampicoGob OR @@MonicaVTampico) min_replies:0 min_faves:0 min_retweets:0,https://x.com/search?q=(@@TampicoGob OR @@MonicaVTampico) min_replies:0 min_faves:0 min_retweets:0 until:2025-09-26 since:2025-09-25&src=typed_query,VamosTampico,https://x.com/yosoytampico,yosoytampico,False,2025-09-25 15:03:57+00:00,False,@MonicaVTampico @GobAltamira4T Sexta avenida (Av Armada d Mexico) #Tampico #Altamira hay unas planas camionetas chatarras sin luces ni señalamientos YA ANTERIORMENTE HUBO MUCHOS ACCIDENTES esperando q nuestras autoridades puedan ver esto se evite algún suceso accidente,1971229193167134986,https://x.com/yosoytampico/status/1971229193167134986,0,0,0,9,0,,True,MonicaVTampico,https://x.com/MonicaVTampico,Mónica Villarreal Anaya,MonicaVTampico,es,Top
(@@TampicoGob OR @@MonicaVTampico) min_replies:0 min_faves:0 min_retweets:0,https://x.com/search?q=(@@TampicoGob OR @@MonicaVTampico) min_replies:0 min_faves:0 min_retweets:0 until:2025-09-26 since:2025-09-25&src=typed_query,VamosTampico,https://x.com/yosoytampico,yosoytampico,False,2025-09-25 15:07:14+00:00,False,"@MonicaVTampico @Dr_AVillarreal #Tampico Colonia Villa Hermosa, Calle 10A, entre Ave. Villahermosa y Calle Divisoria Tampico Altamira Colapso en alcantarillas provocan hundimientos y baches en la Avenida VillaHermosa Divisoria Tampico Altamira Aguas negras @Comapa_Sur",1971230019080040950,https://x.com/yosoytampico/status/1971230019080040950,0,1,0,15,0,,True,MonicaVTampico,https://x.com/MonicaVTampico,Mónica Villarreal Anaya,MonicaVTampico,es,Top
(@@TampicoGob OR @@MonicaVTampico) min_replies:0 min_faves:0 min_retweets:0,https://x.com/search?q=(@@TampicoGob OR @@MonicaVTampico) min_replies:0 min_faves:0 min_retweets:0 until:2025-09-26 since:2025-09-25&src=typed_query,VamosTampico,https://x.com/yosoytampico,yosoytampico,False,2025-09-25 15:10:47+00:00,False,"Tampico Madero Altamira retiren todos los coches abandonados de las calles , avenidas, que Comapa arregle los hoyos que hacen y los dejan abiertos, obliguen a los propietarios de terrenos que los limpien @erasmoglz @MonicaVTampico @GobAltamira4T",1971230912307466545,https://x.com/yosoytampico/status/1971230912307466545,0,1,1,59,0,,False,,,,,es,Top
(@@TampicoGob OR @@MonicaVTampico) min_replies:0 min_faves:0 min_retweets:0,https://x.com/search?q=(@@TampicoGob OR @@MonicaVTampico) min_replies:0 min_faves:0 min_retweets:0 until:2025-09-26 since:2025-09-25&src=typed_query,VamosTampico,https://x.com/yosoytampico,yosoytampico,False,2025-09-25 15:12:02+00:00,False,"@MonicaVTampico @erasmoglz @GobAltamira4T Autoridades de Tampico Madero y Altamira no están haciendo nada por proteger vidas. Chequen velocidad, sin luces no tienen rótulos transporte Público si van drogados o alcohólicos. Eso causa Accidentes muertes @gobtam @PCTamaulipas",1971231225034703027,https://x.com/yosoytampico/status/1971231225034703027,0,0,0,11,0,,True,MonicaVTampico,https://x.com/MonicaVTampico,Mónica Villarreal Anaya,MonicaVTampico,es,Top
(@@TampicoGob OR @@MonicaVTampico) min_replies:0 min_faves:0 min_retweets:0,https://x.com/search?q=(@@TampicoGob OR @@MonicaVTampico) min_replies:0 min_faves:0 min_retweets:0 until:2025-09-26 since:2025-09-25&src=typed_query,Tampicosos 🌶️🔥,https://x.com/TampicososTV,TampicososTV,False,2025-09-25 22:41:11+00:00,False,"No puedes transitar una avenida completa sin baches, camellones con pasto sin cortar y fugas de agua, tampoco puedes disfrutar de los parques y jardines… qué te hace pensar que @MonicaVTampico se va a tomar el tiempo de una fiesta con una logística de meses?",1971344258918645929,https://x.com/TampicososTV/status/1971344258918645929,2,0,6,299,0,https://pbs.twimg.com/media/G1ufJ5OWAAAER4O.jpg,False,,,,,es,Top
