"path";"id";"parent_id";"level";"object_id";"object_type";"object_key";"query_status";"query_time";"query_type";"message";"created_time";"like_count";"comment_count";"error.message"
"964877296876825_1411074380582452/964877296876825_1404401874583036";"19307";"19269";"1";"964877296876825_1404401874583036";"data";"data.*";"fetched (200)";"2025-11-15 03:21:41.142726";"Facebook:/<page-id>/posts";"Recibimos una visita muy especial de la maestra Sara y Lisi que nos trajeron una hermosa muñeca representativa de nuestro estado, con su tradicional cuera tamaulipeca.";"2025-11-07T00:48:13+0000";"";"";""
"964877296876825_1411074380582452/964877296876825_1404401874583036/964877296876825_1404401874583036";"27097";"19307";"2";"964877296876825_1404401874583036";"data";"data.*";"fetched (200)";"2025-11-15 03:28:53.302308";"Facebook:/<post-id>/comments";"";"2025-11-07T00:58:30+0000";"1";"0";""
"monicavtampico/964877296876825_1404401874583036/964877296876825_1404401874583036";"27097";"19307";"2";"964877296876825_1404401874583036";"data";"data.*";"fetched (200)";"2025-11-15 03:28:53.302308";"Facebook:/<post-id>/comments";"";"2025-11-07T00:58:30+0000";"1";"0";""
"964877296876825_1411074380582452/474462132406835_122180490560546197";"19403";"19270";"1";"474462132406835_122180490560546197";"data";"data.*";"fetched (200)";"2025-11-15 03:21:45.058659";"Facebook:/<page-id>/posts";"¡En Tampico seguimos cumpliendo con la educación!  Gracias al compromiso de nuestra presidenta, Lic. Mónica Villarreal y a través de la Dirección de Educación hoy realizamos la segunda entrega de materiales y apoyos de infraestructura para fortalecer las escuelas de nuestra ciudad.   En esta ocasión 22 planteles públicos uno de preescolar, 16 primarias, una secundaria y cuatro oficinas de supervisión escolar reciben pintura, impermeabilizante, equipos de aire acondicionado y mobiliario, beneficiando directamente a 4,696 alumnas y alumnos tampiqueños.  Reafirmamos que nuestro compromiso con la educación es prioridad y que trabajamos de la mano con maestras, maestros y padres de familia para que nuestras niñas, niños y jóvenes cuenten con espacios dignos, seguros y cómodos.";"2025-11-07T21:22:51+0000";"";"";""
"964877296876825_1411074380582452/474462132406835_122180490560546197/474462132406835_122180490560546197";"28367";"19403";"2";"474462132406835_122180490560546197";"data";"data.*";"fetched (200)";"2025-11-15 03:29:52.241859";"Facebook:/<post-id>/comments";"";"2025-11-07T21:40:23+0000";"2";"0";""
"TampicoGob/474462132406835_122180490560546197/474462132406835_122180490560546197";"28367";"19403";"2";"474462132406835_122180490560546197";"data";"data.*";"fetched (200)";"2025-11-15 03:29:52.241859";"Facebook:/<post-id>/comments";"";"2025-11-07T21:40:23+0000";"2";"0";""
"964877296876825_1411074380582452/474462132406835_656587134056385";"19401";"19270";"1";"474462132406835_656587134056385";"data";"data.*";"fetched (200)";"2025-11-15 03:21:45.058659";"Facebook:/<page-id>/posts";"Rueda de prensa Torneo de embarcación desde Casa de la Naturaleza";"2025-11-07T22:14:54+0000";"";"";""
"964877296876825_1411074380582452/474462132406835_656587134056385/474462132406835_656587134056385";"28352";"19401";"2";"474462132406835_656587134056385";"data";"data.*";"fetched (200)";"2025-11-15 03:29:50.929443";"Facebook:/<post-id>/comments";"Exelente";"2025-11-07T23:24:10+0000";"1";"0";""
"TampicoGob/474462132406835_656587134056385/474462132406835_656587134056385";"28352";"19401";"2";"474462132406835_656587134056385";"data";"data.*";"fetched (200)";"2025-11-15 03:29:50.929443";"Facebook:/<post-id>/comments";"Exelente";"2025-11-07T23:24:10+0000";"1";"0";""
"964877296876825_1411074380582452/964877296876825_1402722958084261";"19318";"19269";"1";"964877296876825_1402722958084261";"data";"data.*";"fetched (200)";"2025-11-15 03:21:41.142726";"Facebook:/<page-id>/posts";"";"2025-11-05T00:24:00+0000";"";"";""
"964877296876825_1411074380582452/964877296876825_1402722958084261/964877296876825_1402722958084261";"27542";"19318";"2";"964877296876825_1402722958084261";"data";"data.*";"fetched (200)";"2025-11-15 03:29:03.755402";"Facebook:/<post-id>/comments";"";"2025-11-05T18:08:38+0000";"0";"0";""
"monicavtampico/964877296876825_1402722958084261/964877296876825_1402722958084261";"27542";"19318";"2";"964877296876825_1402722958084261";"data";"data.*";"fetched (200)";"2025-11-15 03:29:03.755402";"Facebook:/<post-id>/comments";"";"2025-11-05T18:08:38+0000";"0";"0";""
"964877296876825_1411074380582452/474462132406835_122180513312546197";"19399";"19270";"1";"474462132406835_122180513312546197";"data";"data.*";"fetched (200)";"2025-11-15 03:21:45.058659";"Facebook:/<page-id>/posts";"@direccion de cultura Tampico";"2025-11-08T02:11:23+0000";"";"";""
"964877296876825_1411074380582452/964877296876825_1405831181106772";"19303";"19269";"1";"964877296876825_1405831181106772";"data";"data.*";"fetched (200)";"2025-11-15 03:21:41.142726";"Facebook:/<page-id>/posts";"";"2025-11-08T16:53:28+0000";"";"";""
"964877296876825_1411074380582452/964877296876825_1405831181106772/964877296876825_1405831181106772";"26961";"19303";"2";"964877296876825_1405831181106772";"data";"data.*";"fetched (200)";"2025-11-15 03:28:47.474516";"Facebook:/<post-id>/comments";"";"2025-11-08T16:57:10+0000";"1";"0";""
"monicavtampico/964877296876825_1405831181106772/964877296876825_1405831181106772";"26961";"19303";"2";"964877296876825_1405831181106772";"data";"data.*";"fetched (200)";"2025-11-15 03:28:47.474516";"Facebook:/<post-id>/comments";"";"2025-11-08T16:57:10+0000";"1";"0";""
"964877296876825_1411074380582452/474462132406835_122180625638546197";"19395";"19270";"1";"474462132406835_122180625638546197";"data";"data.*";"fetched (200)";"2025-11-15 03:21:44.096659";"Facebook:/<page-id>/posts";"¡Seguimos construyendo bienestar para todas y todos!   Gracias a la visión humanista de nuestra presidenta municipal, Lic. Mónica Villarreal Anaya, realizamos con gran éxito la Jornada de Bienestar en la colonia Villa Hermosa, donde acercamos servicios y programas municipales, estatales y federales a las familias tampiqueñas.   Durante la jornada, las y los asistentes recibieron atención y orientación por parte de diversas dependencias.  Además, nos llenó de orgullo entregar 3 diplomas de secundaria, gracias al apoyo del ITEA, impulsando a más personas a continuar con su educación y desarrollo personal. 🎓  ¡Gracias a todas y todos los que formaron parte de esta jornada!  Tampoco te cuida.🙌🏻";"2025-11-08T23:14:27+0000";"";"";""
"964877296876825_1411074380582452/474462132406835_122180625638546197/474462132406835_122180625638546197";"28209";"19395";"2";"474462132406835_122180625638546197";"data";"data.*";"fetched (200)";"2025-11-15 03:29:47.023171";"Facebook:/<post-id>/comments";"Excelente jornada Secretaría de Bienestar Social Tampico y la presidenta  Mónica Villarreal 👏👏👏";"2025-11-08T23:20:42+0000";"1";"0";""
"TampicoGob/474462132406835_122180625638546197/474462132406835_122180625638546197";"28209";"19395";"2";"474462132406835_122180625638546197";"data";"data.*";"fetched (200)";"2025-11-15 03:29:47.023171";"Facebook:/<post-id>/comments";"Excelente jornada Secretaría de Bienestar Social Tampico y la presidenta  Mónica Villarreal 👏👏👏";"2025-11-08T23:20:42+0000";"1";"0";""
"964877296876825_1411074380582452/964877296876825_1405087287847828";"19304";"19269";"1";"964877296876825_1405087287847828";"data";"data.*";"fetched (200)";"2025-11-15 03:21:41.142726";"Facebook:/<page-id>/posts";"";"2025-11-07T20:05:22+0000";"";"";""
