tipo,url,post_url_padre,fecha,texto,num_comentarios
POST,https://facebook.com/monicavtampico/posts/pfbid02K53nZaggbaV6NpWsuZiavCqJ2CoycTxE8FN1HU6kNCsdJpLpa39wA1dCDhje5Umvl,,Desconocida,"Cifras recientes de la UNAM muestran que el 18.3% de su plantilla (casi 8 mil docentes) tiene 30 años o más de antigüedad, quienes incluso podrían jubilarse, pero no lo… Ver más",16
COMENTARIO,https://facebook.com/monicavtampico/posts/pfbid02K53nZaggbaV6NpWsuZiavCqJ2CoycTxE8FN1HU6kNCsdJpLpa39wA1dCDhje5Umvl,https://facebook.com/monicavtampico/posts/pfbid02K53nZaggbaV6NpWsuZiavCqJ2CoycTxE8FN1HU6kNCsdJpLpa39wA1dCDhje5Umvl,Desconocida,"Felicidades, alcaldesa!!! Hoy vivimos en una ciudad segura, atractiva para la inversión extranjera, y eso se refleja en nuevas oportunidades para nuestras empresas, incluso las más pequeñas!!",
COMENTARIO,https://facebook.com/monicavtampico/posts/pfbid02K53nZaggbaV6NpWsuZiavCqJ2CoycTxE8FN1HU6kNCsdJpLpa39wA1dCDhje5Umvl,https://facebook.com/monicavtampico/posts/pfbid02K53nZaggbaV6NpWsuZiavCqJ2CoycTxE8FN1HU6kNCsdJpLpa39wA1dCDhje5Umvl,Desconocida,Contamos con mano de obra calificada y estamos listos para ocupar las vacantes bien pagadas que siguen llegando a Tampico.,
COMENTARIO,https://facebook.com/monicavtampico/posts/pfbid02K53nZaggbaV6NpWsuZiavCqJ2CoycTxE8FN1HU6kNCsdJpLpa39wA1dCDhje5Umvl,https://facebook.com/monicavtampico/posts/pfbid02K53nZaggbaV6NpWsuZiavCqJ2CoycTxE8FN1HU6kNCsdJpLpa39wA1dCDhje5Umvl,Desconocida,Muy buena noticia desarrollo tecnología y empleo a la zona que vengan muchos más,
COMENTARIO,https://facebook.com/monicavtampico/posts/pfbid02K53nZaggbaV6NpWsuZiavCqJ2CoycTxE8FN1HU6kNCsdJpLpa39wA1dCDhje5Umvl,https://facebook.com/monicavtampico/posts/pfbid02K53nZaggbaV6NpWsuZiavCqJ2CoycTxE8FN1HU6kNCsdJpLpa39wA1dCDhje5Umvl,Desconocida,En hora buena mi Alcaldesa,
COMENTARIO,https://facebook.com/monicavtampico/posts/pfbid02K53nZaggbaV6NpWsuZiavCqJ2CoycTxE8FN1HU6kNCsdJpLpa39wA1dCDhje5Umvl,https://facebook.com/monicavtampico/posts/pfbid02K53nZaggbaV6NpWsuZiavCqJ2CoycTxE8FN1HU6kNCsdJpLpa39wA1dCDhje5Umvl,Desconocida,bienvenida la inversión,
COMENTARIO,https://facebook.com/monicavtampico/posts/pfbid02K53nZaggbaV6NpWsuZiavCqJ2CoycTxE8FN1HU6kNCsdJpLpa39wA1dCDhje5Umvl,https://facebook.com/monicavtampico/posts/pfbid02K53nZaggbaV6NpWsuZiavCqJ2CoycTxE8FN1HU6kNCsdJpLpa39wA1dCDhje5Umvl,Desconocida,Relaciones publicas que traen empleo a Tampico,
COMENTARIO,https://facebook.com/monicavtampico/posts/pfbid02K53nZaggbaV6NpWsuZiavCqJ2CoycTxE8FN1HU6kNCsdJpLpa39wA1dCDhje5Umvl,https://facebook.com/monicavtampico/posts/pfbid02K53nZaggbaV6NpWsuZiavCqJ2CoycTxE8FN1HU6kNCsdJpLpa39wA1dCDhje5Umvl,Desconocida,Que bien,
COMENTARIO,https://facebook.com/monicavtampico/posts/pfbid02K53nZaggbaV6NpWsuZiavCqJ2CoycTxE8FN1HU6kNCsdJpLpa39wA1dCDhje5Umvl,https://facebook.com/monicavtampico/posts/pfbid02K53nZaggbaV6NpWsuZiavCqJ2CoycTxE8FN1HU6kNCsdJpLpa39wA1dCDhje5Umvl,Desconocida,Qué bien,
COMENTARIO,https://facebook.com/monicavtampico/posts/pfbid02K53nZaggbaV6NpWsuZiavCqJ2CoycTxE8FN1HU6kNCsdJpLpa39wA1dCDhje5Umvl,https://facebook.com/monicavtampico/posts/pfbid02K53nZaggbaV6NpWsuZiavCqJ2CoycTxE8FN1HU6kNCsdJpLpa39wA1dCDhje5Umvl,Desconocida,Excelente,
COMENTARIO,https://facebook.com/monicavtampico/posts/pfbid02K53nZaggbaV6NpWsuZiavCqJ2CoycTxE8FN1HU6kNCsdJpLpa39wA1dCDhje5Umvl,https://facebook.com/monicavtampico/posts/pfbid02K53nZaggbaV6NpWsuZiavCqJ2CoycTxE8FN1HU6kNCsdJpLpa39wA1dCDhje5Umvl,Desconocida,!!! Felicidades !!!,
COMENTARIO,https://facebook.com/monicavtampico/posts/pfbid02K53nZaggbaV6NpWsuZiavCqJ2CoycTxE8FN1HU6kNCsdJpLpa39wA1dCDhje5Umvl,https://facebook.com/monicavtampico/posts/pfbid02K53nZaggbaV6NpWsuZiavCqJ2CoycTxE8FN1HU6kNCsdJpLpa39wA1dCDhje5Umvl,Desconocida,EXCELENTE PROFESORA,
COMENTARIO,https://facebook.com/monicavtampico/posts/pfbid02K53nZaggbaV6NpWsuZiavCqJ2CoycTxE8FN1HU6kNCsdJpLpa39wA1dCDhje5Umvl,https://facebook.com/monicavtampico/posts/pfbid02K53nZaggbaV6NpWsuZiavCqJ2CoycTxE8FN1HU6kNCsdJpLpa39wA1dCDhje5Umvl,Desconocida,"Hoy me reuní con Nicolas Mac Ferran, Director Nacional en México de SBM Offshore, empresa holandesa que ha decidido instalarse en Tampico para dar servicio a Woodside Energy durante los próximos 27 años. En la reunión nos acompañaron también Juan Ortega y la Directora de Desarrollo Económico, Mtra. Nora Alejandra Izaguirre Acevedo. Su llegada representa más empleos especializados, mayor impulso a la economía y nuevas oportunidades de desarrollo sostenible en nuestra zona. Que una empresa internacional nos elija confirma que Tampico es una ciudad segura, competitiva y lista para recibir más inversión. Tampico Va con Todos.",
COMENTARIO,https://facebook.com/monicavtampico/posts/pfbid02K53nZaggbaV6NpWsuZiavCqJ2CoycTxE8FN1HU6kNCsdJpLpa39wA1dCDhje5Umvl,https://facebook.com/monicavtampico/posts/pfbid02K53nZaggbaV6NpWsuZiavCqJ2CoycTxE8FN1HU6kNCsdJpLpa39wA1dCDhje5Umvl,Desconocida,"En la reunión nos acompañaron también Juan Ortega y la Directora de Desarrollo Económico, Mtra. Nora Alejandra Izaguirre Acevedo.",
