2026-04-11 05:38:34 | INFO | radar.facebook_institutional_extractor | Inicio de corrida | run_id=fb_w10_backfill_fix week_name=2026-03-02_semana_02marzo_08marzo_26 output_root=/home/emilio/Documentos/RAdAR/Datos_RAdAR/Facebook week_name_mode=exact_range
2026-04-11 05:38:34 | INFO | radar.facebook_institutional_extractor | Parametros efectivos | since=2026-03-02 until=2026-03-08 pages=2 seed=42 weekly_cap=100 max_posts=8 max_comments_per_post=25 include_replies=True dry_run=False
2026-04-11 05:38:34 | INFO | radar.facebook_institutional_extractor | Paginas institucionales objetivo | pages=MonicaVillarreal:964877296876825:monicavtampico, GobiernoTampico:474462132406835:tampicogob
2026-04-11 05:38:34 | INFO | radar.facebook_institutional_extractor | Procesando pagina 1/2 | page_id=964877296876825 page_label=MonicaVillarreal page_handle=monicavtampico
2026-04-11 05:38:34 | INFO | radar.facebook_institutional_extractor | Descubriendo posts candidatos | page_id=964877296876825 page_label=MonicaVillarreal results_limit=100 since=2026-03-02 until=2026-03-08
2026-04-11 05:40:08 | INFO | radar.facebook_institutional_extractor | Posts actor completado | page_id=964877296876825 status=SUCCEEDED usage_usd=0.1060 items=26
2026-04-11 05:40:08 | INFO | radar.facebook_institutional_extractor | Posts seleccionados por sampling | seleccionados=8 candidatos=26 regla=temporal_even_spacing_by_created_time_with_seed_tiebreak
2026-04-11 05:40:08 | INFO | radar.facebook_institutional_extractor | Bajando comentarios | page_id=964877296876825 post_id=1499387931751096 requested=25 remaining_page_cap=100 include_replies=True
2026-04-11 05:40:24 | INFO | radar.facebook_institutional_extractor | Comentarios materializados | page_id=964877296876825 post_id=1499387931751096 status=selected_post_with_comments usage_usd=0.0010 rows=6 enriched=False
2026-04-11 05:40:24 | INFO | radar.facebook_institutional_extractor | Bajando comentarios | page_id=964877296876825 post_id=1498439475179275 requested=25 remaining_page_cap=94 include_replies=True
2026-04-11 05:40:38 | INFO | radar.facebook_institutional_extractor | Comentarios materializados | page_id=964877296876825 post_id=1498439475179275 status=selected_post_with_comments usage_usd=0.0000 rows=4 enriched=False
2026-04-11 05:40:38 | INFO | radar.facebook_institutional_extractor | Bajando comentarios | page_id=964877296876825 post_id=1497775401912349 requested=25 remaining_page_cap=90 include_replies=True
2026-04-11 05:40:55 | INFO | radar.facebook_institutional_extractor | Comentarios materializados | page_id=964877296876825 post_id=1497775401912349 status=selected_post_with_comments usage_usd=0.0010 rows=10 enriched=False
2026-04-11 05:40:55 | INFO | radar.facebook_institutional_extractor | Bajando comentarios | page_id=964877296876825 post_id=1497203041969585 requested=25 remaining_page_cap=80 include_replies=True
2026-04-11 05:41:11 | INFO | radar.facebook_institutional_extractor | Comentarios materializados | page_id=964877296876825 post_id=1497203041969585 status=selected_post_with_comments usage_usd=0.0010 rows=7 enriched=False
2026-04-11 05:41:11 | INFO | radar.facebook_institutional_extractor | Bajando comentarios | page_id=964877296876825 post_id=1497073228649233 requested=25 remaining_page_cap=73 include_replies=True
2026-04-11 05:41:24 | INFO | radar.facebook_institutional_extractor | Comentarios materializados | page_id=964877296876825 post_id=1497073228649233 status=selected_post_with_comments usage_usd=0.0010 rows=4 enriched=False
2026-04-11 05:41:24 | INFO | radar.facebook_institutional_extractor | Bajando comentarios | page_id=964877296876825 post_id=1496339982055891 requested=25 remaining_page_cap=69 include_replies=True
2026-04-11 05:41:38 | INFO | radar.facebook_institutional_extractor | Comentarios materializados | page_id=964877296876825 post_id=1496339982055891 status=selected_post_with_comments usage_usd=0.0010 rows=8 enriched=False
2026-04-11 05:41:38 | INFO | radar.facebook_institutional_extractor | Bajando comentarios | page_id=964877296876825 post_id=1495684045454818 requested=25 remaining_page_cap=61 include_replies=True
