"path";"id";"parent_id";"level";"object_id";"object_type";"object_key";"query_status";"query_time";"query_type";"message";"created_time";"like_count";"comment_count";"error.message"
"964877296876825_1123385406018019/964877296876825_1118367256519834";"38";"1";"1";"964877296876825_1118367256519834";"data";"data.*";"fetched (200)";"2025-11-14 07:56:22.072345";"Facebook:/<page-id>/posts";"Hoy participé en la Mesa de Seguridad y Construcción de Paz en #CdMadero, donde evaluamos estrategias y resultados en temas importantes como el Transporte Público y Tránsito y Vialidad.  Junto con los alcaldes de Ciudad Madero, Erasmo González Robledo, y de Altamira, Armando Martínez Manríquez, trabajamos para fortalecer la seguridad y el bienestar de nuestra zona conurbada.  ¡Seguimos adelante, trabajando unidos por un Tampico más seguro para todas y todos!   #TampicoTeCuida #PactoDelSur";"2024-10-23T17:10:26+0000";"";"";""
"964877296876825_1123385406018019/964877296876825_1118367256519834/964877296876825_1118367256519834";"1133";"38";"2";"964877296876825_1118367256519834";"data";"data.*";"fetched (200)";"2025-11-14 07:58:04.376133";"Facebook:/<post-id>/comments";"";"2024-10-23T17:13:50+0000";"0";"0";""
"964877296876825_1123385406018019/964877296876825_1117781729911720";"41";"1";"1";"964877296876825_1117781729911720";"data";"data.*";"fetched (200)";"2025-11-14 07:56:22.072345";"Facebook:/<page-id>/posts";"Hoy nos reunimos con los alcaldes de Altamira, Armando Martínez Manríquez y de Cd. Madero, Erasmo González Robledo, junto con representantes del Relleno Sanitario del Ejido Francisco Medrano de Altamira, para mejorar los tiempos y procesos del servicio de recolección de basura.   ¡Trabajamos para que nuestra ciudad sea más limpia y eficiente! 💪♻️   #TampicoVaConTodos #PactoDelSur";"2024-10-22T20:47:32+0000";"";"";""
"964877296876825_1123385406018019/964877296876825_1117781729911720/964877296876825_1117781729911720";"1177";"41";"2";"964877296876825_1117781729911720";"data";"data.*";"fetched (200)";"2025-11-14 07:58:05.507960";"Facebook:/<post-id>/comments";"exelente  compromiso de los tres municipios en beneficio  de la ciudadanía,  saludos y bendiciones";"2024-10-22T20:51:13+0000";"0";"0";""
"964877296876825_1123385406018019/964877296876825_1119419986414561";"26";"1";"1";"964877296876825_1119419986414561";"data";"data.*";"fetched (200)";"2025-11-14 07:56:21.422081";"Facebook:/<page-id>/posts";"¡Feliz cumpleaños, Alejandro Fernández Marcos!   Hoy celebramos a una persona comprometida, visionaria y clave en el desarrollo de recursos hídricos para el bienestar social. Gracias por tu liderazgo como Director de Administración y Finanzas, y por tu dedicación incansable en pro del desarrollo social. ¡Que este nuevo año te traiga grandes logros y momentos inolvidables! 🥂🌟";"2024-10-25T14:00:09+0000";"";"";""
"964877296876825_1123385406018019/964877296876825_1119419986414561/964877296876825_1119419986414561";"919";"26";"2";"964877296876825_1119419986414561";"data";"data.*";"fetched (200)";"2025-11-14 07:57:55.984306";"Facebook:/<post-id>/comments";"FELICIDADES Y BENDICIONES ALEJANDRO🙏🙏🙏👏👏👏🥰";"2024-10-25T14:02:55+0000";"0";"0";""
"964877296876825_1123385406018019/964877296876825_1121265469563346";"20";"1";"1";"964877296876825_1121265469563346";"data";"data.*";"fetched (200)";"2025-11-14 07:56:21.422081";"Facebook:/<page-id>/posts";"En Tampico nos sentimos muy contentos de haber sido sede de uno de los torneos internacionales de tenis más importantes del circuito de la WTA.   Felicito al comité organizador y a cada una de las talentosas jugadoras que durante una semana dieron muestra de su gran calidad.   Particularmente felicito a la campeona del Abierto de Tenis Tampico 2024 Marina Stakusic de Canadá. Su persistencia y talento son ejemplo para alcanzar las metas.  Agradezco a los miles de tampiqueños y visitantes que hicieron del Abierto Tampico todo un éxito.  ¡Muchas Felicidades!  #TampicoVaConTodos #AbiertoTampico2024";"2024-10-27T18:27:06+0000";"";"";""
"964877296876825_1123385406018019/964877296876825_1121265469563346/964877296876825_1121265469563346";"862";"20";"2";"964877296876825_1121265469563346";"data";"data.*";"fetched (200)";"2025-11-14 07:57:53.829906";"Facebook:/<post-id>/comments";"muchas felicidades 🏆";"2024-10-27T21:43:04+0000";"0";"0";""
"964877296876825_1123385406018019/474462132406835_122115401996546197";"145";"2";"1";"474462132406835_122115401996546197";"data";"data.*";"fetched (200)";"2025-11-14 07:56:24.461625";"Facebook:/<page-id>/posts";"";"2024-10-28T23:31:02+0000";"";"";""
"964877296876825_1123385406018019/474462132406835_122115178568546197";"156";"2";"1";"474462132406835_122115178568546197";"data";"data.*";"fetched (200)";"2025-11-14 07:56:25.011643";"Facebook:/<page-id>/posts";"Continuamos con el Festival Internacional en la Costa del Seno Mexicano, con la presentación de Mitos, Fábulas y Leyendas de la Huasteca desde Barco Museo del Niño, con el Colectivo Cultural ‘Raíces Huastecas’.   En Tampico impulsamos el arte en todas sus expresiones con la iniciativa del Gobernador Américo Villarreal Anaya para llevar la cultura a todas y todos.   #TampicoVaConTodos";"2024-10-27T22:36:26+0000";"";"";""
"964877296876825_1123385406018019/474462132406835_122114275478546197";"176";"2";"1";"474462132406835_122114275478546197";"data";"data.*";"fetched (200)";"2025-11-14 07:56:25.655772";"Facebook:/<page-id>/posts";"Inicia Campaña de Arborización en Tampico 🌳  Comprometidos con la protección del medio ambiente, ha comenzado una amplia campaña de arborización en el Bulevar Perimetral “Fidel Velázquez”. 🌱  Yahaira Sarahí Cruz Aguilar, Directora de Ecología, destacó que, por instrucciones de nuestra Presidenta Municipal Mónica Zacil Villarreal Anaya, se sembrarán árboles en distintas zonas del municipio.   Hoy se plantaron los primeros 160 árboles de palo de rosa , con el objetivo de mitigar los efectos del cambio climático y mejorar nuestras áreas verdes.  #TampicoVaConTodos";"2024-10-23T23:31:25+0000";"";"";""
"964877296876825_1123385406018019/474462132406835_122114275478546197/474462132406835_122114275478546197";"3082";"176";"2";"474462132406835_122114275478546197";"data";"data.*";"fetched (200)";"2025-11-14 07:59:25.377200";"Facebook:/<post-id>/comments";"*¡Muy bien!* _Árboles_, no palmas, ¡árboles! Bien, la carretera hacia Mante, en los camellones.";"2024-10-26T22:05:48+0000";"0";"0";""
"TampicoGob/474462132406835_122114275478546197/474462132406835_122114275478546197";"3082";"176";"2";"474462132406835_122114275478546197";"data";"data.*";"fetched (200)";"2025-11-14 07:59:25.377200";"Facebook:/<post-id>/comments";"*¡Muy bien!* _Árboles_, no palmas, ¡árboles! Bien, la carretera hacia Mante, en los camellones.";"2024-10-26T22:05:48+0000";"0";"0";""
