"path";"id";"parent_id";"level";"object_id";"object_type";"object_key";"query_status";"query_time";"query_type";"message";"created_time";"like_count";"comment_count";"error.message"
"964877296876825_1144224297267463/474462132406835_122116234370546197";"215";"2";"1";"474462132406835_122116234370546197";"data";"data.*";"fetched (200)";"2025-11-14 08:04:41.718816";"Facebook:/<page-id>/posts";"📅 ¡Actividades Culturales en Tampico! Viernes, 1 de Noviembre de 2024  🎭 Teatro Infantil: “Risakikuru” 📍 Teatro Experimental ⏰ 10:00 hrs.  👟 Infantil: “El Viaje Lustroso de los Zapatos Rotos - El Éxodo de los Pequeños Zapatos” 📍 Museo del Niño ⏰ 10:00 hrs.  📚 Literatura: “Sembrando Letras - Festival Literario” 📍 Plaza Hijas de Tampico ⏰ 11:00 hrs.  🎶 Música: “Viaje en el Tiempo, del Barroco al Día de Hoy” Orquesta Sinfónica Comunitaria de Tampico 📍 Teatro Metropolitano ⏰ 19:00 hrs.  🎶 Música: “Entre Montañas - Macbeth” 📍 Plaza Principal ⏰ 20:00 hrs.  💀 Concurso de Altares 📍 Estacionamiento Mercado Ávila Camacho ⏰ 18:00 hrs.  🎬 Noche de Cine, Verbena y Presentaciones Artísticas 📍 Tamul Arenal ⏰ 18:00 hrs.  👻 Desfile de Catrinas y Catrines 📍 Panteón Municipal ⏰ 19:00 hrs.  ¡Acompáñanos y disfruta de un día lleno de cultura, tradición y entretenimiento para toda la familia!";"2024-11-01T15:15:02+0000";"";"";""
"964877296876825_1144224297267463/474462132406835_122116234370546197/474462132406835_122116234370546197";"2584";"215";"2";"474462132406835_122116234370546197";"data";"data.*";"fetched (200)";"2025-11-14 08:06:53.228898";"Facebook:/<post-id>/comments";"Nancy Piña";"2024-11-01T23:19:45+0000";"0";"0";""
"TampicoGob/474462132406835_122116234370546197/474462132406835_122116234370546197";"2584";"215";"2";"474462132406835_122116234370546197";"data";"data.*";"fetched (200)";"2025-11-14 08:06:53.228898";"Facebook:/<post-id>/comments";"Nancy Piña";"2024-11-01T23:19:45+0000";"0";"0";""
"964877296876825_1144224297267463/474462132406835_122117050160546197";"192";"2";"1";"474462132406835_122117050160546197";"data";"data.*";"fetched (200)";"2025-11-14 08:04:41.718816";"Facebook:/<page-id>/posts";"Concluye el 22º Festival Internacional en la Costa del Seno Mexicano, llenando de arte y cultura cada rincón de Tamaulipas y en especial Tampico. Durante diez días, miles de personas disfrutaron de música, danza, teatro y más, superando 460 actividades gratuitas.  Gracias al impulso del Gobernador Américo Villarreal y de nuestra Presidenta municipal Mónica Villarreal Anaya, ¡Tampico sobresale como la Capital de las Huastecas! 🌟 #TampicoVaConTodos #TamaulipasEsCultura";"2024-11-05T01:51:47+0000";"";"";""
"964877296876825_1144224297267463/474462132406835_122117050160546197/474462132406835_122117050160546197";"2534";"192";"2";"474462132406835_122117050160546197";"data";"data.*";"fetched (200)";"2025-11-14 08:06:45.191485";"Facebook:/<post-id>/comments";"💯💯💯";"2024-11-05T03:23:41+0000";"0";"0";""
"TampicoGob/474462132406835_122117050160546197/474462132406835_122117050160546197";"2534";"192";"2";"474462132406835_122117050160546197";"data";"data.*";"fetched (200)";"2025-11-14 08:06:45.191485";"Facebook:/<post-id>/comments";"💯💯💯";"2024-11-05T03:23:41+0000";"0";"0";""
"964877296876825_1144224297267463/474462132406835_122116736258546197";"201";"2";"1";"474462132406835_122116736258546197";"data";"data.*";"fetched (200)";"2025-11-14 08:04:41.718816";"Facebook:/<page-id>/posts";"🎤  ¡Cierre de lujo en el Festival Internacional en la Costa del Seno Mexicano aquí en #Tampico! ✨  Este domingo, acompáñanos a disfrutar de una noche inolvidable con las voces de Ramón Vargas y Leticia de Altamirano, dos grandes talentos de talla mundial.   El Teatro Principal del METRO Tam será el escenario perfecto para celebrar la riqueza cultural de nuestra región. ¡No te lo pierdas!  🎟️ Entrada gratuita  #TamaulipasesCultura #FICSM2024 #TampicoVaConTodos";"2024-11-03T14:02:55+0000";"";"";""
"964877296876825_1123385406018019/474462132406835_122115880934546197";"131";"2";"1";"474462132406835_122115880934546197";"data";"data.*";"fetched (200)";"2025-11-14 07:56:24.461625";"Facebook:/<page-id>/posts";"El espectáculo ¡A Corazón Abierto!, directamente desde Colombia, dejó una huella vibrante en nuestro XXII Festival Internacional en la Costa del Seno Mexicano. Con la fusión de danza contemporánea, folclórica, urbana y moderna, los asistentes disfrutaron de una presentación única que resaltó el poder y la esencia de este país sudamericano.  Agradecemos la iniciativa del Gobernador Américo Villarreal Anaya, de impulsar la cultura y el arte para todas y todos a lo largo y ancho de nuestro bello estado.  #TamaulipasEsCultura #TampicoVaConTodos";"2024-10-31T03:54:00+0000";"";"";""
"964877296876825_1144224297267463/474462132406835_122116499648546197";"207";"2";"1";"474462132406835_122116499648546197";"data";"data.*";"fetched (200)";"2025-11-14 08:04:41.718816";"Facebook:/<page-id>/posts";"📣 ¡Desde Corea hasta Tampico! 🌍  Nos enorgullece presentar a MUJER DANCE COMPANY con su espectáculo `Walk, Look and We Stand’ en el marco del XXII Festival Internacional en la Costa del Seno Mexicano.   Una fusión impresionante de tradición y modernidad, donde los elementos coreanos cobran vida a través de objetos como calcetines, campanas de viento e instrumentos de percusión. Un viaje único que expresa la transformación de la danza coreana, combinando lo tradicional con lo contemporáneo.  📅 Fecha: 02 de noviembre 🕗 Hora: 20:00 h 📍 Lugar: Teatro Principal, Espacio Cultural Metropolitano.  No te pierdas esta experiencia cultural internacional. ¡Te esperamos! 🎭  #TampicoVaConTodos #SecretaríaDeCultura #TamaulipasEsCultura #22FICSM";"2024-11-02T16:09:42+0000";"";"";""
"964877296876825_1123385406018019/964877296876825_1122934476063112";"9";"1";"1";"964877296876825_1122934476063112";"data";"data.*";"fetched (200)";"2025-11-14 07:56:21.422081";"Facebook:/<page-id>/posts";"Feliz cumpleaños al Ing. Francisco Javier Fernández Garza, un empresario comprometido y consejero de gran influencia en CANACO y el turismo de Tampico. Que este año esté lleno de éxitos y oportunidades para continuar aportando al desarrollo de nuestra ciudad. ¡Gracias por tu pasión y dedicación! Que sea un gran año, ingeniero.";"2024-10-30T14:00:07+0000";"";"";""
