"path";"id";"parent_id";"level";"object_id";"object_type";"object_key";"query_status";"query_time";"query_type";"message";"created_time";"like_count";"comment_count";"error.message"
"964877296876825_1144224297267463/474462132406835_122122298996546197";"102";"2";"1";"474462132406835_122122298996546197";"data";"data.*";"fetched (200)";"2025-11-14 08:04:37.365260";"Facebook:/<page-id>/posts";"*Instalan en Tampico Módulo de Credencialización IMSS-Bienestar*  A fin de coadyuvar con el trámite de credencialización del programa IMSS-Bienestar del Gobierno Federal, el Ayuntamiento de Tampico a través de la Secretaría de Bienestar Social, instaló en la Plaza de Armas, un módulo de atención para todas aquellas personas que deseen inscribirse en el mismo y que no sean derecho-habientes de alguna institución de salud pública.  Omar Fabbri Flores, titular de la dependencia, dio a conocer que esta actividad fue instruida por la Presidenta Municipal, Mónica Zacil Villarreal Anaya, a fin de colaborar con el programa federal y facilitar el trámite a la población más vulnerable.  Explicó que como requisitos, los interesados deben presentar identificación oficial; clave de su CURP, correo electrónico y comprobante de domicilio; y en el caso de los adultos mayores, de preferencia acudir acompañados de alguna otra persona.  Añadió que dicho registro también se lleva a cabo en el Centro de Salud de Tampico y en el Hospital General Carlos Canseco, además de las Jornadas Asistenciales que el municipio lleva a cabo periódicamente en las diferentes colonias del municipio.  Fabbri Flores resaltó, que los beneficiados en este programa podrán acceder a un servicio de salud de calidad y gratuito, de ahí la importancia de llevar a cabo el trámite correspondiente, ya sea de manera presencial o en línea.  Explicó que IMSS-Bienestar está dirigido a la población en general que no es derechohabiente del Seguro Social, ISSSTE o de cualquier otra institución de salud pública, de tal manera que tengan acceso a la atención oportuna y gratuita en el Hospital Carlos Canseco o en los Centros de Salud ubicados en el municipio y zona conurbada.  El funcionario, dijo por último que a nivel nacional ya se cuenta con un registro aproximado de 35 millones de personas que han ingresado a este programa prioritario del Gobierno Federal.";"2024-11-28T20:30:54+0000";"";"";""
"964877296876825_1144224297267463/474462132406835_122122298996546197/474462132406835_122122298996546197";"2269";"102";"2";"474462132406835_122122298996546197";"data";"data.*";"fetched (200)";"2025-11-14 08:06:09.675205";"Facebook:/<post-id>/comments";"Muy bien gracias";"2024-11-29T02:33:47+0000";"0";"0";""
"TampicoGob/474462132406835_122122298996546197/474462132406835_122122298996546197";"2269";"102";"2";"474462132406835_122122298996546197";"data";"data.*";"fetched (200)";"2025-11-14 08:06:09.675205";"Facebook:/<post-id>/comments";"Muy bien gracias";"2024-11-29T02:33:47+0000";"0";"0";""
"964877296876825_1164273328595893/964877296876825_1146336567056236";"85";"1";"1";"964877296876825_1146336567056236";"data";"data.*";"fetched (200)";"2025-11-14 08:08:06.222444";"Facebook:/<page-id>/posts";"Hoy tuve el gusto de reunirme con los locatarios del Mercado de Mariscos “La Puntilla”  Durante este encuentro, escuché con atención sus necesidades y preocupaciones. Entre los temas que me plantearon se encuentran la solución a problemas de drenaje, la regularización de pagos con COMAPA y CFE, un operativo para evitar que se estacionen en las zonas peatonales del mercado, así como la designación de un administrador, un velador y la construcción de baños.  Mi compromiso como presidenta es atender estas peticiones y trabajar de la mano con ustedes para fortalecer este importante espacio que es parte del corazón de nuestra economía local. ¡Juntos podemos lograr grandes cosas para Tampico!   #TampicoVaConTodos";"2024-12-03T01:16:45+0000";"";"";""
"964877296876825_1164273328595893/964877296876825_1146336567056236/964877296876825_1146336567056236";"1812";"85";"2";"964877296876825_1146336567056236";"data";"data.*";"fetched (200)";"2025-11-14 08:09:41.937017";"Facebook:/<post-id>/comments";"EXELENTE AMIGA...SIGUE ASÍ CON TU HUMILDAD DE SIEMPRE...BENDICIONES DESDE LA HEROICA VILLA DE GUEMEZ...";"2024-12-03T01:36:26+0000";"0";"0";""
"monicavtampico/964877296876825_1146336567056236/964877296876825_1146336567056236";"1812";"85";"2";"964877296876825_1146336567056236";"data";"data.*";"fetched (200)";"2025-11-14 08:09:41.937017";"Facebook:/<post-id>/comments";"EXELENTE AMIGA...SIGUE ASÍ CON TU HUMILDAD DE SIEMPRE...BENDICIONES DESDE LA HEROICA VILLA DE GUEMEZ...";"2024-12-03T01:36:26+0000";"0";"0";""
"964877296876825_1164273328595893/964877296876825_1145673360455890";"86";"1";"1";"964877296876825_1145673360455890";"data";"data.*";"fetched (200)";"2025-11-14 08:08:06.222444";"Facebook:/<page-id>/posts";"Antes de que concluya este domingo, comparto las siguientes fotografías que son alusivas a El Día Mundial del VIH que se celebra el 1 de diciembre, fecha en la que se diagnosticó por primera vez la enfermedad en 1981.   Nuestra fachada del edificio municipal de gobierno está iluminada de color rojo, en solidaridad con todas las personas con VIH.   La Administración que honrosamente encabezo, impulsa decididamente la concientización de la comunidad para prevenir el VIH y apoyar a quienes lo padecen #TampicoTeCuida #díainternacionaldelvih #TampicoVaConTodos";"2024-12-02T01:53:19+0000";"";"";""
"964877296876825_1164273328595893/964877296876825_1145673360455890/964877296876825_1145673360455890";"1823";"86";"2";"964877296876825_1145673360455890";"data";"data.*";"fetched (200)";"2025-11-14 08:09:42.352326";"Facebook:/<post-id>/comments";"🩷";"2024-12-02T02:05:32+0000";"0";"0";""
"monicavtampico/964877296876825_1145673360455890/964877296876825_1145673360455890";"1823";"86";"2";"964877296876825_1145673360455890";"data";"data.*";"fetched (200)";"2025-11-14 08:09:42.352326";"Facebook:/<post-id>/comments";"🩷";"2024-12-02T02:05:32+0000";"0";"0";""
"964877296876825_1144224297267463/474462132406835_122122285184546197";"104";"2";"1";"474462132406835_122122285184546197";"data";"data.*";"fetched (200)";"2025-11-14 08:04:37.365260";"Facebook:/<page-id>/posts";"*Refuerzan Protección a las Mujeres y las Familias en la Zona Conurbada*  Nuevamente Tampico fue sede de la reunión semanal de la Mesa de Seguridad y Construcción de Paz, dedicada al análisis y desarrollo de estrategias de protección a la mujer, los menores y la familia.  El encuentro fue encabezado por el Secretario General del Ayuntamiento de Tampico, Carlos García Porres, en representación de la Presidenta Municipal Mónica Zacil Villarreal Anaya; así como sus homólogos de Ciudad Madero, Héctor Marín Rodríguez; y de Altamira, José Francisco Pérez Ramírez; además de representantes del Ejército Mexicano, Guardia Nacional, Sistemas DIF de la zona conurbada y las titulares del Instituto municipal de la Mujer, Amalia Ávalos y de la Dirección de Atención al Delito, Libby Zacil Adame Estrada.   Durante la reunión efectuada en la Sala de Cabildo, García Porres, señaló que la instrucción de la alcaldesa es la de continuar con las acciones y programas destinados a la prevención de delitos que afecten a la familia, mujeres, niños y adolescentes.  Comentó que se trabaja de manera institucional uniendo los esfuerzos de diversas dependencias para detectar las causas y factores de riesgo que propician violencia de género y doméstica, a fin de emprender acciones precisas para disminuir este fenómeno.  Recordó que todos los jueves, cada una de las instituciones participantes, da a conocer las estrategias realizadas durante la semana para detectar y combatir los casos que se presenten en la zona conurbada de tal manera que se fortalezcan las acciones y se replanteen objetivos.   Por su parte, la titular del Instituto Municipal de la Mujer, Amalia Avalos, indicó que cada día se atiende un promedio de cinco denuncias de mujeres que son violentadas a manos de sus parejas, sin embargo subrayó que la mayoría de las mujeres no interponen una denuncia formal por miedo, por lo que se está trabajando en sensibilizar a la sociedad en la cultura de la denuncia.  Finalmente, el Secretario del Ayuntamiento porteño, dijo que continuarán desarrollando acciones coordinadas con las autoridades federales, estatales, fuerzas armadas y demás dependencias, para atender los delitos que pongan en riesgo la seguridad de los grupos vulnerables.";"2024-11-28T19:33:36+0000";"";"";""
"964877296876825_1144224297267463/474462132406835_122122285184546197/474462132406835_122122285184546197";"2274";"104";"2";"474462132406835_122122285184546197";"data";"data.*";"fetched (200)";"2025-11-14 08:06:10.375345";"Facebook:/<post-id>/comments";"Excelente";"2024-11-28T22:22:16+0000";"0";"0";""
"TampicoGob/474462132406835_122122285184546197/474462132406835_122122285184546197";"2274";"104";"2";"474462132406835_122122285184546197";"data";"data.*";"fetched (200)";"2025-11-14 08:06:10.375345";"Facebook:/<post-id>/comments";"Excelente";"2024-11-28T22:22:16+0000";"0";"0";""
"964877296876825_1144224297267463/964877296876825_1142611160762110";"15";"1";"1";"964877296876825_1142611160762110";"data";"data.*";"fetched (200)";"2025-11-14 08:04:34.371327";"Facebook:/<page-id>/posts";"¡Muchas felicidades, Armando Javier Zertuche Zuani!   Hoy celebramos con gusto tu cumpleaños, deseándote salud, éxito y muchas bendiciones. Gracias por tu compromiso y trabajo al servicio de nuestra comunidad como Diputado Local de la LXVI Legislatura de Tamaulipas.  Que este nuevo año de vida venga lleno de logros personales y profesionales. ¡Disfruta mucho tu día en compañía de tus seres queridos!   Un fuerte abrazo.";"2024-11-27T14:00:42+0000";"";"";""
"964877296876825_1144224297267463/964877296876825_1142611160762110/964877296876825_1142611160762110";"668";"15";"2";"964877296876825_1142611160762110";"data";"data.*";"fetched (200)";"2025-11-14 08:05:20.806231";"Facebook:/<post-id>/comments";"Muchas felicidades Amigo saludos 🤗";"2024-11-27T14:01:58+0000";"0";"0";""
"964877296876825_1144224297267463/474462132406835_122121837032546197";"110";"2";"1";"474462132406835_122121837032546197";"data";"data.*";"fetched (200)";"2025-11-14 08:04:37.365260";"Facebook:/<page-id>/posts";"Entrega de patrullas refuerza la seguridad en el sur de Tamaulipas  En representación de nuestra Presidenta Municipal, Lic. Mónica Zacil Villarreal Anaya, el Secretario Técnico del Ayuntamiento, José Luis Celestino, participó en la Mesa de Construcción de Paz y Seguridad realizada en el municipio de Altamira.  Durante el evento, el alcalde Armando Martínez Manríquez entregó las primeras cinco patrullas a la Guardia Estatal, como parte del compromiso del Pacto del Sur, en colaboración con Tampico y Ciudad Madero, para dotar de 30 unidades a esta corporación policiaca.  Este esfuerzo conjunto busca fortalecer la seguridad y tranquilidad de las familias en nuestra región. ¡Juntos, con el apoyo del gobernador Américo Villarreal construimos un sur más seguro para todos!  #TampicoTeCuida #SeguridadParaTodos #PactoDelSur";"2024-11-26T17:14:55+0000";"";"";""
"964877296876825_1164273328595893/474462132406835_122123186816546197";"198";"2";"1";"474462132406835_122123186816546197";"data";"data.*";"fetched (200)";"2025-11-14 08:08:08.951893";"Facebook:/<page-id>/posts";"*Pone en Marcha Mónica Villarreal Operativo de Seguridad Tampico Te Cuida 2024*  _Más de 150 elementos fortalecerán las acciones de vigilancia en zonas estratégicas_  Garantizar la seguridad de la población, el comercio y turismo, mediante acciones coordinadas de las diferentes dependencias de seguridad y protección civil, es el objetivo fundamental del operativo ""Navidad Segura, Tampico Te Cuida 2024"", puesto en marcha este día por la Presidenta municipal Mónica Zacil Villarreal Anaya.  Al dar el banderazo de inicio a este esfuerzo conjunto, en la velaria del parque urbano de la Laguna del Carpintero, la alcaldesa porteña, acompañada del Mayor de Infantería Seth Misael Vargas Arana, representante del 15o Batallón de Infantería; del vicealmirante Juan Carlos Vera Salinas de la Primera Región Naval Militar; de la Delegada Regional de Seguridad Pública, zona sur, Consuelo Hernández Tovar; y del Secretario General del Ayuntamiento, Carlos García Porres, señaló que del 2 de diciembre al 8 de enero de 2025, 150 elementos de las diferentes dependencias involucradas, efectuarán tareas de vigilancia en los diversos sectores de la ciudad.  “Hoy iniciamos el operativo Navidad Segura Tampico Te Cuida, que desde este día y hasta la primera semana de enero próximo, coordinará los esfuerzos de las instituciones de seguridad pública estatal y federales, además de la participación de cuerpos de auxilio y de las delegaciones de tránsito estatal y municipal”, explicó.  En el acto, al que asistieron también, representantes de Capitanía Regional del Puerto de Tampico, Protección Civil municipal; así como la representación de la Mesa Ciudadana de Seguridad y Justicia; además de Síndicos, Regidores e integrantes del Gabinete municipal, la primera autoridad, dijo que “Tampico te Cuida"", es la estrategia general implementada para atender las necesidades de seguridad entre el sector comercial; residencial y turístico del municipio.   Mónica Villarreal subrayó que mediante este operativo se demuestra el interés de su administración por brindar seguridad a la población tampiqueña y surtamaulipeca, a través de la coordinación institucional de las dependencias involucradas, brindado certidumbre a establecimientos comerciales y de servicios; además de garantizar el flujo vehicular y las  condiciones de tranquilidad para toda la población y visitantes.  Agradeció y valoró la participación del Ejército Mexicano, Secretaría de Marina, Guardia Nacional, Guardia Estatal, Tránsito Municipal, Protección Civil, Cruz Roja Mexicana, Sistema DIF; C-5, Cuerpo de Bomberos, y el Instituto Nacional de Migración, por formar parte de este esfuerzo conjunto.  Finalmente, Villarreal Anaya, detalló que el operativo incluye recorridos de vigilancia en unidades motrices y a pie en zonas comerciales y de mayor afluencia; seguridad vial; además de la guardia permanente en los módulos de seguridad ubicados en los accesos a la ciudad tanto en el puente Tampico, como en la carretera Tampico Valles a la altura del puente de el Moralillo.";"2024-12-02T19:52:02+0000";"";"";""
"964877296876825_1144224297267463/474462132406835_122122498304546197";"97";"2";"1";"474462132406835_122122498304546197";"data";"data.*";"fetched (200)";"2025-11-14 08:04:37.365260";"Facebook:/<page-id>/posts";"*Encabeza Mónica Villarreal Jornada del Bienestar en El Golfo*  Cientos de habitantes y vecinos de la colonia Guadalupe Victoria fueron beneficiados en la nueva jornada del bienestar que concentró en la plaza de El Golfo a más de 42 módulos de atención y servicio de las dependencias municipales, estatales y federales.  Al encabezar los trabajos, la Presidenta municipal Mónica Villarreal Anaya destacó que las jornadas del bienestar forman parte del sentido humanista de una administración que coloca en el centro de sus acciones, el bienestar de la población, principalmente de la más vulnerable.  En el lugar, la alcaldesa, acompañada de los miembros del Cabildo, entregó las primeras cinco prótesis dentales a beneficiarios del programa de salud bucal, ""Sonrisas del Bienestar"" que el Ayuntamiento porteño lleva a cabo en coordinación con la Universidad Autónoma de Tamaulipas.  Villarreal Anaya destacó que a través de las unidades médicas dentales instaladas en el sector, se brinda consulta a la población en general con diversos servicios, por parte de médicos de la Facultad de Odontología.  Precisó que en la colonia se entregarán alrededor de 50 placas dentales a personas que fueron diagnósticas y tratadas en estas unidades.  ""Con este apoyo los habitantes de este sector  van a estar contentos de tener su dentadura completa; y hoy damos testimonio de los beneficios de este gran convenio que suscribimos con la Universidad Autónoma de Tamaulipas, para atender y mejorar la salud bucal de la población. En estas unidades médicas, los pacientes reciben servicios diversos que van desde la limpieza dental, hasta la fabricación de placas dentales"", señaló.  Mónica Villarreal reiteró su compromiso de seguir ampliando los beneficios que se brindan en las Jornadas asistenciales que cada dos semanas lleva a cabo su administración en coordinación con las dependencias del Gobierno Estatal y los programas de Bienestar Federal.  ""En esta ocasión, decidimos llevar a cabo esta jornada de Bienestar para los vecinos de esta colonia como lo hacemos cada quince días, como una muestra del compromiso de este gobierno con las necesidades de la gente"".  Durante la jornada se ofrecieron además, los servicios de atención médica, consulta oftalmológica, atención ciudadana en módulos de Comapa, Registro Civil, Oficina Fiscal del Estado, e IMSS Bienestar; además de la entrega gratuita de frutas y verduras; venta de productos de la canasta básica a bajo costo; corte de cabello, y mesas de atención de los programas federales.";"2024-11-29T21:54:22+0000";"";"";""
"964877296876825_1144224297267463/474462132406835_122122498304546197/474462132406835_122122498304546197";"2257";"97";"2";"474462132406835_122122498304546197";"data";"data.*";"fetched (200)";"2025-11-14 08:06:07.890832";"Facebook:/<post-id>/comments";"Gran equipo #TampicoVaConTodos 😉👍";"2024-11-29T22:26:58+0000";"0";"0";""
"TampicoGob/474462132406835_122122498304546197/474462132406835_122122498304546197";"2257";"97";"2";"474462132406835_122122498304546197";"data";"data.*";"fetched (200)";"2025-11-14 08:06:07.890832";"Facebook:/<post-id>/comments";"Gran equipo #TampicoVaConTodos 😉👍";"2024-11-29T22:26:58+0000";"0";"0";""
"964877296876825_1144224297267463/964877296876825_1141928544163705";"17";"1";"1";"964877296876825_1141928544163705";"data";"data.*";"fetched (200)";"2025-11-14 08:04:34.371327";"Facebook:/<page-id>/posts";"Quiero enviar mis felicitaciones a Cintia Josefina Del Castillo Benavides, Directora del DIF San Nicolás, en su cumpleaños.  Gracias por tu dedicación y compromiso con las familias y comunidades que más lo necesitan. Que este nuevo año esté lleno de éxitos, salud y felicidad.";"2024-11-26T14:00:38+0000";"";"";""
"964877296876825_1144224297267463/964877296876825_1141928544163705/964877296876825_1141928544163705";"682";"17";"2";"964877296876825_1141928544163705";"data";"data.*";"fetched (200)";"2025-11-14 08:05:21.333304";"Facebook:/<post-id>/comments";"Felicidades";"2024-11-26T14:10:43+0000";"0";"0";""
"964877296876825_1144224297267463/964877296876825_1143294017360491";"10";"1";"1";"964877296876825_1143294017360491";"data";"data.*";"fetched (200)";"2025-11-14 08:04:34.371327";"Facebook:/<page-id>/posts";"Hoy quiero enviar un afectuoso saludo y mis felicitaciones a la Lic. María Eugenia González Ramos, Coordinadora de la Comisión de Violencia Familiar y Delitos Sexuales de la Mesa Ciudadana de Seguridad y Justicia en el sur de Tamaulipas.  Su dedicación y compromiso con la construcción de una sociedad más justa y segura son ejemplo e inspiración para todos. Que este nuevo año de vida esté lleno de salud, éxito y felicidad.   ¡Muchas felicidades!";"2024-11-28T14:00:41+0000";"";"";""
"964877296876825_1144224297267463/964877296876825_1143294017360491/964877296876825_1143294017360491";"585";"10";"2";"964877296876825_1143294017360491";"data";"data.*";"fetched (200)";"2025-11-14 08:05:18.138368";"Facebook:/<post-id>/comments";"felicidades 🎂 🎊";"2024-11-28T16:23:34+0000";"0";"0";""
"964877296876825_1144224297267463/474462132406835_122122324208546197";"101";"2";"1";"474462132406835_122122324208546197";"data";"data.*";"fetched (200)";"2025-11-14 08:04:37.365260";"Facebook:/<page-id>/posts";"Inicia Tampico gestión de recursos ante Hacienda para proyectos de inversión   Ciudad de México, 28 Noviembre.-La Presidenta Municipal de Tampico, Mónica Zacil Villarreal Anaya se reunió con funcionarios de la Secretaría de Hacienda y Crédito Público (SHCP), para iniciar el proceso de gestión de recursos de la cartera de proyectos prioritarios, que el gobierno local pretende ejecutar el próximo año.   La Alcaldesa tuvo un encuentro de trabajo el Director General de Recursos Financieros de la SHCP, Gabriel Emmanuel Flores Banda, así como con otros funcionarios de las áreas de Programación, Presupuesto y Control Inmobiliario.   Villarreal Anaya estuvo acompañada por la Secretaria de Finanzas, Silvia Santamaría Góngora; la Directora de Desarrollo Económico, Nora Izaguirre Acevedo; los secretarios de Bienestar, Omar Fabri y de Obras Públicas, Rogelio Ontiveros, así como por el director de Asuntos Internacionales del Ayuntamiento, Porfirio Ramos Ramiro.   La reunión entre autoridades municipales y funcionarios de Hacienda fue para conocer los lineamientos, efectuar el análisis y posterior registro de los proyectos de la cartera de inversión, con los que se buscará generar un mayor desarrollo social y económico en Tampico.   Villarreal Anaya señaló que el Gobierno Municipal tiene 30 planes estratégicos que abarcan diversos rubros, pero que para 2025 se buscarán recursos en el Presupuesto de Egresos de la Federación para los primeros 10, que requieren de un monto superior a los mil 800 millones de pesos.   “Estamos alineados con los objetivos de nuestra Presidenta Claudia Sheinbaum, para trabajar en proyectos que generen bienestar para el pueblo, atendiendo sus necesidades y administrando los recursos con honestidad y transparencia”, agregó.   En las oficinas de la Dirección General de Recursos Financieros (DGRF) ubicadas en Palacio Nacional, el titular de la dependencia Gabriel Emmanuel Flores presentó los requerimientos que deben entregarse para iniciar la gestión de recursos, así como la inscripción de la cartera de proyectos que planea realizar el gobierno de la ciudad.   “Tenemos mucha confianza en que recibiremos el apoyo de la Secretaría de Hacienda para poder realizar estos proyectos estratégicos con los que queremos impulsar para el bienestar del pueblo de Tampico”, añadió.   El paquete incluye programas sociales, de hacer obras de infraestructura en colonias con índices de alta marginación, equipamiento urbano, así como de implementar proyectos que fomenten la convivencia familiar, el deporte y la integración.   Durante la sesión en la que se analizaron los detalles de los proyectos participaron Roberto Báez Huerta, Director de Administración del Presupuesto y Control Inmobiliario; Manuel San Juan Hernández, Director de Programación y Geovani Pineda Torres, Subdirector de Análisis Programático Presupuestario de la DGRF.";"2024-11-29T00:23:30+0000";"";"";""
"964877296876825_1144224297267463/474462132406835_122122324208546197/474462132406835_122122324208546197";"2265";"101";"2";"474462132406835_122122324208546197";"data";"data.*";"fetched (200)";"2025-11-14 08:06:09.357528";"Facebook:/<post-id>/comments";"👏🏻👏🏻👏🏻";"2024-11-29T01:20:43+0000";"0";"0";""
"TampicoGob/474462132406835_122122324208546197/474462132406835_122122324208546197";"2265";"101";"2";"474462132406835_122122324208546197";"data";"data.*";"fetched (200)";"2025-11-14 08:06:09.357528";"Facebook:/<post-id>/comments";"👏🏻👏🏻👏🏻";"2024-11-29T01:20:43+0000";"0";"0";""
