comment_text,published_at,query
"Que raro, propósito de año nuevo.<br>Seguir siendo mierda<br>Sin cambios<br>..... Típico.....",2025-01-07T06:01:56Z,Gobierno de Tampico
"Que raro, propósito de año nuevo.<br>Seguir siendo mierda<br>Sin cambios<br>..... Típico.....",2025-01-07T06:01:56Z,gobierno de Tampico
"Sra. Póngase a Trabajar,haga quesadillas y verá que le va a ir Bien y no que así robando .Que es eso?",2025-01-07T07:04:02Z,Gobierno de Tampico
"Sra. Póngase a Trabajar,haga quesadillas y verá que le va a ir Bien y no que así robando .Que es eso?",2025-01-07T07:04:02Z,gobierno de Tampico
Por dios que poca verguenza de esta gente tan pobre de corazon🤦🏽‍♂️🤦🏽‍♂️🤦🏽‍♂️,2025-01-07T07:05:02Z,Gobierno de Tampico
Por dios que poca verguenza de esta gente tan pobre de corazon🤦🏽‍♂️🤦🏽‍♂️🤦🏽‍♂️,2025-01-07T07:05:02Z,gobierno de Tampico
"Esas son las que dicen no compres adopta😂 pero van a robar el perro fino para venderlo, es bien facil robarselo ya criado y venderlo",2025-01-07T07:06:49Z,Gobierno de Tampico
"Esas son las que dicen no compres adopta😂 pero van a robar el perro fino para venderlo, es bien facil robarselo ya criado y venderlo",2025-01-07T07:06:49Z,gobierno de Tampico
Inche Vieja mejor póngase a trabajar para tener dinero. <br>Pobre BB 😢 gracias por regresar al BB con su mamá y bien lindo . <br><br>El 🐕 es perfecto solo tiene un defecto.....muy grande confiar en el humano. Cómo se hacercan con la ladrona 🤬😘,2025-01-07T08:46:27Z,Gobierno de Tampico
Inche Vieja mejor póngase a trabajar para tener dinero. <br>Pobre BB 😢 gracias por regresar al BB con su mamá y bien lindo . <br><br>El 🐕 es perfecto solo tiene un defecto.....muy grande confiar en el humano. Cómo se hacercan con la ladrona 🤬😘,2025-01-07T08:46:27Z,gobierno de Tampico
"Me preguntó por que los dueños no denunciaron a la tipa si ya la tiene grabada, ya esta excibida en las redes sociales ni nada, ni sabemos su paradero actual",2025-01-07T09:38:06Z,Gobierno de Tampico
"Me preguntó por que los dueños no denunciaron a la tipa si ya la tiene grabada, ya esta excibida en las redes sociales ni nada, ni sabemos su paradero actual",2025-01-07T09:38:06Z,gobierno de Tampico
Infelíz,2025-01-07T12:55:47Z,Gobierno de Tampico
Infelíz,2025-01-07T12:55:47Z,gobierno de Tampico
HDSPM,2025-01-07T13:20:08Z,Gobierno de Tampico
HDSPM,2025-01-07T13:20:08Z,gobierno de Tampico
A la cárcel,2025-01-07T13:28:11Z,Gobierno de Tampico
A la cárcel,2025-01-07T13:28:11Z,gobierno de Tampico
Ya lo dijo amlo Pena de muerte a secuestradores... 😡☠️,2025-01-07T14:02:59Z,Gobierno de Tampico
Ya lo dijo amlo Pena de muerte a secuestradores... 😡☠️,2025-01-07T14:02:59Z,gobierno de Tampico
"Si no la meten a la cárcel por ese robo, al rato se roba un niño, así empiezan, de mi comentario se van a acordar cuando eso suceda, no se necesita ser adivino, de cual será su siguiente paso",2025-01-07T14:03:12Z,Gobierno de Tampico
"Si no la meten a la cárcel por ese robo, al rato se roba un niño, así empiezan, de mi comentario se van a acordar cuando eso suceda, no se necesita ser adivino, de cual será su siguiente paso",2025-01-07T14:03:12Z,gobierno de Tampico
"Que hermoso perrito tan lindo, que señora tan nefasta 🫤",2025-01-07T16:09:34Z,Gobierno de Tampico
"Que hermoso perrito tan lindo, que señora tan nefasta 🫤",2025-01-07T16:09:34Z,gobierno de Tampico
Nombre dios mío ya hasta los peludos no se salvan SÁLVAME 🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣,2025-01-07T16:16:47Z,Gobierno de Tampico
Nombre dios mío ya hasta los peludos no se salvan SÁLVAME 🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣,2025-01-07T16:16:47Z,gobierno de Tampico
"Miren a tv azteca ,😂😂😂😂prefiere hablar basura que ,alludar a la comunidad.",2025-01-07T16:23:15Z,Gobierno de Tampico
"Miren a tv azteca ,😂😂😂😂prefiere hablar basura que ,alludar a la comunidad.",2025-01-07T16:23:15Z,gobierno de Tampico
De 60 no es información correcta,2025-01-07T17:09:49Z,Gobierno de Tampico
De 60 no es información correcta,2025-01-07T17:09:49Z,gobierno de Tampico
Y la ladron . A la carcel.. a la gente que conosca a la rata den información. Direccion . Nombre. A la carcel. Pues es capas de robarles.. ustedes dicen ..,2025-01-07T17:10:00Z,Gobierno de Tampico
Y la ladron . A la carcel.. a la gente que conosca a la rata den información. Direccion . Nombre. A la carcel. Pues es capas de robarles.. ustedes dicen ..,2025-01-07T17:10:00Z,gobierno de Tampico
Okey que bueno persona la que lo compro pero también que tonta la señora ni pa robar sirbe porque la vieron 😅😅😅 que bueno,2025-01-07T18:44:37Z,Gobierno de Tampico
Okey que bueno persona la que lo compro pero también que tonta la señora ni pa robar sirbe porque la vieron 😅😅😅 que bueno,2025-01-07T18:44:37Z,gobierno de Tampico
Y como recoje las coronas después <br>Jajjjajaja quería sacar para seguir la peda,2025-01-07T18:58:36Z,Gobierno de Tampico
Y como recoje las coronas después <br>Jajjjajaja quería sacar para seguir la peda,2025-01-07T18:58:36Z,gobierno de Tampico
Por favor agarren la rata,2025-01-07T19:09:45Z,Gobierno de Tampico
Por favor agarren la rata,2025-01-07T19:09:45Z,gobierno de Tampico
Mal dita.,2025-01-07T19:17:08Z,Gobierno de Tampico
Mal dita.,2025-01-07T19:17:08Z,gobierno de Tampico
Ojalá aya sido detenida!!,2025-01-07T19:27:27Z,Gobierno de Tampico
Ojalá aya sido detenida!!,2025-01-07T19:27:27Z,gobierno de Tampico
Carcel por un año a esa ladrona y una advertencia a los dueños para que tengan mas cuidado con los animales.,2025-01-07T19:28:35Z,Gobierno de Tampico
Carcel por un año a esa ladrona y una advertencia a los dueños para que tengan mas cuidado con los animales.,2025-01-07T19:28:35Z,gobierno de Tampico
Que mala,2025-01-07T19:36:15Z,Gobierno de Tampico
Que mala,2025-01-07T19:36:15Z,gobierno de Tampico
Me dan 4sco la gente R4T3r4🤢😡🤮,2025-01-07T19:38:19Z,Gobierno de Tampico
Me dan 4sco la gente R4T3r4🤢😡🤮,2025-01-07T19:38:19Z,gobierno de Tampico
Ladronaaaa,2025-01-07T19:45:01Z,Gobierno de Tampico
Ladronaaaa,2025-01-07T19:45:01Z,gobierno de Tampico
"Infeliz hija dp, pnche worda 🪳 malpa rida. La pobre perrita se queda inquieta sin su cachorrito🤬",2025-01-07T19:49:35Z,Gobierno de Tampico
