Query_Str,Post_URL,Author_Name,Author_Web_Page_URL,Author_Handle,Verified_Status,UTC_Time,Ads,Tweet_Content,Post_ID,Tweet_URL,Reply_Count,Repost_Count,Like_Count,View_Count,Bookmark_Count,Tweet_Image_URL,Replying_to,Reply_to_Whom,Reply_to_Whom_URL,Reply_to_Whom_Username,Reply_to_Whom_Handle,Language,Type
(@@TampicoGob OR @@MonicaVTampico) min_replies:0 min_faves:0 min_retweets:0,https://x.com/search?q=(@@TampicoGob OR @@MonicaVTampico) min_replies:0 min_faves:0 min_retweets:0 until:2025-01-29 since:2025-01-28&src=typed_query,Alcaldes de México,https://x.com/AlcaldesMexico,AlcaldesMexico,True,2025-01-28 13:45:00+00:00,False,"Hoy en #SolucionesParaGobernar, nos acompaña @MonicaVTampico, Presidenta Municipal de Tampico, #Tamaulipas. ¡No te lo pierdas!",1884236234987561126,https://x.com/AlcaldesMexico/status/1884236234987561126,0,1,0,146,0,https://pbs.twimg.com/media/GiUo-1OWcAAMFG0.jpg,False,,,,,es,Top
(@@TampicoGob OR @@MonicaVTampico) min_replies:0 min_faves:0 min_retweets:0,https://x.com/search?q=(@@TampicoGob OR @@MonicaVTampico) min_replies:0 min_faves:0 min_retweets:0 until:2025-01-29 since:2025-01-28&src=typed_query,Alcaldes de México,https://x.com/AlcaldesMexico,AlcaldesMexico,True,2025-01-28 14:29:00+00:00,False,"#SolucionesParaGobernar comienza en 60 minutos, nos acompaña @MonicaVTampico, Presidenta Municipal de Tampico, #Tamaulipas. ¡Te esperamos!",1884247307664965807,https://x.com/AlcaldesMexico/status/1884247307664965807,0,0,0,98,0,https://pbs.twimg.com/media/GiUpMsSXYAAlPjC.jpg,False,,,,,es,Top
(@@TampicoGob OR @@MonicaVTampico) min_replies:0 min_faves:0 min_retweets:0,https://x.com/search?q=(@@TampicoGob OR @@MonicaVTampico) min_replies:0 min_faves:0 min_retweets:0 until:2025-01-29 since:2025-01-28&src=typed_query,Alcaldes de México,https://x.com/AlcaldesMexico,AlcaldesMexico,True,2025-01-28 15:44:02+00:00,False,".@MonicaVTampico, alcaldesa de Tampico, #Tamaulipas, explica que su política es ser un gobierno humanista. Apoyar a los sectores más vulnerables, mejorar la infraestructura y la movilidad del municipio. #SolucionesParaGobernar",1884266191134548161,https://x.com/AlcaldesMexico/status/1884266191134548161,1,1,2,107,0,https://pbs.twimg.com/media/GiZCDp7WUAAhpWe.jpg,True,AlcaldesMexico,https://x.com/AlcaldesMexico,Mónica Villarreal Anaya,AlcaldesMexico,es,Top
(@@TampicoGob OR @@MonicaVTampico) min_replies:0 min_faves:0 min_retweets:0,https://x.com/search?q=(@@TampicoGob OR @@MonicaVTampico) min_replies:0 min_faves:0 min_retweets:0 until:2025-01-29 since:2025-01-28&src=typed_query,Alcaldes de México,https://x.com/AlcaldesMexico,AlcaldesMexico,True,2025-01-28 15:49:40+00:00,False,"@MonicaVTampico ""Hoy, a 100 días de administración ya tenemos 14 calles del municipio. Nuestro reto es la movilidad, donde ya implementamos 8 rutas nuevas"", menciona @MonicaVTampico, Presidenta Municipal de Tampico, #Tamaulipas",1884267610197614691,https://x.com/AlcaldesMexico/status/1884267610197614691,1,1,0,78,0,https://pbs.twimg.com/media/GiZCdg8WEAAJlgD.jpg,True,AlcaldesMexico,https://x.com/AlcaldesMexico,Mónica Villarreal Anaya,AlcaldesMexico,es,Top
(@@TampicoGob OR @@MonicaVTampico) min_replies:0 min_faves:0 min_retweets:0,https://x.com/search?q=(@@TampicoGob OR @@MonicaVTampico) min_replies:0 min_faves:0 min_retweets:0 until:2025-01-29 since:2025-01-28&src=typed_query,Alcaldes de México,https://x.com/AlcaldesMexico,AlcaldesMexico,True,2025-01-28 15:51:27+00:00,False,"""Estamos impulsando fuertemente a las mujeres. Destinamos programas sociales y becas para incentivar a las emprendedoras a desarrollar sus proyectos de manera formal"", explica @MonicaVTampico, Presidenta Municipal de #Tampico",1884268058036105369,https://x.com/AlcaldesMexico/status/1884268058036105369,1,1,0,113,0,https://pbs.twimg.com/media/GiZDs3gWoAAUV9A.jpg,True,AlcaldesMexico,https://x.com/AlcaldesMexico,Mónica Villarreal Anaya,AlcaldesMexico,es,Top
(@@TampicoGob OR @@MonicaVTampico) min_replies:0 min_faves:0 min_retweets:0,https://x.com/search?q=(@@TampicoGob OR @@MonicaVTampico) min_replies:0 min_faves:0 min_retweets:0 until:2025-01-29 since:2025-01-28&src=typed_query,Jesús Gutiérrez,https://x.com/JessGut37825175,JessGut37825175,False,2025-01-28 15:54:45+00:00,False,@Pattygb5 @gobtam @Dr_AVillarreal @MonicaVTampico Ya ni chingan pinche explotadores pobres caballitos todo el día en chinga pero hoy supe que pagan cuota por eso no les pueden hacer nada o sea que el gobierno de Tampico se lleva su mochada EN TAMPICO SE PERMITE EL MALTRATO ANIMAL,1884268887845540049,https://x.com/JessGut37825175/status/1884268887845540049,0,0,0,18,0,,True,Pattygb5,https://x.com/Pattygb5,Pattygb 🇲🇽,Pattygb5,es,Top
(@@TampicoGob OR @@MonicaVTampico) min_replies:0 min_faves:0 min_retweets:0,https://x.com/search?q=(@@TampicoGob OR @@MonicaVTampico) min_replies:0 min_faves:0 min_retweets:0 until:2025-01-29 since:2025-01-28&src=typed_query,Alcaldes de México,https://x.com/AlcaldesMexico,AlcaldesMexico,True,2025-01-28 15:55:42+00:00,False,"@MonicaVTampico ""Como región tenemos mucho que ofrecer en turismo. Un ejemplo es la gastronomía que es muy rica, así como una serie de arquitecturas distintas""; comenta @MonicaVTampico, Presidenta Municipal de Tampico, #Tamaulipas",1884269127700766903,https://x.com/AlcaldesMexico/status/1884269127700766903,1,1,0,135,0,https://pbs.twimg.com/media/GiZEfKbWgAAIeDn.jpg,True,AlcaldesMexico,https://x.com/AlcaldesMexico,Mónica Villarreal Anaya,AlcaldesMexico,es,Top
(@@TampicoGob OR @@MonicaVTampico) min_replies:0 min_faves:0 min_retweets:0,https://x.com/search?q=(@@TampicoGob OR @@MonicaVTampico) min_replies:0 min_faves:0 min_retweets:0 until:2025-01-29 since:2025-01-28&src=typed_query,Alcaldes de México,https://x.com/AlcaldesMexico,AlcaldesMexico,True,2025-01-28 16:03:20+00:00,False,"""Estamos creando una aplicación para todas las mujeres del municipio en donde van a conocer cuáles son las rutas seguras que cuentan con cámaras de vigilancia""; explica @MonicaVTampico, Presidenta Municipal de Tampico",1884271049212322021,https://x.com/AlcaldesMexico/status/1884271049212322021,0,1,0,87,0,https://pbs.twimg.com/media/GiZGVO3X0AAzhQc.jpg,True,AlcaldesMexico,https://x.com/AlcaldesMexico,Mónica Villarreal Anaya,AlcaldesMexico,es,Top
(@@TampicoGob OR @@MonicaVTampico) min_replies:0 min_faves:0 min_retweets:0,https://x.com/search?q=(@@TampicoGob OR @@MonicaVTampico) min_replies:0 min_faves:0 min_retweets:0 until:2025-01-29 since:2025-01-28&src=typed_query,M,https://x.com/mbez95,mbez95,False,2025-01-28 16:06:36+00:00,False,Si ya tengo las placas guindas se tiene que sacar otra vez las placas guindas o nada más se paga refrendo @TampicoGob @gobtam del 2025 @MilenioTam @MonicaVTampico,1884271868729074028,https://x.com/mbez95/status/1884271868729074028,0,0,0,12,0,,False,,,,,es,Top
(@@TampicoGob OR @@MonicaVTampico) min_replies:0 min_faves:0 min_retweets:0,https://x.com/search?q=(@@TampicoGob OR @@MonicaVTampico) min_replies:0 min_faves:0 min_retweets:0 until:2025-01-29 since:2025-01-28&src=typed_query,Alcaldes de México,https://x.com/AlcaldesMexico,AlcaldesMexico,True,2025-01-28 16:23:31+00:00,False,"Muchas gracias a @MonicaVTampico, Presidenta Municipal de Tampico, #Tamaulipas, por participar en #SolucionesParaGobernar y hablarnos de desarrollo regional",1884276127629521266,https://x.com/AlcaldesMexico/status/1884276127629521266,0,1,0,120,0,https://pbs.twimg.com/media/GiZK3fpW8AAicVq.jpg,False,,,,,es,Top
