comment_text,published_at,query
No recomendado tener Jasquis,2025-02-11T11:27:06Z,Gobierno de Tampico
No recomendado tener Jasquis,2025-02-11T11:27:06Z,gobierno de Tampico
"El roswell mexicano, marcianos pero más tropicales",2025-02-11T17:09:34Z,Gobierno de Tampico
"El roswell mexicano, marcianos pero más tropicales",2025-02-11T17:09:34Z,gobierno de Tampico
Digan lo que allá digan ya te la sabes,2025-02-11T20:08:31Z,Gobierno de Tampico
Digan lo que allá digan ya te la sabes,2025-02-11T20:08:31Z,gobierno de Tampico
Digan lo que allá digan ya te la sabes,2025-02-11T20:08:31Z,Gobierno de Tampico
Digan lo que allá digan ya te la sabes,2025-02-11T20:08:31Z,gobierno de Tampico
Hola soy de los reyes de Juárez Puebla y tengo un hijo y kisieras apoyo xk fui alas instalaciones más sercanas de aquí y dicen k ay no yega este apoyo,2025-02-11T21:55:59Z,presidenta municipal de Tampico
Hola soy de los reyes de Juárez Puebla y tengo un hijo y kisieras apoyo xk fui alas instalaciones más sercanas de aquí y dicen k ay no yega este apoyo,2025-02-11T21:55:59Z,Presidenta municipal de Tampico
🔥🔥,2025-02-12T05:02:24Z,Gobierno de Tampico
🔥🔥,2025-02-12T05:02:24Z,gobierno de Tampico
🔥🔥,2025-02-12T05:02:24Z,Gobierno de Tampico
🔥🔥,2025-02-12T05:02:24Z,gobierno de Tampico
Pues borolas triplica la deuda con. 3.4 millones extraidos diario y vendidos a 106 dolares cada uno. Que le hizo a esa cantidad bíblica de dinero???,2025-02-13T00:33:04Z,Gobierno de Tampico
Pues borolas triplica la deuda con. 3.4 millones extraidos diario y vendidos a 106 dolares cada uno. Que le hizo a esa cantidad bíblica de dinero???,2025-02-13T00:33:04Z,gobierno de Tampico
Nuestro amado AMLO con todo y pandemia ❤,2025-02-13T00:36:44Z,Gobierno de Tampico
Nuestro amado AMLO con todo y pandemia ❤,2025-02-13T00:36:44Z,gobierno de Tampico
Siempre se dedicarán sólo a robar saquear y entregar a la nación la derenaquiza...,2025-02-13T00:36:53Z,Gobierno de Tampico
Siempre se dedicarán sólo a robar saquear y entregar a la nación la derenaquiza...,2025-02-13T00:36:53Z,gobierno de Tampico
Puro robar y dándole patadas al que les da de comer cinicos prianistas,2025-02-13T00:42:45Z,Gobierno de Tampico
Puro robar y dándole patadas al que les da de comer cinicos prianistas,2025-02-13T00:42:45Z,gobierno de Tampico
UN MAL QUE AQUEJA A LA OPOSICIÓN ES QUE OLVIDAN TODOS SUS ERRORES COMETIDOS CUANDO GOBERNABAN.,2025-02-13T01:05:41Z,Gobierno de Tampico
UN MAL QUE AQUEJA A LA OPOSICIÓN ES QUE OLVIDAN TODOS SUS ERRORES COMETIDOS CUANDO GOBERNABAN.,2025-02-13T01:05:41Z,gobierno de Tampico
Pua robadrera narcoprianista,2025-02-13T01:13:00Z,Gobierno de Tampico
Pua robadrera narcoprianista,2025-02-13T01:13:00Z,gobierno de Tampico
Unos verdaderos ladrones!!! MCPRIAN,2025-02-13T01:16:21Z,Gobierno de Tampico
Unos verdaderos ladrones!!! MCPRIAN,2025-02-13T01:16:21Z,gobierno de Tampico
Con ese dinero se pagaban las campañas y ahora andan de ches hipócritas q El Gobierno actual se roba el dinero,2025-02-13T01:21:41Z,Gobierno de Tampico
Con ese dinero se pagaban las campañas y ahora andan de ches hipócritas q El Gobierno actual se roba el dinero,2025-02-13T01:21:41Z,gobierno de Tampico
se incharon las bolsas esos corruptos,2025-02-13T01:30:25Z,Gobierno de Tampico
se incharon las bolsas esos corruptos,2025-02-13T01:30:25Z,gobierno de Tampico
"Like <a href=""http://www.youtube.com/results?search_query=%23325"">#325</a>",2025-02-13T01:31:44Z,Gobierno de Tampico
"Like <a href=""http://www.youtube.com/results?search_query=%23325"">#325</a>",2025-02-13T01:31:44Z,gobierno de Tampico
LOS PRIANISTAS SE ROBABAN LO QUE PRODUCÍA PEMEX MÁS LO QUE PEDÍAN DE DEUDA Y AHORA VIENEN A QUERER HACERNOS CREER QUE ELLOS TIENEN LA SOLUCIÓN AL DESMADRE QUE DEJARON EN EL PAÍS.,2025-02-13T01:42:25Z,Gobierno de Tampico
LOS PRIANISTAS SE ROBABAN LO QUE PRODUCÍA PEMEX MÁS LO QUE PEDÍAN DE DEUDA Y AHORA VIENEN A QUERER HACERNOS CREER QUE ELLOS TIENEN LA SOLUCIÓN AL DESMADRE QUE DEJARON EN EL PAÍS.,2025-02-13T01:42:25Z,gobierno de Tampico
"Que también diga cuánto se le ha invertido desde 2018? Pemex está quebrado, pero Morena se aferra en invertir en un barril sin fondo.",2025-02-13T01:43:28Z,Gobierno de Tampico
"Que también diga cuánto se le ha invertido desde 2018? Pemex está quebrado, pero Morena se aferra en invertir en un barril sin fondo.",2025-02-13T01:43:28Z,gobierno de Tampico
"No era su dinero, pero seguian recibiendo millones aun que fuera a costa del patrimonio de los Mexicanos. Solo les importa el dinero facil, no cuidar el patrimonio que juraron protejer.",2025-02-13T01:48:50Z,Gobierno de Tampico
"No era su dinero, pero seguian recibiendo millones aun que fuera a costa del patrimonio de los Mexicanos. Solo les importa el dinero facil, no cuidar el patrimonio que juraron protejer.",2025-02-13T01:48:50Z,gobierno de Tampico
...malnacidos !!!,2025-02-13T02:04:08Z,Gobierno de Tampico
...malnacidos !!!,2025-02-13T02:04:08Z,gobierno de Tampico
"El gran negocio de los PRIANISTAS, sarta de ladrones y los ladrones que los siguen apoyando 😢.",2025-02-13T02:21:36Z,Gobierno de Tampico
"El gran negocio de los PRIANISTAS, sarta de ladrones y los ladrones que los siguen apoyando 😢.",2025-02-13T02:21:36Z,gobierno de Tampico
"No da una Claudia todo se le olvida,  vendan acciones de Pemex,  organicen un rescate estilo Lazaro Cardenas pero ahora con puras acciones , se junta un billeton y se paga media deuda o mas y ya que este en numeros negros pues que recompren las acciones o que las dejen a quien las tenga y se le pague una ganancia nominal",2025-02-13T02:34:41Z,Gobierno de Tampico
"No da una Claudia todo se le olvida,  vendan acciones de Pemex,  organicen un rescate estilo Lazaro Cardenas pero ahora con puras acciones , se junta un billeton y se paga media deuda o mas y ya que este en numeros negros pues que recompren las acciones o que las dejen a quien las tenga y se le pague una ganancia nominal",2025-02-13T02:34:41Z,gobierno de Tampico
Que asco los prianistas ascooooooooo,2025-02-13T02:41:38Z,Gobierno de Tampico
Que asco los prianistas ascooooooooo,2025-02-13T02:41:38Z,gobierno de Tampico
Yo sé una barda,2025-02-13T02:53:42Z,Gobierno de Tampico
Yo sé una barda,2025-02-13T02:53:42Z,gobierno de Tampico
Pues todo se lo Robaban los presidentes por 80 anos del pri,2025-02-13T03:12:53Z,Gobierno de Tampico
Pues todo se lo Robaban los presidentes por 80 anos del pri,2025-02-13T03:12:53Z,gobierno de Tampico
De saliNa...zedillo...fox...el espURio boRolas y el despeñadeRo Peña....qke les pRegUNteN a los lideRes siNdicales a veR cómo haN visto la decadeNcia de PEMEX ELLOS SAVEN O SON COMPLICES,2025-02-13T03:13:46Z,Gobierno de Tampico
De saliNa...zedillo...fox...el espURio boRolas y el despeñadeRo Peña....qke les pRegUNteN a los lideRes siNdicales a veR cómo haN visto la decadeNcia de PEMEX ELLOS SAVEN O SON COMPLICES,2025-02-13T03:13:46Z,gobierno de Tampico
"Ya es hora de recobrar todos los pagos indebidos a proveedores y contratista, solo disminuiría la deuda, corruptos funcionarios y dueños de empresas, ahí está la fuga",2025-02-13T03:17:16Z,Gobierno de Tampico
"Ya es hora de recobrar todos los pagos indebidos a proveedores y contratista, solo disminuiría la deuda, corruptos funcionarios y dueños de empresas, ahí está la fuga",2025-02-13T03:17:16Z,gobierno de Tampico
Mejor dicho quienes se robaron esas cantidades industriales de dinero.,2025-02-13T03:19:48Z,Gobierno de Tampico
Mejor dicho quienes se robaron esas cantidades industriales de dinero.,2025-02-13T03:19:48Z,gobierno de Tampico
"Vicente Fox sucentro Fox y sus hijastros muy bien colocados en empresas extranjeras, Felipe Calderón y Peña Nieto viviendo muy humildes en España!!!",2025-02-13T03:42:55Z,Gobierno de Tampico
"Vicente Fox sucentro Fox y sus hijastros muy bien colocados en empresas extranjeras, Felipe Calderón y Peña Nieto viviendo muy humildes en España!!!",2025-02-13T03:42:55Z,gobierno de Tampico
Lo q isieron fue robarse todo el dinero,2025-02-13T03:57:15Z,Gobierno de Tampico
Lo q isieron fue robarse todo el dinero,2025-02-13T03:57:15Z,gobierno de Tampico
🔥 🔥 🔥 <br>Chingona 473 perros,2025-02-13T04:23:23Z,Gobierno de Tampico
🔥 🔥 🔥 <br>Chingona 473 perros,2025-02-13T04:23:23Z,gobierno de Tampico
🔥 🔥 🔥 <br>Chingona 473 perros,2025-02-13T04:23:23Z,Gobierno de Tampico
🔥 🔥 🔥 <br>Chingona 473 perros,2025-02-13T04:23:23Z,gobierno de Tampico
Amlo bajó la deuda de Pemex y construyó la refinería de dos bocas compró deer park,2025-02-13T05:01:58Z,Gobierno de Tampico
Amlo bajó la deuda de Pemex y construyó la refinería de dos bocas compró deer park,2025-02-13T05:01:58Z,gobierno de Tampico
Todo el saqueo es por Maria Casares por la carrera de los hijos y por los mini coopers que les compraban con dinero del pueblo y la pensión millonaria que tiene la señora por 3 meses de trabajo de su esposo que se suicidó,2025-02-13T05:02:33Z,Gobierno de Tampico
Todo el saqueo es por Maria Casares por la carrera de los hijos y por los mini coopers que les compraban con dinero del pueblo y la pensión millonaria que tiene la señora por 3 meses de trabajo de su esposo que se suicidó,2025-02-13T05:02:33Z,gobierno de Tampico
"Qué hicieron durante 18 años las ratas de fox, calderón y peña? Llenarse sus cuentas bancarias, son unos hijos de spm",2025-02-13T05:12:54Z,Gobierno de Tampico
"Qué hicieron durante 18 años las ratas de fox, calderón y peña? Llenarse sus cuentas bancarias, son unos hijos de spm",2025-02-13T05:12:54Z,gobierno de Tampico
Co.o nunca tuvieron un proyecto de nación.   Solo lopagaban a favores recibidos. Compra de bienes personales   viajesy más gastos,2025-02-13T05:15:03Z,Gobierno de Tampico
