Query_Str,Post_URL,Author_Name,Author_Web_Page_URL,Author_Handle,Verified_Status,UTC_Time,Ads,Tweet_Content,Post_ID,Tweet_URL,Reply_Count,Repost_Count,Like_Count,View_Count,Bookmark_Count,Tweet_Image_URL,Replying_to,Reply_to_Whom,Reply_to_Whom_URL,Reply_to_Whom_Username,Reply_to_Whom_Handle,Language,Type
(@@TampicoGob OR @@MonicaVTampico) min_replies:0 min_faves:0 min_retweets:0,https://x.com/search?q=(@@TampicoGob OR @@MonicaVTampico) min_replies:0 min_faves:0 min_retweets:0 until:2025-04-09 since:2025-04-08&src=typed_query,Hermandad de la Paz,https://x.com/HermandadPaz,HermandadPaz,True,2025-04-08 06:02:06+00:00,False,➡️ Nuestro Padre Jesús de la Victoria preside su paso procesional a la espera de un nuevo Domingo de Ramos. Viste túnica bordada por Leopoldo Padilla (1949) y mantolín bordado por el taller de Sucesores de Esperanza Elena Caro (2024). 📷: @davidariaspozo,1909486894896869451,https://x.com/HermandadPaz/status/1909486894896869451,6,102,493,28538,19,https://pbs.twimg.com/media/Gn_cLpLXIAA6fvI.jpg;https://pbs.twimg.com/media/Gn_cLpLWoAAkYLU.jpg;https://pbs.twimg.com/media/Gn_cLpLWcAEB8EG.jpg;https://pbs.twimg.com/media/Gn_cLpLWUAAisPG.jpg,False,,,,,es,Top
(@@TampicoGob OR @@MonicaVTampico) min_replies:0 min_faves:0 min_retweets:0,https://x.com/search?q=(@@TampicoGob OR @@MonicaVTampico) min_replies:0 min_faves:0 min_retweets:0 until:2025-04-09 since:2025-04-08&src=typed_query,JaimeCCS,https://x.com/JaimeCCS,JaimeCCS,True,2025-04-08 08:00:28+00:00,False,"No sé quién sea él, pero cada una de sus palabras me representa. Escúchenlo, por favor. No tiene desperdicio alguno. Mensaje dirigido a: @Claudiashein @RicardoMonrealA @adan_augusto @AndreaChavezTre @fernandeznorona y demás entes tóxicos del #NarcoGobiernoDeMorena. #Teuchitlán #TeuchitlánNoSeOlvida Ccp: @realDonaldTrump @POTUS @SecRubio @marcorubio @DEAHQ @TheJusticeDept",1909516680809586788,https://x.com/JaimeCCS/status/1909516680809586788,103,1390,2125,41857,283,https://pbs.twimg.com/ext_tw_video_thumb/1909516198867255296/pu/img/ZVciFKbyNmeD4QJe.jpg,False,,,,,es,Top
(@@TampicoGob OR @@MonicaVTampico) min_replies:0 min_faves:0 min_retweets:0,https://x.com/search?q=(@@TampicoGob OR @@MonicaVTampico) min_replies:0 min_faves:0 min_retweets:0 until:2025-04-09 since:2025-04-08&src=typed_query,Mónica Carrillo,https://x.com/MonicaCarrillo,MonicaCarrillo,False,2025-04-08 08:04:58+00:00,False,De repente la ciudad huele demasiado a ti.,1909517814576169428,https://x.com/MonicaCarrillo/status/1909517814576169428,33,320,1934,91403,51,,False,,,,,es,Top
(@@TampicoGob OR @@MonicaVTampico) min_replies:0 min_faves:0 min_retweets:0,https://x.com/search?q=(@@TampicoGob OR @@MonicaVTampico) min_replies:0 min_faves:0 min_retweets:0 until:2025-04-09 since:2025-04-08&src=typed_query,Monago,https://x.com/monago_xyz,monago_xyz,True,2025-04-08 08:11:30+00:00,False,"Gmonago 💜 Crypto’s drying up, but we’re not leaving you stranded (we ARE on Plan D 😤) $MON for every single person who follows me, retweets this & drops their addy in the comments below 🔥 + 3 lucky babes get 100 $MON each 💸 Also… is it obvious the Escobar biz is thriving or should we be more subtle? 😏",1909519458206376331,https://x.com/monago_xyz/status/1909519458206376331,90,50,186,9669,2,https://pbs.twimg.com/media/Gn_5yyJXUAAsAYx.jpg,False,,,,,en,Top
(@@TampicoGob OR @@MonicaVTampico) min_replies:0 min_faves:0 min_retweets:0,https://x.com/search?q=(@@TampicoGob OR @@MonicaVTampico) min_replies:0 min_faves:0 min_retweets:0 until:2025-04-09 since:2025-04-08&src=typed_query,OSWALDO CORTES,https://x.com/oswaldoaves,oswaldoaves,False,2025-04-08 11:22:49+00:00,False,"#BogotáBiodiversa Y aquí les presento a esta especie de colibrí, presente en los cerros orientales de Bogotá e igualmente en la reserva Van Der Hammen: Muisca de vientre amatista (Coeligena helianthea) Esta #SemanaSanta2025 iniciaremos talleres para conocerlos #BogotáMiCasa",1909567604802322783,https://x.com/oswaldoaves/status/1909567604802322783,5,52,220,3524,3,https://pbs.twimg.com/media/GoAlnE0XoAAPNDx.jpg;https://pbs.twimg.com/media/GoAlnE1WAAEjWCM.jpg,False,,,,,es,Top
(@@TampicoGob OR @@MonicaVTampico) min_replies:0 min_faves:0 min_retweets:0,https://x.com/search?q=(@@TampicoGob OR @@MonicaVTampico) min_replies:0 min_faves:0 min_retweets:0 until:2025-04-09 since:2025-04-08&src=typed_query,Tamara Idrobo 💜♀︎💚,https://x.com/tamy_idrobo,tamy_idrobo,True,2025-04-08 11:37:26+00:00,False,Porque el corazón está a la izquierda y los golpes que violentan salen del puño derecho. #NoboaNuncaMás,1909571281449611467,https://x.com/tamy_idrobo/status/1909571281449611467,127,291,653,12617,4,https://pbs.twimg.com/ext_tw_video_thumb/1909421492846133248/pu/img/sbr0jIYrzWsTUXXq.jpg,False,,,,,es,Top
(@@TampicoGob OR @@MonicaVTampico) min_replies:0 min_faves:0 min_retweets:0,https://x.com/search?q=(@@TampicoGob OR @@MonicaVTampico) min_replies:0 min_faves:0 min_retweets:0 until:2025-04-09 since:2025-04-08&src=typed_query,Tamara Idrobo 💜♀︎💚,https://x.com/tamy_idrobo,tamy_idrobo,True,2025-04-08 11:52:39+00:00,False,"Madres de mi Patria: ¿Qué harían ustedes si estuvieran en los zapatos de @GGoldbaum ? ¡Que la manipulación de una niña violentado sus derechos a la intimidad y a relacionarse con su madre, jamás les sean indiferentes!",1909575113227251730,https://x.com/tamy_idrobo/status/1909575113227251730,44,128,245,3420,0,,False,,,,,es,Top
(@@TampicoGob OR @@MonicaVTampico) min_replies:0 min_faves:0 min_retweets:0,https://x.com/search?q=(@@TampicoGob OR @@MonicaVTampico) min_replies:0 min_faves:0 min_retweets:0 until:2025-04-09 since:2025-04-08&src=typed_query,Monica Garza,https://x.com/monicagarzag,monicagarzag,True,2025-04-08 12:17:43+00:00,False,Lo más bonito de todas mis mañanas es este concierto de pájaros. Se los comparto … ¡Buen Martes! 😊,1909581420764295562,https://x.com/monicagarzag/status/1909581420764295562,14,10,225,2500,2,https://pbs.twimg.com/ext_tw_video_thumb/1909581379282550784/pu/img/4-qgdvgB5nfFrl2a.jpg,False,,,,,es,Top
(@@TampicoGob OR @@MonicaVTampico) min_replies:0 min_faves:0 min_retweets:0,https://x.com/search?q=(@@TampicoGob OR @@MonicaVTampico) min_replies:0 min_faves:0 min_retweets:0 until:2025-04-09 since:2025-04-08&src=typed_query,Inés María Chapman Waugh,https://x.com/InesMChapman,InesMChapman,False,2025-04-08 13:05:19+00:00,False,Tres oros y cuatro de bronce para el taekwondo cubano en México #CubaInspira http://www.granma.cu/deportes/2025-04-08/tres-oros-y-cuatro-de-bronce-para-el-taekwondo-cubano-en-mexico-08-04-2025-00-04-28 Via @Granma_Digital,1909593400413765678,https://x.com/InesMChapman/status/1909593400413765678,14,707,475,3388,0,,False,,,,,es,Top
(@@TampicoGob OR @@MonicaVTampico) min_replies:0 min_faves:0 min_retweets:0,https://x.com/search?q=(@@TampicoGob OR @@MonicaVTampico) min_replies:0 min_faves:0 min_retweets:0 until:2025-04-09 since:2025-04-08&src=typed_query,Maraca,https://x.com/Maraca2,Maraca2,True,2025-04-08 13:35:09+00:00,False,"Otra piedra en el camino de Sheinbaum @hdemauleon 👇🏻👇🏻👇🏻 “La madre buscadora Teresa González Murillo, del colectivo Luz de Esperanza, fue acribillada en el rostro el pasado 27 de marzo: murió unos días después en una unidad de terapia intensiva. Llevaba medio año buscando a su hermano, desaparecido en el estado de Jalisco. Según la información proporcionada por la fiscalía, tres sujetos armados, a bordo de motocicletas, la agredieron para robarle el dinero de unas ventas y una “tanda”.” 🧵",1909600906980593914,https://x.com/Maraca2/status/1909600906980593914,32,1344,3075,136603,110,,False,,,,,es,Top
(@@TampicoGob OR @@MonicaVTampico) min_replies:0 min_faves:0 min_retweets:0,https://x.com/search?q=(@@TampicoGob OR @@MonicaVTampico) min_replies:0 min_faves:0 min_retweets:0 until:2025-04-09 since:2025-04-08&src=typed_query,Miss Ofertas by Vero 🛒🛍️,https://x.com/vmenditto,vmenditto,True,2025-04-08 13:42:03+00:00,False,"‼️‼️A ver cómo te lo cuento‼️‼️ MC COMBO MINECRAFT $8400 🔥 🔥 Sorry pero te lo dejo temprano porque como ya sabes , este descuento de $7000 es válido para primer pedido , así que te dejo tiempo para que empieces a averiguar quién de tus cercanos jamás usó su cuenta de @mercadopago para poder manguarle ⏱️ Pedí con tiempo 👉🏼 oportunidad súper única : 45% de descuento inigualable con ninguna promo Venite a CABA , zona norte o zona oeste y te lo pedís para coleccionar todos los juegues alucinante 🤯 Pedí x acá 👇 https://mpago.li/2PBxG9q",1909602643623985206,https://x.com/vmenditto/status/1909602643623985206,7,4,226,208112,77,https://pbs.twimg.com/media/GoBFetyXMAAkO3o.jpg;https://pbs.twimg.com/media/GoBFet4XsAAF0uv.jpg;https://pbs.twimg.com/media/GoBFet1XcAAeK7t.jpg,False,,,,,es,Top
(@@TampicoGob OR @@MonicaVTampico) min_replies:0 min_faves:0 min_retweets:0,https://x.com/search?q=(@@TampicoGob OR @@MonicaVTampico) min_replies:0 min_faves:0 min_retweets:0 until:2025-04-09 since:2025-04-08&src=typed_query,Madres Falsos Positivos de Colombia,https://x.com/MAFAPOCOLOMBIA,MAFAPOCOLOMBIA,False,2025-04-08 13:57:59+00:00,False,Porque todas las vidas se respetan. Acompañamos la movilización de los sectores Lgbtiq+. Ni un transfeminicidio más.,1909606654749929512,https://x.com/MAFAPOCOLOMBIA/status/1909606654749929512,19,355,955,23975,8,https://pbs.twimg.com/media/GoBJIR-WcAEtE5y.jpg,False,,,,,es,Top
(@@TampicoGob OR @@MonicaVTampico) min_replies:0 min_faves:0 min_retweets:0,https://x.com/search?q=(@@TampicoGob OR @@MonicaVTampico) min_replies:0 min_faves:0 min_retweets:0 until:2025-04-09 since:2025-04-08&src=typed_query,beautifully tragic 💚,https://x.com/comino_gomez,comino_gomez,False,2025-04-08 13:58:21+00:00,False,"Y a todas las personas trans en especial a aquellas en lugares reconditos y conservadores, que jueputa esa valentía de vivir su identidad. Es tan admirable, tan envidiable. Y a la misma vez, tan triste que sea esa valentía la razón de sus persecuciones.",1909606743484604608,https://x.com/comino_gomez/status/1909606743484604608,4,114,606,10176,7,,False,,,,,es,Top
(@@TampicoGob OR @@MonicaVTampico) min_replies:0 min_faves:0 min_retweets:0,https://x.com/search?q=(@@TampicoGob OR @@MonicaVTampico) min_replies:0 min_faves:0 min_retweets:0 until:2025-04-09 since:2025-04-08&src=typed_query,Rocío Nahle,https://x.com/rocionahle,rocionahle,False,2025-04-08 15:05:16+00:00,False,"¡Descubre la riqueza de la cultura totonaca!✨ Los totonacas nos heredaron tradiciones, lengua y sabiduría ancestral que siguen vivas. Su legado e historia de nuestros Pueblos Originarios merece ser valorado.🙌 #PorAmorAVeracruz❤️",1909623583870992646,https://x.com/rocionahle/status/1909623583870992646,41,234,500,6662,3,https://pbs.twimg.com/media/GoBYgJOWUAAjsIN.jpg,False,,,,,es,Top
(@@TampicoGob OR @@MonicaVTampico) min_replies:0 min_faves:0 min_retweets:0,https://x.com/search?q=(@@TampicoGob OR @@MonicaVTampico) min_replies:0 min_faves:0 min_retweets:0 until:2025-04-09 since:2025-04-08&src=typed_query,@pinchagua19,https://x.com/pinchagua19,pinchagua19,False,2025-04-08 15:11:05+00:00,False,ELLA CORRERÁ A LOS BRAZOS DE SU AMADO MAMELUCO..... LO QUE NO SABE ES QUE MAMELUCO YA TIENE PAREJA LOS RUMORES INDICAN QUE SERÍA UN MARIACHI DE SINALOA.... 😎🇪🇨,1909625047565647982,https://x.com/pinchagua19/status/1909625047565647982,65,248,464,6886,7,https://pbs.twimg.com/media/GoBZ3C0XQAEsyrc.jpg,False,,,,,es,Top
(@@TampicoGob OR @@MonicaVTampico) min_replies:0 min_faves:0 min_retweets:0,https://x.com/search?q=(@@TampicoGob OR @@MonicaVTampico) min_replies:0 min_faves:0 min_retweets:0 until:2025-04-09 since:2025-04-08&src=typed_query,Zanfa 2,https://x.com/ZanfaVive,ZanfaVive,True,2025-04-08 15:14:35+00:00,False,O tanto de bullying que passou pela cabeça da Mônica nessa tirinha,1909625928445010377,https://x.com/ZanfaVive/status/1909625928445010377,58,1045,34119,359302,940,https://pbs.twimg.com/media/GoBaqVEWQAALHVt.jpg,False,,,,,pt,Top
(@@TampicoGob OR @@MonicaVTampico) min_replies:0 min_faves:0 min_retweets:0,https://x.com/search?q=(@@TampicoGob OR @@MonicaVTampico) min_replies:0 min_faves:0 min_retweets:0 until:2025-04-09 since:2025-04-08&src=typed_query,Mónica García,https://x.com/Monica_Garcia_G,Monica_Garcia_G,True,2025-04-08 15:19:57+00:00,False,No entramos en peleas por carnets de pureza ideológica. Empujamos para levantar el espacio progresista que los egos dejaron hecho cenizas. Ni un segundo que perder gobernando España para recuperar la sanidad pública y liderando la alternativa que gobernará Madrid.,1909627280596271529,https://x.com/Monica_Garcia_G/status/1909627280596271529,904,599,1359,174443,42,https://pbs.twimg.com/amplify_video_thumb/1909627125541322752/img/-BQHGj3FMd9JtqKX.jpg,False,,,,,es,Top
(@@TampicoGob OR @@MonicaVTampico) min_replies:0 min_faves:0 min_retweets:0,https://x.com/search?q=(@@TampicoGob OR @@MonicaVTampico) min_replies:0 min_faves:0 min_retweets:0 until:2025-04-09 since:2025-04-08&src=typed_query,Nachito Sánchez,https://x.com/_nachitosanchez,_nachitosanchez,False,2025-04-08 15:31:47+00:00,False,"Mamita, entre las fotos de la gente viajando a Chile, el partido por Copa Sudamericana y del basquet el miércoles, la marea roja y blanca, el evento de box el Viernes, el partido contra defensa el Lunes y posterior festejo víspera del 15 de Abril. Ya me emocioné 89 veces 🥺🇦🇹❤️",1909630260221460983,https://x.com/_nachitosanchez/status/1909630260221460983,9,29,313,7043,1,,False,,,,,es,Top
(@@TampicoGob OR @@MonicaVTampico) min_replies:0 min_faves:0 min_retweets:0,https://x.com/search?q=(@@TampicoGob OR @@MonicaVTampico) min_replies:0 min_faves:0 min_retweets:0 until:2025-04-09 since:2025-04-08&src=typed_query,Gloria Alfa y Omega,https://x.com/GlodeJo07,GlodeJo07,True,2025-04-08 15:51:09+00:00,False,Buenas amigos! Seguimos en la lucha y con muchas ganas de vivir 💜 gracias a todos https://www.gofundme.com/f/ayuda-a-mi-mama-a-luchar-vs-el-cancer-de-pancreas?lang=es_MX&utm_campaign=man_ss_icons&utm_medium=customer&utm_source=copy_link,1909635132774138007,https://x.com/GlodeJo07/status/1909635132774138007,59,139,1407,29067,2,,False,,,,,es,Top
(@@TampicoGob OR @@MonicaVTampico) min_replies:0 min_faves:0 min_retweets:0,https://x.com/search?q=(@@TampicoGob OR @@MonicaVTampico) min_replies:0 min_faves:0 min_retweets:0 until:2025-04-09 since:2025-04-08&src=typed_query,KKO DIARIO 🇵🇸🇱🇧🇪🇭🇾🇪,https://x.com/KKOdiario_,KKOdiario_,False,2025-04-08 16:01:52+00:00,False,De lo que Mónica García nunca estuvo harta fué de cobrar un bono social que no le correspondía.,1909637829908439442,https://x.com/KKOdiario_/status/1909637829908439442,3,188,332,4999,6,https://pbs.twimg.com/ext_tw_video_thumb/1909637821645705217/pu/img/MMmPSwsqTYHC1Abg.jpg,False,,,,,es,Top
(@@TampicoGob OR @@MonicaVTampico) min_replies:0 min_faves:0 min_retweets:0,https://x.com/search?q=(@@TampicoGob OR @@MonicaVTampico) min_replies:0 min_faves:0 min_retweets:0 until:2025-04-09 since:2025-04-08&src=typed_query,Yanis lacani🔻🐾🦎🇵🇸🇵🇸,https://x.com/janislcani,janislcani,False,2025-04-08 16:05:06+00:00,False,"Para Mónica García la política es bailarle el agua al PSOE, y no haber hecho ninguna medida en favor de la sanidad pública, lo único que ha hecho a favor, es seguir cobrando el bono térmico, y criticar a l@s que hacen algo por este país.",1909638644282929280,https://x.com/janislcani/status/1909638644282929280,44,185,333,5287,4,https://pbs.twimg.com/media/GoBhlhWXQAA8XLb.jpg,False,,,,,es,Top
(@@TampicoGob OR @@MonicaVTampico) min_replies:0 min_faves:0 min_retweets:0,https://x.com/search?q=(@@TampicoGob OR @@MonicaVTampico) min_replies:0 min_faves:0 min_retweets:0 until:2025-04-09 since:2025-04-08&src=typed_query,DΛVID ƧΣGӨVIΛ🏳️‍🌈💜🔻,https://x.com/dsegoviaatienza,dsegoviaatienza,True,2025-04-08 16:07:25+00:00,False,"Toma @Monica_Garcia_G tu hemeroteca de FARSANTE, si no te hubieran protegido los Ferreras y las capitales de Alemania hubieras dimitido pero no, Yolanda Díaz te dio el chiringito Muface. https://x.com/Miguel_H_C/status/1726710396743250185/video/1",1909639227790238108,https://x.com/dsegoviaatienza/status/1909639227790238108,27,450,770,11352,11,,False,,,,,es,Top
(@@TampicoGob OR @@MonicaVTampico) min_replies:0 min_faves:0 min_retweets:0,https://x.com/search?q=(@@TampicoGob OR @@MonicaVTampico) min_replies:0 min_faves:0 min_retweets:0 until:2025-04-09 since:2025-04-08&src=typed_query,Mónica Arosemena,https://x.com/MnicaArosemena1,MnicaArosemena1,False,2025-04-08 16:10:03+00:00,False,"DAMA MUY RESPETADA Y QUERIDA EN EL ECUADOR! FUTURA PRESIDENTA DE LA ASAMBLEA NACIONAL! QUÉ DIFERENCIA CON LA ERA DE LAS ""TUBERAS",1909639888019894778,https://x.com/MnicaArosemena1/status/1909639888019894778,110,334,1064,8426,2,https://pbs.twimg.com/media/GoBnWoJWIAAe4Ax.jpg,False,,,,,es,Top
(@@TampicoGob OR @@MonicaVTampico) min_replies:0 min_faves:0 min_retweets:0,https://x.com/search?q=(@@TampicoGob OR @@MonicaVTampico) min_replies:0 min_faves:0 min_retweets:0 until:2025-04-09 since:2025-04-08&src=typed_query,La Posta,https://x.com/LaPosta_Ecu,LaPosta_Ecu,True,2025-04-08 16:31:19+00:00,False,"Luisa González, candidata presidencial por la Revolución Ciudadana, invitó públicamente a Jan Topić a unirse a su “proyecto de patria”. Indicó que, de ganar las elecciones, Topić podría formar parte de su gabinete de seguridad.",1909645239129706694,https://x.com/LaPosta_Ecu/status/1909645239129706694,194,322,1060,69783,17,https://pbs.twimg.com/amplify_video_thumb/1909643728882475008/img/h5_B2x3FDhzX7flj.jpg,False,,,,,es,Top
(@@TampicoGob OR @@MonicaVTampico) min_replies:0 min_faves:0 min_retweets:0,https://x.com/search?q=(@@TampicoGob OR @@MonicaVTampico) min_replies:0 min_faves:0 min_retweets:0 until:2025-04-09 since:2025-04-08&src=typed_query,"no labels, just gal",https://x.com/junnsgyu,junnsgyu,False,2025-04-08 16:45:17+00:00,False,"ayer festival de txt en méxico, hoy cine vcr de txt en concierto y si dios quiere mañana anuncio de tour en méxico. ERES UN CHINGON MÉXICO, ARRIBA MÉXICO Y MÉXMOA 🇲🇽🇲🇽🇲🇽🇲🇽 !!!!!",1909648756691108189,https://x.com/junnsgyu/status/1909648756691108189,4,213,1087,8532,35,,False,,,,,es,Top
