comment_text,published_at,query
Quiero hablar de los chayotes que ahora sigue al igual que el guachicol de  dicel 😂,2025-05-20T08:32:27Z,Gobierno de Tampico
Quiero hablar de los chayotes que ahora sigue al igual que el guachicol de  dicel 😂,2025-05-20T08:32:27Z,gobierno de Tampico
Así es triste Pero cierto México corrupto el primer lugar en corrupción en <br>el mundo 🌎,2025-05-20T09:12:43Z,Gobierno de Tampico
Callate huasteco ya tendran tiempo para estar juntos y hacer las porquerias que hacen 😂😂😂😂,2025-05-20T12:51:01Z,Gobierno de Tampico
Callate huasteco ya tendran tiempo para estar juntos y hacer las porquerias que hacen 😂😂😂😂,2025-05-20T12:51:01Z,gobierno de Tampico
Como siempre pasa en Mexico nunca hay detenidos y si necesitan presentar a alguien agarran a su chivo expiatorio.,2025-05-20T13:16:58Z,Gobierno de Tampico
Claro era la época final de MIGUEL DE LA MADRID ROBADO digo HURTADO,2025-05-20T13:54:55Z,Gobierno de Tampico
@.SE LLAMA GLOBIERNO DE TERRORISTAS...<br>ESTO se llama.<br>GRUPO Guerrillero... MORENA ...<br>PUROS..VIEJOS RESENTIDOS....<br>ESTAN DESMADRANDO EL PAIS.......,2025-05-20T14:03:30Z,gobierno de Tampico
Ni un voto más para los malandros de morena ✊🏻,2025-05-20T14:05:02Z,Gobierno de Tampico
La mañanera jamas dira nada,2025-05-20T14:19:19Z,Gobierno de Tampico
"Es que es un buque  huachicolero fantasma, ! Haaaaaa¡",2025-05-20T14:43:41Z,Gobierno de Tampico
"Ah! Paro cuando Trump menciono que que estos mafiosos controlaban a México, rápido salieton Patriotas, está loco,  nosotros nos hacemos tontos y ciegos, y  sabemos que es cierto pero como somos un pais muy machos jamas aceptamos la verdaf.😂😂😂😂",2025-05-20T14:55:09Z,Gobierno de Tampico
Son Los mismos gobernadores,2025-05-20T15:18:57Z,Gobierno de Tampico
💚💚💚💚💚💚💚💚💚💚💚💚💚💚,2025-05-20T17:26:11Z,presidenta municipal de Tampico
💚💚💚💚💚💚💚💚💚💚💚💚💚💚,2025-05-20T17:26:11Z,Presidenta municipal de Tampico
"<a href=""https://www.youtube.com/watch?v=PDQPEgCrEZs&amp;t=501"">8:21</a> eso es porque las conchas son como las casas de algunos animales y si tu se las quitas vas acabando con los animales del mar o de la playa",2025-05-20T17:47:08Z,Gobierno de Tampico
Código Magenta dijo que los carteles estaban detrás del Huachicol fiscal...  pero obviamente no están solos... el otor cartel.. el cartel de MORENA los ayudan  y ...muy bien... quizás detengan a uno de tercer rango ahi para despistar..pero todo seguirá igualito a como esta pasando  .. nada va a cambiar.,2025-05-20T17:51:01Z,Gobierno de Tampico
😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢,2025-05-20T17:52:54Z,Gobierno de Tampico
"Lamentable, que los que sienten coraje con el verdadero cambio en Bienestar de nuestro país, se desquiten en contra de personas que luchan por un mejor país. Condolencias para familiares de las personas fallecidas.",2025-05-20T18:28:55Z,Gobierno de Tampico
Buenas tardes por q mandan estos mensajes la verdad no sé d q trata pero yo estoy contenta con la presidenta y Ariadna la verdad yo no estoy en contra d nadie yo estoy contenta con mi Apollo y muchas gracias por su informacion,2025-05-20T18:34:31Z,Gobierno de Tampico
A quienes les pagamos para gobernar este país?,2025-05-20T18:41:21Z,Gobierno de Tampico
Estás personas no tienen madre ya basta aique poner mano dura ya olbidense de los abrasos aique implementar pena de muerte,2025-05-20T18:43:48Z,Gobierno de Tampico
Todo el gobierno de Tamaulipas es un Cartel al servicio de Morena.,2025-05-20T18:45:56Z,gobierno de Tampico
Y LOS 60000 MILLONES DE IMPUESTOS,2025-05-20T18:54:40Z,Gobierno de Tampico
💚💚💚💚💚💚💚💚💚💚,2025-05-20T18:59:28Z,presidenta municipal de Tampico
💚💚💚💚💚💚💚💚💚💚,2025-05-20T18:59:28Z,Presidenta municipal de Tampico
Estamos tú eres el mejor escuché hasta tu canción 💚💚💚💚💚💚💚💚💚💚💚💚💚💚💚💚💚💚💚💚💚💚💚💚💚,2025-05-20T19:00:13Z,presidenta municipal de Tampico
Estamos tú eres el mejor escuché hasta tu canción 💚💚💚💚💚💚💚💚💚💚💚💚💚💚💚💚💚💚💚💚💚💚💚💚💚,2025-05-20T19:00:13Z,Presidenta municipal de Tampico
triste realidad de estas muertes solidaridad de estas muertes😥😥😥😥😥😥😥😥😥,2025-05-20T19:01:22Z,Gobierno de Tampico
D.E.P.🙏,2025-05-20T19:21:29Z,Gobierno de Tampico
🐸🐸🐸🐸🐸🐸🐸🐸🐸🐸🐸🐸🐸,2025-05-20T19:23:38Z,presidenta municipal de Tampico
🐸🐸🐸🐸🐸🐸🐸🐸🐸🐸🐸🐸🐸,2025-05-20T19:23:38Z,Presidenta municipal de Tampico
Te pusieron tono cerlara,2025-05-20T19:24:57Z,presidenta municipal de Tampico
Te pusieron tono cerlara,2025-05-20T19:24:57Z,Presidenta municipal de Tampico
Quitar la vida es un acto de indignación y cobardía...Muchas fortaleza 🙏,2025-05-20T19:25:14Z,Gobierno de Tampico
Quién murio,2025-05-20T19:30:17Z,Gobierno de Tampico
Muy padre el.mercado y las imágenes super lindas me encanto❤🎉❤🎉❤🎉❤,2025-05-20T19:40:39Z,Gobierno de Tampico
Investiguen a Úrsula de morena,2025-05-20T19:55:55Z,Gobierno de Tampico
De película,2025-05-20T20:19:21Z,Gobierno de Tampico
Narco gobierno mexicano corrupto .solo se estan peleando la plaza . Quien sabe en que andarían metidos 🤡🐀🤮,2025-05-20T20:32:11Z,Gobierno de Tampico
Bla bla bla bla bla,2025-05-20T20:50:18Z,Gobierno de Tampico
Las puré….. ias las que hacía el Jr jajajaj,2025-05-20T20:52:28Z,Gobierno de Tampico
Las puré….. ias las que hacía el Jr jajajaj,2025-05-20T20:52:28Z,gobierno de Tampico
Ya vimos como va la está inepta transformacion,2025-05-20T20:53:13Z,Gobierno de Tampico
Así es como los prianistas quieren detener el desarrollo del país que poca mad.......,2025-05-20T21:04:49Z,Gobierno de Tampico
"👏🏼👏🏼👏🏼por el reportaje, <a href=""http://www.youtube.com/results?search_query=%23fueramorena"">#fueramorena</a> puras mentiras, quién se lo robó? seguro los <a href=""http://www.youtube.com/results?search_query=%23trivagosconandyalacabeza"">#trivagosconandyalacabeza</a> <a href=""http://www.youtube.com/results?search_query=%23abajola4t"">#abajola4t</a>",2025-05-20T21:12:44Z,Gobierno de Tampico
”Tampco quise ir a la escuela nunca me gusto&quot; 🗣️ 💵💵,2025-05-20T21:15:05Z,gobierno de Tampico
"Que se haga justicia, no dejen de dar con los asesinos. Que no quede impune este hecho tan lamentable.",2025-05-20T21:20:01Z,Gobierno de Tampico
"Tengo el gusto de conocer la ciudad de Tampico y si la verdad es un ciudad muy bonita y la playa ni se diga el malecón con sus mapaches, muy pero muy bonita ciudad",2025-05-20T21:28:46Z,Gobierno de Tampico
Investiguen a Sandra cuevas😮😮😮,2025-05-20T21:30:15Z,Gobierno de Tampico
Fueron los prianistas?,2025-05-20T21:31:16Z,Gobierno de Tampico
"Q buen lugar el mercado muy bien y hay de todo como debe de ser , a pesar de que no conozco por alla ahora si me dan ganas de ir a conocer <br>Si bien dicen que los lugares mas hermosos estan en nuestro mexico",2025-05-20T21:33:09Z,Gobierno de Tampico
"yel crimen ya los alcanzo desafortunadamnte, no queremos una colombia, por favor que necesitan que suceda para que actuen ya",2025-05-20T21:39:19Z,Gobierno de Tampico
SALUDOS DE JUVENTINO 🌹 GUANAJUATO VIVA AMLO VIVA LA 4T VIVA LAPREDIDENTA CLAUDIA YVTODO SU GAVINETE ❤❤❤❤,2025-05-20T21:44:18Z,Gobierno de Tampico
Buenas tardes yo nací en el 62,2025-05-20T22:11:53Z,Gobierno de Tampico
Que triste y que doloroso pero ojalá esto los haga más empáticos con el dolor que sienten las familias de tantos desaparecidos pues nadie se merece vivir esto.,2025-05-20T22:12:34Z,Gobierno de Tampico
"Si ellos que son la ley pasa esto ,que se espera de los ciudadanos",2025-05-20T22:12:52Z,Gobierno de Tampico
que bonita  publicidad a nuestro gobierno  de abrazos....,2025-05-20T22:33:35Z,Gobierno de Tampico
"<a href=""https://www.youtube.com/watch?v=PDQPEgCrEZs&amp;t=1655"">27:35</a> Ree guapa 🫦🫦🫦🫦",2025-05-20T22:54:42Z,Gobierno de Tampico
"No te remuerde la conciencia Clarita por tu traición los aasesinaron,con ellos no se juega,tu sabes quién y por que fue",2025-05-20T23:07:18Z,Gobierno de Tampico
Y los cientos de mexicanos que son asesinados s diario no merecen un minuto de silencio la cuarta 💩en acción jajajaja,2025-05-20T23:10:24Z,Gobierno de Tampico
"Ahi estan sus masacr3s...😂😂😂 diria el costal de estiercol, viejillo miado del peje.",2025-05-20T23:28:56Z,Gobierno de Tampico
Don José reyes dicen la pura verdad no dijo mentiras,2025-05-20T23:29:47Z,presidenta municipal de Tampico
Don José reyes dicen la pura verdad no dijo mentiras,2025-05-20T23:29:47Z,Presidenta municipal de Tampico
No es la ineptitud de la  presidenta <br>Es el acto de cobardía de los opositores que no aceptan su derrota  y no hallan  como sembrar el terror que han acostumbrado  para demostrar sus  actos de cobardua opositores wue,2025-05-20T23:54:43Z,Gobierno de Tampico
Estos jodidos con estos rateros pero tanbien con estos gobiermos inservibles nesecitamos haser justicia por propia mano porque los gobiernos son complices porque si no fuera haci actuarian rapido pero parece que no pueden moverse  estamos jodidos los mexicanos,2025-05-21T01:23:08Z,gobierno de Tampico
Puro prianista molesto porque los obligaron a pagar impuestos 😁✌️🤡,2025-05-21T01:39:55Z,Gobierno de Tampico
"Sabemos que detrás de todos los ataques están los  PRIANISTAS, hacen complot en contra del gobierno de la 4T, oigan fuerte partidos del PRI y PAN nunca regresarán a gobernar 90 años de pésimos gobiernos corruptos se les acabó la fiesta Prianistas dejen en paz a los mexicanos",2025-05-21T02:03:21Z,Gobierno de Tampico
Bien chula,2025-05-21T03:01:08Z,Gobierno de Tampico
Q transformación q desgrasia d gobierno ayi Seve l ipocresias,2025-05-21T03:22:14Z,Gobierno de Tampico
Alguien le dijo a tras  que Mario le dijera malagradecida las amo,2025-05-21T03:56:48Z,Gobierno de Tampico
Puras mentiras como siempre del gobierno .no hacen nada puras palabras,2025-05-21T04:28:28Z,Gobierno de Tampico
😮,2025-05-21T05:11:50Z,Gobierno de Tampico
Gracias por llevarnos de paseo. Muy lindos lugares tiene tu pais,2025-05-21T05:19:31Z,Gobierno de Tampico
Y en está ocasión será que si van a hacer justicia?,2025-05-21T05:42:15Z,Gobierno de Tampico
Si es un mercado muy grande y sobre todo muy moderno . Muchas gracias por el recorrido todo se mira muy. Bonito 😊,2025-05-21T06:03:48Z,Gobierno de Tampico
Esper un momento yo soy de tampico u creo aver visto esa cara en la Laguna del carpintero,2025-05-21T06:30:19Z,Gobierno de Tampico
Esper un momento yo soy de tampico u creo aver visto esa cara en la Laguna del carpintero,2025-05-21T06:30:19Z,gobierno de Tampico
Y éstos gatos no tenian jefes?,2025-05-21T08:45:32Z,Gobierno de Tampico
Y éstos gatos no tenian jefes?,2025-05-21T08:45:32Z,gobierno de Tampico
Él gobierno se quedó con el combustible pero igual sin reportar nada y los que traían ese combustible son igual del gobierno no se hagan pendejos rateros,2025-05-21T10:35:17Z,Gobierno de Tampico
No que las gaso.i eras no refinan se lo estan rrobando esos son lo s panistas,2025-05-21T12:19:51Z,Gobierno de Tampico
No que las gaso.i eras no refinan se lo estan rrobando esos son lo s panistas,2025-05-21T12:19:51Z,gobierno de Tampico
Que no Los encarcelan por que tienen fuero y son del gobierno ya Ben alito,2025-05-21T12:22:58Z,Gobierno de Tampico
Que no Los encarcelan por que tienen fuero y son del gobierno ya Ben alito,2025-05-21T12:22:58Z,gobierno de Tampico
Si,2025-05-21T14:25:04Z,Gobierno de Tampico
🤢🤑🤮👽💚💚🟩🟢📗💚👣🦰🦱🦳🦲,2025-05-21T15:25:54Z,presidenta municipal de Tampico
🤢🤑🤮👽💚💚🟩🟢📗💚👣🦰🦱🦳🦲,2025-05-21T15:25:54Z,Presidenta municipal de Tampico
Se hacen pndjs,2025-05-21T15:49:06Z,Gobierno de Tampico
Cuántos años tenían haciéndolo solo hasta que USA les envío la investigación actuaron  estos de MORENA,2025-05-21T15:49:55Z,Gobierno de Tampico
Que bonita familia de Tania Contreras López! Que ya vengan por toooodooooos incluido el gober Americo Villarreal.,2025-05-21T16:10:12Z,gobierno de Tampico
Imaginen a esa narco huachicolera de juez...es de terror.,2025-05-21T16:50:08Z,gobierno de Tampico
💚,2025-05-21T17:32:10Z,presidenta municipal de Tampico
💚,2025-05-21T17:32:10Z,Presidenta municipal de Tampico
"Ay carambas! Que bonito es el centro, y de noche se mira aun massin duda la proxima vez que vaya tengo que conocer. El centro comercial super bello tbn. Me gusto!!! ❤❤❤❤",2025-05-21T18:49:15Z,Gobierno de Tampico
Muy hermosa,2025-05-21T19:33:03Z,Gobierno de Tampico
Bonita hermosa y guapa mi p*** madre hermosa,2025-05-21T20:16:44Z,Gobierno de Tampico
"El kks, la chacha del kks y marcelo. O quienes cayeron?",2025-05-21T22:29:49Z,Gobierno de Tampico
"El kks, la chacha del kks y marcelo. O quienes cayeron?",2025-05-21T22:29:49Z,gobierno de Tampico
Wao que bonito es Tamaulipas no lo conocía y gracias a tu video ya está muy bonito el centro y de noche se ve mucho más bonito,2025-05-21T22:37:25Z,Gobierno de Tampico
Demaciada imprudencia talves un arrevase en raya continua demandar y sancionar a todas las compañias para que les duela y pagar bien a los lesionados bendiciones,2025-05-22T00:15:54Z,Gobierno de Tampico
"y todavia les crees pinche lambueguevos, no habra impunidad si como no jajajajajajajajajajajaja",2025-05-22T01:18:29Z,Gobierno de Tampico
👽🤑💚👕👘🛍 🐊🐢🐍🐲🐉🐸🌵🌴🌳🌲🌱🐛🌿🍀🌾🍃🍈🍏🍐🍸🍾🍵🌄🗾🛣🛤🛌🎄🎍⛳🔋💵📗💹➗💲♍♎🈯🉑🇨🇨🇩🇲🇧🇷🇧🇩🇬🇼🇪🇷🇪🇹🇬🇦🇯🇲🇮🇹🇲🇽🇲🇴🇵🇰🇹🇲🇸🇱🇿🇲🌽🌷🏞🏕🚞🛏🎄🎍🎄🎋⛳ fue todo lo que encontre=),2025-05-22T02:27:15Z,presidenta municipal de Tampico
👽🤑💚👕👘🛍 🐊🐢🐍🐲🐉🐸🌵🌴🌳🌲🌱🐛🌿🍀🌾🍃🍈🍏🍐🍸🍾🍵🌄🗾🛣🛤🛌🎄🎍⛳🔋💵📗💹➗💲♍♎🈯🉑🇨🇨🇩🇲🇧🇷🇧🇩🇬🇼🇪🇷🇪🇹🇬🇦🇯🇲🇮🇹🇲🇽🇲🇴🇵🇰🇹🇲🇸🇱🇿🇲🌽🌷🏞🏕🚞🛏🎄🎍🎄🎋⛳ fue todo lo que encontre=),2025-05-22T02:27:15Z,Presidenta municipal de Tampico
"estas mal , la mejor frase es &#39;&#39;Dejate de puterias huasteco&#39;&#39;",2025-05-22T02:51:23Z,presidenta municipal de Tampico
"estas mal , la mejor frase es &#39;&#39;Dejate de puterias huasteco&#39;&#39;",2025-05-22T02:51:23Z,Presidenta municipal de Tampico
no me pongan esa que me alucino 🫨  (la puse yo),2025-05-22T04:15:53Z,gobierno de Tampico
😮,2025-05-22T05:38:47Z,Gobierno de Tampico
Saludos desde victoria tamaulipas,2025-05-22T07:25:06Z,Gobierno de Tampico
Saludos desde victoria tamaulipas,2025-05-22T07:25:06Z,gobierno de Tampico
No se quien es el chore pero la rola esta chida,2025-05-22T09:43:19Z,gobierno de Tampico
Cómo Lozoya no les aran nada podrán seguir el proceso en su kasa así es siempre no se por que sé sorprenden,2025-05-22T12:58:21Z,Gobierno de Tampico
Cómo Lozoya no les aran nada podrán seguir el proceso en su kasa así es siempre no se por que sé sorprenden,2025-05-22T12:58:21Z,gobierno de Tampico
El pueblo bueno y sabio ..😅,2025-05-22T13:58:38Z,gobierno de Tampico
Villa chichi meca,2025-05-22T14:06:42Z,presidenta municipal de Tampico
Villa chichi meca,2025-05-22T14:06:42Z,Presidenta municipal de Tampico
Así le dicen a mi compa,2025-05-22T14:46:41Z,gobierno de Tampico
Pero esa esta loca<br>Yo la despingo😥 menos mal lo devolvieron gracias señor,2025-05-22T15:57:23Z,Gobierno de Tampico
Pero esa esta loca<br>Yo la despingo😥 menos mal lo devolvieron gracias señor,2025-05-22T15:57:23Z,gobierno de Tampico
Van a tener que poner esa cerqiita mas alta<br>Wow caballero que ni nuestros bebes de 4 paticas estan a salvo ñooooooooo😡,2025-05-22T15:59:39Z,Gobierno de Tampico
Van a tener que poner esa cerqiita mas alta<br>Wow caballero que ni nuestros bebes de 4 paticas estan a salvo ñooooooooo😡,2025-05-22T15:59:39Z,gobierno de Tampico
"El narco partido de MORENA , lo peor que nos pudo haber pasado , y gracias a los que reciben dinero sin trabajar .",2025-05-22T18:01:46Z,Gobierno de Tampico
"<a href=""https://www.youtube.com/watch?v=PDQPEgCrEZs&amp;t=506"">8:26</a> está mal porque las estarías sacando de su habitad y también porque si todos los que van a la playa se llevan una al final no quedaría muchas en su habitad. Me encantan sus vlogs❤️❤️",2025-05-22T18:38:26Z,Gobierno de Tampico
Uu así quien no si eres servidor público y ases cosas que no debes nomás te separan de tus cargos y no hay delito que perseguir por eso estamos como estamos por que no  se ha castigado con carcel a los involucrados,2025-05-22T19:05:27Z,Gobierno de Tampico
Uu así quien no si eres servidor público y ases cosas que no debes nomás te separan de tus cargos y no hay delito que perseguir por eso estamos como estamos por que no  se ha castigado con carcel a los involucrados,2025-05-22T19:05:27Z,gobierno de Tampico
hacian de todo menos probra l comida de tamipico JAJAJAJAJ,2025-05-22T20:32:03Z,Gobierno de Tampico
No 5 no😢 nada yq kinot😢,2025-05-22T22:20:08Z,gobierno de Tampico
Viva la 4t,2025-05-23T01:24:40Z,Gobierno de Tampico
Viva la 4t,2025-05-23T01:24:40Z,gobierno de Tampico
"Comentario no relacionado con el video, pero todos debemos saber que la planificación temprana es la mejor manera de construir una base sólida para el éxito. Lo más inteligente que todos deberíamos tener en mente ahora mismo es invertir en diferentes fuentes de ingresos que no dependan del gobierno, especialmente con la actual crisis económica mundial. Sigue siendo un buen momento para invertir en oro, plata y criptomonedas",2025-05-23T02:22:13Z,gobierno de Tampico
Aqui los que binieron del video &quot;vlog en tampico&quot;👇,2025-05-23T03:03:14Z,Gobierno de Tampico
Ajajjajajjaj COMUNISTAS DE MIERD@,2025-05-23T03:26:45Z,Gobierno de Tampico
"Deben encarcelarlos, como nomas suspenderlos?que suave no?, con esta justicia protectora de delincuentes",2025-05-23T05:09:55Z,Gobierno de Tampico
"Deben encarcelarlos, como nomas suspenderlos?que suave no?, con esta justicia protectora de delincuentes",2025-05-23T05:09:55Z,gobierno de Tampico
Lo. Enttendersn. Lo. Apoyadores. De. La. Corrupcion. Panistas. Cabeza. De. Vaca. Que. Obras. Hiso. Se. La. Paso. Robando.,2025-05-23T08:55:44Z,Gobierno de Tampico
Lo. Enttendersn. Lo. Apoyadores. De. La. Corrupcion. Panistas. Cabeza. De. Vaca. Que. Obras. Hiso. Se. La. Paso. Robando.,2025-05-23T08:55:44Z,gobierno de Tampico
Al caballero devlos mares lo arrastro un airecito inesperado🤡💯,2025-05-23T10:44:43Z,gobierno de Tampico
Es más lo que se roban que lo que produce apartesubsidiarla.y no pagan iepes y nosotros pagamos gasolina mala y cara.y el ganon es AMLO y pandilla,2025-05-23T10:47:56Z,gobierno de Tampico
Estado fallido.,2025-05-23T10:54:17Z,gobierno de Tampico
NarcoAMLO soslayó este creimen y a estos Narcomorenistas …,2025-05-23T10:59:20Z,gobierno de Tampico
DE VERDAD SI HAY HONESTIDAD EN MÉXICO EN LA POLÍTICA LO DUDO DONDE ESTA EL ALDEANO QUE DECIA LA CORRUPCIÓN COMO LAS 🪜 DE ARRIBA,2025-05-23T11:08:21Z,gobierno de Tampico
Periodistas hipócritas.  Amlo es el jefe de toda la corrupción.,2025-05-23T11:29:29Z,gobierno de Tampico
Blablablablabla blablablablabla blablablablabla puro atole de estos gueyes,2025-05-23T11:29:43Z,Gobierno de Tampico
Blablablablabla blablablablabla blablablablabla puro atole de estos gueyes,2025-05-23T11:29:43Z,gobierno de Tampico
QUE FREGON SERIA QUE EL REHUEVON GOBER DE 9 A 5 SAMUEL GARCIA TRABAJARA EL 0.000000000001 % POR LOS REJIOTES Y REJIOTAS COMO LA PRESIDENTA.,2025-05-23T11:34:32Z,gobierno de Tampico
"Los quitaron,para protegerlos, y dejarlos impunes.",2025-05-23T11:38:55Z,gobierno de Tampico
excellent job,2025-05-23T11:58:30Z,gobierno de Tampico
Excelente fin de semana buenos días,2025-05-23T12:02:38Z,gobierno de Tampico
Muy Buenos días,2025-05-23T12:03:07Z,gobierno de Tampico
GRACIAS TRUMP....,2025-05-23T12:07:56Z,gobierno de Tampico
Así es amigo el metapemex hay que bautizarla como Huachic oil company. Una tragedia nacional.,2025-05-23T12:16:49Z,gobierno de Tampico
"Ciudadanos de Durango Donde llega Narco Morena a gobernar suben alarmante ente las Extorciones, Los secuestros, los robos, los asesinatos a los ciudadanos trabajadores<br>Vean los ejemplos en Sinaloa Tamaulipas Guerreros y todo donde llega Gobierna al poder, Narco morena solo protege a los delincuentes",2025-05-23T12:19:23Z,gobierno de Tampico
"Se está haciendo limpieza, pero no se está metiendo a la cárcel a esas autoridades corruptas implicadas",2025-05-23T12:33:05Z,gobierno de Tampico
"<a href=""https://www.youtube.com/watch?v=8wtGRc1tOew&amp;t=282"">4:42</a> Claro que que estan haciendo un proyecto productivo, ahí está el de autos Olinia, alguien sabe en qué parte del proceso va?",2025-05-23T12:34:50Z,gobierno de Tampico
Este militar llalodeven mandar asucasa luego luego Seve que LLA está cansadito el señor por eso llano se mueve hay que darle chanses Alos jóvenes digo en mi opinión.,2025-05-23T12:40:37Z,gobierno de Tampico
Sorpresas...<br>Creatividad.....Maligna de Morena<br>       😮 pobre México 🇲🇽...,2025-05-23T12:47:57Z,gobierno de Tampico
Cuantos detenidos hay? <br>Ninguno por que es la misma marrana revolcada,2025-05-23T12:50:26Z,gobierno de Tampico
"Les faltó mencionar al nuevo embajador de los gringos que va a ser cuña para seguir desmantelando el huachicoleo y los labs de Fenta,",2025-05-23T12:50:59Z,gobierno de Tampico
Levante la mano quién opine que Marcela tiene razón y que nuestra presidenta es una actriz especializada en mantenerse mustia y sin emociones ante las tragedias que sufre el pais todos los diaa,2025-05-23T12:51:15Z,gobierno de Tampico
"Marcela tiene una visión mucho más aterrizada, Ramón probablemente tenga más información y un análisis más experimentada. <br><br>Pero Marcela tiene un punto muy válido, esto es un circo de Sheinbaum y la 4ta, se están matando entre ellos. No cambio nada gracias Harfuch y Sheinbaum, gracias a Estados Unidos. Aquí no aplica el haiga sido como haiga sido",2025-05-23T12:54:05Z,gobierno de Tampico
"Ahora resulta que este regimen si esta dando resultados contra el huachicol???????, jajajajajaja, jajajajajaja...cuantos detenidos eh???",2025-05-23T12:59:35Z,gobierno de Tampico
"Los delincuentes del huachicol del sexenio pasado siguen aún en el sexenio de Sheinbaum. No me digan que ella no sabe quién está involucrado? Empezando por Mario Delgado,, hoy secretario de educación y anteriormente jefe de campaña presidencial de Sheinbaum, además de todos los narcogobernadores apoyados con las ganancias del huachicol fiscal federal.",2025-05-23T13:00:22Z,gobierno de Tampico
KKS ENTREGA A LA RATA ANDY Y A LA RANA DELGADO,2025-05-23T13:04:33Z,gobierno de Tampico
"Destituir personal no😂, a la carcel todos los corruptos , al cecot de Bukele 😂😂😂😂",2025-05-23T13:08:56Z,gobierno de Tampico
🇲🇽🇲🇽✅️,2025-05-23T13:10:39Z,gobierno de Tampico
NO SE HA MENCIONADO A OCTAVIO ROMERO QUE FUE QUIEN DIO LA INFORMACIÓN Y PERMITIÓ TODO.,2025-05-23T13:17:45Z,gobierno de Tampico
"Hablando de armas,ahora que la estructura aduanal se cae,seria bueno que alguien con capacidad investigue si con los precursores no vienen armas tipo AK,47 fabricadas en china,aqui se le puede caer otro discurso patreotero a la 4t",2025-05-23T13:22:27Z,gobierno de Tampico
"Apoyo a Marcela. Este gobierno es un circo. La presidente está sola y no quiere reconocer que està rodeada de gente que no tiene empatia, lealtad ni solidaridad con ella",2025-05-23T13:30:41Z,gobierno de Tampico
"Lo peor es que como siempre, no habrá consecuencias para los culpables. Todos son cómplices",2025-05-23T13:32:56Z,gobierno de Tampico
"Huachicol y muertes de personajes claves  no coincidencia.<br>Buen y bendecido día, Dios los bendice en su camino",2025-05-23T13:36:56Z,gobierno de Tampico
"Mira como está PEMEX? y el PAÍS!!!!... Desmantelado, pero solo se señala y no hay consecuencias para sus fechorias, todos siguen en funciones paseando por el mundo y acomodando sus intereses.",2025-05-23T13:38:23Z,gobierno de Tampico
