query_index,query,medio,termino,article_title,article_url_original,article_url_resolved,status,resolution_strategy,cache_hit_url_resolution,error_type,error_detail
1,"""Monica Villarreal"" site:oem.com.mx",site:oem.com.mx,"""Monica Villarreal""",Es gratis: Tampico anuncia que no habrá cobro de estacionamiento en las Fiestas de Abril - El Sol de México,https://news.google.com/rss/articles/CBMi0gFBVV95cUxObjBGWkxkZTNDT2twazlTZkpUejgxaVlvWVBPNDEzSnJFTXdWSnRnWDdvMERfVXliNXhxY2Y2TEtLRjAzcUYwRVM5ZUZkMi1pT1hjb25OZVE1T2xKSUtLQ1ZYR18weV9COTdOZHZody1lX2xFcVpqbFdiMkZ3V0Q2T0pOZTdJZmJ2V054dDJ6QlZHM2ZPdTFYM2xRcUx4bGZpVVI3QWhpWVo0dW5jUFkyc0s0MjE2OUFCbmtGNHhVSHRRUU1TbzFJX3BlUG9LMWlwc1E?oc=5,https://oem.com.mx/elsoldetampico/local/es-gratis-tampico-anuncia-que-no-habra-cobro-de-estacionamiento-en-las-fiestas-de-abril-29218285,success,google_batchexecute,False,,
1,"""Monica Villarreal"" site:oem.com.mx",site:oem.com.mx,"""Monica Villarreal""","Su vida en un documental: presentan Aquí estoy, mujeres que dejaron huella - El Sol de México",https://news.google.com/rss/articles/CBMivwFBVV95cUxOZkJSMGhGM3pzRzFZRHV0RFByOW9yTFMtMzJPYURZMHQ2aXdQX2VfUkZmY2p1Q1phN0I0OU5lRHVIMmlrRmFtNkJ5WjVBOHF6WnRad0NibUtOQmxOT0lLTkQ0VWtERzFSUXJrQzRNUGRzN1VZb3ZkREc4UWphdmh2Uk5ENDMwZ0d3Vk5qQUEtcm56VkpMWkdHU05VWjQ3b3c1cnpWS1NqWWtRM3dEX2lCcDFxelFQMTFLWVlodnk2cw?oc=5,https://oem.com.mx/elsoldetampico/gossip/su-vida-en-un-documental-presentan-aqui-estoy-mujeres-que-dejaron-huella-29161119,success,google_batchexecute,False,,
2,"""gobierno de tampico"" site:oem.com.mx",site:oem.com.mx,"""gobierno de tampico""",¡Muro contra el crudo! Tampico Alto ‘sella’ la Laguna de Tamiahua ante derrame de petróleo en el Golfo de México - El Sol de México,https://news.google.com/rss/articles/CBMi7gFBVV95cUxPbWd1ZGRuaDBuUDVIRFRpM2ZEMkVGRHNTUjZrdnJKcVU2N05qOEVDNnZ1cmtvZlZzUi1hcjVxRG92V0hadEs2azBuaC1aby1fbGJZRHhwZGc4d0hNWHpoTHZraUZSaDViMjNva1o3SlhNYVVoYXRucGp2UXJvczhQdWdkY05VZURIZDB2Um5ULVFTZHdXZE9VRWV5Q3FLMzZQd2gtczY0cGVCTEVUZ2JmcmVMejBzWGhJcTNLc1JQdi05anpwemJjSkxoLUkwcmdQVDdlQnRlT3FWTWpoOEc5UTlURFRzd20ta1dSTi13?oc=5,https://oem.com.mx/elsoldetampico/local/muro-contra-el-crudo-tampico-alto-sella-la-laguna-de-tamiahua-ante-derrame-de-petroleo-en-el-golfo-de-mexico-29196193,success,google_batchexecute,False,,
2,"""gobierno de tampico"" site:oem.com.mx",site:oem.com.mx,"""gobierno de tampico""","Música, comparsas y sorpresas: así será el Carnaval Tampico Alto 2026 - El Sol de México",https://news.google.com/rss/articles/CBMitwFBVV95cUxNblhRT2dMVVp3bFdSaGNjZFRWS2hXN2NZYXU0eFlWcWlLdVE2clN0QlVMQnQxRDVIYmNwbVN0TjBoSDBrMzY3U0V4aWRITjYtckYtUUNiUGkzOFlQeG9UbmFOMUVLSW84bFZjV0IyYXV5VlVibS1qY0hWT1ZRWGtLVTIzc0dKLXlHUWN5QzlsY3Fpcko1YWFGNy0yVHpTX1hzQnlJdjRFVmJKZFZ0UFBvcjdRcWdDOTg?oc=5,https://oem.com.mx/elsoldetampico/local/musica-comparsas-y-sorpresas-asi-sera-el-carnaval-tampico-alto-2026-29059534,success,google_batchexecute,False,,
2,"""gobierno de tampico"" site:oem.com.mx",site:oem.com.mx,"""gobierno de tampico""","Con silbato y mapas, tránsitos de Tampico serán guías turísticos en Semana Santa 2026 - El Sol de México",https://news.google.com/rss/articles/CBMi0AFBVV95cUxOZ29aemNxbmY1bERkVC1MX0VpMkFCWkl5ZHNFM1B2RHBCY1hha2p6MzBEY2JfSDk1WkNnMFJkQnNfT3ZVcVpqZDRyb2dZcnlpTlBUTDZwbk5KdWM0QWxPRklUQkFkb1lJajVwb1JpZEFyNk5DYmxkRWcxaHdDSTEtRHd3bzB1TXZFR3NOYjNrVm81Nk1iZElUMnhWd1Jqc0ItWktxVWlFVV8ybUZjb09SdmdxSmJOaXREZ2xQNFZGMVNRWlpKRU5NTEo5SzZUR2lM?oc=5,https://oem.com.mx/elsoldetampico/turismo/con-silbato-y-mapas-transitos-de-tampico-seran-guias-turisticos-en-semana-santa-2026-29170194,success,google_batchexecute,False,,
3,"""tampico"" site:oem.com.mx",site:oem.com.mx,"""tampico""",Del “chalán” a la caseta: la historia del Puente Pánuco y por qué hoy exigen que sea gratis - El Sol de México,https://news.google.com/rss/articles/CBMi0wFBVV95cUxPcEtEc1RvV0VqR0o0UVZzbS1pRklyeHNmWkVHNHdrZHc5MkZCTzUyS042UVkxNFZ2aDNaZmdiMmhrNmNzdV9aUlEyMGVVNzhTZ0tmazdJX2V2bzhVX1Q1VEpSbGh0dkNnLXpwdk5odjA1eWxiN2l2VXJSMlVjZVUzX0o3c1JIUWhEeDdlMldmNVoyZjc3ckt2Q0NLQ08wQ0Fvd0FRNHBxWmRDTVVpR2lCRTFRdThYcFpvOU80cHk4dWltdFk0cDlkdVhOQ3dLTkt4V280?oc=5,https://oem.com.mx/elsoldetampico/local/del-chalan-a-la-caseta-la-historia-del-puente-panuco-y-por-que-hoy-exigen-que-sea-gratis-29234979,success,google_batchexecute,False,,
3,"""tampico"" site:oem.com.mx",site:oem.com.mx,"""tampico""","A 70 años de Pepito El Terrestre, proponen estatua de pie en Tampico - El Sol de México",https://news.google.com/rss/articles/CBMivgFBVV95cUxPWmdmX1J2c0FpaE1NVURIMDFVZmt6UEt1LTdISDJ5bTJTVE95Sjdwc0NvYW1nOXlEcUp3LWp1cm9JRUNVQjYwZXQzQ2Fkcmw1T1pmbndWVFZIQlh6Rloyc21pNnZLZVNiS1VWWTgxbjdlU2JBcXlNd1ZwSkFLV3FMVHI2dVkzNzV1OGZqazRobFFSY2JnSDVWbkk3c3NnR3J3VlRjZjVyMGlRTTJWTWRvWVFibF85YzZaM0FScS1B?oc=5,https://oem.com.mx/elsoldetampico/tendencias/a-70-anos-de-pepito-el-terrestre-proponen-estatua-de-pie-en-tampico-29136317,success,google_batchexecute,False,,
3,"""tampico"" site:oem.com.mx",site:oem.com.mx,"""tampico""",Sal de viaje sin sorpresas: precios de casetas en Tamaulipas este 2026 - El Sol de México,https://news.google.com/rss/articles/CBMiugFBVV95cUxNWUU4V1hzMmRkMkx4VGZpNnhEVTVMa2Ytam9FOWRoblBENUhUcEh3SExoTlhXcTF0THVVaEVNc3VTbGJhTGgxd25UbXhZUlNwMnc5b0RYclBiX3Rqcm1EVzloQjNUandoTGJwdm1Ham1IMVRQTXdkTzZETXdFd2Z2a1oxblQ1RkxsZENwaEpkclA4SmJkelRPMnFleWNWYkZlN0JqYWo0UkdhazdTdHdCZkxRS1VnenZZSWc?oc=5,https://oem.com.mx/elsoldetampico/local/sal-de-viaje-sin-sorpresas-precios-de-casetas-en-tamaulipas-este-2026-29221720,success,google_batchexecute,False,,
3,"""tampico"" site:oem.com.mx",site:oem.com.mx,"""tampico""",Hablemos de tecnología / Un pelo de gato - El Sol de México,https://news.google.com/rss/articles/CBMilAFBVV95cUxNdlZRa25NYnRBbUtycGx3aEktNV9UQWZsSXhVRkl6cnlnN05VVldpU3I1MkVfYmwtczQ0VURKdk9zVFJNbHFOQ0ZOanBadlRjWHd3aVEwTkxwTTl2ZEh3U0NEckhMTEwyVzdLeUV5M3pnQjQtQi0wYnJzVkhZRTRETWpnNl94Vm5RQ3hYQVRkbER5MnNM?oc=5,https://oem.com.mx/elsoldetampico/analisis/hablemos-de-tecnologia-un-pelo-de-gato-29208643,success,google_batchexecute,False,,
3,"""tampico"" site:oem.com.mx",site:oem.com.mx,"""tampico""",Atlético La Paz vs Jaiba Brava: lo que debes saber previo al juego clave de la Jornada 12 - El Sol de México,https://news.google.com/rss/articles/CBMi1wFBVV95cUxPSnROQjBjd3dtRmxWZUdiMnhheUtJRDJxeGtGUkxjd05WNWNRV2VJa05IamRrcWdzaWlVQ3JEdGtYNGc2NUFSYThpLTVNdkV1MzJJdkxVdGt4MzZsSENuOEhCSmMzWm1vTHdLV0hONFhkV2lnM3Izd0xtd1lXU2pMX3UzVDExU0FCalpZYlBDQmpNSmgyS1RfVjNGZzlQenZQSEFUYU9LdE5oamh3ODZubklGMWpNLVZScHVzLVV0RDVud2FaQ3VxSU5kMTVPM0pLRkRnZU9CYw?oc=5,https://oem.com.mx/elsoldetampico/deportes/atletico-la-paz-vs-jaiba-brava-lo-que-debes-saber-previo-al-juego-clave-de-la-jornada-12-29130468,success,google_batchexecute,False,,
