2026-04-05 09:47:32 | INFO | radar.twitter_extractor | Inicio de corrida | run_id=twitter_w10_backfill week_name=2026-03-02_semana_02marzo_08marzo_26 output_root=/home/emilio/Documentos/RAdAR/Datos_RAdAR/Twitter week_name_mode=canonical_monday_sunday
2026-04-05 09:47:32 | INFO | radar.twitter_extractor | Parámetros efectivos | since=2026-03-02 until=2026-03-08 total_queries=6 max_scrolls=6 max_tweets_per_query=100 include_replies=False headless=True
2026-04-05 09:47:32 | INFO | radar.twitter_extractor | Archivo de sesión | session_state_file=/home/emilio/Documentos/RAdAR/Scripts/state/x_state.json
2026-04-05 09:47:33 | INFO | radar.twitter_extractor | Playwright inicializado | headless=True session_state_file=/home/emilio/Documentos/RAdAR/Scripts/state/x_state.json
2026-04-05 09:47:36 | INFO | radar.twitter_extractor | Sesión persistida validada correctamente contra X/Twitter.
2026-04-05 09:47:36 | INFO | radar.twitter_extractor | Procesando query 1/6 | query=to:MonicaVTampico
2026-04-05 09:47:40 | INFO | radar.twitter_extractor | Búsqueda abierta | query=to:MonicaVTampico since:2026-03-02 until:2026-03-08
2026-04-05 09:47:46 | INFO | radar.twitter_extractor | Query procesada | query_index=1 query=to:MonicaVTampico tweets_guardados=1 replies_guardados=0 errores=0 scrolls=6
2026-04-05 09:47:46 | INFO | radar.twitter_extractor | Procesando query 2/6 | query=from:MonicaVTampico
2026-04-05 09:47:50 | INFO | radar.twitter_extractor | Búsqueda abierta | query=from:MonicaVTampico since:2026-03-02 until:2026-03-08
2026-04-05 09:47:56 | INFO | radar.twitter_extractor | Query procesada | query_index=2 query=from:MonicaVTampico tweets_guardados=0 replies_guardados=0 errores=0 scrolls=6
2026-04-05 09:47:56 | INFO | radar.twitter_extractor | Procesando query 3/6 | query=to:TampicoGob
2026-04-05 09:47:59 | INFO | radar.twitter_extractor | Búsqueda abierta | query=to:TampicoGob since:2026-03-02 until:2026-03-08
2026-04-05 09:48:05 | INFO | radar.twitter_extractor | Query procesada | query_index=3 query=to:TampicoGob tweets_guardados=1 replies_guardados=0 errores=0 scrolls=6
2026-04-05 09:48:05 | INFO | radar.twitter_extractor | Procesando query 4/6 | query=from:TampicoGob
2026-04-05 09:48:09 | INFO | radar.twitter_extractor | Búsqueda abierta | query=from:TampicoGob since:2026-03-02 until:2026-03-08
2026-04-05 09:48:15 | INFO | radar.twitter_extractor | Query procesada | query_index=4 query=from:TampicoGob tweets_guardados=0 replies_guardados=0 errores=0 scrolls=6
2026-04-05 09:48:15 | INFO | radar.twitter_extractor | Procesando query 5/6 | query=@TampicoGob
2026-04-05 09:48:18 | INFO | radar.twitter_extractor | Búsqueda abierta | query=@TampicoGob since:2026-03-02 until:2026-03-08
2026-04-05 09:48:28 | INFO | radar.twitter_extractor | Query procesada | query_index=5 query=@TampicoGob tweets_guardados=17 replies_guardados=0 errores=0 scrolls=6
2026-04-05 09:48:28 | INFO | radar.twitter_extractor | Procesando query 6/6 | query=@MonicaVTampico
2026-04-05 09:48:31 | INFO | radar.twitter_extractor | Búsqueda abierta | query=@MonicaVTampico since:2026-03-02 until:2026-03-08
2026-04-05 09:48:40 | INFO | radar.twitter_extractor | Query procesada | query_index=6 query=@MonicaVTampico tweets_guardados=19 replies_guardados=0 errores=0 scrolls=6
2026-04-05 09:48:40 | INFO | radar.twitter_extractor | Artefactos canónicos publicados | total=7
2026-04-05 09:48:40 | INFO | radar.twitter_extractor | Cierre de corrida | status=success tweets_detected=112 tweets_saved=38 replies_saved=0 run_dir=/home/emilio/Documentos/RAdAR/Datos_RAdAR/Twitter/2026-03-02_semana_02marzo_08marzo_26/runs/twitter_w10_backfill_20260405_094732
