query_index,query,video_rank,video_id,video_title,channel_title,video_published_at,video_url,comments_extracted,status,error_message
1,presidenta municipal de Tampico,1,U-VsGYIenNs,La presidenta Sheinbaum sufrió un inocente durante su gira por Nayarit #shorts #short,Político MX,2026-03-15T06:25:22Z,https://www.youtube.com/watch?v=U-VsGYIenNs,78,success,
1,presidenta municipal de Tampico,2,VwAETyTpV5o,"¡CAYÓ LA EX DIPUTADA! | HARFUCH CAPTURA A ""GABRIELA"" QUE ROBÓ A SU PROPIA NIETA",Harfuch Punto,2026-03-15T14:22:08Z,https://www.youtube.com/watch?v=VwAETyTpV5o,12,success,
2,Presidenta municipal de Tampico,1,U-VsGYIenNs,La presidenta Sheinbaum sufrió un inocente durante su gira por Nayarit #shorts #short,Político MX,2026-03-15T06:25:22Z,https://www.youtube.com/watch?v=U-VsGYIenNs,78,success,
2,Presidenta municipal de Tampico,2,VwAETyTpV5o,"¡CAYÓ LA EX DIPUTADA! | HARFUCH CAPTURA A ""GABRIELA"" QUE ROBÓ A SU PROPIA NIETA",Harfuch Punto,2026-03-15T14:22:08Z,https://www.youtube.com/watch?v=VwAETyTpV5o,12,success,
3,Gobierno de Tampico,1,plS4jigOUbQ,Los reyes del Carnaval Tampico 2000 y la banda municipal de Tampico,Tampico de Corazón,2026-03-13T19:49:06Z,https://www.youtube.com/watch?v=plS4jigOUbQ,0,success,
3,Gobierno de Tampico,2,eSIwKcA98is,"El gorila ""Amoroso"" en el Carnaval Tampico 2000",Tampico de Corazón,2026-03-10T20:39:44Z,https://www.youtube.com/watch?v=eSIwKcA98is,0,success,
3,Gobierno de Tampico,3,5dCjAWmpTfA,TAMPICO. CUNA DE LA AVIACIÓN COMERCIAL     #puertodetampico #TAMPICO #descubretampico,DESCUBRE TAMPICO ,2026-03-11T23:38:34Z,https://www.youtube.com/watch?v=5dCjAWmpTfA,0,success,
3,Gobierno de Tampico,4,Hdq9flLBt20,¡Tampico Realiza Clase de Defensa Personal!💥,Oscar Malibran,2026-03-15T16:00:06Z,https://www.youtube.com/watch?v=Hdq9flLBt20,0,success,
3,Gobierno de Tampico,5,U-VsGYIenNs,La presidenta Sheinbaum sufrió un inocente durante su gira por Nayarit #shorts #short,Político MX,2026-03-15T06:25:22Z,https://www.youtube.com/watch?v=U-VsGYIenNs,78,success,
3,Gobierno de Tampico,6,XZnYzICuoEQ,Sheinbaum va por la revancha.,ORT Radio,2026-03-13T16:12:31Z,https://www.youtube.com/watch?v=XZnYzICuoEQ,0,success,
3,Gobierno de Tampico,7,LEcRlfTi-tc,CIET 2025 rompió récord: el evento energético con más visitantes del año en Tamaulipas,Global Energy TV,2026-03-13T16:16:08Z,https://www.youtube.com/watch?v=LEcRlfTi-tc,0,success,
3,Gobierno de Tampico,8,u7MNud8mTYA,Feria Nacional de Empleo en Tampico #Tamaulipas #JuanPizaña #Mexico #Empleo,Juan Pizaña Mtz,2026-03-10T18:04:56Z,https://www.youtube.com/watch?v=u7MNud8mTYA,0,success,
3,Gobierno de Tampico,9,kJfY-1S958U,¡Vender tortillas en hielera te puede costar una fortuna! Profeco advierte sanciones millonarias,El Heraldo de México,2026-03-10T05:21:36Z,https://www.youtube.com/watch?v=kJfY-1S958U,291,success,
3,Gobierno de Tampico,10,AT5nwrSg184,Todo el peso de la ley... por vender tortillas en hieleras,Azteca Noticias,2026-03-09T20:31:47Z,https://www.youtube.com/watch?v=AT5nwrSg184,388,success,
3,Gobierno de Tampico,11,Cbk99K7FGuM,Conferencia matutina de Claudia Sheinbaum | Jueves 12 de marzo,UnoTV,2026-03-12T16:12:49Z,https://www.youtube.com/watch?v=Cbk99K7FGuM,64,success,
3,Gobierno de Tampico,12,m8m2tkdx9Dc,AZNAR carga contra PEDRO SÁNCHEZ: JUSTIFICA la GUERRA en IRÁN y defiende que ESPAÑA participe,Diario AS,2026-03-11T12:44:43Z,https://www.youtube.com/watch?v=m8m2tkdx9Dc,51,success,
3,Gobierno de Tampico,13,nr9Wc2laQLo,“Sepultaron” la reforma electoral.,ORT Radio,2026-03-12T17:22:10Z,https://www.youtube.com/watch?v=nr9Wc2laQLo,1,success,
3,Gobierno de Tampico,14,sjKEpKouVqQ,Corte informativo en #ORTNoticias | 09 de Marzo del 2026,ORT Radio,2026-03-09T14:54:10Z,https://www.youtube.com/watch?v=sjKEpKouVqQ,0,success,
3,Gobierno de Tampico,15,GISX_TuT6f0,Sheinbaum sufre incidente en evento de Nayarit; le pican el ojo #shorts,El Universal,2026-03-15T03:29:52Z,https://www.youtube.com/watch?v=GISX_TuT6f0,163,success,
3,Gobierno de Tampico,16,Fpw3-viOA3E,Corte informativo en #ORTNoticias | 13 de Marzo del 2026,ORT Radio,2026-03-13T14:44:09Z,https://www.youtube.com/watch?v=Fpw3-viOA3E,0,success,
3,Gobierno de Tampico,17,YrSFh8GubHI,Entrevista Foro Estatal del Agua 2026,Mesa Ciudadana del Agua,2026-03-11T02:24:11Z,https://www.youtube.com/watch?v=YrSFh8GubHI,0,success,
3,Gobierno de Tampico,18,kyIAo9lJdX8,Evento Tampico Campo Trion,Grupo informativo Tribuna Abierta y Sentido Común ,2026-03-10T19:59:30Z,https://www.youtube.com/watch?v=kyIAo9lJdX8,0,success,
3,Gobierno de Tampico,19,3xyV3xc-NBw,🔴 Un gran incendio en #Tamaulipas fue sofocado en #Jaumave con apoyo de un helicóptero.🔥🚁,El Sol de Tampico,2026-03-13T20:03:04Z,https://www.youtube.com/watch?v=3xyV3xc-NBw,0,success,
3,Gobierno de Tampico,20,V_-6V8otFbc,Corte informativo en #ORTNoticias | 12 de Marzo del 2026,ORT Radio,2026-03-12T14:44:03Z,https://www.youtube.com/watch?v=V_-6V8otFbc,0,success,
3,Gobierno de Tampico,21,g20bjIQPrpc,Va “al quite”.,ORT Radio,2026-03-09T16:21:06Z,https://www.youtube.com/watch?v=g20bjIQPrpc,0,success,
3,Gobierno de Tampico,22,A0hy2bs1zC4,IETAM pone orden.,ORT Radio,2026-03-10T17:55:06Z,https://www.youtube.com/watch?v=A0hy2bs1zC4,0,success,
3,Gobierno de Tampico,23,FH8ASck5YjE,Corte informativo en #ORTNoticias | 11 de Marzo del 2026,ORT Radio,2026-03-11T14:23:23Z,https://www.youtube.com/watch?v=FH8ASck5YjE,0,success,
3,Gobierno de Tampico,24,Br-tCQuWoIY,Antonio López de Santa Anna: Foi Presidente 11 Vezes — e Perdeu METADE do México para os Gringos,Historias Ocultas Latinas,2026-03-13T00:00:11Z,https://www.youtube.com/watch?v=Br-tCQuWoIY,4,success,
3,Gobierno de Tampico,25,Rtkp1Q7BmhQ,Le pican ojo a Sheinbaum en evento,Grupo REFORMA,2026-03-15T02:25:48Z,https://www.youtube.com/watch?v=Rtkp1Q7BmhQ,44,success,
3,Gobierno de Tampico,26,ER1clK1C9g8,"Pensiones doradas: Revelan millonarios pagos en CFE, Pemex y LyF de hasta 1 millón al mes",Grupo Fórmula,2026-03-14T03:07:32Z,https://www.youtube.com/watch?v=ER1clK1C9g8,123,success,
3,Gobierno de Tampico,27,MBBSx01Jl6s,"Ceremonia de Inauguración de la Competencia Internacional “Chimaltlalli 2026” (12/a. edición)",México Aeroespacial y Defensa,2026-03-10T22:05:02Z,https://www.youtube.com/watch?v=MBBSx01Jl6s,12,success,
3,Gobierno de Tampico,28,ZGS9P2X_J40,EN VIVO🔴Conferencia mañanera de la presidenta Claudia Sheinbaum | lunes 09 de marzo 2026,El Universal,2026-03-09T16:06:06Z,https://www.youtube.com/watch?v=ZGS9P2X_J40,0,success,
3,Gobierno de Tampico,29,AedntCCsSzQ,"LOS CAMINOS DEL ""BIENESTAR"" EN VERACRUZ",Las Noticias En México,2026-03-14T18:58:16Z,https://www.youtube.com/watch?v=AedntCCsSzQ,4,success,
3,Gobierno de Tampico,30,HeLKWpC_0vM,Fallecimiento por agua de drenaje COMAPA Tampico. Estalló la bomba de porquería. Claudia investiga.,Canal Ciudadano C2 🌎,2026-03-11T02:20:47Z,https://www.youtube.com/watch?v=HeLKWpC_0vM,1,success,
