fecha_inicio_semana,y_current,y_true,y_pred,y_true_model,y_pred_model,error,selected_feature_count,selected_features,inner_tuning_metric,inner_best_score,inner_split_count,convergence_warning_events,inner_folds_with_convergence_warning,final_fit_convergence_warning_events,best_epsilon,best_alpha,best_max_iter,best_tol,horizonte_sem,target_mode,feature_mode,transform_mode,run_id,model_name
2025-09-01,0.0328375249929476,0.037083177521204,-0.04637276918565335,0.037083177521204,-0.04637276918565335,-0.08345594670685735,30,"v5_basura_neto_lag2,v5_prevencion_neto_lag3,v5_obras_neto,v5_vialidad_neto_lag4,v5_obras_neto_lag1,v5_prevencion_neto_lag2,v5_basura_neto_lag5,v5_alumbrado_neto_lag2,sentimiento_medios_lag6,v5_agua_neto,v5_delitos_neto,v5_alumbrado_neto_lag1,v5_agua_neto_lag5,v5_obras_neto_lag4,v5_agua_neto_lag1,v5_delitos_neto_lag4,v5_agua_neto_lag6,v5_alumbrado_neto_lag6,v5_prevencion_neto_lag4,sentimiento_medios,v5_corrupcion_neto_lag6,sentimiento_medios_lag4,v5_corrupcion_neto_lag4,v5_morena_neto_lag3,v5_basura_neto,v5_vialidad_neto,v5_delitos_neto_lag2,v5_corrupcion_neto,v5_agua_neto_lag3,v5_morena_neto",mae,0.20994107928168582,3,0,0,0,1.1,0.0001,5000,0.0001,4,nivel,corr,standard,E2_v2_clean,huber_tscv
2025-09-08,0.0750438311217277,0.0408302409621366,-0.7273211801644878,0.0408302409621366,-0.7273211801644878,-0.7681514211266244,30,"v5_basura_neto_lag2,v5_obras_neto,v5_prevencion_neto_lag3,v5_vialidad_neto_lag4,v5_obras_neto_lag1,v5_basura_neto_lag5,v5_prevencion_neto_lag2,v5_alumbrado_neto_lag2,sentimiento_medios_lag6,v5_alumbrado_neto_lag1,v5_agua_neto,v5_obras_neto_lag4,v5_agua_neto_lag5,v5_delitos_neto,v5_agua_neto_lag6,v5_agua_neto_lag1,v5_delitos_neto_lag4,v5_corrupcion_neto_lag6,sentimiento_medios,v5_corrupcion_neto_lag4,sentimiento_medios_lag4,v5_prevencion_neto_lag4,v5_basura_neto,v5_delitos_neto_lag2,v5_alumbrado_neto_lag6,v5_vialidad_neto,v5_agua_neto_lag3,sentimiento_medios_lag1,v5_obras_neto_lag5,v5_morena_neto",mae,0.1926118547196989,3,0,0,0,1.1,0.01,5000,0.0001,4,nivel,corr,standard,E2_v2_clean,huber_tscv
2025-09-15,0.244150207322864,-0.0316621893348032,0.1087288533399137,-0.0316621893348032,0.1087288533399137,0.1403910426747169,30,"v5_basura_neto_lag2,v5_obras_neto,v5_prevencion_neto_lag3,v5_obras_neto_lag1,v5_vialidad_neto_lag4,v5_prevencion_neto_lag2,v5_alumbrado_neto_lag2,sentimiento_medios_lag6,v5_agua_neto,v5_agua_neto_lag5,v5_obras_neto_lag4,v5_delitos_neto,v5_alumbrado_neto_lag1,v5_agua_neto_lag6,v5_agua_neto_lag1,v5_corrupcion_neto_lag4,sentimiento_medios,v5_corrupcion_neto_lag6,v5_delitos_neto_lag4,sentimiento_medios_lag4,v5_agua_neto_lag3,v5_basura_neto,v5_alumbrado_neto_lag6,v5_vialidad_neto,v5_delitos_neto_lag2,v5_obras_neto_lag5,v5_basura_neto_lag5,v5_basura_neto_lag4,sentimiento_medios_lag1,v5_alumbrado_neto_lag4",mae,0.17798656552226522,3,0,0,0,1.1,0.001,5000,0.0001,4,nivel,corr,standard,E2_v2_clean,huber_tscv
2025-09-22,0.0353374615739687,0.167412720914919,0.1678054293956962,0.167412720914919,0.1678054293956962,0.0003927084807772152,30,"v5_basura_neto_lag2,v5_obras_neto_lag1,v5_prevencion_neto_lag3,v5_obras_neto,v5_vialidad_neto_lag4,v5_prevencion_neto_lag2,sentimiento_medios_lag6,v5_agua_neto,v5_delitos_neto,v5_agua_neto_lag5,v5_alumbrado_neto_lag2,v5_obras_neto_lag4,sentimiento_medios,v5_agua_neto_lag6,v5_agua_neto_lag1,v5_corrupcion_neto_lag6,v5_morena_neto,sentimiento_medios_lag4,v5_delitos_neto_lag4,v5_corrupcion_neto_lag4,v5_alumbrado_neto_lag6,v5_delitos_neto_lag2,sentimiento_medios_lag1,v5_basura_neto_lag4,v5_agua_neto_lag3,v5_alumbrado_neto_lag1,v5_vialidad_neto,v5_basura_neto,v5_alumbrado_neto_lag4,v5_obras_neto_lag5",mae,0.19372450024936808,3,0,0,0,1.1,1e-06,5000,0.0001,4,nivel,corr,standard,E2_v2_clean,huber_tscv
2025-09-29,0.037083177521204,0.134823580717908,0.1083614984140505,0.134823580717908,0.1083614984140505,-0.026462082303857506,30,"v5_basura_neto_lag2,v5_obras_neto_lag1,v5_obras_neto,v5_prevencion_neto_lag3,v5_vialidad_neto_lag4,v5_prevencion_neto_lag2,sentimiento_medios_lag6,v5_agua_neto_lag5,v5_alumbrado_neto_lag2,v5_delitos_neto,v5_agua_neto,v5_agua_neto_lag6,sentimiento_medios,v5_obras_neto_lag4,v5_corrupcion_neto_lag6,v5_agua_neto_lag1,v5_morena_neto,sentimiento_medios_lag4,v5_delitos_neto_lag4,v5_corrupcion_neto_lag4,v5_basura_neto_lag4,v5_delitos_neto_lag2,v5_agua_neto_lag3,v5_alumbrado_neto_lag1,sentimiento_medios_lag1,y_t_aceptacion_digital_lag3,v5_vialidad_neto_lag2,v5_obras_neto_lag5,v5_alumbrado_neto_lag4,v5_corrupcion_neto_lag1",mae,0.17824369746241206,3,0,0,0,1.1,1e-06,5000,0.0001,4,nivel,corr,standard,E2_v2_clean,huber_tscv
2025-10-06,0.0408302409621366,0.170657905569605,0.280879422523332,0.170657905569605,0.280879422523332,0.11022151695372698,30,"v5_basura_neto_lag2,v5_obras_neto_lag1,v5_obras_neto,v5_prevencion_neto_lag3,v5_vialidad_neto_lag4,v5_prevencion_neto_lag2,sentimiento_medios_lag6,v5_agua_neto_lag5,v5_alumbrado_neto_lag2,v5_delitos_neto,v5_agua_neto,v5_agua_neto_lag6,v5_obras_neto_lag4,sentimiento_medios,v5_corrupcion_neto_lag6,v5_morena_neto,sentimiento_medios_lag4,v5_corrupcion_neto_lag4,v5_delitos_neto_lag4,v5_agua_neto_lag1,v5_basura_neto_lag4,v5_delitos_neto_lag2,v5_alumbrado_neto_lag1,v5_agua_neto_lag3,sentimiento_medios_lag1,y_t_aceptacion_digital_lag3,v5_alumbrado_neto_lag4,v5_vialidad_neto_lag2,v5_obras_neto_lag5,v5_corrupcion_neto_lag1",mae,0.19167845093595196,3,0,0,0,2.0,0.1,5000,0.0001,4,nivel,corr,standard,E2_v2_clean,huber_tscv
2025-10-13,-0.0316621893348032,0.0692562741764684,0.1151165297051127,0.0692562741764684,0.1151165297051127,0.0458602555286443,30,"v5_basura_neto_lag2,v5_obras_neto_lag1,v5_obras_neto,v5_prevencion_neto_lag3,v5_vialidad_neto_lag4,v5_prevencion_neto_lag2,sentimiento_medios_lag6,v5_agua_neto_lag5,v5_alumbrado_neto_lag2,v5_delitos_neto,v5_agua_neto_lag6,v5_corrupcion_neto_lag6,sentimiento_medios,v5_obras_neto_lag4,v5_corrupcion_neto_lag4,v5_delitos_neto_lag4,sentimiento_medios_lag4,v5_basura_neto_lag4,v5_morena_neto,v5_delitos_neto_lag2,v5_agua_neto_lag1,v5_agua_neto,v5_alumbrado_neto_lag4,v5_vialidad_neto_lag2,sentimiento_medios_lag1,v5_alumbrado_neto_lag1,v5_obras_neto_lag5,v5_agua_neto_lag3,v5_morena_neto_lag1,y_t_aceptacion_digital_lag3",mae,0.18610395678794633,3,0,0,0,1.2,0.1,5000,0.0001,4,nivel,corr,standard,E2_v2_clean,huber_tscv
2025-10-20,0.167412720914919,0.218016998769719,0.1905965178404459,0.218016998769719,0.1905965178404459,-0.0274204809292731,30,"v5_basura_neto_lag2,v5_obras_neto_lag1,v5_obras_neto,v5_prevencion_neto_lag3,v5_vialidad_neto_lag4,v5_prevencion_neto_lag2,sentimiento_medios_lag6,v5_alumbrado_neto_lag2,v5_agua_neto_lag5,v5_delitos_neto,v5_corrupcion_neto_lag6,v5_agua_neto_lag6,sentimiento_medios,v5_obras_neto_lag4,v5_corrupcion_neto_lag4,sentimiento_medios_lag4,v5_delitos_neto_lag4,v5_agua_neto_lag1,v5_basura_neto_lag4,v5_morena_neto,v5_agua_neto,v5_delitos_neto_lag2,v5_alumbrado_neto_lag4,sentimiento_medios_lag1,v5_agua_neto_lag3,v5_obras_neto_lag5,v5_vialidad_neto_lag2,v5_alumbrado_neto_lag1,v5_morena_neto_lag6,y_t_aceptacion_digital_lag3",mae,0.18802016670823427,3,0,0,0,1.1,0.0001,5000,0.0001,4,nivel,corr,standard,E2_v2_clean,huber_tscv
2025-10-27,0.134823580717908,0.12751595957534,0.26957418585223614,0.12751595957534,0.26957418585223614,0.14205822627689613,30,"v5_basura_neto_lag2,v5_obras_neto_lag1,v5_obras_neto,v5_prevencion_neto_lag3,sentimiento_medios_lag6,v5_agua_neto_lag5,v5_alumbrado_neto_lag2,v5_prevencion_neto_lag2,v5_vialidad_neto_lag4,v5_delitos_neto,v5_agua_neto_lag6,v5_obras_neto_lag4,v5_corrupcion_neto_lag4,v5_corrupcion_neto_lag6,v5_delitos_neto_lag4,sentimiento_medios_lag4,sentimiento_medios,v5_delitos_neto_lag2,v5_alumbrado_neto_lag4,v5_vialidad_neto_lag2,v5_agua_neto,v5_obras_neto_lag5,v5_alumbrado_neto_lag6,v5_alumbrado_neto_lag1,y_t_aceptacion_digital_lag3,v5_morena_neto,sentimiento_medios_lag1,v5_corrupcion_neto_lag1,v5_agua_neto_lag1,v5_agua_neto_lag3",mae,0.15800262821378064,3,0,0,0,1.1,0.0001,5000,0.0001,4,nivel,corr,standard,E2_v2_clean,huber_tscv
2025-11-03,0.170657905569605,0.279605962079427,-0.10248928380780732,0.279605962079427,-0.10248928380780732,-0.3820952458872343,30,"v5_basura_neto_lag2,v5_obras_neto,v5_obras_neto_lag1,v5_prevencion_neto_lag3,sentimiento_medios_lag6,v5_agua_neto_lag5,v5_alumbrado_neto_lag2,v5_prevencion_neto_lag2,v5_vialidad_neto_lag4,v5_delitos_neto,v5_agua_neto_lag6,v5_obras_neto_lag4,v5_corrupcion_neto_lag4,v5_corrupcion_neto_lag6,v5_delitos_neto_lag4,sentimiento_medios_lag4,sentimiento_medios,v5_delitos_neto_lag2,v5_alumbrado_neto_lag4,v5_vialidad_neto_lag2,v5_agua_neto,v5_obras_neto_lag5,v5_alumbrado_neto_lag6,v5_alumbrado_neto_lag1,y_t_aceptacion_digital_lag3,v5_morena_neto,v5_corrupcion_neto_lag1,v5_agua_neto_lag1,sentimiento_medios_lag1,v5_vialidad_neto",mae,0.19514701534566228,3,0,0,0,1.1,0.0001,5000,0.0001,4,nivel,corr,standard,E2_v2_clean,huber_tscv
2025-11-10,0.0692562741764684,0.0821158156091689,0.020171254480065334,0.0821158156091689,0.020171254480065334,-0.06194456112910357,30,"v5_basura_neto_lag2,v5_obras_neto_lag1,v5_obras_neto,v5_prevencion_neto_lag3,sentimiento_medios_lag6,v5_agua_neto_lag5,v5_agua_neto_lag6,v5_prevencion_neto_lag2,v5_delitos_neto,v5_alumbrado_neto_lag2,v5_vialidad_neto_lag4,v5_obras_neto_lag4,v5_obras_neto_lag5,v5_corrupcion_neto_lag4,v5_corrupcion_neto_lag6,y_t_aceptacion_digital_lag3,v5_agua_neto,v5_alumbrado_neto_lag6,v5_corrupcion_neto_lag1,sentimiento_medios,v5_alumbrado_neto_lag4,v5_delitos_neto_lag4,v5_delitos_neto_lag2,sentimiento_medios_lag4,v5_agua_neto_lag1,v5_vialidad_neto_lag6,v5_morena_neto_lag1,v5_vialidad_neto,v5_basura_neto,y_t_aceptacion_digital_lag4",mae,0.2079832784423099,3,0,0,0,2.0,0.1,5000,0.0001,4,nivel,corr,standard,E2_v2_clean,huber_tscv
