fecha_inicio_semana,y_current,y_true,y_pred,y_true_model,y_pred_model,error,selected_feature_count,selected_features,horizonte_sem,target_mode,feature_mode,transform_mode,run_id,model_name
2025-09-01,0.0328375249929476,0.0750438311217277,0.08246183728296302,0.0750438311217277,0.08246183728296302,0.0074180061612353215,30,"sentimiento_medios_lag2,v5_obras_neto_lag2,v5_alumbrado_neto_lag1,v5_agua_neto_lag3,sentimiento_medios_lag3,v5_delitos_neto_lag5,v5_corrupcion_neto_lag2,v5_delitos_neto,v5_basura_neto_lag5,v5_basura_neto_lag3,v5_alumbrado_neto_lag4,v5_morena_neto_lag2,v5_morena_neto_lag6,sentimiento_medios_lag1,v5_morena_neto_lag5,y_t_aceptacion_digital_lag5,sentimiento_medios,v5_prevencion_neto_lag3,v5_prevencion_neto_lag2,v5_delitos_neto_lag2,v5_corrupcion_neto_lag5,v5_agua_neto_lag2,v5_vialidad_neto_lag3,v5_alumbrado_neto,v5_obras_neto_lag5,v5_vialidad_neto_lag5,v5_morena_neto,v5_prevencion_neto_lag6,v5_americo_neto_lag1,v5_agua_neto_lag6",1,nivel,corr,,E3_v1_clean,random_forest_regressor
2025-09-08,0.0750438311217277,0.244150207322864,0.11681538254606562,0.244150207322864,0.11681538254606562,-0.12733482477679836,30,"sentimiento_medios_lag2,v5_obras_neto_lag2,v5_alumbrado_neto_lag1,v5_agua_neto_lag3,v5_delitos_neto_lag5,sentimiento_medios_lag3,v5_corrupcion_neto_lag2,v5_delitos_neto,v5_basura_neto_lag5,v5_alumbrado_neto_lag4,v5_basura_neto_lag3,v5_morena_neto_lag6,y_t_aceptacion_digital_lag5,sentimiento_medios_lag1,sentimiento_medios,v5_morena_neto_lag2,v5_prevencion_neto_lag3,v5_morena_neto_lag5,v5_prevencion_neto_lag2,v5_agua_neto_lag2,v5_corrupcion_neto_lag5,v5_delitos_neto_lag2,v5_alumbrado_neto,v5_vialidad_neto_lag5,v5_obras_neto_lag5,v5_vialidad_neto_lag3,v5_morena_neto,v5_agua_neto_lag6,v5_agua_neto_lag4,v5_prevencion_neto_lag6",1,nivel,corr,,E3_v1_clean,random_forest_regressor
2025-09-15,0.244150207322864,0.0353374615739687,0.16128198806995273,0.0353374615739687,0.16128198806995273,0.12594452649598403,30,"sentimiento_medios_lag2,v5_obras_neto_lag2,v5_alumbrado_neto_lag1,v5_basura_neto_lag5,v5_agua_neto_lag3,sentimiento_medios_lag3,v5_delitos_neto,v5_delitos_neto_lag5,v5_corrupcion_neto_lag2,v5_morena_neto_lag6,sentimiento_medios,sentimiento_medios_lag1,v5_basura_neto_lag3,v5_prevencion_neto_lag2,v5_prevencion_neto_lag3,v5_agua_neto_lag2,v5_corrupcion_neto_lag5,y_t_aceptacion_digital_lag5,v5_morena_neto_lag2,v5_obras_neto_lag5,v5_morena_neto_lag5,v5_vialidad_neto_lag5,v5_delitos_neto_lag2,v5_morena_neto,v5_prevencion_neto_lag6,v5_alumbrado_neto_lag4,v5_vialidad_neto_lag3,v5_agua_neto_lag6,v5_agua_neto_lag4,v5_americo_neto_lag1",1,nivel,corr,,E3_v1_clean,random_forest_regressor
2025-09-22,0.0353374615739687,0.037083177521204,0.13785179145147528,0.037083177521204,0.13785179145147528,0.10076861393027128,30,"sentimiento_medios_lag2,v5_obras_neto_lag2,v5_alumbrado_neto_lag1,sentimiento_medios_lag3,v5_delitos_neto_lag5,v5_morena_neto_lag6,v5_agua_neto_lag3,v5_delitos_neto,sentimiento_medios_lag1,v5_corrupcion_neto_lag2,sentimiento_medios,v5_prevencion_neto_lag2,v5_agua_neto_lag2,v5_prevencion_neto_lag3,v5_basura_neto_lag3,v5_basura_neto_lag5,y_t_aceptacion_digital_lag5,v5_morena_neto,v5_obras_neto_lag5,v5_delitos_neto_lag2,v5_morena_neto_lag2,v5_agua_neto_lag4,v5_corrupcion_neto_lag5,v5_alumbrado_neto_lag4,v5_prevencion_neto_lag6,v5_agua_neto_lag6,v5_morena_neto_lag4,v5_americo_neto_lag1,v5_vialidad_neto_lag3,v5_alumbrado_neto_lag5",1,nivel,corr,,E3_v1_clean,random_forest_regressor
2025-09-29,0.037083177521204,0.0408302409621366,0.09182094653514296,0.0408302409621366,0.09182094653514296,0.050990705573006355,30,"sentimiento_medios_lag2,v5_obras_neto_lag2,v5_alumbrado_neto_lag1,v5_delitos_neto_lag5,sentimiento_medios_lag3,v5_agua_neto_lag3,sentimiento_medios_lag1,v5_delitos_neto,v5_agua_neto_lag2,v5_prevencion_neto_lag2,sentimiento_medios,y_t_aceptacion_digital_lag5,v5_corrupcion_neto_lag2,v5_obras_neto_lag5,v5_prevencion_neto_lag3,v5_basura_neto_lag3,v5_basura_neto_lag5,v5_morena_neto,v5_morena_neto_lag6,v5_corrupcion_neto_lag5,v5_delitos_neto_lag2,v5_alumbrado_neto_lag4,v5_morena_neto_lag2,v5_agua_neto_lag4,v5_agua_neto_lag6,v5_americo_neto_lag6,v5_alumbrado_neto,v5_alumbrado_neto_lag5,v5_americo_neto_lag1,v5_obras_neto_lag4",1,nivel,corr,,E3_v1_clean,random_forest_regressor
2025-10-06,0.0408302409621366,-0.0316621893348032,0.12014856564066284,-0.0316621893348032,0.12014856564066284,0.15181075497546603,30,"sentimiento_medios_lag2,v5_obras_neto_lag2,v5_alumbrado_neto_lag1,sentimiento_medios_lag3,v5_agua_neto_lag3,sentimiento_medios_lag1,v5_delitos_neto_lag5,v5_delitos_neto,v5_agua_neto_lag2,sentimiento_medios,v5_corrupcion_neto_lag2,v5_basura_neto_lag5,v5_prevencion_neto_lag2,v5_morena_neto_lag6,v5_prevencion_neto_lag3,v5_morena_neto,v5_obras_neto_lag5,v5_morena_neto_lag2,v5_basura_neto_lag3,y_t_aceptacion_digital_lag5,v5_delitos_neto_lag2,v5_corrupcion_neto_lag5,v5_agua_neto_lag4,v5_agua_neto_lag6,v5_alumbrado_neto_lag4,v5_alumbrado_neto_lag5,v5_vialidad_neto_lag3,v5_morena_neto_lag4,v5_americo_neto_lag1,v5_alumbrado_neto",1,nivel,corr,,E3_v1_clean,random_forest_regressor
2025-10-13,-0.0316621893348032,0.167412720914919,0.0712342500733964,0.167412720914919,0.0712342500733964,-0.09617847084152259,30,"sentimiento_medios_lag2,v5_obras_neto_lag2,v5_alumbrado_neto_lag1,sentimiento_medios_lag3,v5_agua_neto_lag3,v5_delitos_neto_lag5,v5_agua_neto_lag2,sentimiento_medios_lag1,v5_delitos_neto,v5_morena_neto,v5_basura_neto_lag5,v5_corrupcion_neto_lag2,v5_corrupcion_neto_lag5,v5_obras_neto_lag5,y_t_aceptacion_digital_lag5,sentimiento_medios,v5_delitos_neto_lag2,v5_prevencion_neto_lag2,v5_morena_neto_lag2,v5_agua_neto_lag4,v5_prevencion_neto_lag3,v5_basura_neto_lag3,v5_morena_neto_lag6,v5_americo_neto_lag6,v5_obras_neto_lag4,v5_agua_neto_lag6,v5_morena_neto_lag4,v5_americo_neto_lag1,v5_delitos_neto_lag3,v5_alumbrado_neto",1,nivel,corr,,E3_v1_clean,random_forest_regressor
2025-10-20,0.167412720914919,0.134823580717908,0.08450567466427357,0.134823580717908,0.08450567466427357,-0.05031790605363444,30,"sentimiento_medios_lag2,v5_obras_neto_lag2,v5_alumbrado_neto_lag1,sentimiento_medios_lag3,v5_delitos_neto_lag5,v5_agua_neto_lag2,sentimiento_medios_lag1,v5_agua_neto_lag3,v5_delitos_neto,v5_morena_neto,v5_basura_neto_lag5,v5_corrupcion_neto_lag2,v5_obras_neto_lag5,y_t_aceptacion_digital_lag5,sentimiento_medios,v5_corrupcion_neto_lag5,v5_delitos_neto_lag2,v5_prevencion_neto_lag2,v5_prevencion_neto_lag3,v5_morena_neto_lag2,v5_agua_neto_lag4,v5_morena_neto_lag6,v5_obras_neto_lag4,v5_morena_neto_lag4,v5_americo_neto_lag6,v5_agua_neto_lag6,v5_basura_neto_lag3,v5_americo_neto_lag1,v5_alumbrado_neto_lag5,v5_delitos_neto_lag3",1,nivel,corr,,E3_v1_clean,random_forest_regressor
2025-10-27,0.134823580717908,0.170657905569605,0.09871330733724144,0.170657905569605,0.09871330733724144,-0.07194459823236356,30,"sentimiento_medios_lag2,v5_obras_neto_lag2,v5_alumbrado_neto_lag1,sentimiento_medios_lag3,v5_delitos_neto_lag5,sentimiento_medios_lag1,v5_agua_neto_lag3,v5_delitos_neto,v5_agua_neto_lag2,v5_morena_neto,v5_corrupcion_neto_lag2,v5_basura_neto_lag5,v5_obras_neto_lag5,y_t_aceptacion_digital_lag5,v5_corrupcion_neto_lag5,sentimiento_medios,v5_prevencion_neto_lag2,v5_delitos_neto_lag2,v5_prevencion_neto_lag3,v5_morena_neto_lag2,v5_obras_neto_lag4,v5_morena_neto_lag6,v5_agua_neto_lag4,v5_americo_neto_lag6,v5_agua_neto_lag6,v5_morena_neto_lag4,v5_basura_neto_lag3,v5_americo_neto_lag1,v5_alumbrado_neto_lag5,v5_alumbrado_neto",1,nivel,corr,,E3_v1_clean,random_forest_regressor
2025-11-03,0.170657905569605,0.0692562741764684,0.0670199459541615,0.0692562741764684,0.0670199459541615,-0.0022363282223069048,30,"sentimiento_medios_lag2,v5_obras_neto_lag2,v5_alumbrado_neto_lag1,sentimiento_medios_lag3,v5_delitos_neto_lag5,sentimiento_medios_lag1,v5_delitos_neto,v5_basura_neto_lag5,v5_morena_neto,v5_corrupcion_neto_lag2,v5_agua_neto_lag2,v5_agua_neto_lag3,v5_obras_neto_lag5,sentimiento_medios,v5_corrupcion_neto_lag5,y_t_aceptacion_digital_lag5,v5_prevencion_neto_lag2,v5_delitos_neto_lag2,v5_prevencion_neto_lag3,v5_morena_neto_lag2,v5_morena_neto_lag6,v5_obras_neto_lag4,v5_morena_neto_lag4,v5_americo_neto_lag6,v5_basura_neto_lag3,v5_agua_neto_lag4,v5_agua_neto_lag6,v5_americo_neto_lag1,v5_alumbrado_neto_lag5,v5_alumbrado_neto",1,nivel,corr,,E3_v1_clean,random_forest_regressor
