fecha_inicio_semana,target_1w_aceptacion_digital,base_oof_pred,residual_target,oof_fold,outer_test_date,base_model,residual_model
2025-04-14,0.148015195933047,0.06990019488469863,0.07811500104834836,2,2025-09-01,ridge_tscv,catboost_regressor
2025-04-21,0.443868011869911,0.04473027509989215,0.39913773677001885,2,2025-09-01,ridge_tscv,catboost_regressor
2025-04-28,0.134617370254834,0.1388113629163333,-0.004193992661499307,2,2025-09-01,ridge_tscv,catboost_regressor
2025-05-05,0.0621123145606552,0.11142163582366114,-0.04930932126300595,2,2025-09-01,ridge_tscv,catboost_regressor
2025-05-12,0.143176753734124,0.187905828223161,-0.044729074489036985,2,2025-09-01,ridge_tscv,catboost_regressor
2025-05-19,0.0836116782995949,0.15513221654819034,-0.07152053824859544,2,2025-09-01,ridge_tscv,catboost_regressor
2025-05-26,0.188465024293173,0.11654212662071153,0.07192289767246146,2,2025-09-01,ridge_tscv,catboost_regressor
2025-06-02,0.28557128111203,0.14142389108014614,0.14414739003188387,2,2025-09-01,ridge_tscv,catboost_regressor
2025-06-09,0.128343012321562,0.10170712201391559,0.026635890307646418,2,2025-09-01,ridge_tscv,catboost_regressor
2025-06-16,0.110639383957494,0.15484329217033316,-0.04420390821283916,2,2025-09-01,ridge_tscv,catboost_regressor
2025-06-23,0.134504519725832,0.1344031632404575,0.00010135648537448749,3,2025-09-01,ridge_tscv,catboost_regressor
2025-06-30,0.0229259028385385,0.18127729123631925,-0.15835138839778073,3,2025-09-01,ridge_tscv,catboost_regressor
2025-07-07,-0.0145272235338583,0.22207652165925929,-0.23660374519311758,3,2025-09-01,ridge_tscv,catboost_regressor
2025-07-14,-0.0119427901737269,0.1862925670599477,-0.1982353572336746,3,2025-09-01,ridge_tscv,catboost_regressor
2025-07-21,0.0375468051905529,0.15984906921007666,-0.12230226401952377,3,2025-09-01,ridge_tscv,catboost_regressor
2025-07-28,-0.0734008015778954,0.1416307228702645,-0.21503152444815993,3,2025-09-01,ridge_tscv,catboost_regressor
2025-08-04,0.0745517215562396,0.15689475801311736,-0.08234303645687777,3,2025-09-01,ridge_tscv,catboost_regressor
2025-08-11,0.0643779113892458,0.2188154885662595,-0.15443757717701367,3,2025-09-01,ridge_tscv,catboost_regressor
2025-08-18,0.342789901148327,0.09334810202238356,0.24944179912594347,3,2025-09-01,ridge_tscv,catboost_regressor
2025-08-25,0.0328375249929476,0.07462607606674955,-0.04178855107380195,3,2025-09-01,ridge_tscv,catboost_regressor
2025-04-21,0.443868011869911,0.033721587583441404,0.4101464242864696,2,2025-09-08,ridge_tscv,catboost_regressor
2025-04-28,0.134617370254834,0.1507169906348159,-0.016099620379981888,2,2025-09-08,ridge_tscv,catboost_regressor
2025-05-05,0.0621123145606552,0.10032562316867338,-0.038213308608018186,2,2025-09-08,ridge_tscv,catboost_regressor
2025-05-12,0.143176753734124,0.1841096300949746,-0.040932876360850606,2,2025-09-08,ridge_tscv,catboost_regressor
2025-05-19,0.0836116782995949,0.16859937940533554,-0.08498770110574064,2,2025-09-08,ridge_tscv,catboost_regressor
2025-05-26,0.188465024293173,0.1259736470274147,0.06249137726575829,2,2025-09-08,ridge_tscv,catboost_regressor
2025-06-02,0.28557128111203,0.15954812406623337,0.12602315704579664,2,2025-09-08,ridge_tscv,catboost_regressor
2025-06-09,0.128343012321562,0.0905746395417818,0.03776837277978021,2,2025-09-08,ridge_tscv,catboost_regressor
2025-06-16,0.110639383957494,0.1389278827614546,-0.0282884988039606,2,2025-09-08,ridge_tscv,catboost_regressor
2025-06-23,0.134504519725832,0.12281712351493895,0.011687396210893042,2,2025-09-08,ridge_tscv,catboost_regressor
2025-06-30,0.0229259028385385,0.1458515564988741,-0.1229256536603356,3,2025-09-08,ridge_tscv,catboost_regressor
2025-07-07,-0.0145272235338583,0.19777935238679092,-0.21230657592064922,3,2025-09-08,ridge_tscv,catboost_regressor
2025-07-14,-0.0119427901737269,0.170282919841104,-0.1822257100148309,3,2025-09-08,ridge_tscv,catboost_regressor
2025-07-21,0.0375468051905529,0.1562720806187001,-0.1187252754281472,3,2025-09-08,ridge_tscv,catboost_regressor
2025-07-28,-0.0734008015778954,0.14824140176788458,-0.22164220334578,3,2025-09-08,ridge_tscv,catboost_regressor
2025-08-04,0.0745517215562396,0.15975567078663422,-0.08520394923039462,3,2025-09-08,ridge_tscv,catboost_regressor
2025-08-11,0.0643779113892458,0.22670605877489391,-0.1623281473856481,3,2025-09-08,ridge_tscv,catboost_regressor
2025-08-18,0.342789901148327,0.10673808213457833,0.2360518190137487,3,2025-09-08,ridge_tscv,catboost_regressor
2025-08-25,0.0328375249929476,0.05342804687068323,-0.020590521877735628,3,2025-09-08,ridge_tscv,catboost_regressor
2025-09-01,0.0750438311217277,0.0819794408184029,-0.006935609696675199,3,2025-09-08,ridge_tscv,catboost_regressor
2025-02-17,0.224333841286292,0.08862477888322429,0.1357090624030677,1,2025-09-15,ridge_tscv,catboost_regressor
2025-02-24,0.204008068771556,0.1484843366453009,0.05552373212625511,1,2025-09-15,ridge_tscv,catboost_regressor
2025-03-03,0.101508088978149,0.1491413378908081,-0.047633248912659104,1,2025-09-15,ridge_tscv,catboost_regressor
2025-03-10,-0.0534885806271719,0.08355318454402319,-0.1370417651711951,1,2025-09-15,ridge_tscv,catboost_regressor
2025-03-17,0.130173199310947,0.011751548004336906,0.1184216513066101,1,2025-09-15,ridge_tscv,catboost_regressor
2025-03-24,0.00546544176995905,0.07749113461688571,-0.07202569284692666,1,2025-09-15,ridge_tscv,catboost_regressor
2025-03-31,0.473177765273476,0.09588804661134462,0.37728971866213135,1,2025-09-15,ridge_tscv,catboost_regressor
2025-04-07,0.0843248897867335,0.05990432455564608,0.02442056523108742,1,2025-09-15,ridge_tscv,catboost_regressor
2025-04-14,0.148015195933047,0.03155706820373047,0.11645812772931652,1,2025-09-15,ridge_tscv,catboost_regressor
2025-04-21,0.443868011869911,0.03269165191641163,0.4111763599534993,1,2025-09-15,ridge_tscv,catboost_regressor
2025-04-28,0.134617370254834,0.13134596587442166,0.003271404380412346,2,2025-09-15,ridge_tscv,catboost_regressor
2025-05-05,0.0621123145606552,0.16557692921427225,-0.10346461465361706,2,2025-09-15,ridge_tscv,catboost_regressor
2025-05-12,0.143176753734124,0.14238758617799058,0.0007891675561334244,2,2025-09-15,ridge_tscv,catboost_regressor
2025-05-19,0.0836116782995949,0.1677286675972415,-0.0841169892976466,2,2025-09-15,ridge_tscv,catboost_regressor
2025-05-26,0.188465024293173,0.14497164162708995,0.04349338266608305,2,2025-09-15,ridge_tscv,catboost_regressor
2025-06-02,0.28557128111203,0.08613931598341465,0.19943196512861536,2,2025-09-15,ridge_tscv,catboost_regressor
2025-06-09,0.128343012321562,0.1264260315612927,0.0019169807602693045,2,2025-09-15,ridge_tscv,catboost_regressor
2025-06-16,0.110639383957494,0.15489737735950274,-0.04425799340200874,2,2025-09-15,ridge_tscv,catboost_regressor
2025-06-23,0.134504519725832,0.07210972280870541,0.062394796917126585,2,2025-09-15,ridge_tscv,catboost_regressor
2025-06-30,0.0229259028385385,0.1428108291445419,-0.1198849263060034,2,2025-09-15,ridge_tscv,catboost_regressor
2025-07-07,-0.0145272235338583,0.156177049461251,-0.1707042729951093,3,2025-09-15,ridge_tscv,catboost_regressor
2025-07-14,-0.0119427901737269,0.14997013891727232,-0.16191292909099922,3,2025-09-15,ridge_tscv,catboost_regressor
2025-07-21,0.0375468051905529,0.1313391548065655,-0.0937923496160126,3,2025-09-15,ridge_tscv,catboost_regressor
2025-07-28,-0.0734008015778954,0.1428947914807478,-0.2162955930586432,3,2025-09-15,ridge_tscv,catboost_regressor
2025-08-04,0.0745517215562396,0.14746049772590325,-0.07290877616966365,3,2025-09-15,ridge_tscv,catboost_regressor
2025-08-11,0.0643779113892458,0.22851691242395666,-0.16413900103471085,3,2025-09-15,ridge_tscv,catboost_regressor
2025-08-18,0.342789901148327,0.12796218104570276,0.21482772010262427,3,2025-09-15,ridge_tscv,catboost_regressor
2025-08-25,0.0328375249929476,0.07284025359026042,-0.04000272859731282,3,2025-09-15,ridge_tscv,catboost_regressor
2025-09-01,0.0750438311217277,0.08156184851651047,-0.006518017394782763,3,2025-09-15,ridge_tscv,catboost_regressor
2025-09-08,0.244150207322864,0.1158023940365407,0.12834781328632328,3,2025-09-15,ridge_tscv,catboost_regressor
2025-02-24,0.204008068771556,0.2054638333141508,-0.0014557645425948007,1,2025-09-22,ridge_tscv,catboost_regressor
2025-03-03,0.101508088978149,0.14740181921621184,-0.04589373023806284,1,2025-09-22,ridge_tscv,catboost_regressor
2025-03-10,-0.0534885806271719,0.0534815273984101,-0.10697010802558199,1,2025-09-22,ridge_tscv,catboost_regressor
2025-03-17,0.130173199310947,0.03529560217109637,0.09487759713985064,1,2025-09-22,ridge_tscv,catboost_regressor
2025-03-24,0.00546544176995905,0.052959411833749734,-0.047493970063790684,1,2025-09-22,ridge_tscv,catboost_regressor
2025-03-31,0.473177765273476,0.19662666771243287,0.2765510975610431,1,2025-09-22,ridge_tscv,catboost_regressor
2025-04-07,0.0843248897867335,0.06498621870288801,0.019338671083845488,1,2025-09-22,ridge_tscv,catboost_regressor
2025-04-14,0.148015195933047,0.030988684769068353,0.11702651116397864,1,2025-09-22,ridge_tscv,catboost_regressor
2025-04-21,0.443868011869911,0.049139225163084166,0.3947287867068268,1,2025-09-22,ridge_tscv,catboost_regressor
2025-04-28,0.134617370254834,0.1350900348706203,-0.0004726646157862946,1,2025-09-22,ridge_tscv,catboost_regressor
2025-05-05,0.0621123145606552,0.06387328929834475,-0.0017609747376895538,2,2025-09-22,ridge_tscv,catboost_regressor
2025-05-12,0.143176753734124,-0.025987759647367298,0.1691645133814913,2,2025-09-22,ridge_tscv,catboost_regressor
2025-05-19,0.0836116782995949,0.05701410219069941,0.026597576108895488,2,2025-09-22,ridge_tscv,catboost_regressor
2025-05-26,0.188465024293173,0.08315761011163882,0.10530741418153418,2,2025-09-22,ridge_tscv,catboost_regressor
2025-06-02,0.28557128111203,-0.19840064612132247,0.4839719272333525,2,2025-09-22,ridge_tscv,catboost_regressor
2025-06-09,0.128343012321562,0.07877000900697437,0.04957300331458764,2,2025-09-22,ridge_tscv,catboost_regressor
2025-06-16,0.110639383957494,0.17414063868441093,-0.06350125472691694,2,2025-09-22,ridge_tscv,catboost_regressor
2025-06-23,0.134504519725832,0.020541472905130476,0.11396304682070152,2,2025-09-22,ridge_tscv,catboost_regressor
2025-06-30,0.0229259028385385,0.21047508276957552,-0.18754917993103704,2,2025-09-22,ridge_tscv,catboost_regressor
2025-07-07,-0.0145272235338583,0.6207451129597864,-0.6352723364936447,2,2025-09-22,ridge_tscv,catboost_regressor
2025-07-14,-0.0119427901737269,0.10862044976704996,-0.12056323994077686,3,2025-09-22,ridge_tscv,catboost_regressor
2025-07-21,0.0375468051905529,0.14230694397249177,-0.10476013878193888,3,2025-09-22,ridge_tscv,catboost_regressor
2025-07-28,-0.0734008015778954,0.125942623248534,-0.19934342482642942,3,2025-09-22,ridge_tscv,catboost_regressor
2025-08-04,0.0745517215562396,0.1523464678637,-0.07779474630746042,3,2025-09-22,ridge_tscv,catboost_regressor
2025-08-11,0.0643779113892458,0.2728985071050047,-0.20852059571575887,3,2025-09-22,ridge_tscv,catboost_regressor
2025-08-18,0.342789901148327,0.09919105326104619,0.24359884788728084,3,2025-09-22,ridge_tscv,catboost_regressor
2025-08-25,0.0328375249929476,0.0736528421325736,-0.040815317139626,3,2025-09-22,ridge_tscv,catboost_regressor
2025-09-01,0.0750438311217277,0.0952423334577972,-0.0201985023360695,3,2025-09-22,ridge_tscv,catboost_regressor
2025-09-08,0.244150207322864,0.16962715343540838,0.07452305388745561,3,2025-09-22,ridge_tscv,catboost_regressor
2025-09-15,0.0353374615739687,0.3129552058579935,-0.2776177442840248,3,2025-09-22,ridge_tscv,catboost_regressor
2025-04-28,0.134617370254834,0.13134596587442166,0.003271404380412346,2,2025-09-29,ridge_tscv,catboost_regressor
2025-05-05,0.0621123145606552,0.16557692921427225,-0.10346461465361706,2,2025-09-29,ridge_tscv,catboost_regressor
2025-05-12,0.143176753734124,0.14238758617799058,0.0007891675561334244,2,2025-09-29,ridge_tscv,catboost_regressor
2025-05-19,0.0836116782995949,0.1677286675972415,-0.0841169892976466,2,2025-09-29,ridge_tscv,catboost_regressor
2025-05-26,0.188465024293173,0.14497164162708995,0.04349338266608305,2,2025-09-29,ridge_tscv,catboost_regressor
2025-06-02,0.28557128111203,0.08613931598341465,0.19943196512861536,2,2025-09-29,ridge_tscv,catboost_regressor
2025-06-09,0.128343012321562,0.1264260315612927,0.0019169807602693045,2,2025-09-29,ridge_tscv,catboost_regressor
2025-06-16,0.110639383957494,0.15489737735950274,-0.04425799340200874,2,2025-09-29,ridge_tscv,catboost_regressor
2025-06-23,0.134504519725832,0.07210972280870541,0.062394796917126585,2,2025-09-29,ridge_tscv,catboost_regressor
2025-06-30,0.0229259028385385,0.1428108291445419,-0.1198849263060034,2,2025-09-29,ridge_tscv,catboost_regressor
2025-07-07,-0.0145272235338583,0.2189423544975732,-0.2334695780314315,2,2025-09-29,ridge_tscv,catboost_regressor
2025-07-14,-0.0119427901737269,0.10862044976704996,-0.12056323994077686,3,2025-09-29,ridge_tscv,catboost_regressor
2025-07-21,0.0375468051905529,0.14230694397249177,-0.10476013878193888,3,2025-09-29,ridge_tscv,catboost_regressor
2025-07-28,-0.0734008015778954,0.125942623248534,-0.19934342482642942,3,2025-09-29,ridge_tscv,catboost_regressor
2025-08-04,0.0745517215562396,0.1523464678637,-0.07779474630746042,3,2025-09-29,ridge_tscv,catboost_regressor
2025-08-11,0.0643779113892458,0.2728985071050047,-0.20852059571575887,3,2025-09-29,ridge_tscv,catboost_regressor
2025-08-18,0.342789901148327,0.09919105326104619,0.24359884788728084,3,2025-09-29,ridge_tscv,catboost_regressor
2025-08-25,0.0328375249929476,0.0736528421325736,-0.040815317139626,3,2025-09-29,ridge_tscv,catboost_regressor
2025-09-01,0.0750438311217277,0.0952423334577972,-0.0201985023360695,3,2025-09-29,ridge_tscv,catboost_regressor
