fecha,semana_iso,y_current,y_real,ctx_y_lag1,ctx_y_lag2,ctx_y_lag4,ctx_delta_1w,ctx_delta_2w,ctx_abs_delta_1w,ctx_rolling_mean_4w,ctx_rolling_std_4w,ctx_trend_vs_ma4,ctx_mean_delta_4w,ctx_positive_delta_ratio_4w,ctx_negative_delta_ratio_4w,ctx_recent_fall_flag,ctx_sentimiento_medios,ctx_v5_promedio_neto,ctx_v5_dispersion_neta,ctx_semana_iso,horizonte,source_version,source_table_origin,source_curated_e9_origin,split_role_retro,pred_E1_v5_clean,pred_E2_v3_clean,pred_E3_v2_clean,pred_E5_v4_clean,pred_E7_v3_clean,pred_E9_v2_clean,pred_disponible_E1_v5_clean,pred_disponible_E2_v3_clean,pred_disponible_E3_v2_clean,pred_disponible_E5_v4_clean,pred_disponible_E7_v3_clean,pred_disponible_E9_v2_clean,n_modelos_disponibles,fila_completa_modelos_incluidos,cobertura_modelos_fila,modelos_disponibles_lista,modelos_faltantes_lista,notas_integridad_fila,row_id,origen_temporal_id,actual_delta,actual_direction,actual_caida,direccion_pred_E1_v5_clean,caida_pred_E1_v5_clean,abs_error_E1_v5_clean,sq_error_E1_v5_clean,acierto_direccion_E1_v5_clean,acierto_caida_E1_v5_clean,loss_local_E1_v5_clean,hist_abs_error_mean4_E1_v5_clean,hist_loss_local_mean4_E1_v5_clean,hist_dir_acc_mean4_E1_v5_clean,hist_caida_hit_mean4_E1_v5_clean,direccion_pred_E2_v3_clean,caida_pred_E2_v3_clean,abs_error_E2_v3_clean,sq_error_E2_v3_clean,acierto_direccion_E2_v3_clean,acierto_caida_E2_v3_clean,loss_local_E2_v3_clean,hist_abs_error_mean4_E2_v3_clean,hist_loss_local_mean4_E2_v3_clean,hist_dir_acc_mean4_E2_v3_clean,hist_caida_hit_mean4_E2_v3_clean,direccion_pred_E3_v2_clean,caida_pred_E3_v2_clean,abs_error_E3_v2_clean,sq_error_E3_v2_clean,acierto_direccion_E3_v2_clean,acierto_caida_E3_v2_clean,loss_local_E3_v2_clean,hist_abs_error_mean4_E3_v2_clean,hist_loss_local_mean4_E3_v2_clean,hist_dir_acc_mean4_E3_v2_clean,hist_caida_hit_mean4_E3_v2_clean,direccion_pred_E5_v4_clean,caida_pred_E5_v4_clean,abs_error_E5_v4_clean,sq_error_E5_v4_clean,acierto_direccion_E5_v4_clean,acierto_caida_E5_v4_clean,loss_local_E5_v4_clean,hist_abs_error_mean4_E5_v4_clean,hist_loss_local_mean4_E5_v4_clean,hist_dir_acc_mean4_E5_v4_clean,hist_caida_hit_mean4_E5_v4_clean,direccion_pred_E7_v3_clean,caida_pred_E7_v3_clean,abs_error_E7_v3_clean,sq_error_E7_v3_clean,acierto_direccion_E7_v3_clean,acierto_caida_E7_v3_clean,loss_local_E7_v3_clean,hist_abs_error_mean4_E7_v3_clean,hist_loss_local_mean4_E7_v3_clean,hist_dir_acc_mean4_E7_v3_clean,hist_caida_hit_mean4_E7_v3_clean,direccion_pred_E9_v2_clean,caida_pred_E9_v2_clean,abs_error_E9_v2_clean,sq_error_E9_v2_clean,acierto_direccion_E9_v2_clean,acierto_caida_E9_v2_clean,loss_local_E9_v2_clean,hist_abs_error_mean4_E9_v2_clean,hist_loss_local_mean4_E9_v2_clean,hist_dir_acc_mean4_E9_v2_clean,hist_caida_hit_mean4_E9_v2_clean,promedio_predicciones,mediana_predicciones,min_predicciones,max_predicciones,rango_predicciones,desviacion_predicciones,max_diff_predicciones,consenso_direccion,desacuerdo_direccion,n_direcciones_distintas,numero_modelos_predicen_caida,share_modelos_predicen_caida,dispersion_direccion,mejor_modelo_error_abs,mejor_modelo_mae_local,mejor_modelo_direccion,mejor_modelo_caida,mejor_modelo_loss_radar_local,empate_mejor_modelo_error_abs,empate_mejor_modelo,mejor_modelo_operativo
2025-08-18,2025-W34,0.0643779113892458,0.342789901148327,0.0745517215562396,-0.0734008015778954,-0.0119427901737269,-0.0101738101669938,0.1377787129671412,0.0101738101669938,0.02576890913953571,0.058829771802143,0.03860900224971009,0.01908017539074316,0.5,0.5,1.0,0.116601647160815,-1.3443599999999998,2.755284550169002,,1,e10_meta_selector_base_v1_2026-04-01,tabla_maestra_experimentos_radar.xlsx,tabla_maestra_experimentos_radar_e9_curada.xlsx,pending_e10_runner,,-0.0226673194968668,,,,,0,1,0,0,0,0,1,0,0.16666666666666666,E2_v3_clean,"E1_v5_clean,E3_v2_clean,E5_v4_clean,E7_v3_clean,E9_v2_clean","faltan_predicciones_de=E1_v5_clean,E3_v2_clean,E5_v4_clean,E7_v3_clean,E9_v2_clean",H1_20250818,H1_20250818,0.2784119897590812,1.0,0,,,,,,,,,,,,-1.0,1.0,0.3654572206451938,0.13355898012170989,0.0,,0.16736632832281137,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.0226673194968668,-0.0226673194968668,-0.0226673194968668,-0.0226673194968668,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,E2_v3_clean,E2_v3_clean,sin_modelo_con_direccion_correcta,no_aplica_no_hubo_caida,E2_v3_clean,0,0,E2_v3_clean
2025-08-25,2025-W35,0.342789901148327,0.0328375249929476,0.0643779113892458,0.0745517215562396,0.0375468051905529,0.2784119897590812,0.2682381795920874,0.2784119897590812,0.10207968312897925,0.15075976073918626,0.24071021801934778,0.07631077398944351,0.5,0.5,0.0,0.146067415730337,-0.3840100000000001,2.199260613683608,,1,e10_meta_selector_base_v1_2026-04-01,tabla_maestra_experimentos_radar.xlsx,tabla_maestra_experimentos_radar_e9_curada.xlsx,pending_e10_runner,,0.1696153499498744,,,,,0,1,0,0,0,0,1,0,0.16666666666666666,E2_v3_clean,"E1_v5_clean,E3_v2_clean,E5_v4_clean,E7_v3_clean,E9_v2_clean","faltan_predicciones_de=E1_v5_clean,E3_v2_clean,E5_v4_clean,E7_v3_clean,E9_v2_clean",H1_20250825,H1_20250825,-0.3099523761553794,-1.0,1,,,,,,,,,,,,-1.0,1.0,0.1367778249569268,0.01870817339994771,1.0,1.0,0.05334153016181732,0.3654572206451938,0.16736632832281137,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1696153499498744,0.1696153499498744,0.1696153499498744,0.1696153499498744,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,E2_v3_clean,E2_v3_clean,E2_v3_clean,E2_v3_clean,E2_v3_clean,0,0,E2_v3_clean
2025-09-01,2025-W36,0.0328375249929476,0.0750438311217277,0.342789901148327,0.0643779113892458,-0.0734008015778954,-0.3099523761553794,-0.0315403863962982,0.3099523761553794,0.12863926477169,0.12459278899155744,-0.0958017397787424,0.026559581642710745,0.5,0.5,1.0,0.164195496979682,-1.20115,2.525330252165051,,1,e10_meta_selector_base_v1_2026-04-01,tabla_maestra_experimentos_radar.xlsx,tabla_maestra_experimentos_radar_e9_curada.xlsx,pending_e10_runner,0.0989957906366822,0.1071996140619593,0.0916850078944837,0.0520677483683603,-0.2007724882936543,,1,1,1,1,1,0,5,0,0.8333333333333334,"E1_v5_clean,E2_v3_clean,E3_v2_clean,E5_v4_clean,E7_v3_clean",E9_v2_clean,faltan_predicciones_de=E9_v2_clean,H1_20250901,H1_20250901,0.042206306128780104,1.0,0,1.0,0.0,0.02395195951495449,0.0005736963646060189,1.0,,0.004087470945155021,,,,,1.0,0.0,0.032155782940231595,0.0010339943764992893,1.0,,0.005487477064448348,0.2511175228010603,0.11035392924231435,0.5,1.0,1.0,0.0,0.01664117677275599,0.0002769287643821135,1.0,,0.0028398647930813338,,,,,1.0,0.0,0.022976082753367405,0.0005279003786895872,1.0,,0.003920934762320013,,,,,-1.0,1.0,0.275816319415382,0.07607464205584802,0.0,,0.15206885009162108,,,,,,,,,,,,,,,,0.029835134533566243,0.0916850078944837,-0.2007724882936543,0.1071996140619593,0.30797210235561356,0.11684864629427491,0.30797210235561356,0.0,1.0,2.0,1.0,0.2,0.4,E3_v2_clean,E3_v2_clean,E3_v2_clean,no_aplica_no_hubo_caida,E3_v2_clean,0,0,E3_v2_clean
2025-09-08,2025-W37,0.0750438311217277,0.244150207322864,0.0328375249929476,0.342789901148327,0.0745517215562396,0.042206306128780104,-0.26774607002659934,0.042206306128780104,0.128762292163062,0.12453955185890467,-0.053718461041334306,0.00012302739137201764,0.5,0.5,0.0,0.0984333431865208,-1.29132,2.5860177311070394,,1,e10_meta_selector_base_v1_2026-04-01,tabla_maestra_experimentos_radar.xlsx,tabla_maestra_experimentos_radar_e9_curada.xlsx,pending_e10_runner,0.1200657243762832,0.0363104730981598,0.1275494138565362,0.1829473581314667,0.4010739599607486,,1,1,1,1,1,0,5,0,0.8333333333333334,"E1_v5_clean,E2_v3_clean,E3_v2_clean,E5_v4_clean,E7_v3_clean",E9_v2_clean,faltan_predicciones_de=E9_v2_clean,H1_20250908,H1_20250908,0.16910637620113628,1.0,0,1.0,0.0,0.1240844829465808,0.0153969589081203,1.0,,0.051175374752619546,0.02395195951495449,0.004087470945155021,1.0,,-1.0,1.0,0.2078397342247042,0.043197355122595676,0.0,,0.14046844985111998,0.17813027618078406,0.07539844518302567,0.6666666666666666,1.0,1.0,0.0,0.11660079346632779,0.01359574503697723,1.0,,0.04989826156720363,0.01664117677275599,0.0028398647930813338,1.0,,1.0,0.0,0.06120284919139729,0.00374578874914492,1.0,,0.04044444266342174,0.022976082753367405,0.003920934762320013,1.0,,1.0,0.0,0.15692375263788463,0.024625064141956005,1.0,,0.05677949080164291,0.275816319415382,0.15206885009162108,0.0,,,,,,,,,,,,,0.1735893858846389,0.1275494138565362,0.0363104730981598,0.4010739599607486,0.3647634868625888,0.12301769331978933,0.3647634868625888,0.0,1.0,2.0,1.0,0.2,0.4,E5_v4_clean,E5_v4_clean,E5_v4_clean,no_aplica_no_hubo_caida,E5_v4_clean,0,0,E5_v4_clean
2025-09-15,2025-W38,0.244150207322864,0.0353374615739687,0.0750438311217277,0.0328375249929476,0.0643779113892458,0.16910637620113628,0.2113126823299164,0.16910637620113628,0.17370536614646656,0.12562832362753037,0.07044484117639743,0.04494307398340454,0.75,0.25,0.0,0.086848635235732,-0.40070999999999996,2.527214839878082,,1,e10_meta_selector_base_v1_2026-04-01,tabla_maestra_experimentos_radar.xlsx,tabla_maestra_experimentos_radar_e9_curada.xlsx,pending_e10_runner,0.1375469901435297,0.0135673465714361,0.1414685454435134,0.1388255596311942,0.0279511348151197,,1,1,1,1,1,0,5,0,0.8333333333333334,"E1_v5_clean,E2_v3_clean,E3_v2_clean,E5_v4_clean,E7_v3_clean",E9_v2_clean,faltan_predicciones_de=E9_v2_clean,H1_20250915,H1_20250915,-0.2088127457488953,-1.0,1,-1.0,1.0,0.102209528569561,0.010446787730411907,1.0,1.0,0.04744235072229607,0.07401822123076765,0.027631422848887283,1.0,,-1.0,1.0,0.0217701150025326,0.0004739379072234949,1.0,1.0,0.0037151328888134394,0.18555764069176411,0.09166594635004925,0.5,1.0,-1.0,1.0,0.1061310838695447,0.011263806963324331,1.0,1.0,0.04811157544015241,0.0666209851195419,0.026369063180142482,1.0,,-1.0,1.0,0.1034880980572255,0.010709786439501922,1.0,1.0,0.04766054229150473,0.04208946597238235,0.022182688712870876,1.0,,-1.0,1.0,0.007386326758849,5.4557822988488766e-05,1.0,1.0,0.0012604979563098475,0.2163700360266333,0.10442417044663199,0.5,,,,,,,,,,,,,0.0918719153209586,0.1375469901435297,0.0135673465714361,0.1414685454435134,0.1279011988720773,0.05825487887052453,0.1279011988720773,1.0,0.0,1.0,5.0,1.0,0.2,E7_v3_clean,E7_v3_clean,E7_v3_clean,E7_v3_clean,E7_v3_clean,0,0,E7_v3_clean
2025-09-22,2025-W39,0.0353374615739687,0.037083177521204,0.244150207322864,0.0750438311217277,0.342789901148327,-0.2088127457488953,-0.039706369547759,0.2088127457488953,0.09684225625287697,0.08668080695688403,-0.06150479467890827,-0.07686310989358959,0.5,0.5,1.0,0.128103277060576,-1.53743,2.6036641473316027,,1,e10_meta_selector_base_v1_2026-04-01,tabla_maestra_experimentos_radar.xlsx,tabla_maestra_experimentos_radar_e9_curada.xlsx,pending_e10_runner,0.129116494186562,0.1868717169803298,0.126087252621977,0.1044305661194086,0.2095974199607104,,1,1,1,1,1,0,5,0,0.8333333333333334,"E1_v5_clean,E2_v3_clean,E3_v2_clean,E5_v4_clean,E7_v3_clean",E9_v2_clean,faltan_predicciones_de=E9_v2_clean,H1_20250922,H1_20250922,0.001745715947235299,1.0,0,1.0,0.0,0.092033316665358,0.008470131376426061,1.0,,0.04570575082264274,0.0834153236770321,0.034235065473356883,1.0,1.0,1.0,0.0,0.14978853945912582,0.022436606553298093,1.0,,0.05556184610174039,0.0996358642810988,0.05075314749154977,0.75,1.0,1.0,0.0,0.08900407510077302,0.007921725384544043,1.0,,0.04518880201628866,0.07979101803620949,0.033616567266812454,1.0,1.0,1.0,0.0,0.0673473885982046,0.0045356707509975796,1.0,,0.041493026028010506,0.06255567666733007,0.030675306572415493,1.0,1.0,1.0,0.0,0.17251424243950642,0.029761163844476798,1.0,,0.05944005283395083,0.14670879960403854,0.0700362796165246,0.6666666666666666,1.0,,,,,,,,,,,,0.15122068997379756,0.129116494186562,0.1044305661194086,0.2095974199607104,0.10516685384130181,0.039971087464348055,0.10516685384130181,1.0,0.0,1.0,0.0,0.0,0.2,E5_v4_clean,E5_v4_clean,E5_v4_clean,no_aplica_no_hubo_caida,E5_v4_clean,0,0,E5_v4_clean
2025-09-29,2025-W40,0.037083177521204,0.0408302409621366,0.0353374615739687,0.244150207322864,0.0328375249929476,0.001745715947235299,-0.20706702980166,0.001745715947235299,0.09790366938494106,0.08591316059638537,-0.060820491863737065,0.001061413132064086,0.75,0.25,0.0,0.129008746355685,-1.0579899999999998,2.5179276468755014,,1,e10_meta_selector_base_v1_2026-04-01,tabla_maestra_experimentos_radar.xlsx,tabla_maestra_experimentos_radar_e9_curada.xlsx,pending_e10_runner,0.1202868592490022,0.047027533994865,0.097996621859531,0.0691077793637572,-0.2280423267770947,,1,1,1,1,1,0,5,0,0.8333333333333334,"E1_v5_clean,E2_v3_clean,E3_v2_clean,E5_v4_clean,E7_v3_clean",E9_v2_clean,faltan_predicciones_de=E9_v2_clean,H1_20250929,H1_20250929,0.003747063440932605,1.0,0,1.0,0.0,0.0794566182868656,0.006313354189584664,1.0,,0.043559500985506455,0.08556982192411357,0.03710273681067834,1.0,1.0,1.0,0.0,0.006197293032728396,3.840644093350392e-05,1.0,,0.0010575859229418497,0.10288854290664855,0.05130822647653054,0.75,1.0,1.0,0.0,0.05716638089739439,0.003267995104905978,1.0,,0.0397556077118398,0.08209428230235037,0.03650962595418151,1.0,1.0,1.0,0.0,0.028277538401620596,0.0007996191780551275,1.0,,0.004825643452885953,0.0637536046500487,0.03337973643631425,1.0,1.0,-1.0,1.0,0.2688725677392313,0.07229245768268752,0.0,,0.1508838788491256,0.15316016031290552,0.06738722292088117,0.75,1.0,,,,,,,,,,,,0.021275293538012136,0.0691077793637572,-0.2280423267770947,0.1202868592490022,0.3483291860260969,0.12712187282475462,0.3483291860260969,0.0,1.0,2.0,1.0,0.2,0.4,E2_v3_clean,E2_v3_clean,E2_v3_clean,no_aplica_no_hubo_caida,E2_v3_clean,0,0,E2_v3_clean
2025-10-06,2025-W41,0.0408302409621366,-0.0316621893348032,0.037083177521204,0.0353374615739687,0.0750438311217277,0.003747063440932605,0.005492779388167904,0.003747063440932605,0.0893502718450433,0.08939581400050538,-0.04852003088290669,-0.008553397539897789,0.75,0.25,0.0,0.0871125611745514,-0.9351399999999999,2.7580427274427786,,1,e10_meta_selector_base_v1_2026-04-01,tabla_maestra_experimentos_radar.xlsx,tabla_maestra_experimentos_radar_e9_curada.xlsx,pending_e10_runner,0.123475168626044,0.0457697388164998,0.1038627571296466,0.1019839740853931,0.1280867125101948,,1,1,1,1,1,0,5,0,0.8333333333333334,"E1_v5_clean,E2_v3_clean,E3_v2_clean,E5_v4_clean,E7_v3_clean",E9_v2_clean,faltan_predicciones_de=E9_v2_clean,H1_20251006,H1_20251006,-0.0724924302969398,-1.0,1,1.0,0.0,0.1551373579608472,0.024067599835072045,0.0,0.0,0.20647463739979863,0.09944598661709135,0.0469707443207662,1.0,1.0,1.0,0.0,0.07743192815130301,0.0059957034972285515,0.0,0.0,0.1932139817766548,0.09639892042977274,0.05020075369115391,0.75,1.0,1.0,0.0,0.1355249464644498,0.01836701111419198,0.0,0.0,0.203127722835005,0.09222558333350997,0.04573856168387113,1.0,1.0,1.0,0.0,0.1336461634201963,0.017861296996937816,0.0,0.0,0.20280710309193797,0.065078968562112,0.033605913608955734,1.0,1.0,1.0,0.0,0.159748901844998,0.025519711640682802,0.0,0.0,0.20726161065879253,0.15142422239386782,0.0670909801102573,0.75,1.0,,,,,,,,,,,,0.10063567023355566,0.1038627571296466,0.0457697388164998,0.1280867125101948,0.08231697369369499,0.029317929163797312,0.08231697369369499,1.0,0.0,1.0,0.0,0.0,0.2,E2_v3_clean,E2_v3_clean,sin_modelo_con_direccion_correcta,sin_modelo_detecta_caida,E2_v3_clean,0,0,E2_v3_clean
2025-10-13,2025-W42,-0.0316621893348032,0.167412720914919,0.0408302409621366,0.037083177521204,0.244150207322864,-0.0724924302969398,-0.0687453668560072,0.0724924302969398,0.020397172680626498,0.030121929065908933,-0.0520593620154297,-0.0689530991644168,0.5,0.5,1.0,0.107121484141233,-1.11288,2.441281728436929,,1,e10_meta_selector_base_v1_2026-04-01,tabla_maestra_experimentos_radar.xlsx,tabla_maestra_experimentos_radar_e9_curada.xlsx,pending_e10_runner,0.1100164667000174,0.019442471162287,0.0756333613134066,0.072808003494064,0.0605145248693108,,1,1,1,1,1,0,5,0,0.8333333333333334,"E1_v5_clean,E2_v3_clean,E3_v2_clean,E5_v4_clean,E7_v3_clean",E9_v2_clean,faltan_predicciones_de=E9_v2_clean,H1_20251013,H1_20251013,0.19907491024972218,1.0,0,1.0,0.0,0.05739625421490159,0.0032943299979016085,1.0,,0.03979483625620129,0.10720920537065795,0.08579555998256097,0.75,0.5,1.0,0.0,0.14797024975263198,0.021895194811856287,1.0,,0.05525154972116545,0.06379696891142245,0.06338713667253762,0.75,0.5,1.0,0.0,0.09177935960151239,0.008423450848863723,1.0,,0.04566241231753473,0.09695662158304047,0.08404592700082147,0.75,0.5,1.0,0.0,0.094604717420855,0.008950052558279825,1.0,,0.046144567774962716,0.08318979711931175,0.07419657871608479,0.75,0.5,1.0,0.0,0.10689819604560818,0.011427224317805282,1.0,,0.048242485344595784,0.15213050969564618,0.10471151007454471,0.5,0.5,,,,,,,,,,,,0.06768296550781715,0.072808003494064,0.019442471162287,0.1100164667000174,0.0905739955377304,0.0291894911463182,0.0905739955377304,1.0,0.0,1.0,0.0,0.0,0.2,E1_v5_clean,E1_v5_clean,E1_v5_clean,no_aplica_no_hubo_caida,E1_v5_clean,0,0,E1_v5_clean
2025-10-20,2025-W43,0.167412720914919,0.134823580717908,-0.0316621893348032,0.0408302409621366,0.0353374615739687,0.19907491024972218,0.12658247995278238,0.19907491024972218,0.05341598751586407,0.07186569609438993,0.11399673339905492,0.03301881483523756,0.75,0.25,0.0,0.0676384839650146,-0.9525500000000001,2.3403458172885476,,1,e10_meta_selector_base_v1_2026-04-01,tabla_maestra_experimentos_radar.xlsx,tabla_maestra_experimentos_radar_e9_curada.xlsx,pending_e10_runner,0.0980812191745395,0.0236385637050462,0.0867122916939154,0.1053374725741067,0.0890508602632235,,1,1,1,1,1,0,5,0,0.8333333333333334,"E1_v5_clean,E2_v3_clean,E3_v2_clean,E5_v4_clean,E7_v3_clean",E9_v2_clean,faltan_predicciones_de=E9_v2_clean,H1_20251020,H1_20251020,-0.03258914019701098,-1.0,1,-1.0,1.0,0.036742361543368504,0.0013500011317836048,1.0,1.0,0.006270189926261876,0.0960058867819931,0.08388368136603729,0.75,0.0,-1.0,1.0,0.1111850170128618,0.01236210800815037,1.0,1.0,0.0489740437016392,0.0953470025989473,0.07627124088062562,0.75,0.0,-1.0,1.0,0.048111289023992615,0.0023146961315501525,1.0,1.0,0.008210330177651819,0.0933686905160324,0.08343363622016704,0.75,0.0,-1.0,1.0,0.029486108143801315,0.0008694305734679462,1.0,1.0,0.005031889363717293,0.08096895196021912,0.07381758508694929,0.75,0.0,-1.0,1.0,0.045772720454684515,0.002095141937822694,1.0,1.0,0.007811246709164345,0.177008477017336,0.11645700692161619,0.5,0.0,,,,,,,,,,,,0.08056408148216626,0.0890508602632235,0.0236385637050462,0.1053374725741067,0.08169890886906049,0.029226397301780005,0.08169890886906049,1.0,0.0,1.0,5.0,1.0,0.2,E5_v4_clean,E5_v4_clean,E5_v4_clean,E5_v4_clean,E5_v4_clean,0,0,E5_v4_clean
