"path";"id";"parent_id";"level";"object_id";"object_type";"object_key";"query_status";"query_time";"query_type";"message";"created_time";"like_count";"comment_count";"error.message"
"964877296876825_1123385406018019/964877296876825_1106240127732547";"105";"1";"1";"964877296876825_1106240127732547";"data";"data.*";"fetched (200)";"2025-11-14 07:56:23.367901";"Facebook:/<page-id>/posts";"Quiero felicitar al Gobernador Américo Villarreal Anaya por estos Dos Años de Memorias de una Transformación, somos testigos de los avances significativos en nuestra querida tierra. Es un honor ser parte de esta transformación que está construyendo un mejor futuro para todos. Sigamos sumando esfuerzos para lograr grandes cosas en Tampico y en todo Tamaulipas. ¡Enhorabuena! Américo Villarreal";"2024-10-07T01:30:38+0000";"";"";""
"964877296876825_1123385406018019/964877296876825_1106240127732547/964877296876825_1106240127732547";"2316";"105";"2";"964877296876825_1106240127732547";"data";"data.*";"fetched (200)";"2025-11-14 07:58:51.026718";"Facebook:/<post-id>/comments";"";"2024-10-07T01:33:14+0000";"0";"0";""
"964877296876825_1123385406018019/964877296876825_1104921111197782";"113";"1";"1";"964877296876825_1104921111197782";"data";"data.*";"fetched (200)";"2025-11-14 07:56:23.367901";"Facebook:/<page-id>/posts";"¡Nos unimos contra el cáncer de mama! Esta noche junto a la presidenta del sistema DIF Tampico, Luz Adriana Villarreal, iluminamos de rosa los edificios municipales para concientizar sobre la prevención y detección oportuna. Estoy comprometida con la salud y bienestar de los tampiqueños. Durante octubre, realizaremos tres jornadas médicas para atención y orientación. ¡Juntos podemos hacer la diferencia! #MesRosa  #TampicoTeCuida";"2024-10-05T04:16:35+0000";"";"";""
"964877296876825_1123385406018019/964877296876825_1104921111197782/964877296876825_1104921111197782";"2721";"113";"2";"964877296876825_1104921111197782";"data";"data.*";"fetched (200)";"2025-11-14 07:59:00.916393";"Facebook:/<post-id>/comments";"Excelente";"2024-10-06T04:07:33+0000";"0";"0";""
"964877296876825_1123385406018019/474462132406835_122108503856546197";"228";"2";"1";"474462132406835_122108503856546197";"data";"data.*";"fetched (200)";"2025-11-14 07:56:26.133446";"Facebook:/<page-id>/posts";"Tras el desprendimiento de la fachada del Hotel Progreso en Tampico, el Gobierno Municipal de Tampico activó un plan de contingencia para garantizar la seguridad de la población. Se realizan tareas de limpieza, retiro de escombro y análisis estructural del edificio. Un cerco de protección se estableció alrededor del área para evitar riesgos a automovilistas y peatones. Afortunadamente, no se reportaron víctimas ni lesionados. La alcaldesa, Mónica Zacil Villarreal Anaya, instruyó a las Secretarías de Servicios Públicos, Obras Públicas y Protección Civil a trabajar en conjunto para determinar el peritaje respectivo y revisar todos los inmuebles de alto riesgo. La circulación en el tramo se reabrirá una vez garantizada la seguridad de la población.";"2024-10-05T22:51:22+0000";"";"";""
"964877296876825_1123385406018019/474462132406835_122109277832546197";"222";"2";"1";"474462132406835_122109277832546197";"data";"data.*";"fetched (200)";"2025-11-14 07:56:26.133446";"Facebook:/<page-id>/posts";"";"2024-10-07T18:37:17+0000";"";"";""
"964877296876825_1123385406018019/964877296876825_1104772881212605";"115";"1";"1";"964877296876825_1104772881212605";"data";"data.*";"fetched (200)";"2025-11-14 07:56:23.367901";"Facebook:/<page-id>/posts";"Con mucho honor asistí a la ceremonia celebrada con motivo del 203 aniversario de la creación de la Armada de México, gracias a la invitación del Vicealmirante Carlos Eduardo L’Eglise Escamilla, Comandante de la Primera Región Naval, con la presencia de autoridades municipales, militares y navales. ¡Muchas felicidades a quienes integran esta institución! Gracias por su heroica labor.";"2024-10-04T22:59:55+0000";"";"";""
"964877296876825_1123385406018019/964877296876825_1104772881212605/964877296876825_1104772881212605";"2726";"115";"2";"964877296876825_1104772881212605";"data";"data.*";"fetched (200)";"2025-11-14 07:59:01.544641";"Facebook:/<post-id>/comments";"EXCELENTE SRA PRESIDENTA";"2024-10-04T23:10:47+0000";"0";"0";""
"964877296876825_1123385406018019/474462132406835_122108954144546197";"224";"2";"1";"474462132406835_122108954144546197";"data";"data.*";"fetched (200)";"2025-11-14 07:56:26.133446";"Facebook:/<page-id>/posts";"¡Felicidades al Gobernador Américo Villarreal Anaya! Celebramos contigo “Dos Años de Memorias de una Transformación. “Sigamos trabajando juntos por un mejor futuro para Tampico.👏 Américo Villarreal";"2024-10-07T00:09:28+0000";"";"";""
"964877296876825_1123385406018019/474462132406835_122108954144546197/474462132406835_122108954144546197";"3223";"224";"2";"474462132406835_122108954144546197";"data";"data.*";"fetched (200)";"2025-11-14 07:59:41.948414";"Facebook:/<post-id>/comments";"Felicidades Señor Gobernador por dos años de trabajo y resultados";"2024-10-07T01:19:44+0000";"0";"0";""
"TampicoGob/474462132406835_122108954144546197/474462132406835_122108954144546197";"3223";"224";"2";"474462132406835_122108954144546197";"data";"data.*";"fetched (200)";"2025-11-14 07:59:41.948414";"Facebook:/<post-id>/comments";"Felicidades Señor Gobernador por dos años de trabajo y resultados";"2024-10-07T01:19:44+0000";"0";"0";""
"964877296876825_1123385406018019/964877296876825_2253622011658019";"120";"1";"1";"964877296876825_2253622011658019";"data";"data.*";"fetched (200)";"2025-11-14 07:56:23.367901";"Facebook:/<page-id>/posts";"";"2024-10-01T06:02:37+0000";"";"";""
"964877296876825_1123385406018019/964877296876825_2253622011658019/964877296876825_2253622011658019";"2893";"120";"2";"964877296876825_2253622011658019";"data";"data.*";"fetched (200)";"2025-11-14 07:59:06.952451";"Facebook:/<post-id>/comments";"Excelente eslogan  ¡¡¡ TAMPICO VA CON TODOS !!!";"2024-10-01T09:43:53+0000";"0";"0";""
"964877296876825_1123385406018019/964877296876825_1106074281082465";"108";"1";"1";"964877296876825_1106074281082465";"data";"data.*";"fetched (200)";"2025-11-14 07:56:23.367901";"Facebook:/<page-id>/posts";"Felicitamos al Prof. Juan Manuel Pizaña Martínez, quien se desempeña como Regidor Séptimo de nuestro R. Ayuntamiento de Tampico 2024-2027.";"2024-10-06T19:02:52+0000";"";"";""
"964877296876825_1123385406018019/964877296876825_1106074281082465/964877296876825_1106074281082465";"2430";"108";"2";"964877296876825_1106074281082465";"data";"data.*";"fetched (200)";"2025-11-14 07:58:53.791104";"Facebook:/<post-id>/comments";"Muchas felicidades  Al  Compañero y amigo pizaña";"2024-10-06T19:04:09+0000";"0";"1";""
"964877296876825_1123385406018019/474462132406835_122103940844546197";"236";"2";"1";"474462132406835_122103940844546197";"data";"data.*";"fetched (200)";"2025-11-14 07:56:26.133446";"Facebook:/<page-id>/posts";"";"2024-10-01T06:03:44+0000";"";"";""
"964877296876825_1123385406018019/474462132406835_122103940844546197/474462132406835_122103940844546197";"3252";"236";"2";"474462132406835_122103940844546197";"data";"data.*";"fetched (200)";"2025-11-14 07:59:46.156719";"Facebook:/<post-id>/comments";"Hoy regresa de nuevo la banda municipal de Tampico al centro histórico de Tampico. A las 7pm. A bailar Danzón y mambo los esperamos";"2024-10-03T20:30:29+0000";"0";"0";""
"TampicoGob/474462132406835_122103940844546197/474462132406835_122103940844546197";"3252";"236";"2";"474462132406835_122103940844546197";"data";"data.*";"fetched (200)";"2025-11-14 07:59:46.156719";"Facebook:/<post-id>/comments";"Hoy regresa de nuevo la banda municipal de Tampico al centro histórico de Tampico. A las 7pm. A bailar Danzón y mambo los esperamos";"2024-10-03T20:30:29+0000";"0";"0";""
"964877296876825_1123385406018019/964877296876825_1106679834355243";"103";"1";"1";"964877296876825_1106679834355243";"data";"data.*";"fetched (200)";"2025-11-14 07:56:23.367901";"Facebook:/<page-id>/posts";"Hoy es un honor felicitar a la Sra. Rosa Irma Luque de Martínez, Presidenta del DIF Altamira, por su compromiso incansable en la construcción de un futuro más justo y lleno de oportunidades para las familias de nuestra ciudad. Su liderazgo, empatía y entrega diaria son un ejemplo para todos. ¡Gracias por su invaluable labor al servicio de quienes más lo necesitan! ¡Felicidades! Rossy Luque De Martínez";"2024-10-07T16:14:43+0000";"";"";""
"964877296876825_1123385406018019/964877296876825_1106679834355243/964877296876825_1106679834355243";"2301";"103";"2";"964877296876825_1106679834355243";"data";"data.*";"fetched (200)";"2025-11-14 07:58:49.240781";"Facebook:/<post-id>/comments";"";"2024-10-07T16:23:33+0000";"0";"0";""
"964877296876825_1123385406018019/474462132406835_122108934962546197";"225";"2";"1";"474462132406835_122108934962546197";"data";"data.*";"fetched (200)";"2025-11-14 07:56:26.133446";"Facebook:/<page-id>/posts";"Porque TAMPICO TE CUIDA, hacemos el siguiente aviso a la ciudadanía:   ⚠️Cierre parcial de la calle Pedro J. Méndez (zona de mercados) debido a demolición de edificio, asimismo se tendrán cerradas al peatón las áreas colindantes al edificio a derrumbar, a partir de hoy y hasta nuevo aviso.   Favor de tomar sus precauciones y obedecer las indicaciones de las autoridades y tomar rutas alternas.  #TampicoTeCuida #TampicoVaConTodos";"2024-10-06T23:00:47+0000";"";"";""
"964877296876825_1123385406018019/474462132406835_122108934962546197/474462132406835_122108934962546197";"3226";"225";"2";"474462132406835_122108934962546197";"data";"data.*";"fetched (200)";"2025-11-14 07:59:42.484282";"Facebook:/<post-id>/comments";"Enterado muchas gracias 😊";"2024-10-06T23:37:58+0000";"0";"0";""
"TampicoGob/474462132406835_122108934962546197/474462132406835_122108934962546197";"3226";"225";"2";"474462132406835_122108934962546197";"data";"data.*";"fetched (200)";"2025-11-14 07:59:42.484282";"Facebook:/<post-id>/comments";"Enterado muchas gracias 😊";"2024-10-06T23:37:58+0000";"0";"0";""
"964877296876825_1123385406018019/964877296876825_1104632984559928";"116";"1";"1";"964877296876825_1104632984559928";"data";"data.*";"fetched (200)";"2025-11-14 07:56:23.367901";"Facebook:/<page-id>/posts";"Dimos un gran paso con el lanzamiento del programa de Riego de Áreas Verdes con Aguas Residuales Tratadas en Tampico.  Este proyecto atenderá las necesidades de riego de 117 parques y jardines, ahorrando más de 100 millones de litros de agua al año y contribuyendo a la preservación de este valioso recurso. Además, impulsaremos una intensa campaña de reforestación para mejorar nuestros espacios de convivencia. ¿Qué otras medidas te gustaría ver para una ciudad más verde?   #TampicoVaConTodos #TampicoTeCuida";"2024-10-04T17:46:32+0000";"";"";""
"964877296876825_1123385406018019/964877296876825_1104632984559928/964877296876825_1104632984559928";"2736";"116";"2";"964877296876825_1104632984559928";"data";"data.*";"fetched (200)";"2025-11-14 07:59:02.242821";"Facebook:/<post-id>/comments";"Excelente, enhorabuena, VAmos bien con Mónica al 100";"2024-10-04T17:48:25+0000";"1";"0";""
"964877296876825_1123385406018019/474462132406835_122107726550546197";"230";"2";"1";"474462132406835_122107726550546197";"data";"data.*";"fetched (200)";"2025-11-14 07:56:26.133446";"Facebook:/<page-id>/posts";"El Gobierno Municipal y el sistema DIF de Tampico unen fuerzas para combatir el cáncer de mama, iluminando nuestros edificios de rosa para concientizar sobre la importancia de una prevención y detección oportuna, además de la realización de tres jornadas médicas los días 11, 18 y 25 de octubre para atención y orientación. ¡Juntos por una ciudad que cuida y protege a todos! #CáncerDeMama #TampicoTeCuida";"2024-10-05T04:57:30+0000";"";"";""
"964877296876825_1123385406018019/474462132406835_122107726550546197/474462132406835_122107726550546197";"3239";"230";"2";"474462132406835_122107726550546197";"data";"data.*";"fetched (200)";"2025-11-14 07:59:44.117040";"Facebook:/<post-id>/comments";"Me gustaría que fuera como antes con sus talleres";"2024-10-05T15:00:31+0000";"0";"0";""
"TampicoGob/474462132406835_122107726550546197/474462132406835_122107726550546197";"3239";"230";"2";"474462132406835_122107726550546197";"data";"data.*";"fetched (200)";"2025-11-14 07:59:44.117040";"Facebook:/<post-id>/comments";"Me gustaría que fuera como antes con sus talleres";"2024-10-05T15:00:31+0000";"0";"0";""
