"path";"id";"parent_id";"level";"object_id";"object_type";"object_key";"query_status";"query_time";"query_type";"message";"created_time";"like_count";"comment_count";"error.message"
"964877296876825_1144224297267463/474462132406835_122117962730546197";"179";"2";"1";"474462132406835_122117962730546197";"data";"data.*";"fetched (200)";"2025-11-14 08:04:41.718816";"Facebook:/<page-id>/posts";"¡Celebremos la riqueza cultural de Tampico en el Festival `Cecilia Sanz de Ridaura!’ con una agenda llena de arte, música, teatro y más:  📅 08 de Noviembre | 19:00 h Entrega de reconocimiento a María Luisa Herrera Casasús 🎶 Ameniza: Ramón Chávez “El Jaranero” 📍 Casa de la Cultura  📅 09 de Noviembre | 19:00 h XVIII Concurso de Dibujo de Gabinete “Isabel Ridaura” 📍 Casa de la Cultura  📅 15 de Noviembre | 19:00 h Exposición de Pintura: “De la calle a la galería” 📍 Casa de la Cultura  📅 16 de Noviembre | 19:00 h Obra de teatro: “Órfico Blues” de Martín López Brie 📍 Casa de la Cultura  📅 22 de Noviembre | 19:00 h 📖 Lectura de poesía por Taller SieZe 📍 Teatro El Farol  📅 23 de Noviembre | 19:00 h 🎵 Clausura: Concierto de Enrique Esqueda 📍 Casa de la Cultura  ¡No te lo pierdas! 🎟️ Entrada libre en todos los eventos.";"2024-11-08T13:00:41+0000";"";"";""
"964877296876825_1144224297267463/474462132406835_122117962730546197/474462132406835_122117962730546197";"2495";"179";"2";"474462132406835_122117962730546197";"data";"data.*";"fetched (200)";"2025-11-14 08:06:38.127071";"Facebook:/<post-id>/comments";"Libra Ter";"2024-11-08T23:13:55+0000";"1";"0";""
"TampicoGob/474462132406835_122117962730546197/474462132406835_122117962730546197";"2495";"179";"2";"474462132406835_122117962730546197";"data";"data.*";"fetched (200)";"2025-11-14 08:06:38.127071";"Facebook:/<post-id>/comments";"Libra Ter";"2024-11-08T23:13:55+0000";"1";"0";""
"964877296876825_1144224297267463/474462132406835_122118463730546197";"171";"2";"1";"474462132406835_122118463730546197";"data";"data.*";"fetched (200)";"2025-11-14 08:04:41.056714";"Facebook:/<page-id>/posts";"*Realizamos el Sorteo del Servicio Militar Nacional*  Con la participación de 1,194 jóvenes conscriptos de la clase 2006 y remisos, el Ayuntamiento de Tampico a través de la Junta municipal de Reclutamiento y la Secretaría de la Defensa Nacional, llevó a cabo el sorteo del Servicio Militar Nacional en las instalaciones del Gimnasio del Polideportivo.  El evento fue presidido por el Secretario general del Ayuntamiento Carlos Alberto García Porres, en representación de la Presidenta Municipal, Mónica Zacil Villarreal Anaya; y por el Comandante del Quinceavo Batallón de Infantería, Coronel de Infantería, Jesús Santa María Mendiola.  Garcia Porres felicitó a los jóvenes participantes por cumplir con esta obligación, ya que reiteró, el Servicio Militar Nacional fomenta los valores cívicos y morales.  “Sepan que nuestra alcaldesa Mónica Zacil  Villarreal Anaya, siempre está al pendiente de todos ustedes, y está dispuesta a apoyar a toda la juventud, elaborar programas para que sobresalgan, tanto en lo académico, como en lo social, buscando siempre su prosperidad y bienestar”, dijo.  El acto oficial estuvo coordinado por elementos del Batallón de Infanteria y constó del sorteo de 700 “bolas blancas” para aquellos jóvenes que estarán realizando su servicio militar de manera activa en los Centros de Adiestramiento del Ejército.  494 conscriptos más obtuvieron “bola negra”, por lo que estarán a disposición de las autoridades militares, pero no realizarán el servicio.  En la ceremonia estuvieron presentes también, el Capitán Segundo de Infantería Leonardo Nicolás Nicolás; el Jefe de la junta Municipal de Reclutamiento, Enrique Estrada Guerrero; el Síndico Guillermo Cuadra Parga; y el titular de la Secretaría de Obras Públicas, Rogelio Ontiveros Arredondo.";"2024-11-10T19:30:32+0000";"";"";""
"964877296876825_1144224297267463/474462132406835_122118463730546197/474462132406835_122118463730546197";"2469";"171";"2";"474462132406835_122118463730546197";"data";"data.*";"fetched (200)";"2025-11-14 08:06:35.364628";"Facebook:/<post-id>/comments";"Donde puedo ver la lista de los que salieron bola blanca ?";"2024-11-11T03:28:26+0000";"0";"10";""
"TampicoGob/474462132406835_122118463730546197/474462132406835_122118463730546197";"2469";"171";"2";"474462132406835_122118463730546197";"data";"data.*";"fetched (200)";"2025-11-14 08:06:35.364628";"Facebook:/<post-id>/comments";"Donde puedo ver la lista de los que salieron bola blanca ?";"2024-11-11T03:28:26+0000";"0";"10";""
"964877296876825_1144224297267463/474462132406835_122117778782546197";"182";"2";"1";"474462132406835_122117778782546197";"data";"data.*";"fetched (200)";"2025-11-14 08:04:41.718816";"Facebook:/<page-id>/posts";"En conmemoración del Día Mundial de la Diabetes, el Gobierno Municipal de Tampico lanza la campaña “Tampico te Cuida en la Diabetes” para promover la salud y el bienestar de nuestra comunidad. A través de actividades, pláticas informativas y apoyo, buscamos concientizar sobre la diabetes y mejorar la calidad de vida de quienes la padecen.  La Presidenta Municipal, Mónica Zacil Villarreal Anaya, lidera esta iniciativa por un Tampico más saludable y comprometido con el bienestar de todos.  #TampicoTeCuida #BienestarEnLaDiabetes #SaludTampico";"2024-11-07T19:13:20+0000";"";"";""
"964877296876825_1144224297267463/964877296876825_1130479081975318";"68";"1";"1";"964877296876825_1130479081975318";"data";"data.*";"fetched (200)";"2025-11-14 08:04:36.008162";"Facebook:/<page-id>/posts";"Envío un afectuoso abrazo a la Lic. Jessica Janeth Pérez Gómez en su día. Reconozco su dedicación y compromiso como Consejera Suplente en CANACO y Turismo de Tampico. Le deseo un año lleno de éxitos, alegría y bendiciones. ¡Que sigan los logros!";"2024-11-09T20:14:13+0000";"";"";""
"964877296876825_1144224297267463/964877296876825_1130479081975318/964877296876825_1130479081975318";"1751";"68";"2";"964877296876825_1130479081975318";"data";"data.*";"fetched (200)";"2025-11-14 08:05:51.117509";"Facebook:/<post-id>/comments";"Felicitaciones!!!!!!";"2024-11-09T21:16:10+0000";"0";"0";""
"964877296876825_1144224297267463/964877296876825_1129746838715209";"70";"1";"1";"964877296876825_1129746838715209";"data";"data.*";"fetched (200)";"2025-11-14 08:04:36.008162";"Facebook:/<page-id>/posts";"¡Bienvenidos al Congreso Nacional de Notarios! Hoy en la Expo Tampico, recibimos a notarios de todo México. ¡Gracias por confiar en nuestra ciudad como sede!  #TampicoVaConTodos #CongresoNacionalNotarios";"2024-11-08T19:23:56+0000";"";"";""
"964877296876825_1144224297267463/964877296876825_1130626505293909";"67";"1";"1";"964877296876825_1130626505293909";"data";"data.*";"fetched (200)";"2025-11-14 08:04:36.008162";"Facebook:/<page-id>/posts";"Esta tarde cerramos con broche de oro las festividades de Xantolo 2024 con el programa “Raíces y recuerdos” en la Delegación Occidente de Tampico, un evento lleno de color y tradición que reunió a decenas de familias.  Me siento muy contenta porque logramos llevar 27 muestras culturales a distintos puntos de la ciudad. Nuestro compromiso es claro: queremos que el arte, la cultura y el deporte lleguen a todos los rincones de Tampico para fortalecer la paz y nuestra identidad.  Agradezco a todos los ciudadanos, instituciones y escuelas que participaron, especialmente en el Concurso de Altares, donde premiamos a la Escuela Primaria “5 de febrero” y al Cobat No. 15.  ¡Sigamos celebrando y preservando nuestras tradiciones!  #TampicoVaConTodos #Xantolo2024";"2024-11-10T01:48:09+0000";"";"";""
"964877296876825_1144224297267463/964877296876825_1130626505293909/964877296876825_1130626505293909";"1745";"67";"2";"964877296876825_1130626505293909";"data";"data.*";"fetched (200)";"2025-11-14 08:05:50.712471";"Facebook:/<post-id>/comments";"Bna noche!!!!";"2024-11-10T02:00:55+0000";"0";"0";""
"964877296876825_1144224297267463/964877296876825_1128335182189708";"75";"1";"1";"964877296876825_1128335182189708";"data";"data.*";"fetched (200)";"2025-11-14 08:04:36.008162";"Facebook:/<page-id>/posts";"En memoria y reconocimiento a la comunidad trans, invitamos a todos a unirse a la Semana de la Remembranza Trans, un evento dedicado a la visibilización y reflexión sobre los desafíos y logros de esta comunidad.  La jornada se llevará a cabo del 17 al 24 de noviembre, y contaremos con un evento especial el martes 19 de noviembre a las 19:00 horas en la Casa de la Cultura de Tampico,  con la participación de  la Regidora Lorena Ortiz e invitadas: Estefanía Martínez, Harley Fryda, Mayte Chávez y Brihney Castillo.  Este espacio nos invita a reflexionar, aprender y reconocer la importancia de la inclusión y el respeto hacia todas las identidades.  #TampicoVaConTodos";"2024-11-06T19:24:24+0000";"";"";""
"964877296876825_1144224297267463/964877296876825_1128335182189708/964877296876825_1128335182189708";"1945";"75";"2";"964877296876825_1128335182189708";"data";"data.*";"fetched (200)";"2025-11-14 08:05:56.445501";"Facebook:/<post-id>/comments";"";"2024-11-06T19:33:08+0000";"0";"0";""
