comment_text,published_at,query
Sigan votando por morena JAJAJA.😂,2024-11-05T06:27:10Z,Gobierno de Tampico
Sigan votando por morena JAJAJA.😂,2024-11-05T06:27:10Z,gobierno de Tampico
Sigan votando por morena JAJAJA.😂,2024-11-05T06:27:10Z,Gobierno de Tampico
Sigan votando por morena JAJAJA.😂,2024-11-05T06:27:10Z,gobierno de Tampico
"Votaron por lo mismo, ni se quejen.",2024-11-05T07:52:16Z,Gobierno de Tampico
"Votaron por lo mismo, ni se quejen.",2024-11-05T07:52:16Z,gobierno de Tampico
"Votaron por lo mismo, ni se quejen.",2024-11-05T07:52:16Z,Gobierno de Tampico
"Votaron por lo mismo, ni se quejen.",2024-11-05T07:52:16Z,gobierno de Tampico
Qere desir qe  cebtroamerica tiene las manos metidas en la delincuencia de mexico,2024-11-05T16:29:19Z,Gobierno de Tampico
Qere desir qe  cebtroamerica tiene las manos metidas en la delincuencia de mexico,2024-11-05T16:29:19Z,gobierno de Tampico
Qere desir qe  cebtroamerica tiene las manos metidas en la delincuencia de mexico,2024-11-05T16:29:19Z,Gobierno de Tampico
Qere desir qe  cebtroamerica tiene las manos metidas en la delincuencia de mexico,2024-11-05T16:29:19Z,gobierno de Tampico
"Ejo no ej cierto, así hablan ahora los politicos",2024-11-05T18:19:56Z,Gobierno de Tampico
"Ejo no ej cierto, así hablan ahora los politicos",2024-11-05T18:19:56Z,gobierno de Tampico
"Ejo no ej cierto, así hablan ahora los politicos",2024-11-05T18:19:56Z,Gobierno de Tampico
"Ejo no ej cierto, así hablan ahora los politicos",2024-11-05T18:19:56Z,gobierno de Tampico
"Yo soy Veracruzano y Cuitlahuac es una desepcion no cambio nada para bien, igual que todos los exgobernadores Duarte, Miguel Angel Yunes, Fidel Herrera etc, etc. Todos saben que Cuitlahuac junto con su gabinete, han robado por camiones de dinero y han dejado a las empresas privadas, narcos, policías hacer lo que quieran con una impunidad a ojos vistos que asta en la cara te lo restriegan.",2024-11-05T20:56:48Z,Gobierno de Tampico
"Yo soy Veracruzano y Cuitlahuac es una desepcion no cambio nada para bien, igual que todos los exgobernadores Duarte, Miguel Angel Yunes, Fidel Herrera etc, etc. Todos saben que Cuitlahuac junto con su gabinete, han robado por camiones de dinero y han dejado a las empresas privadas, narcos, policías hacer lo que quieran con una impunidad a ojos vistos que asta en la cara te lo restriegan.",2024-11-05T20:56:48Z,gobierno de Tampico
"Yo soy Veracruzano y Cuitlahuac es una desepcion no cambio nada para bien, igual que todos los exgobernadores Duarte, Miguel Angel Yunes, Fidel Herrera etc, etc. Todos saben que Cuitlahuac junto con su gabinete, han robado por camiones de dinero y han dejado a las empresas privadas, narcos, policías hacer lo que quieran con una impunidad a ojos vistos que asta en la cara te lo restriegan.",2024-11-05T20:56:48Z,Gobierno de Tampico
"Yo soy Veracruzano y Cuitlahuac es una desepcion no cambio nada para bien, igual que todos los exgobernadores Duarte, Miguel Angel Yunes, Fidel Herrera etc, etc. Todos saben que Cuitlahuac junto con su gabinete, han robado por camiones de dinero y han dejado a las empresas privadas, narcos, policías hacer lo que quieran con una impunidad a ojos vistos que asta en la cara te lo restriegan.",2024-11-05T20:56:48Z,gobierno de Tampico
Ala escuela se va a aprender. no jugar. Muy buena idea de este docente dela verdadera educación . Ya estamos hasta la madre de los maestros  inventen  cooperaciones de dinero solo para enriquecerse 🎉👍👏👏👏👏,2024-11-05T23:13:20Z,Gobierno de Tampico
