Query_Str,Post_URL,Author_Name,Author_Web_Page_URL,Author_Handle,Verified_Status,UTC_Time,Ads,Tweet_Content,Post_ID,Tweet_URL,Reply_Count,Repost_Count,Like_Count,View_Count,Bookmark_Count,Tweet_Image_URL,Replying_to,Reply_to_Whom,Reply_to_Whom_URL,Reply_to_Whom_Username,Reply_to_Whom_Handle,Language,Type
(@@TampicoGob OR @@MonicaVTampico) min_replies:0 min_faves:0 min_retweets:0,https://x.com/search?q=(@@TampicoGob OR @@MonicaVTampico) min_replies:0 min_faves:0 min_retweets:0 until:2024-11-27 since:2024-11-26&src=typed_query,Jaime Eduardo,https://x.com/jeduardogalvan,jeduardogalvan,False,2024-11-26 06:20:13+00:00,False,"¡RECONOCIMIENTO TOTAL A TANNA SANCHEZ! Entró en el segundo tiempo para poder subir a Rebeca al medio campo y fue una MURALLA, se partió el alma y su gol fue el parte aguas de una histórica remontada. ¡GRACIAS @sc_tanna! Bendito sea el día que llegaste al Monterrey 🔵⚪🔵⚪",1861293867905032443,https://x.com/jeduardogalvan/status/1861293867905032443,15,87,955,21706,15,https://pbs.twimg.com/media/GdSk6LHXkAI1UQd.jpg,False,,,,,es,Top
(@@TampicoGob OR @@MonicaVTampico) min_replies:0 min_faves:0 min_retweets:0,https://x.com/search?q=(@@TampicoGob OR @@MonicaVTampico) min_replies:0 min_faves:0 min_retweets:0 until:2024-11-27 since:2024-11-26&src=typed_query,Derecho a Vivir,https://x.com/derechoavivir,derechoavivir,True,2024-11-26 09:34:54+00:00,False,"Pedimos oraciones por una de nuestras mamas, Tania. Estuvo en riesgo de aborto porque su madre no acepta su embarazo. Esperamos que en cuanto la abuela vea a la niña se reconcilien🙏",1861342858298454151,https://x.com/derechoavivir/status/1861342858298454151,13,64,279,3232,0,,False,,,,,es,Top
(@@TampicoGob OR @@MonicaVTampico) min_replies:0 min_faves:0 min_retweets:0,https://x.com/search?q=(@@TampicoGob OR @@MonicaVTampico) min_replies:0 min_faves:0 min_retweets:0 until:2024-11-27 since:2024-11-26&src=typed_query,Operación Triunfo,https://x.com/OT_Oficial,OT_Oficial,False,2024-11-26 10:03:04+00:00,False,Este viernes 29/11 llegará a nuestras vidas MONCAYO de Juanjo Bona 💙 ¿Cuántos estáis desssssseando que llegue el estreno? 👉🏻 http://juanjobona.lnk.to/Moncayo 🏔️,1861349947003519330,https://x.com/OT_Oficial/status/1861349947003519330,64,663,2849,67191,55,https://pbs.twimg.com/media/GdTWCJuWkAAMYoc.jpg,False,,,,,es,Top
(@@TampicoGob OR @@MonicaVTampico) min_replies:0 min_faves:0 min_retweets:0,https://x.com/search?q=(@@TampicoGob OR @@MonicaVTampico) min_replies:0 min_faves:0 min_retweets:0 until:2024-11-27 since:2024-11-26&src=typed_query,Tomas Diaz Cueto,https://x.com/Tomidiazcueto,Tomidiazcueto,True,2024-11-26 10:18:47+00:00,False,La periodista no permite que le comenten los post 🤣💀,1861353904673280066,https://x.com/Tomidiazcueto/status/1861353904673280066,118,181,1025,19093,3,,False,,,,,es,Top
(@@TampicoGob OR @@MonicaVTampico) min_replies:0 min_faves:0 min_retweets:0,https://x.com/search?q=(@@TampicoGob OR @@MonicaVTampico) min_replies:0 min_faves:0 min_retweets:0 until:2024-11-27 since:2024-11-26&src=typed_query,Pablo García Torrejón,https://x.com/PabloGTorrejon,PabloGTorrejon,False,2024-11-26 10:38:15+00:00,False,"🧐 Otra estampa histórica será la de este fin de semana: ➡️ Mientras que la Esperanza #Macarena estará de veneración para recibir la Rosa de Oro, la Esperanza de #Triana ya estará en su paso esperando su salida del próximo 7 de diciembre.",1861358802760601858,https://x.com/PabloGTorrejon/status/1861358802760601858,0,46,433,30974,20,https://pbs.twimg.com/media/GdTf8M1XYAACE7Y.jpg;https://pbs.twimg.com/media/GdTf8MzW8AAFztL.jpg,False,,,,,es,Top
(@@TampicoGob OR @@MonicaVTampico) min_replies:0 min_faves:0 min_retweets:0,https://x.com/search?q=(@@TampicoGob OR @@MonicaVTampico) min_replies:0 min_faves:0 min_retweets:0 until:2024-11-27 since:2024-11-26&src=typed_query,Mónica Arosemena,https://x.com/MnicaArosemena1,MnicaArosemena1,False,2024-11-26 13:53:44+00:00,False,"DE ESTA PAPELETA, SOLO SE PUEDE RESCATAR A LA DOCTORA ANNABELLA AZIN Y TAL VEZ, TAL VEZ A LUCIO..., EL RESTO SON UNA BASURA!! TENDREMOS MÁS DE LO MISMO!!",1861407996175130845,https://x.com/MnicaArosemena1/status/1861407996175130845,109,92,286,8919,3,https://pbs.twimg.com/media/GdUMs_7WkAAnpXB.jpg,False,,,,,es,Top
(@@TampicoGob OR @@MonicaVTampico) min_replies:0 min_faves:0 min_retweets:0,https://x.com/search?q=(@@TampicoGob OR @@MonicaVTampico) min_replies:0 min_faves:0 min_retweets:0 until:2024-11-27 since:2024-11-26&src=typed_query,𝒕𝒂𝒏𝒊𝒂 🪩✨🐯,https://x.com/taaniacoe,taaniacoe,False,2024-11-26 14:05:19+00:00,False,"Lo de ella ayer pidiendo perdón. No mi amor, no nos debes nada, nosotros te debemos todo🥺. Eres impresionante que lo sabe todo México y el mundo entero. Gracias por querer, por partirte la madre y portar este escudo con tu vida. SIEMPRE CONTIGO @lizbethovalle7 💛",1861410913791660194,https://x.com/taaniacoe/status/1861410913791660194,12,29,274,20617,1,https://pbs.twimg.com/media/GdUPXF1WIAACuOY.jpg,False,,,,,es,Top
(@@TampicoGob OR @@MonicaVTampico) min_replies:0 min_faves:0 min_retweets:0,https://x.com/search?q=(@@TampicoGob OR @@MonicaVTampico) min_replies:0 min_faves:0 min_retweets:0 until:2024-11-27 since:2024-11-26&src=typed_query,lorena mckennite,https://x.com/mckennite,mckennite,False,2024-11-26 14:25:44+00:00,False,ESTA DELINCYENTE TIENE QUE ESTAR PRESA Y EMBARGADA HASTA EL ULTIMO CENTAVO,1861416049847026096,https://x.com/mckennite/status/1861416049847026096,37,403,822,4889,2,https://pbs.twimg.com/media/GdUUBx-WQAAFQED.jpg,False,,,,,es,Top
(@@TampicoGob OR @@MonicaVTampico) min_replies:0 min_faves:0 min_retweets:0,https://x.com/search?q=(@@TampicoGob OR @@MonicaVTampico) min_replies:0 min_faves:0 min_retweets:0 until:2024-11-27 since:2024-11-26&src=typed_query,claudia torres,https://x.com/claudiatorress,claudiatorress,False,2024-11-26 14:51:43+00:00,False,#Tampico #MonicaVillerreal otravez no pasa la basura como ya se hizo costumbre @MonicaVTampico,1861422590469759232,https://x.com/claudiatorress/status/1861422590469759232,0,0,0,31,0,https://pbs.twimg.com/media/GdUZ-1SWYAAF7ty.jpg,False,,,,,es,Top
(@@TampicoGob OR @@MonicaVTampico) min_replies:0 min_faves:0 min_retweets:0,https://x.com/search?q=(@@TampicoGob OR @@MonicaVTampico) min_replies:0 min_faves:0 min_retweets:0 until:2024-11-27 since:2024-11-26&src=typed_query,Venusmiun,https://x.com/venusmiun_ok,venusmiun_ok,True,2024-11-26 15:26:07+00:00,False,💖 ¡¡FEELIZ TACODAY!! Hoy full vicio de DBD + charlita + meta para cosplay Jinx 💖💕 http://Twitch.tv/venusmiun http://Twitch.tv/venusmiun,1861431248402432509,https://x.com/venusmiun_ok/status/1861431248402432509,8,22,415,6537,47,https://pbs.twimg.com/media/GdUh2iaXUAASJvb.jpg,False,,,,,tl,Top
