Query_Str,Post_URL,Author_Name,Author_Web_Page_URL,Author_Handle,Verified_Status,UTC_Time,Ads,Tweet_Content,Post_ID,Tweet_URL,Reply_Count,Repost_Count,Like_Count,View_Count,Bookmark_Count,Tweet_Image_URL,Replying_to,Reply_to_Whom,Reply_to_Whom_URL,Reply_to_Whom_Username,Reply_to_Whom_Handle,Language,Type
(@@TampicoGob OR @@MonicaVTampico) min_replies:0 min_faves:0 min_retweets:0,https://x.com/search?q=(@@TampicoGob OR @@MonicaVTampico) min_replies:0 min_faves:0 min_retweets:0 until:2024-12-18 since:2024-12-17&src=typed_query,Lisa.B,https://x.com/Ana9Lisa,Ana9Lisa,False,2024-12-17 08:36:16+00:00,False,"Buenos días mundo, ¡Ya soy tía!, mi sobrinita ya está aquí. Bienvenida a este mundo, es un poco perro, pero tu tía te trae risas, colorinchis, abrazos, y te va a enseñar muchas palabrotas. Wiiiiii 🩷🩷🩷🩷🩷🩷🩷🩷🩷🩷🩷🩷",1868938249949040650,https://x.com/Ana9Lisa/status/1868938249949040650,145,12,759,10449,0,,False,,,,,es,Top
(@@TampicoGob OR @@MonicaVTampico) min_replies:0 min_faves:0 min_retweets:0,https://x.com/search?q=(@@TampicoGob OR @@MonicaVTampico) min_replies:0 min_faves:0 min_retweets:0 until:2024-12-18 since:2024-12-17&src=typed_query,Manos de Heroes,https://x.com/manosdeheroes,manosdeheroes,False,2024-12-17 11:10:20+00:00,False,"¿Se acuerdan de Naomi? Fue la primera niña a quien le dimos una mano de héroe, allá por el 2020. Naomi hoy tiene 12 años y su mamá Mónica nos escribió para contarnos que estaba yendo a clases de guitarra y precisaba un adaptador para que logre sostener la púa.",1868977021063512160,https://x.com/manosdeheroes/status/1868977021063512160,2,47,342,12912,0,https://pbs.twimg.com/media/Ge_wsOoWgAAhUYj.jpg,False,,,,,es,Top
(@@TampicoGob OR @@MonicaVTampico) min_replies:0 min_faves:0 min_retweets:0,https://x.com/search?q=(@@TampicoGob OR @@MonicaVTampico) min_replies:0 min_faves:0 min_retweets:0 until:2024-12-18 since:2024-12-17&src=typed_query,⛓️‍💥🇻🇪Tequeño🇻🇪⛓️‍💥,https://x.com/tequenoqueopina,tequenoqueopina,False,2024-12-17 11:30:27+00:00,False,"La hija de Maria Corina Machado es literalmente Maria Corina Machado jovencita. Que cosa tan impresionante. La sonrisa es idéntica. Y obvio: la educación, los modales, los valores, la clase, la elegancia y sobretodo LA DECENCIA. Lo vuelvo a repetir: EL LIDERAZGO QUE ✨MERECEMOS✨",1868982085177974833,https://x.com/tequenoqueopina/status/1868982085177974833,71,746,2894,36996,16,,False,,,,,es,Top
(@@TampicoGob OR @@MonicaVTampico) min_replies:0 min_faves:0 min_retweets:0,https://x.com/search?q=(@@TampicoGob OR @@MonicaVTampico) min_replies:0 min_faves:0 min_retweets:0 until:2024-12-18 since:2024-12-17&src=typed_query,Jair,https://x.com/mondomo79,mondomo79,True,2024-12-17 11:39:56+00:00,False,"@PaoHerreraC Tenaz como empieza el escrito. Todo termina siendo personal y es una periodista de bastante reputación, se pierden las formas, se dean contagiar del resto, se termina haciendo parte del rebaño.",1868984469858009285,https://x.com/mondomo79/status/1868984469858009285,5,54,205,2337,0,https://pbs.twimg.com/media/Ge_3eArXYAAXPy_.jpg,True,PaoHerreraC,https://x.com/PaoHerreraC,Paola Herrera,PaoHerreraC,es,Top
(@@TampicoGob OR @@MonicaVTampico) min_replies:0 min_faves:0 min_retweets:0,https://x.com/search?q=(@@TampicoGob OR @@MonicaVTampico) min_replies:0 min_faves:0 min_retweets:0 until:2024-12-18 since:2024-12-17&src=typed_query,Traductor 🥹💕💐,https://x.com/TraductorTeAma,TraductorTeAma,True,2024-12-17 12:31:58+00:00,False,"El detalle de esto no es la reaparición de la corrupta Tolosa Paz. El detalle clave es que esta vez aparece con un rosario colgado al cuello. Hace unos años era con pañuelito verde. Ahora ""Dios patria y familia"" https://x.com/elduckpost/status/1868609476670235043/video/1",1868997565150380060,https://x.com/TraductorTeAma/status/1868997565150380060,556,828,4030,137171,61,,False,,,,,es,Top
(@@TampicoGob OR @@MonicaVTampico) min_replies:0 min_faves:0 min_retweets:0,https://x.com/search?q=(@@TampicoGob OR @@MonicaVTampico) min_replies:0 min_faves:0 min_retweets:0 until:2024-12-18 since:2024-12-17&src=typed_query,Teresa Christina C.🦁💜🇦🇷,https://x.com/Tcristina77,Tcristina77,True,2024-12-17 12:46:40+00:00,False,"POR FAVOR ESCUCHEN !! EL PERIODISTA DE LENTES SE LLAMA TOMÁS MOSCIATTI, ES BASTANTE DIRECTO, PERO MILEI ES UN MILAGRO!! CHILE TE AMA @JMilei y YO MUCHO MAS! VLLC!!! ❤️🇦🇷",1869001262618046975,https://x.com/Tcristina77/status/1869001262618046975,11,174,564,8199,29,https://pbs.twimg.com/ext_tw_video_thumb/1869001204706967552/pu/img/jUbU5mTP39-269lr.jpg,False,,,,,es,Top
(@@TampicoGob OR @@MonicaVTampico) min_replies:0 min_faves:0 min_retweets:0,https://x.com/search?q=(@@TampicoGob OR @@MonicaVTampico) min_replies:0 min_faves:0 min_retweets:0 until:2024-12-18 since:2024-12-17&src=typed_query,silvia mensegar,https://x.com/SilviaMylo,SilviaMylo,False,2024-12-17 13:02:18+00:00,False,"Pobrecito a su edad implorando por una familia rodando por ahí como esos abuelillos que nadie quiere qué pena 😢 💔 🚨🚨🚨🚨 BOBY NECESITA HOGAR 🏠💙💙 El frío y la edad le pasan factura 😢 tiene dolores y necesita hogar calientito 🙏 *Es un perro súper tranquilo, tiene 6 años 🧡 *Pasea muy bien con la correa 👌 *Sabe hacer sus necesidades fuera *Es un perro grande, cruce de mastín *Está desparasitado, chipado, vacunado y castrado ✅ *Se lleva muy bien con otros perros y niños ❤️👶 Necesita una familia que le de cariño y amor que nunca ha tenido en su vida 💔 📍está en Madrid, puede viajar 🚘 ☎️Contacto 665319474",1869005197705388265,https://x.com/SilviaMylo/status/1869005197705388265,45,904,790,22752,13,https://pbs.twimg.com/media/GfAKUm4WUAASfYN.jpg,False,,,,,es,Top
(@@TampicoGob OR @@MonicaVTampico) min_replies:0 min_faves:0 min_retweets:0,https://x.com/search?q=(@@TampicoGob OR @@MonicaVTampico) min_replies:0 min_faves:0 min_retweets:0 until:2024-12-18 since:2024-12-17&src=typed_query,Mhoni Vidente,https://x.com/mhonividente,mhonividente,True,2024-12-17 13:31:48+00:00,False,Hoy abro mIs brazos al Éxito y recordaré que cada dificultad y problema que se presenten será como una experiencia de vida para ser mejor persona. Hoy no me dejare vencer y sacare mi Fuerza Espiritual para lograr lo que tanto deseo HOY SERE UN TRUINFADOR,1869012623003648215,https://x.com/mhonividente/status/1869012623003648215,54,65,557,23554,4,https://pbs.twimg.com/media/GfARE4nXoAAAVIN.jpg,False,,,,,es,Top
(@@TampicoGob OR @@MonicaVTampico) min_replies:0 min_faves:0 min_retweets:0,https://x.com/search?q=(@@TampicoGob OR @@MonicaVTampico) min_replies:0 min_faves:0 min_retweets:0 until:2024-12-18 since:2024-12-17&src=typed_query,MARIA ANDREA NIETO,https://x.com/MAndreaNieto,MAndreaNieto,True,2024-12-17 13:44:38+00:00,False,"Estoy feliz!! Gracias, GRACIAS a los jueces de este país!! Le GANAMOS una TUTELA al gobierno de la potencia mundial de la “vida”, que promueve el odio y la persecución en contra de las periodistas. La justicia le ordena a la UNP PROTEGER mis derechos constitucionales A LA VIDA y a la integridad física, y le ordena a la UNP, un nuevo estudio de riesgo, con el fin de aumentar mis medidas de seguridad, debido a las diferentes amenazas que a diario recibo, por cuenta del matoneo que proviene desde la Casa de Nariño y los bodegueros del gobierno que difunden odio y mentiras en mi contra. La UNP solo me asignó un chaleco antibalas (que se demoró en entregar que porque no había mi talla) y un escolta de protección. Y ya. Pero a los angelitos de la primera línea y “gestores de paz” los protege con esquemas completos de seguridad. No voy a parar y ya adelanté procesos cautelares en instancias judiciales internacionales. Los gobiernos comunistas (Cuba, Venezuela, Nicaragua) persiguen a la prensa libre porque así se pueden perpetuar en el poder. Daré la pelea porque presidente PETRO: USTED Y SU GOBIERNO ESTÁN OBLIGADOS A CUMPLIR CON LA LEY.",1869015851317305607,https://x.com/MAndreaNieto/status/1869015851317305607,1222,2099,4704,95886,31,https://pbs.twimg.com/media/GfAUAQoXwAAvrt5.jpg,False,,,,,es,Top
(@@TampicoGob OR @@MonicaVTampico) min_replies:0 min_faves:0 min_retweets:0,https://x.com/search?q=(@@TampicoGob OR @@MonicaVTampico) min_replies:0 min_faves:0 min_retweets:0 until:2024-12-18 since:2024-12-17&src=typed_query,Alejandro Armenta,https://x.com/armentapuebla_,armentapuebla_,True,2024-12-17 13:51:27+00:00,False,"Cholita de mi alma, hace 11 años nos dejaste, pero no te llevaste tu alegría, tu cariño, tu sabiduría y tu amor, ese se quedó con nosotros.🕊️ Siempre honro tus consejos, eh,☝🏻 muchos poblanos y poblanas ya se los aprendieron, porque no me canso de repetirlos y de ponerlos en práctica...""Ser siempre útil, acomedido y agradecido"". Te amo mamá.🤍",1869017567899058484,https://x.com/armentapuebla_/status/1869017567899058484,54,76,234,7703,0,https://pbs.twimg.com/media/GfAMIpJXAAAsloN.jpg,False,,,,,es,Top
