Query_Str,Post_URL,Author_Name,Author_Web_Page_URL,Author_Handle,Verified_Status,UTC_Time,Ads,Tweet_Content,Post_ID,Tweet_URL,Reply_Count,Repost_Count,Like_Count,View_Count,Bookmark_Count,Tweet_Image_URL,Replying_to,Reply_to_Whom,Reply_to_Whom_URL,Reply_to_Whom_Username,Reply_to_Whom_Handle,Language,Type
(@@TampicoGob OR @@MonicaVTampico) min_replies:0 min_faves:0 min_retweets:0,https://x.com/search?q=(@@TampicoGob OR @@MonicaVTampico) min_replies:0 min_faves:0 min_retweets:0 until:2025-01-01 since:2024-12-31&src=typed_query,NOTIVIZA,https://x.com/Notiviza,Notiviza,True,2024-12-31 19:11:05+00:00,False,"El programa Nutrimar-Común distribuirá en Tamaulipas más de 38 mil kilos de filete de pescado, para enriquecer de proteína la dieta de las y los tamaulipecos. https://www.notivizanoreste.com.mx/estado/firma-desarrollo-rural-convenio-del-programa-nutrimar-comun-con-el-municipio-de-tampico/ @MonicaVTampico @TampicoGob @RuralTam_mx",1874171438414127149,https://x.com/Notiviza/status/1874171438414127149,0,1,1,8,0,,False,,,,,es,Top
(@@TampicoGob OR @@MonicaVTampico) min_replies:0 min_faves:0 min_retweets:0,https://x.com/search?q=(@@TampicoGob OR @@MonicaVTampico) min_replies:0 min_faves:0 min_retweets:0 until:2025-01-02 since:2025-01-01&src=typed_query,Roberto C. Flores Baldelamar,https://x.com/c_baldelamar,c_baldelamar,False,2025-01-01 05:57:09+00:00,False,@MonicaVTampico Feliz año Alcaldesa !!!....éxito en este 2025 y un abrazo !!!,1874334024266899747,https://x.com/c_baldelamar/status/1874334024266899747,0,0,0,34,0,,True,MonicaVTampico,https://x.com/MonicaVTampico,Mónica Villarreal Anaya,MonicaVTampico,es,Top
(@@TampicoGob OR @@MonicaVTampico) min_replies:0 min_faves:0 min_retweets:0,https://x.com/search?q=(@@TampicoGob OR @@MonicaVTampico) min_replies:0 min_faves:0 min_retweets:0 until:2025-01-02 since:2025-01-01&src=typed_query,NOTIVIZA,https://x.com/Notiviza,Notiviza,True,2025-01-01 08:18:36+00:00,False,"Del 19 y el 29 de diciembre más de 91 mil turistas han visitado los principales sitios de recreo de Tampico, dejando una importante derrama económica, principalmente entre los prestadores de servicios turísticos. https://www.notivizanoreste.com.mx/estado/se-consolida-tampico-como-el-principal-destino-turistico-de-tamaulipas/ @MonicaVTampico @TampicoGob @SECTUR_TAM",1874369623011008763,https://x.com/Notiviza/status/1874369623011008763,0,1,0,10,0,,False,,,,,es,Top
(@@TampicoGob OR @@MonicaVTampico) min_replies:0 min_faves:0 min_retweets:0,https://x.com/search?q=(@@TampicoGob OR @@MonicaVTampico) min_replies:0 min_faves:0 min_retweets:0 until:2025-01-02 since:2025-01-01&src=typed_query,Marina Lazo,https://x.com/marilazo,marilazo,False,2025-01-01 11:06:36+00:00,False,"@MonicaVTampico Muchas felicidades Monica, te envío un profundo abrazo de corazón a corazón",1874411898860654968,https://x.com/marilazo/status/1874411898860654968,0,0,0,22,0,,True,MonicaVTampico,https://x.com/MonicaVTampico,Mónica Villarreal Anaya,MonicaVTampico,es,Top
(@@TampicoGob OR @@MonicaVTampico) min_replies:0 min_faves:0 min_retweets:0,https://x.com/search?q=(@@TampicoGob OR @@MonicaVTampico) min_replies:0 min_faves:0 min_retweets:0 until:2025-01-02 since:2025-01-01&src=typed_query,NOTIVIZA,https://x.com/Notiviza,Notiviza,True,2025-01-01 17:26:51+00:00,False,"Del 19 y el 29 de diciembre más de 91 mil turistas han visitado los principales sitios de recreo de Tampico, dejando una importante derrama económica, principalmente entre los prestadores de servicios turísticos. https://www.notivizanoreste.com.mx/estado/se-consolida-tampico-como-el-principal-destino-turistico-de-tamaulipas/@MonicaVTampico @TampicoGob",1874507594062057516,https://x.com/Notiviza/status/1874507594062057516,0,2,0,40,0,https://pbs.twimg.com/media/GgOWtyqWcAAUnMl.jpg,False,,,,,es,Top
(@@TampicoGob OR @@MonicaVTampico) min_replies:0 min_faves:0 min_retweets:0,https://x.com/search?q=(@@TampicoGob OR @@MonicaVTampico) min_replies:0 min_faves:0 min_retweets:0 until:2025-01-02 since:2025-01-01&src=typed_query,Fer Narro,https://x.com/fernamenoide,fernamenoide,False,2025-01-01 20:02:15+00:00,False,@Caracemar @MonicaVTampico *alcaldesa,1874546699445870669,https://x.com/fernamenoide/status/1874546699445870669,0,0,0,7,0,,True,Caracemar,https://x.com/Caracemar,Carlos,Caracemar,es,Top
(@@TampicoGob OR @@MonicaVTampico) min_replies:0 min_faves:0 min_retweets:0,https://x.com/search?q=(@@TampicoGob OR @@MonicaVTampico) min_replies:0 min_faves:0 min_retweets:0 until:2025-01-02 since:2025-01-01&src=typed_query,El Reportero MX,https://x.com/El_ReporteroMX,El_ReporteroMX,False,2025-01-01 22:26:33+00:00,False,@MonicaVTampico @TampicoGob #ElReporteroMX #InformacionenTiempoReal,1874583013075685384,https://x.com/El_ReporteroMX/status/1874583013075685384,0,0,0,3,0,,True,MonicaVTampico,https://x.com/MonicaVTampico,Mónica Villarreal Anaya,MonicaVTampico,qme,Top
(@@TampicoGob OR @@MonicaVTampico) min_replies:0 min_faves:0 min_retweets:0,https://x.com/search?q=(@@TampicoGob OR @@MonicaVTampico) min_replies:0 min_faves:0 min_retweets:0 until:2025-01-02 since:2025-01-01&src=typed_query,El Reportero MX,https://x.com/El_ReporteroMX,El_ReporteroMX,False,2025-01-01 22:38:06+00:00,False,#FelizAñoNuevo2025 @MonicaVTampico @TampicoGob #ElReporteroMX #InformacionenTiempoReal,1874585921154331058,https://x.com/El_ReporteroMX/status/1874585921154331058,0,0,1,17,0,https://pbs.twimg.com/ext_tw_video_thumb/1874585648750804992/pu/img/WsuQ3bVlHgdxYdFj.jpg,False,,,,,qme,Top
(@@TampicoGob OR @@MonicaVTampico) min_replies:0 min_faves:0 min_retweets:0,https://x.com/search?q=(@@TampicoGob OR @@MonicaVTampico) min_replies:0 min_faves:0 min_retweets:0 until:2025-01-03 since:2025-01-02&src=typed_query,NoresteDigital🇲🇽,https://x.com/NoresteDigital,NoresteDigital,True,2025-01-02 00:26:21+00:00,False,"Deseo de todo corazón que 2025 traiga a todos los hogares de #Tampico, paz, dicha y prosperidad. Que cada uno de los propósitos anhelados se cumpla. #Tamaulipas #CdVictoria #Madero #Altamira #Monterrey #FelizAñoNuevo @TampicoGob @MonicaVTampico @Dr_AVillarreal @HectorVillarri",1874613163565756677,https://x.com/NoresteDigital/status/1874613163565756677,0,1,1,513,0,https://pbs.twimg.com/ext_tw_video_thumb/1874613011874222080/pu/img/_f7TXLS_w96rKnRq.jpg,False,,,,,es,Top
(@@TampicoGob OR @@MonicaVTampico) min_replies:0 min_faves:0 min_retweets:0,https://x.com/search?q=(@@TampicoGob OR @@MonicaVTampico) min_replies:0 min_faves:0 min_retweets:0 until:2025-01-03 since:2025-01-02&src=typed_query,El Reportero MX,https://x.com/El_ReporteroMX,El_ReporteroMX,False,2025-01-02 15:58:55+00:00,False,Reconoce Mónica Villarreal participación de Guardia Estatal en la construcción de la paz https://elreportero.mx/inicio/2025/01/02/reconoce-monica-villarreal-participacion-de-guardia-estatal-en-la-construccion-de-la-paz/ @MonicaVTampico @TampicoGob #ElReporteroMX #InformacionenTiempoReal,1874847850284417035,https://x.com/El_ReporteroMX/status/1874847850284417035,0,0,1,23,0,,False,,,,,es,Top
(@@TampicoGob OR @@MonicaVTampico) min_replies:0 min_faves:0 min_retweets:0,https://x.com/search?q=(@@TampicoGob OR @@MonicaVTampico) min_replies:0 min_faves:0 min_retweets:0 until:2025-01-03 since:2025-01-02&src=typed_query,Des,https://x.com/DesGon,DesGon,False,2025-01-02 21:40:05+00:00,False,@DenisseRomeroM @Dr_AVillarreal @erasmoglz @MonicaVTampico en #Tamaulipas nos merecemos un transporte #decente #seguro #primermundo #Tránsito o #TransporteFederal #alguien debe de asegurarse de que #todo esté bien y seguro para los usuarios #nobajenguardia por presión https://www.facebook.com/share/p/14aReK3Vy4/,1874933708190572925,https://x.com/DesGon/status/1874933708190572925,0,0,0,30,0,,True,DenisseRomeroM,https://x.com/DenisseRomeroM,Denisse Romero,DenisseRomeroM,es,Top
(@@TampicoGob OR @@MonicaVTampico) min_replies:0 min_faves:0 min_retweets:0,https://x.com/search?q=(@@TampicoGob OR @@MonicaVTampico) min_replies:0 min_faves:0 min_retweets:0 until:2025-01-04 since:2025-01-03&src=typed_query,Alcaldes de México,https://x.com/AlcaldesMexico,AlcaldesMexico,True,2025-01-03 00:10:00+00:00,False,"Con el fin de dispersar proteína de pescado a la población vulnerable de #Tampico, el secretario de @RuralTam_mx, Antonio Varela Flores, firmó un convenio de colaboración con la presidenta municipal, @MonicaVTampico https://www.alcaldesdemexico.com/ciudadania/municipio-de-tampico-apoya-el-consumo-sano-de-la-ciudadania/",1874971436311630067,https://x.com/AlcaldesMexico/status/1874971436311630067,0,0,0,201,0,,False,,,,,es,Top
(@@TampicoGob OR @@MonicaVTampico) min_replies:0 min_faves:0 min_retweets:0,https://x.com/search?q=(@@TampicoGob OR @@MonicaVTampico) min_replies:0 min_faves:0 min_retweets:0 until:2025-01-04 since:2025-01-03&src=typed_query,El Dorado,https://x.com/LuisDorado21,LuisDorado21,False,2025-01-03 02:27:27+00:00,False,@TampicoGob @MonicaVTampico Recogan la basura mejor que gobierno tan malo,1875006029291008442,https://x.com/LuisDorado21/status/1875006029291008442,0,0,0,4,0,,True,TampicoGob,https://x.com/TampicoGob,Tampico Gob,TampicoGob,es,Top
(@@TampicoGob OR @@MonicaVTampico) min_replies:0 min_faves:0 min_retweets:0,https://x.com/search?q=(@@TampicoGob OR @@MonicaVTampico) min_replies:0 min_faves:0 min_retweets:0 until:2025-01-04 since:2025-01-03&src=typed_query,El Reportero MX,https://x.com/El_ReporteroMX,El_ReporteroMX,False,2025-01-03 19:00:58+00:00,False,Ciudadanía de Tampico responde al Pago del Predial https://elreportero.mx/inicio/2025/01/03/ciudadania-de-tampico-responde-al-pago-del-predial/ @MonicaVTampico @TampicoGob #ElReporteroMX #InformacionenTiempoReal,1875256055711858705,https://x.com/El_ReporteroMX/status/1875256055711858705,0,0,1,20,0,,False,,,,,es,Top
(@@TampicoGob OR @@MonicaVTampico) min_replies:0 min_faves:0 min_retweets:0,https://x.com/search?q=(@@TampicoGob OR @@MonicaVTampico) min_replies:0 min_faves:0 min_retweets:0 until:2025-01-05 since:2025-01-04&src=typed_query,NOTIVIZA,https://x.com/Notiviza,Notiviza,True,2025-01-04 03:05:21+00:00,False,Alcaldesa de Tampico presidirá el día sábado y domingo en las canchas deportivas de la colonia Enrique Cárdenas González y en la plaza 18 de marzo de la colonia Tamaulipas ambos festivales iniciarán en punto de las 4:00 de la tarde. https://www.notivizanoreste.com.mx/estado/monica-villarreal-llevara-alegria-a-la-ninez-tampiquena-en-dia-de-reyes/ @MonicaVTampico,1875377954378895582,https://x.com/Notiviza/status/1875377954378895582,0,2,0,74,0,https://pbs.twimg.com/media/GgauTQdWQAAZ74J.jpg,False,,,,,es,Top
(@@TampicoGob OR @@MonicaVTampico) min_replies:0 min_faves:0 min_retweets:0,https://x.com/search?q=(@@TampicoGob OR @@MonicaVTampico) min_replies:0 min_faves:0 min_retweets:0 until:2025-01-05 since:2025-01-04&src=typed_query,Oscar Guardiola V,https://x.com/PachisOjitos,PachisOjitos,False,2025-01-04 03:45:14+00:00,False,"Gobernador @Dr_AVillarreal en zona conurbada Tampico-Madero-Altamira @erasmoglz @MonicaVTampico @armando_4t la gente está muy molesta por COBROS EXCESIVOS de @Comapa_Sur y pésimo servicio limpieza ""NO TRAICIONEN 4T"" @LuisaAlcalde @Claudiashein @JesusRCuevas",1875387990069145764,https://x.com/PachisOjitos/status/1875387990069145764,0,1,0,67,0,,False,,,,,es,Top
(@@TampicoGob OR @@MonicaVTampico) min_replies:0 min_faves:0 min_retweets:0,https://x.com/search?q=(@@TampicoGob OR @@MonicaVTampico) min_replies:0 min_faves:0 min_retweets:0 until:2025-01-05 since:2025-01-04&src=typed_query,MMCrypto,https://x.com/MMCrypto,MMCrypto,True,2025-01-04 10:48:50+00:00,False,➖➖➖🟧➖🟧 🟧🟧🟧🟧🟧🟧🟧 ➖🟧➖🟧➖🟧➖🟧 ➖🟧➖🟧➖🟧➖🟧 ➖🟧➖🟧➖🟧➖🟧 ➖🟧🟧🟧🟧🟧🟧 ➖🟧➖🟧➖🟧➖🟧 ➖🟧➖🟧➖🟧➖🟧 ➖🟧➖🟧➖🟧➖🟧 🟧🟧🟧🟧🟧🟧🟧 ➖➖➖🟧➖🟧,1875494594127044988,https://x.com/MMCrypto/status/1875494594127044988,159,96,1167,73269,10,,False,,,,,art,Top
(@@TampicoGob OR @@MonicaVTampico) min_replies:0 min_faves:0 min_retweets:0,https://x.com/search?q=(@@TampicoGob OR @@MonicaVTampico) min_replies:0 min_faves:0 min_retweets:0 until:2025-01-05 since:2025-01-04&src=typed_query,Oscar Guardiola V,https://x.com/PachisOjitos,PachisOjitos,False,2025-01-04 14:19:47+00:00,False,Recuerden ganaron por @lopezobrador_ NO HAN CUMPLIDO EXPECTATIVAS @Dr_AVillarreal en zona conurbada Tamp-Mad-Altam es aprox 30% de Tamps y sacamos al PRIAN @erasmoglz @MonicaVTampico @armando_4t @LuisaAlcalde @Claudiashein @JesusRCuevas @CongresoTams,1875547681579528688,https://x.com/PachisOjitos/status/1875547681579528688,1,0,0,34,0,,False,,,,,es,Top
(@@TampicoGob OR @@MonicaVTampico) min_replies:0 min_faves:0 min_retweets:0,https://x.com/search?q=(@@TampicoGob OR @@MonicaVTampico) min_replies:0 min_faves:0 min_retweets:0 until:2025-01-05 since:2025-01-04&src=typed_query,NOTIVIZA,https://x.com/Notiviza,Notiviza,True,2025-01-04 21:43:38+00:00,False,"La atención prioritaria a los grupos vulnerables, es una acción sustantiva del Sistema DIF Tampico, destacó la Presidenta del organismo, Dra. Luz Adriana Villarreal Anaya. https://www.notivizanoreste.com.mx/estado/dif-tampico-brinda-atencion-y-respaldo-a-familias-migrantes/ @DIF_Tampico @MonicaVTampico @TampicoGob",1875659377941926065,https://x.com/Notiviza/status/1875659377941926065,0,0,1,13,0,,False,,,,,es,Top
