comment_text,published_at,query
"The Carreteras are the problem in Tamaulipas, they are terrible.        <br><br>Need 2 lanes each direction.  It’s not hard.",2025-01-14T06:15:50Z,Gobierno de Tampico
"The Carreteras are the problem in Tamaulipas, they are terrible.        <br><br>Need 2 lanes each direction.  It’s not hard.",2025-01-14T06:15:50Z,gobierno de Tampico
"Ya no chingan, ya se roban hasta los perros jajaja",2025-01-14T06:23:52Z,Gobierno de Tampico
"Ya no chingan, ya se roban hasta los perros jajaja",2025-01-14T06:23:52Z,gobierno de Tampico
Bueno almenos no lo hizo tacos 🌮 😂,2025-01-14T07:11:25Z,Gobierno de Tampico
Bueno almenos no lo hizo tacos 🌮 😂,2025-01-14T07:11:25Z,gobierno de Tampico
UNA perritO!,2025-01-14T09:29:55Z,Gobierno de Tampico
UNA perritO!,2025-01-14T09:29:55Z,gobierno de Tampico
Falta patroclo,2025-01-14T09:37:58Z,Gobierno de Tampico
Falta patroclo,2025-01-14T09:37:58Z,gobierno de Tampico
Esta mujer es una miserable!<br>Menos mal que lo compró un hombre honesto 😢,2025-01-14T09:41:07Z,Gobierno de Tampico
Esta mujer es una miserable!<br>Menos mal que lo compró un hombre honesto 😢,2025-01-14T09:41:07Z,gobierno de Tampico
"Mí reacción fue algo así:<br>Uy la p### que te pa### vieja deja ese perroooo, deja ese perreo como te lo vas a llevar no es tuyyooo",2025-01-14T09:57:01Z,Gobierno de Tampico
"Mí reacción fue algo así:<br>Uy la p### que te pa### vieja deja ese perroooo, deja ese perreo como te lo vas a llevar no es tuyyooo",2025-01-14T09:57:01Z,gobierno de Tampico
Cárcel.....por favor,2025-01-14T10:49:04Z,Gobierno de Tampico
Cárcel.....por favor,2025-01-14T10:49:04Z,gobierno de Tampico
Ya pagará esa zrra,2025-01-14T10:49:38Z,Gobierno de Tampico
Ya pagará esa zrra,2025-01-14T10:49:38Z,gobierno de Tampico
Ando Bien Locote Pásame La Ceniza y El bote Rolame Otro Baiza Y Un Malboro Pal Rebote!!🔥🤪,2025-01-14T11:49:41Z,Gobierno de Tampico
Ando Bien Locote Pásame La Ceniza y El bote Rolame Otro Baiza Y Un Malboro Pal Rebote!!🔥🤪,2025-01-14T11:49:41Z,gobierno de Tampico
Ando Bien Locote Pásame La Ceniza y El bote Rolame Otro Baiza Y Un Malboro Pal Rebote!!🔥🤪,2025-01-14T11:49:41Z,Gobierno de Tampico
Ando Bien Locote Pásame La Ceniza y El bote Rolame Otro Baiza Y Un Malboro Pal Rebote!!🔥🤪,2025-01-14T11:49:41Z,gobierno de Tampico
"Esta mujer debe estar en la carcel,y esa casa debe de estar ya mas enrejada,la gente en este tiempo es muy muy mala,no confiarse de gente loca,y el que compro que bueno que lo devolvio",2025-01-14T11:58:08Z,Gobierno de Tampico
"Esta mujer debe estar en la carcel,y esa casa debe de estar ya mas enrejada,la gente en este tiempo es muy muy mala,no confiarse de gente loca,y el que compro que bueno que lo devolvio",2025-01-14T11:58:08Z,gobierno de Tampico
"Completamente reprobable el acto no tiene nombre la ladrona ,  lo bueno que la exponen para que las demás personas se cuiden de esta mujer sin escrúpulos",2025-01-14T17:39:41Z,Gobierno de Tampico
"Completamente reprobable el acto no tiene nombre la ladrona ,  lo bueno que la exponen para que las demás personas se cuiden de esta mujer sin escrúpulos",2025-01-14T17:39:41Z,gobierno de Tampico
"Maldita ladrona, que le finquen responsabilidades.",2025-01-14T20:14:16Z,Gobierno de Tampico
"Maldita ladrona, que le finquen responsabilidades.",2025-01-14T20:14:16Z,gobierno de Tampico
Ojala la identifiquen y alguien la reconozca y pongan sus redes y acusarla de robo,2025-01-14T20:29:08Z,Gobierno de Tampico
Ojala la identifiquen y alguien la reconozca y pongan sus redes y acusarla de robo,2025-01-14T20:29:08Z,gobierno de Tampico
Y la señora lo volverá hacer ya vio qué es dinero fácil y no hubo conciencia por ello existen los rateros nunca les ponen un alto desde el principio,2025-01-14T22:03:56Z,Gobierno de Tampico
Y la señora lo volverá hacer ya vio qué es dinero fácil y no hubo conciencia por ello existen los rateros nunca les ponen un alto desde el principio,2025-01-14T22:03:56Z,gobierno de Tampico
"A la compañera de mi hermana le hicieron lo mismo, dicen que paso una camioneta sin placas y se la llevo, esperemos que este bien, aunque ya era adulta y estaba esterilizada, asi que suena complicado pero no imposible que al menos le den una buena vida o que pueda regresar a casa. Hay animales de especie humana que son simplemente despreciables, crueles y egoístas.",2025-01-14T22:42:28Z,Gobierno de Tampico
"A la compañera de mi hermana le hicieron lo mismo, dicen que paso una camioneta sin placas y se la llevo, esperemos que este bien, aunque ya era adulta y estaba esterilizada, asi que suena complicado pero no imposible que al menos le den una buena vida o que pueda regresar a casa. Hay animales de especie humana que son simplemente despreciables, crueles y egoístas.",2025-01-14T22:42:28Z,gobierno de Tampico
"ah caray!, la verdad es buena la información que encuentro por aqui, aunque me contradiga por que a veces opino que esta mal una u otra especifica edición o dato. En este caso todo es nuevo para mi, no sabia en que anda el bello municipio de Tampico casa mayor de las Huastecas. Hay que respetar que es casa de todos los Huastecos, no nomas el control politico de Cd Victoria, mucho del comercio se debe a gente que venimos de la huasteca Interio, mismo de Tamuin, mismo de Tamazunchale, Axtla, Chalma, Tempoal, Huejulta, Xilitla, Valles te me andas quedando, por supuesto Panuco, San Vicente el Higo, Villa Manuel, Gonzalez, Tampamolon, Aquismon, y asi podria seguir, entonces, de tal manera que venimos hacer compras a nuestra casa mayor que es Tampico y es un bien que venimos hacer y con ese bien creemos que nos da derecho a opinar que esta bien y que esta mal por que sentimos los Huastecos mas casa Tampico, que un Matamorense considere casa a Tampico, (para nadaaaaa si logran ver???) mismo los Victorenense hasta con desdeño pueden ver a mi querido Tampico, los Huastecos de Interior NO, nosotros vemos con amor y cariño a nuestra casa Grande de la Huasteca. Gracias por sus noticias Julio, excelente",2025-01-14T23:21:53Z,presidenta municipal de Tampico
"ah caray!, la verdad es buena la información que encuentro por aqui, aunque me contradiga por que a veces opino que esta mal una u otra especifica edición o dato. En este caso todo es nuevo para mi, no sabia en que anda el bello municipio de Tampico casa mayor de las Huastecas. Hay que respetar que es casa de todos los Huastecos, no nomas el control politico de Cd Victoria, mucho del comercio se debe a gente que venimos de la huasteca Interio, mismo de Tamuin, mismo de Tamazunchale, Axtla, Chalma, Tempoal, Huejulta, Xilitla, Valles te me andas quedando, por supuesto Panuco, San Vicente el Higo, Villa Manuel, Gonzalez, Tampamolon, Aquismon, y asi podria seguir, entonces, de tal manera que venimos hacer compras a nuestra casa mayor que es Tampico y es un bien que venimos hacer y con ese bien creemos que nos da derecho a opinar que esta bien y que esta mal por que sentimos los Huastecos mas casa Tampico, que un Matamorense considere casa a Tampico, (para nadaaaaa si logran ver???) mismo los Victorenense hasta con desdeño pueden ver a mi querido Tampico, los Huastecos de Interior NO, nosotros vemos con amor y cariño a nuestra casa Grande de la Huasteca. Gracias por sus noticias Julio, excelente",2025-01-14T23:21:53Z,Presidenta municipal de Tampico
"Este es el video MAS CHINGÓN QUE HALLA VISTO DE REVISTA VERTICAL. MIS RESPETOS, ES DEFINITORIO. UN SALUDO Y MI FELICITACIÓN JULIO Y ESTEBAN.",2025-01-14T23:30:40Z,presidenta municipal de Tampico
"Este es el video MAS CHINGÓN QUE HALLA VISTO DE REVISTA VERTICAL. MIS RESPETOS, ES DEFINITORIO. UN SALUDO Y MI FELICITACIÓN JULIO Y ESTEBAN.",2025-01-14T23:30:40Z,Presidenta municipal de Tampico
Ta cabroon 🎉,2025-01-15T00:02:49Z,presidenta municipal de Tampico
Ta cabroon 🎉,2025-01-15T00:02:49Z,Presidenta municipal de Tampico
m4ldita!!!!😊,2025-01-15T00:44:26Z,Gobierno de Tampico
m4ldita!!!!😊,2025-01-15T00:44:26Z,gobierno de Tampico
"Nombre ya me dieron de sacar unas Kawasakis aqui con ustedes jajajajajaa siento que los conozco de hace decenas de años, jajajajajaja chingón!",2025-01-15T00:56:20Z,presidenta municipal de Tampico
"Nombre ya me dieron de sacar unas Kawasakis aqui con ustedes jajajajajaa siento que los conozco de hace decenas de años, jajajajajaja chingón!",2025-01-15T00:56:20Z,Presidenta municipal de Tampico
"Que horror, pongase trabajar señora",2025-01-15T01:03:00Z,Gobierno de Tampico
"Que horror, pongase trabajar señora",2025-01-15T01:03:00Z,gobierno de Tampico
"Que poca drema muchos casos en Tampico, madero y Altamira que dope, esa  gente que se largue solo nos deja mal. Primero el mata sanos  loco que golpeó a la mujer, la mujer misma robo en altama, una loca que agredió en un restaurante, un loco que macheteo a una señora, ahora está señora que roba perros. Las noticias eran de cocodrilos, de marcianos, OVNIs, playa, industria, que está pasando.",2025-01-15T02:36:11Z,Gobierno de Tampico
"Que poca drema muchos casos en Tampico, madero y Altamira que dope, esa  gente que se largue solo nos deja mal. Primero el mata sanos  loco que golpeó a la mujer, la mujer misma robo en altama, una loca que agredió en un restaurante, un loco que macheteo a una señora, ahora está señora que roba perros. Las noticias eran de cocodrilos, de marcianos, OVNIs, playa, industria, que está pasando.",2025-01-15T02:36:11Z,gobierno de Tampico
Yo se lo digo de que no dejen a sus perros en el patio después de los Roma y después van a andar chillando,2025-01-15T03:13:32Z,Gobierno de Tampico
Yo se lo digo de que no dejen a sus perros en el patio después de los Roma y después van a andar chillando,2025-01-15T03:13:32Z,gobierno de Tampico
Canija señora,2025-01-15T03:56:20Z,Gobierno de Tampico
Canija señora,2025-01-15T03:56:20Z,gobierno de Tampico
😮😮😮😮😮😮😮,2025-01-15T04:31:10Z,Gobierno de Tampico
😮😮😮😮😮😮😮,2025-01-15T04:31:10Z,gobierno de Tampico
Metanla a la cárcel 👎👎👎🤬🤬🤬,2025-01-15T05:35:45Z,Gobierno de Tampico
Metanla a la cárcel 👎👎👎🤬🤬🤬,2025-01-15T05:35:45Z,gobierno de Tampico
LOS DUEÑOS DEBEN DE ESTAR MAS ATENTOS CON TANTOS LADRONES MUCHA MUJER PORQUERIA  SOLO HACE DAÑO😢😢😢😢😢😢😢😢😢,2025-01-15T06:45:02Z,Gobierno de Tampico
LOS DUEÑOS DEBEN DE ESTAR MAS ATENTOS CON TANTOS LADRONES MUCHA MUJER PORQUERIA  SOLO HACE DAÑO😢😢😢😢😢😢😢😢😢,2025-01-15T06:45:02Z,gobierno de Tampico
"Gente tan malvada que no temen a Dios su creador y más con criaturas que no tienen la culpa 😢, por favor hagan el bien que eso lo ve Dios y él nos ayuda mucho si lo hacemos con Amor Todo, también nos da lecciones cuando no lo hacemos bien es tu decisión tener una buena o mala vida.",2025-01-15T14:42:22Z,Gobierno de Tampico
"Gente tan malvada que no temen a Dios su creador y más con criaturas que no tienen la culpa 😢, por favor hagan el bien que eso lo ve Dios y él nos ayuda mucho si lo hacemos con Amor Todo, también nos da lecciones cuando no lo hacemos bien es tu decisión tener una buena o mala vida.",2025-01-15T14:42:22Z,gobierno de Tampico
Pues q perro tan inútil<br>Los míos acariciarlos atraves todo ok<br>Solo no acepto quejas de heridas de 2do o 3er grado si lo intentas jalar o levantar 😂😂😂😂😂 al contrario eso para mí es alerta un: PARTELE SU MADRE!,2025-01-15T14:50:40Z,Gobierno de Tampico
Pues q perro tan inútil<br>Los míos acariciarlos atraves todo ok<br>Solo no acepto quejas de heridas de 2do o 3er grado si lo intentas jalar o levantar 😂😂😂😂😂 al contrario eso para mí es alerta un: PARTELE SU MADRE!,2025-01-15T14:50:40Z,Gobierno de Tampico
Pues q perro tan inútil<br>Los míos acariciarlos atraves todo ok<br>Solo no acepto quejas de heridas de 2do o 3er grado si lo intentas jalar o levantar 😂😂😂😂😂 al contrario eso para mí es alerta un: PARTELE SU MADRE!,2025-01-15T14:50:40Z,gobierno de Tampico
