"path";"id";"parent_id";"level";"object_id";"object_type";"object_key";"query_status";"query_time";"query_type";"message";"created_time";"like_count";"comment_count";"error.message"
"964877296876825_1206189831070909/474462132406835_122138092700546197";"131";"2";"1";"474462132406835_122138092700546197";"data";"data.*";"fetched (200)";"2025-11-14 08:19:26.376909";"Facebook:/<page-id>/posts";"Personal de Mercados, inspectores y de limpieza de la dependencia, realizaron una intensa labor en el Mercado de Mariscos La Puntilla, en donde se procedió al lavado de sus 8 toldos, retirando el excremento de los pelícanos que habitan en la periféria de ese punto de venta ubicado en el bordo de protección de la colonia El Cascajal.  Aurelio Cantú, Director de Mercados de Tampico, encabezó estás acciones que además de brindar una buena imagen a los visitantes, genera un entorno de higiene para todos los comerciantes y público en general.  El titular de los mercados de la ciudad explicó que es instrucción de la Presidenta Mónica Villarreal, dar el mantenimiento permanente a todos los centros de abasto municipales  de Tampico, principalmente su limpieza. Adelantó que en breve se instalarán 8 abanicos tipo industrial para una mejor ventilación del mercado La Puntilla. #TampicoVaConTodos";"2025-02-16T19:24:54+0000";"";"";""
"964877296876825_1206189831070909/474462132406835_122138092700546197/474462132406835_122138092700546197";"2394";"131";"2";"474462132406835_122138092700546197";"data";"data.*";"fetched (200)";"2025-11-14 08:21:03.163554";"Facebook:/<post-id>/comments";"";"2025-02-16T20:02:56+0000";"0";"0";""
"TampicoGob/474462132406835_122138092700546197/474462132406835_122138092700546197";"2394";"131";"2";"474462132406835_122138092700546197";"data";"data.*";"fetched (200)";"2025-11-14 08:21:03.163554";"Facebook:/<post-id>/comments";"";"2025-02-16T20:02:56+0000";"0";"0";""
"964877296876825_1206189831070909/964877296876825_1196875418669017";"50";"1";"1";"964877296876825_1196875418669017";"data";"data.*";"fetched (200)";"2025-11-14 08:19:22.537704";"Facebook:/<page-id>/posts";"Lamento profundamente el fallecimiento de Daniel Galván Ontiveros, un profesional comprometido con el comercio y el desarrollo de nuestra región.   Expreso mis más sinceras condolencias a su familia, amigos y seres queridos, deseándoles fortaleza y pronta resignación en este difícil momento.   Descanse en paz. 🕊️";"2025-02-14T20:38:20+0000";"";"";""
"964877296876825_1206189831070909/964877296876825_1196875418669017/964877296876825_1196875418669017";"1463";"50";"2";"964877296876825_1196875418669017";"data";"data.*";"fetched (200)";"2025-11-14 08:20:26.298480";"Facebook:/<post-id>/comments";"D. E. P.   🕊 ✝️";"2025-02-14T21:05:26+0000";"0";"0";""
"monicavtampico/964877296876825_1196875418669017/964877296876825_1196875418669017";"1463";"50";"2";"964877296876825_1196875418669017";"data";"data.*";"fetched (200)";"2025-11-14 08:20:26.298480";"Facebook:/<post-id>/comments";"D. E. P.   🕊 ✝️";"2025-02-14T21:05:26+0000";"0";"0";""
"964877296876825_1206189831070909/964877296876825_1198924881797404";"39";"1";"1";"964877296876825_1198924881797404";"data";"data.*";"fetched (200)";"2025-11-14 08:19:22.537704";"Facebook:/<page-id>/posts";"Esta mañana, también quiero felicitar a la regidora Diana Karen Sánchez Salas, quien está celebrando un año más de vida, al mismo tiempo de reconocer su trabajo por nuestra ciudad.    Espero que este día esté lleno de alegría y buenos momentos rodeada de quienes más te quieren. Que este nuevo año de vida te traiga mucha felicidad, salud y oportunidades.    ¡Muchas Felicidades!";"2025-02-17T15:32:58+0000";"";"";""
"964877296876825_1206189831070909/964877296876825_1198924881797404/964877296876825_1198924881797404";"1154";"39";"2";"964877296876825_1198924881797404";"data";"data.*";"fetched (200)";"2025-11-14 08:20:16.541672";"Facebook:/<post-id>/comments";"";"2025-02-17T15:36:31+0000";"1";"0";""
"monicavtampico/964877296876825_1198924881797404/964877296876825_1198924881797404";"1154";"39";"2";"964877296876825_1198924881797404";"data";"data.*";"fetched (200)";"2025-11-14 08:20:16.541672";"Facebook:/<post-id>/comments";"";"2025-02-17T15:36:31+0000";"1";"0";""
"964877296876825_1206189831070909/964877296876825_1194435802246312";"56";"1";"1";"964877296876825_1194435802246312";"data";"data.*";"fetched (200)";"2025-11-14 08:19:22.537704";"Facebook:/<page-id>/posts";"Felicito de corazón a Lucía Aimé Castillo Pastor, Secretaria de Educación de Tamaulipas, en su cumpleaños.   Gracias por tu dedicación y pasión por la educación en nuestro estado. Que este nuevo año esté lleno de salud, alegría y éxitos. ¡Felicidades!";"2025-02-11T14:09:57+0000";"";"";""
"964877296876825_1206189831070909/964877296876825_1194435802246312/964877296876825_1194435802246312";"1620";"56";"2";"964877296876825_1194435802246312";"data";"data.*";"fetched (200)";"2025-11-14 08:20:31.593988";"Facebook:/<post-id>/comments";"Muchas felicidades maestra Lucía Aimé 🎉";"2025-02-11T14:14:08+0000";"1";"0";""
"monicavtampico/964877296876825_1194435802246312/964877296876825_1194435802246312";"1620";"56";"2";"964877296876825_1194435802246312";"data";"data.*";"fetched (200)";"2025-11-14 08:20:31.593988";"Facebook:/<post-id>/comments";"Muchas felicidades maestra Lucía Aimé 🎉";"2025-02-11T14:14:08+0000";"1";"0";""
"964877296876825_1206189831070909/474462132406835_122137335284546197";"149";"2";"1";"474462132406835_122137335284546197";"data";"data.*";"fetched (200)";"2025-11-14 08:19:27.506083";"Facebook:/<page-id>/posts";"¡Acciones de limpieza y remediación  inmediata en Zona de Mercados!  Este miércoles, la Secretaría de Servicios Públicos Tampico, bajo la supervisión de regidores de la Comisión de Mercados, realizó una amplia limpieza del Mercado Francisco I. Madero.   Además, tras realizar la limpieza de techos del mercado, junto con el área de Obras Públicas, llevaron a cabo la medición de materiales para la impermeabilización de los mismos, y así evitar las filtraciones de agua.  Además, se llevaron a cabo acciones de lavado de pisos en el exterior del Mercado Tampico, frente a la Plaza Hijas de Tampico, para mantener nuestros espacios limpios y en óptimas condiciones, evitando de esta forma la propagación de enfermedades.    También se revisó el elevador del Mercado, el cual presentaba una falla en su sistema. Tras la intervención del técnico especializado, se rehabilitó para su uso.";"2025-02-13T04:48:11+0000";"";"";""
