Query_Str,Post_URL,Author_Name,Author_Web_Page_URL,Author_Handle,Verified_Status,UTC_Time,Ads,Tweet_Content,Post_ID,Tweet_URL,Reply_Count,Repost_Count,Like_Count,View_Count,Bookmark_Count,Tweet_Image_URL,Replying_to,Reply_to_Whom,Reply_to_Whom_URL,Reply_to_Whom_Username,Reply_to_Whom_Handle,Language,Type
(@@TampicoGob OR @@MonicaVTampico) min_replies:0 min_faves:0 min_retweets:0,https://x.com/search?q=(@@TampicoGob OR @@MonicaVTampico) min_replies:0 min_faves:0 min_retweets:0 until:2025-02-26 since:2025-02-25&src=typed_query,🇫🇮 El Pinche Lalo 🇫🇮,https://x.com/JE_Rayado,JE_Rayado,False,2025-02-25 14:37:14+00:00,False,"@MonicaVTampico Como dijeron por hay, pagan justos por pecadores y sin haber siquiera una sentencia legal, las familias de músicos y staff ahora tendrán un ingreso menos. 👏🏻👏🏻👏🏻",1894396240822993347,https://x.com/JE_Rayado/status/1894396240822993347,0,0,0,17,0,,True,MonicaVTampico,https://x.com/MonicaVTampico,Mónica Villarreal Anaya,MonicaVTampico,es,Top
(@@TampicoGob OR @@MonicaVTampico) min_replies:0 min_faves:0 min_retweets:0,https://x.com/search?q=(@@TampicoGob OR @@MonicaVTampico) min_replies:0 min_faves:0 min_retweets:0 until:2025-02-26 since:2025-02-25&src=typed_query,Vox Populi Noticias,https://x.com/VoxPopuliNoti,VoxPopuliNoti,True,2025-02-25 20:07:58+00:00,False,@MonicaVTampico detalla los últimos preparativos para el Carnaval Conurbado Tampico 2025 📌La ciudad se prepara para recibir a comparsas y artistas del sur de Tamaulipas https://voxpopulinoticias.com.mx/2025/02/carnaval-conurbado-tampico-2025-confirma-artistas-y-sorpresas/ . . #Tampico #Tamaulipas,1894479473372008817,https://x.com/VoxPopuliNoti/status/1894479473372008817,0,0,0,65,0,https://pbs.twimg.com/media/GkqLCesbkAAi8jD.jpg;https://pbs.twimg.com/media/GkqLClIXMAAWOWy.jpg;https://pbs.twimg.com/media/GkqLCmlXkAABxpw.jpg;https://pbs.twimg.com/media/GkqLCpWWYAA0v8l.jpg,True,MonicaVTampico,https://x.com/MonicaVTampico,Mónica Villarreal Anaya,MonicaVTampico,es,Top
(@@TampicoGob OR @@MonicaVTampico) min_replies:0 min_faves:0 min_retweets:0,https://x.com/search?q=(@@TampicoGob OR @@MonicaVTampico) min_replies:0 min_faves:0 min_retweets:0 until:2025-02-26 since:2025-02-25&src=typed_query,Piero Oficial Page,https://x.com/PieroMassimFans,PieroMassimFans,False,2025-02-25 20:47:14+00:00,False,"@MonicaVTampico Señora Alcaldesa, la felicito por su gestion y por promover los valores, asimismo, le propongo para el próximo carnaval de Tampico, al nuevo cantautor de música regional Bethío Rey, comparto el link de la canción ""te dejo ir"", apoyemos nuevo talentos https://youtu.be/R78fgcp9CVs?si=YCHRT4xZ-colIjG0",1894489354564768129,https://x.com/PieroMassimFans/status/1894489354564768129,0,0,1,71,0,,True,MonicaVTampico,https://x.com/MonicaVTampico,Mónica Villarreal Anaya,MonicaVTampico,es,Top
(@@TampicoGob OR @@MonicaVTampico) min_replies:0 min_faves:0 min_retweets:0,https://x.com/search?q=(@@TampicoGob OR @@MonicaVTampico) min_replies:0 min_faves:0 min_retweets:0 until:2025-02-27 since:2025-02-26&src=typed_query,mailey,https://x.com/mailbelina,mailbelina,False,2025-02-26 01:08:10+00:00,False,"@erasmoglz @MonicaVTampico Está dentro de sus labores como servidor público,hacer una jornada de fumigación? Es urgente que lo haga,muchos niños y ancianos están enfermando a causa del dengue,espero que aparte del carnaval y demás festividades,también haga algo por la el bien de la comunidad",1894555018742608277,https://x.com/mailbelina/status/1894555018742608277,0,0,0,19,0,,True,erasmoglz,https://x.com/erasmoglz,Erasmo González,erasmoglz,es,Top
(@@TampicoGob OR @@MonicaVTampico) min_replies:0 min_faves:0 min_retweets:0,https://x.com/search?q=(@@TampicoGob OR @@MonicaVTampico) min_replies:0 min_faves:0 min_retweets:0 until:2025-02-27 since:2025-02-26&src=typed_query,M,https://x.com/mbez95,mbez95,False,2025-02-26 01:55:03+00:00,False,@TampicososTV La diversión primero la salud después @TampicoGob,1894566816317423967,https://x.com/mbez95/status/1894566816317423967,0,0,0,119,0,,True,TampicososTV,https://x.com/TampicososTV,Tampicosos 🌶️🔥,TampicososTV,es,Top
(@@TampicoGob OR @@MonicaVTampico) min_replies:0 min_faves:0 min_retweets:0,https://x.com/search?q=(@@TampicoGob OR @@MonicaVTampico) min_replies:0 min_faves:0 min_retweets:0 until:2025-02-27 since:2025-02-26&src=typed_query,Andrea CZ,https://x.com/andreacastzz,andreacastzz,False,2025-02-26 01:56:12+00:00,False,@Devesa_News El Hotel Diez de #Tampico debe implementar medidas de seguridad para prevenir este tipo de agresiones. Un comunicado público es importante para saber si existe apoyo hacia sus empleados en este tipo de situaciones. @MonicaVTampico esto deja mal a la ciudad ante los ojos del país.,1894567107515326715,https://x.com/andreacastzz/status/1894567107515326715,0,0,1,133,0,,True,Devesa_News,https://x.com/Devesa_News,DevesaNews,Devesa_News,es,Top
(@@TampicoGob OR @@MonicaVTampico) min_replies:0 min_faves:0 min_retweets:0,https://x.com/search?q=(@@TampicoGob OR @@MonicaVTampico) min_replies:0 min_faves:0 min_retweets:0 until:2025-02-26 since:2025-02-25&src=typed_query,図工室のまちこ,https://x.com/machicotecoteco,machicotecoteco,False,2025-02-26 10:51:15+00:00,False,(*＾O＾*) 川∀Ф川 (*δ∀δ*) (*´_J｀) (*｀▽´*) (*´∀｀*) 川ﾟしﾟ川 ///∀´&gt; (@`ω´@),1894701757525340514,https://x.com/machicotecoteco/status/1894701757525340514,1,52,261,12937,44,,False,,,,,ja,Top
(@@TampicoGob OR @@MonicaVTampico) min_replies:0 min_faves:0 min_retweets:0,https://x.com/search?q=(@@TampicoGob OR @@MonicaVTampico) min_replies:0 min_faves:0 min_retweets:0 until:2025-02-27 since:2025-02-26&src=typed_query,KAROLINA,https://x.com/ADRY1234,ADRY1234,False,2025-02-26 21:33:21+00:00,False,@QuePocaMadre_Mx Uy no @MonicaVTampico está muy ocupada organizando el Carnaval junto con sus compinches y el concierto de Chayanne... no creo preste atención a esta atrocidad @PacoZeaCom @AztecaNoticias,1894863348325339501,https://x.com/ADRY1234/status/1894863348325339501,1,1,1,628,0,,True,QuePocaMadre_Mx,https://x.com/QuePocaMadre_Mx,Qué Poca Madre 🇲🇽,QuePocaMadre_Mx,es,Top
(@@TampicoGob OR @@MonicaVTampico) min_replies:0 min_faves:0 min_retweets:0,https://x.com/search?q=(@@TampicoGob OR @@MonicaVTampico) min_replies:0 min_faves:0 min_retweets:0 until:2025-03-01 since:2025-02-28&src=typed_query,Erasmo González,https://x.com/erasmoglz,erasmoglz,False,2025-02-28 06:03:15+00:00,False,"Junto a mi esposa Dunia Marón Presidenta del DIF Madero, el Lic. Benjamín Hernández, Secretario de Turismo y Lucía Aimé Secretaria de Educación, mis hermanos presidentes, @MonicaVTampico y nuestro anfitrión @armando_4t de Altamira, legisladores federales y locales.",1895354055507222869,https://x.com/erasmoglz/status/1895354055507222869,1,0,1,120,0,https://pbs.twimg.com/media/Gk2mdy1WcAA9agB.jpg;https://pbs.twimg.com/media/Gk2mdy1W0AA7phe.jpg;https://pbs.twimg.com/media/Gk2mdy1WAAAsJvw.jpg;https://pbs.twimg.com/media/Gk2mdy1WIAAyM7b.jpg,True,erasmoglz,https://x.com/erasmoglz,Mónica Villarreal Anaya,erasmoglz,es,Top
(@@TampicoGob OR @@MonicaVTampico) min_replies:0 min_faves:0 min_retweets:0,https://x.com/search?q=(@@TampicoGob OR @@MonicaVTampico) min_replies:0 min_faves:0 min_retweets:0 until:2025-03-01 since:2025-02-28&src=typed_query,Erasmo González,https://x.com/erasmoglz,erasmoglz,False,2025-02-28 06:04:53+00:00,False,"@MonicaVTampico @armando_4t Vivimos una noche llena de alegría, música y mucha fiesta, y esto es solo el comienzo de la mejor fiesta de la zona conurbada que hayamos tenido #carnavales2025! ¡Nos vemos mañana en el desfile #aDarle!",1895354464854515993,https://x.com/erasmoglz/status/1895354464854515993,0,1,3,131,0,https://pbs.twimg.com/media/Gk2m1cuWUAA4Jiw.jpg;https://pbs.twimg.com/media/Gk2m1cuW4AA_mvE.jpg;https://pbs.twimg.com/media/Gk2m1ctX0AAt4zW.jpg;https://pbs.twimg.com/media/Gk2m1cvXcAAkL45.jpg,True,erasmoglz,https://x.com/erasmoglz,Mónica Villarreal Anaya,erasmoglz,es,Top
