Query_Str,Post_URL,Author_Name,Author_Web_Page_URL,Author_Handle,Verified_Status,UTC_Time,Ads,Tweet_Content,Post_ID,Tweet_URL,Reply_Count,Repost_Count,Like_Count,View_Count,Bookmark_Count,Tweet_Image_URL,Replying_to,Reply_to_Whom,Reply_to_Whom_URL,Reply_to_Whom_Username,Reply_to_Whom_Handle,Language,Type
(@@TampicoGob OR @@MonicaVTampico) min_replies:0 min_faves:0 min_retweets:0,https://x.com/search?q=(@@TampicoGob OR @@MonicaVTampico) min_replies:0 min_faves:0 min_retweets:0 until:2025-04-16 since:2025-04-15&src=typed_query,LiamPayno❯❯❯❯,https://x.com/TranquiloPapiL,TranquiloPapiL,True,2025-04-15 06:12:17+00:00,False,"El día que vi esta foto, mí corazón se quebró para siempre 💔, ahí entendí que no era un sueño lo que estaba pasando. Hoy volví a cruzarme con esta fotografía y me di cuenta que sigo sin entender y sin aceptarlo, que mí alma está vacía, y llora en el silencio de cada noche...",1912026170440237205,https://x.com/TranquiloPapiL/status/1912026170440237205,12,519,3708,48889,213,https://pbs.twimg.com/media/Gojhq1eXYAA1Ru4.jpg,False,,,,,es,Top
(@@TampicoGob OR @@MonicaVTampico) min_replies:0 min_faves:0 min_retweets:0,https://x.com/search?q=(@@TampicoGob OR @@MonicaVTampico) min_replies:0 min_faves:0 min_retweets:0 until:2025-04-16 since:2025-04-15&src=typed_query,Tacirupeca ۞,https://x.com/tacipuerca,tacipuerca,False,2025-04-15 09:00:45+00:00,False,Hoy cumplirías 39 años. Te sigo viendo cada vez que veo a alguien con media sonrisa y siempre pienso que tú eras más guapo. Tumbarme en la cama contigo a hablar de nada y cantar canciones de Estopa. Va a hacer 5 años y te voy a llevar siempre conmigo.,1912068565198410040,https://x.com/tacipuerca/status/1912068565198410040,38,1,390,18362,7,,False,,,,,es,Top
(@@TampicoGob OR @@MonicaVTampico) min_replies:0 min_faves:0 min_retweets:0,https://x.com/search?q=(@@TampicoGob OR @@MonicaVTampico) min_replies:0 min_faves:0 min_retweets:0 until:2025-04-16 since:2025-04-15&src=typed_query,DKB_OFFICIAL,https://x.com/DKB_BRAVE,DKB_BRAVE,True,2025-04-15 09:01:13+00:00,False,𝕄𝕆ℕ𝔸 𝕃𝕀𝕊𝔸🖼🎨 https://vt.tiktok.com/ZSrCYwLj1/ #다크비 #DKB #유쿠 #YUKU #bts #jhope #MONALISA #jhope_MONALISA #monalisachallenge #틱톡 #TikTok,1912068683276370050,https://x.com/DKB_BRAVE/status/1912068683276370050,1,56,251,5248,3,,False,,,,,in,Top
(@@TampicoGob OR @@MonicaVTampico) min_replies:0 min_faves:0 min_retweets:0,https://x.com/search?q=(@@TampicoGob OR @@MonicaVTampico) min_replies:0 min_faves:0 min_retweets:0 until:2025-04-16 since:2025-04-15&src=typed_query,Pitonisa!! Extrema derecha.💅,https://x.com/zurditabella261,zurditabella261,False,2025-04-15 09:01:54+00:00,False,"Ella es Anai Muñoz, directora de tránsito de la Municipalidad de Maipú. Dice que todos los uniformados son inhumanos, retrógrados y asesinos. Esta promotora de odio vive de nuestros impuestos y no contribuye en nada a La Paz social . Renuncia @Muni_Maipu",1912068857084195093,https://x.com/zurditabella261/status/1912068857084195093,7,441,313,16962,10,https://pbs.twimg.com/ext_tw_video_thumb/1912068809378127872/pu/img/kZ0cK-hel3unX7R6.jpg,False,,,,,es,Top
(@@TampicoGob OR @@MonicaVTampico) min_replies:0 min_faves:0 min_retweets:0,https://x.com/search?q=(@@TampicoGob OR @@MonicaVTampico) min_replies:0 min_faves:0 min_retweets:0 until:2025-04-16 since:2025-04-15&src=typed_query,Bam Aquino,https://x.com/bamaquino,bamaquino,True,2025-04-15 10:40:48+00:00,False,"DIOS MABALOS SA INDO GABOS, LEGAZPI! 🇵🇭 Siyempre kapag bumibisita sa Albay, okay rin mag-stopover sa Legazpi Marker! Asahan niyong sa laban na ito ay mas papalawakin pa natin ang Libreng Kolehiyo at isusulong ang Siguradong Trabaho para sa pamilyang Pilipino. Ipapanalo natin ang bawat Pilipino sa laban na ito! #5AquinoBam #BamAquinoSaSenado 🇵🇭",1912093746805850186,https://x.com/bamaquino/status/1912093746805850186,1,59,514,6327,3,https://pbs.twimg.com/media/GokfHvsXYAAia5U.jpg;https://pbs.twimg.com/media/GokfH2LXAAASfDC.jpg;https://pbs.twimg.com/media/GokfHvmWkAACZnI.jpg;https://pbs.twimg.com/media/GokfHvkXcAASd73.jpg,False,,,,,tl,Top
(@@TampicoGob OR @@MonicaVTampico) min_replies:0 min_faves:0 min_retweets:0,https://x.com/search?q=(@@TampicoGob OR @@MonicaVTampico) min_replies:0 min_faves:0 min_retweets:0 until:2025-04-16 since:2025-04-15&src=typed_query,Lucho Noboa,https://x.com/LuchoNoboaYcaza,LuchoNoboaYcaza,True,2025-04-15 11:34:05+00:00,False,"@MoniPalaciosZ Mira inepta, no tienes pelos en la lengua pero tienes aserrín en el cerebro, no representas a nadie y de ahora en adelante mira bien lo que dices porque las injurias que dices vas a tener que probarlas, seguramente te votaran de la Asamblea y pagaras por todo lo que hablas",1912107153814335559,https://x.com/LuchoNoboaYcaza/status/1912107153814335559,23,82,390,3180,1,https://pbs.twimg.com/tweet_video_thumb/GokrUgJX0AAFLJs.jpg,True,MoniPalaciosZ,https://x.com/MoniPalaciosZ,Mónica Palacios,MoniPalaciosZ,es,Top
(@@TampicoGob OR @@MonicaVTampico) min_replies:0 min_faves:0 min_retweets:0,https://x.com/search?q=(@@TampicoGob OR @@MonicaVTampico) min_replies:0 min_faves:0 min_retweets:0 until:2025-04-16 since:2025-04-15&src=typed_query,Bauti Mascia,https://x.com/BautiMascia,BautiMascia,True,2025-04-15 12:55:18+00:00,False,@tan_to_loco Pero mirá lo linda que es 😍 como no van a obsesionarse con ella ?? Los entiendo. Buen día a los mejores 🤍,1912127592074731915,https://x.com/BautiMascia/status/1912127592074731915,89,279,1433,121609,65,,True,tan_to_loco,https://x.com/tan_to_loco,,tan_to_loco,es,Top
(@@TampicoGob OR @@MonicaVTampico) min_replies:0 min_faves:0 min_retweets:0,https://x.com/search?q=(@@TampicoGob OR @@MonicaVTampico) min_replies:0 min_faves:0 min_retweets:0 until:2025-04-16 since:2025-04-15&src=typed_query,El Grito del Sur,https://x.com/Grito_delSur,Grito_delSur,False,2025-04-15 13:22:17+00:00,False,"👉Desde Buenos Vecinos tienen un contacto más que cercano con la política de CABA: pese a su simpatía con el gobierno de Jorge Macri y de participar constantemente en las reuniones comunales que convoca el Jefe de Gobierno, Llopis Ortiz milita para la libertaria Lucía Montenegro.",1912134384989225108,https://x.com/Grito_delSur/status/1912134384989225108,4,96,239,10066,3,https://pbs.twimg.com/media/GolD0sLXYAAkGnj.jpg,True,Grito_delSur,https://x.com/Grito_delSur,,Grito_delSur,es,Top
(@@TampicoGob OR @@MonicaVTampico) min_replies:0 min_faves:0 min_retweets:0,https://x.com/search?q=(@@TampicoGob OR @@MonicaVTampico) min_replies:0 min_faves:0 min_retweets:0 until:2025-04-16 since:2025-04-15&src=typed_query,まなみちょぱ【高橋愛美】,https://x.com/ma_na_mi_cho_pa,ma_na_mi_cho_pa,True,2025-04-15 13:38:35+00:00,False,"Next live show,tickets now on sale https://tiget.net/events/389087 You can join online from anywhere in the world🌍 🎥Youtube https://youtube.com/@manamichopastaff?si=j11095dsCXjPI7Xi You can buy my photo on online store http://manamichopa.official.ec",1912138486905545128,https://x.com/ma_na_mi_cho_pa/status/1912138486905545128,7,46,588,14775,79,https://pbs.twimg.com/media/GolH0eHXcAAxE15.jpg,False,,,,,en,Top
(@@TampicoGob OR @@MonicaVTampico) min_replies:0 min_faves:0 min_retweets:0,https://x.com/search?q=(@@TampicoGob OR @@MonicaVTampico) min_replies:0 min_faves:0 min_retweets:0 until:2025-04-16 since:2025-04-15&src=typed_query,General Toribio Ortega,https://x.com/tori_ort,tori_ort,False,2025-04-15 13:48:48+00:00,False,"REGALÓ UN PEDAZO DE PLAYA la morenista @estefaniamerkdo para un proyecto inmobiliario de lujo(como siempre ""primero los pobres""), que implica la destrucción de manglares y la privatización de Playa Mamitas. Morena mata personas y ecosistemas.",1912141058198188042,https://x.com/tori_ort/status/1912141058198188042,58,955,1556,32236,156,https://pbs.twimg.com/ext_tw_video_thumb/1912140955391602688/pu/img/7p9cf3K9qItQ9FAd.jpg,False,,,,,es,Top
