Query_Str,Post_URL,Author_Name,Author_Web_Page_URL,Author_Handle,Verified_Status,UTC_Time,Ads,Tweet_Content,Post_ID,Tweet_URL,Reply_Count,Repost_Count,Like_Count,View_Count,Bookmark_Count,Tweet_Image_URL,Replying_to,Reply_to_Whom,Reply_to_Whom_URL,Reply_to_Whom_Username,Reply_to_Whom_Handle,Language,Type
(@@TampicoGob OR @@MonicaVTampico) min_replies:0 min_faves:0 min_retweets:0,https://x.com/search?q=(@@TampicoGob OR @@MonicaVTampico) min_replies:0 min_faves:0 min_retweets:0 until:2025-05-01 since:2025-04-30&src=typed_query,Angélica Noemí Juárez Pérez,https://x.com/NoemiJuarezSEB,NoemiJuarezSEB,False,2025-04-30 01:33:37+00:00,False,"Hace unos días, acompañé al Secretario de @EDUCATAM, Miguel Ángel Valdez García y a la Presidenta Municipal @MonicaVTampico en la ""4.ª Reunión Ministerial de la Política de Aprendizajes Fundamentales"" Agradezco la invitación y recibimiento. ¡Fue un gusto coincidir!",1917391862035538414,https://x.com/NoemiJuarezSEB/status/1917391862035538414,0,3,4,177,0,https://pbs.twimg.com/media/GpvxircWsAATt5Y.jpg;https://pbs.twimg.com/media/GpvxjfCXcAAUMwP.jpg;https://pbs.twimg.com/media/Gpvxm5fWgAAluPX.jpg;https://pbs.twimg.com/media/GpvxpqhXcAAZD5s.jpg,False,,,,,es,Top
(@@TampicoGob OR @@MonicaVTampico) min_replies:0 min_faves:0 min_retweets:0,https://x.com/search?q=(@@TampicoGob OR @@MonicaVTampico) min_replies:0 min_faves:0 min_retweets:0 until:2025-05-01 since:2025-04-30&src=typed_query,Pattygb 🇲🇽,https://x.com/Pattygb5,Pattygb5,False,2025-04-30 02:49:20+00:00,False,Alguien conoce a la Regidora fantasma? Qué seguro cobra cada quincena en #Tampico @gobtam @MonicaVTampico #Madero #Altamira #Veracruz https://m.facebook.com/story.php?story_fbid=1308067337434090&id=100046925090915,1917410913734611319,https://x.com/Pattygb5/status/1917410913734611319,0,0,0,64,0,,False,,,,,es,Top
(@@TampicoGob OR @@MonicaVTampico) min_replies:0 min_faves:0 min_retweets:0,https://x.com/search?q=(@@TampicoGob OR @@MonicaVTampico) min_replies:0 min_faves:0 min_retweets:0 until:2025-05-01 since:2025-04-30&src=typed_query,NoresteDigital🇲🇽,https://x.com/NoresteDigital,NoresteDigital,True,2025-04-30 05:47:17+00:00,False,Fortalece Mónica Villarreal Cultura de Prevención en el Municipio de #Tampico #Tamaulipas #Reynosa #Matamoros #CdVictoria #Madero #Altamira #Monterrey #NuevoLeón #FelizMiércoles #Veracruz @TampicoGob @MonicaVTampico @Dr_AVillarreal @HectorVillarri https://norestedigital.net/2025/04/29/fortalece-monica-villarreal-cultura-de-prevencion-en-el-municipio/,1917455698058788876,https://x.com/NoresteDigital/status/1917455698058788876,0,1,0,212,0,https://pbs.twimg.com/media/GpwrGYsXwAAgNTf.jpg;https://pbs.twimg.com/media/GpwrZ71WYAA9W1a.jpg;https://pbs.twimg.com/media/GpwrmZ8WoAAwvhS.jpg,False,,,,,es,Top
(@@TampicoGob OR @@MonicaVTampico) min_replies:0 min_faves:0 min_retweets:0,https://x.com/search?q=(@@TampicoGob OR @@MonicaVTampico) min_replies:0 min_faves:0 min_retweets:0 until:2025-04-30 since:2025-04-29&src=typed_query,Mónica Carrillo,https://x.com/MonicaCarrillo,MonicaCarrillo,False,2025-04-30 10:03:30+00:00,False,Cómo convencerme a mí que tú ya no. Cómo con vencer a mí que tuya no. #microcuento,1917520176351768664,https://x.com/MonicaCarrillo/status/1917520176351768664,12,130,680,25521,50,,False,,,,,es,Top
(@@TampicoGob OR @@MonicaVTampico) min_replies:0 min_faves:0 min_retweets:0,https://x.com/search?q=(@@TampicoGob OR @@MonicaVTampico) min_replies:0 min_faves:0 min_retweets:0 until:2025-05-01 since:2025-04-30&src=typed_query,Mónica Carrillo,https://x.com/MonicaCarrillo,MonicaCarrillo,False,2025-04-30 10:03:30+00:00,False,Cómo convencerme a mí que tú ya no. Cómo con vencer a mí que tuya no. #microcuento,1917520176351768664,https://x.com/MonicaCarrillo/status/1917520176351768664,12,130,680,25522,50,,False,,,,,es,Top
(@@TampicoGob OR @@MonicaVTampico) min_replies:0 min_faves:0 min_retweets:0,https://x.com/search?q=(@@TampicoGob OR @@MonicaVTampico) min_replies:0 min_faves:0 min_retweets:0 until:2025-05-01 since:2025-04-30&src=typed_query,CPCE-F,https://x.com/ContraloresMX,ContraloresMX,True,2025-04-30 19:00:01+00:00,False,"Fortalecer los procesos de transparencia un objetivo de todos los que integramos Contralores MX La @ContraloriaTam y el @TampicoGob firmaron un Convenio de Colaboración para transferir el uso del Sistema de Declaraciones Patrimoniales y de Intereses DECLARANET, mismo que presidió la contralora, Norma Angélica Pedraza Melo junto a la presidenta municipal de #Tampico @MonicaVTampico Con esta acción, el municipio de Tampico se convierte en el primero de la entidad en implementar esta plataforma para la presentación de declaraciones patrimoniales y de intereses, fortaleciendo así la transparencia, la rendición de cuentas y el compromiso con el pueblo de Tamaulipas. #ContraloresMX #Transparencia #RendiciónDeCuentas #SomosCPCEF",1917655194000843176,https://x.com/ContraloresMX/status/1917655194000843176,0,2,16,237,0,https://pbs.twimg.com/media/GpwXDa5XoAAYJBE.jpg,False,,,,,es,Top
(@@TampicoGob OR @@MonicaVTampico) min_replies:0 min_faves:0 min_retweets:0,https://x.com/search?q=(@@TampicoGob OR @@MonicaVTampico) min_replies:0 min_faves:0 min_retweets:0 until:2025-05-02 since:2025-05-01&src=typed_query,BRETIX,https://x.com/bretixferrari,bretixferrari,False,2025-05-01 00:02:48+00:00,False,"Es guapa, es increíble futbolista, es chistosa, es el alma de la fiesta y además odia al Negreiracelona, ella simplemente es perfecta Te amo Tania Moyano, siempre en tu barco 🫡",1917731394823786857,https://x.com/bretixferrari/status/1917731394823786857,4,13,375,5778,20,https://pbs.twimg.com/amplify_video_thumb/1917730896876118016/img/Lhpmn51axms7HVqT.jpg,False,,,,,es,Top
(@@TampicoGob OR @@MonicaVTampico) min_replies:0 min_faves:0 min_retweets:0,https://x.com/search?q=(@@TampicoGob OR @@MonicaVTampico) min_replies:0 min_faves:0 min_retweets:0 until:2025-05-02 since:2025-05-01&src=typed_query,Keiko No Va,https://x.com/keikonova2026,keikonova2026,True,2025-05-01 00:15:09+00:00,False,"KEIKO será Presidenta, pero, del Penal de Santa Mónica... * Francisco Sagasti",1917734502320791707,https://x.com/keikonova2026/status/1917734502320791707,61,133,529,11318,3,https://pbs.twimg.com/media/Gp0pDSKXMAAVXBv.jpg,False,,,,,es,Top
(@@TampicoGob OR @@MonicaVTampico) min_replies:0 min_faves:0 min_retweets:0,https://x.com/search?q=(@@TampicoGob OR @@MonicaVTampico) min_replies:0 min_faves:0 min_retweets:0 until:2025-05-02 since:2025-05-01&src=typed_query,Huellitas Limoneros,https://x.com/H_Limoneros,H_Limoneros,True,2025-05-01 00:43:01+00:00,False,"Bombón es muy cariñosa con todo el mundo, convive con otros perros y puede que con gatos por su personalidad (primero podemos presentarlos para confirmar) es muy tranquila y solo busca estar cerca de ti y que la apapaches🥰 -Historia: estaba en un terreno con una familia que la maltratan y no le hacían caso... hasta tuvo bebés y los regalaron a extraños😒no nos dio tiempo de recibirlos porque estábamos saturados y cuando íbamos por ellos ya los habían entregado tuvimos espacio y fuimos por ella para encontrarle una familia que la ame por toda su vida y si la valore🤎 -Edad: 3 años -Talla: Mini -Protocolo: Esterilizada / Vacunada / Desparasitada 🔺Si te interesa adoptarla por favor llena el formulario👉🏼https://zii5ruwks20.typeform.com/to/pYbpdc83 🙏🏼",1917741514337444319,https://x.com/H_Limoneros/status/1917741514337444319,1,198,233,17084,5,https://pbs.twimg.com/media/Gp0vi4MaYAAXm-u.jpg;https://pbs.twimg.com/amplify_video_thumb/1917741292597174273/img/nsxTwTg7NCOcc0tp.jpg,False,,,,,es,Top
(@@TampicoGob OR @@MonicaVTampico) min_replies:0 min_faves:0 min_retweets:0,https://x.com/search?q=(@@TampicoGob OR @@MonicaVTampico) min_replies:0 min_faves:0 min_retweets:0 until:2025-05-02 since:2025-05-01&src=typed_query,🔱Monse🔱,https://x.com/monserratsolec,monserratsolec,False,2025-05-01 00:45:16+00:00,False,"Ando supliendo mi falta de atención en esta red con unos viajecitos, agradecida con todos los que han preguntado por mi y sólo pasé a saludar y decir que estoy bien, bonita noche 💋",1917742079490548099,https://x.com/monserratsolec/status/1917742079490548099,67,11,511,7344,15,https://pbs.twimg.com/media/Gp0wQiLWMAAHSU0.jpg,False,,,,,es,Top
(@@TampicoGob OR @@MonicaVTampico) min_replies:0 min_faves:0 min_retweets:0,https://x.com/search?q=(@@TampicoGob OR @@MonicaVTampico) min_replies:0 min_faves:0 min_retweets:0 until:2025-05-02 since:2025-05-01&src=typed_query,Eco_1_LVM,https://x.com/Eco1_LVM,Eco1_LVM,True,2025-05-01 01:01:49+00:00,False,"🚨🚨🚨Pátzcuaro -Michoacán- Por la madrugada, unos malandros circulaban en convoy por la glorieta a Tanganxoan,cuando se toparon con Policías Estatales y Municipales; heridos por la pelotera: -3 Guardias Civiles -3 Policías Municipales de Pátzcuaro La tirotiza duró algunos minutos antes de que huyeran, las fachadas de casas y negocios se usaron Cuernos, R15 y .50.",1917746244887405006,https://x.com/Eco1_LVM/status/1917746244887405006,0,29,399,41944,48,https://pbs.twimg.com/amplify_video_thumb/1917746083595251712/img/nXs1MlV50MC8nXm-.jpg,False,,,,,es,Top
(@@TampicoGob OR @@MonicaVTampico) min_replies:0 min_faves:0 min_retweets:0,https://x.com/search?q=(@@TampicoGob OR @@MonicaVTampico) min_replies:0 min_faves:0 min_retweets:0 until:2025-05-02 since:2025-05-01&src=typed_query,LA MONA QUILOMBERA 2.0 🗡🐵,https://x.com/MONAQUILOMBERA,MONAQUILOMBERA,False,2025-05-01 01:06:52+00:00,False,SE VIENE EL MANO DE LA ACOMODADA DE LA PRODUCCIÓN Y NUESTRA QUERIDISIMA LUZ. VOY CALENTANDO LA GARGANTA #GranHermano,1917747515627114903,https://x.com/MONAQUILOMBERA/status/1917747515627114903,73,251,2629,39843,32,,False,,,,,es,Top
(@@TampicoGob OR @@MonicaVTampico) min_replies:0 min_faves:0 min_retweets:0,https://x.com/search?q=(@@TampicoGob OR @@MonicaVTampico) min_replies:0 min_faves:0 min_retweets:0 until:2025-05-02 since:2025-05-01&src=typed_query,Mónica Saade,https://x.com/MonicaSaadeX,MonicaSaadeX,True,2025-05-01 01:27:53+00:00,False,18.677 razones para que con esta miserable no haya NI PERDÓN NI OLVIDO 👇,1917752806854873297,https://x.com/MonicaSaadeX/status/1917752806854873297,16,117,197,4226,0,https://pbs.twimg.com/media/Gp06ApVXwAATv0W.jpg,False,,,,,es,Top
(@@TampicoGob OR @@MonicaVTampico) min_replies:0 min_faves:0 min_retweets:0,https://x.com/search?q=(@@TampicoGob OR @@MonicaVTampico) min_replies:0 min_faves:0 min_retweets:0 until:2025-05-02 since:2025-05-01&src=typed_query,LA MONA QUILOMBERA 2.0 🗡🐵,https://x.com/MONAQUILOMBERA,MONAQUILOMBERA,False,2025-05-01 01:29:36+00:00,False,"LA ENVIDIA QUE LE TIENE ESTA BRASUCA COME BANANAS A LUZ, ES INCREÍBLE. NO VEO LAS HORAS DE MANDARLA AL AMAZONAS A TOMAR AGUA DE COCO CON MEGAMENTE #GranHermano",1917753236192186551,https://x.com/MONAQUILOMBERA/status/1917753236192186551,71,146,1265,47478,15,,False,,,,,es,Top
(@@TampicoGob OR @@MonicaVTampico) min_replies:0 min_faves:0 min_retweets:0,https://x.com/search?q=(@@TampicoGob OR @@MonicaVTampico) min_replies:0 min_faves:0 min_retweets:0 until:2025-05-02 since:2025-05-01&src=typed_query,Jonatan Palacios,https://x.com/JPActivista,JPActivista,True,2025-05-01 02:12:25+00:00,False,⚠️BERNAL CUMPLE EL SUEÑO DE PABLO ESCOBAR😱 Utiliza la lotería del Tachira para hacer campaña política y asegura nunca haber visto un millón de verdes 💸 conozcan usted quienes son los delincuentes que acompañan a Bernal en el CIRCO 🎪 ELECTORAL DEL 25 de mayo 🫢 #Jonatanpalaciosnews @plomoparejo @CesarPerezVivas @MundarayZair @Simonovis @zuricht94 @DossierVzla @PachoSantosC @JuanPGuanipa @MariaCorinaYA,1917764011791413439,https://x.com/JPActivista/status/1917764011791413439,6,558,574,24938,16,https://pbs.twimg.com/amplify_video_thumb/1917763666855768064/img/ElI5k0B05KaaWGsH.jpg,False,,,,,es,Top
(@@TampicoGob OR @@MonicaVTampico) min_replies:0 min_faves:0 min_retweets:0,https://x.com/search?q=(@@TampicoGob OR @@MonicaVTampico) min_replies:0 min_faves:0 min_retweets:0 until:2025-05-02 since:2025-05-01&src=typed_query,Colombia Oscura,https://x.com/ColombiaOscura,ColombiaOscura,True,2025-05-01 02:31:35+00:00,False,"#CONMOVEDOR 🥺 La historia de una joven tiktoker que se ha viralizado en dicha plataforma digital. En un video, ella describe un momento lleno de emociones que tuvo con humilde vendedor de toallas en la ciudad de Medellín.",1917768836410990612,https://x.com/ColombiaOscura/status/1917768836410990612,114,189,1052,220705,180,https://pbs.twimg.com/ext_tw_video_thumb/1917768631993151488/pu/img/Z1lAZv_wBeWXnh0p.jpg,False,,,,,es,Top
(@@TampicoGob OR @@MonicaVTampico) min_replies:0 min_faves:0 min_retweets:0,https://x.com/search?q=(@@TampicoGob OR @@MonicaVTampico) min_replies:0 min_faves:0 min_retweets:0 until:2025-05-02 since:2025-05-01&src=typed_query,LA MONA QUILOMBERA 2.0 🗡🐵,https://x.com/MONAQUILOMBERA,MONAQUILOMBERA,False,2025-05-01 02:34:33+00:00,False,"ME ENCANTA, MUY BIEN PUESTO EL NOMBRE, PRONTO DESAPARECEN LAS 3 #GranHermano",1917769581503938614,https://x.com/MONAQUILOMBERA/status/1917769581503938614,12,42,548,11342,7,,False,,,,,es,Top
(@@TampicoGob OR @@MonicaVTampico) min_replies:0 min_faves:0 min_retweets:0,https://x.com/search?q=(@@TampicoGob OR @@MonicaVTampico) min_replies:0 min_faves:0 min_retweets:0 until:2025-05-02 since:2025-05-01&src=typed_query,Mónica Saade,https://x.com/MonicaSaadeX,MonicaSaadeX,True,2025-05-01 02:58:51+00:00,False,Que haces si una loca así toca la puerta de tu casa? 😳👇,1917775697507996013,https://x.com/MonicaSaadeX/status/1917775697507996013,212,103,260,15366,3,https://pbs.twimg.com/media/Gp1O09HXoAAlWma.jpg,False,,,,,es,Top
(@@TampicoGob OR @@MonicaVTampico) min_replies:0 min_faves:0 min_retweets:0,https://x.com/search?q=(@@TampicoGob OR @@MonicaVTampico) min_replies:0 min_faves:0 min_retweets:0 until:2025-05-02 since:2025-05-01&src=typed_query,Mariona Gúmpert ن 🇪🇸,https://x.com/MarionaGumpert,MarionaGumpert,True,2025-05-01 03:06:31+00:00,False,"Vaya, una región como México preparada para los terremotos, ¿quién lo iba a decir? Y sí, este gobierno socialista es extremadamente corrupto y nos lleva a la pobreza en todos los sentidos, como lleváis aguantando vosotros en Hispanoamérica, ¿cuánto? ¿décadas? No sé, m'hijo, que vengas a presumir de gobierno y eficacia siendo mexicano es como para echarse a reír. ¿Qué será lo siguiente, que presumas de cómo os habéis vuelto indiferentes al hecho de ver niños trabajando o mendigando en las calles? ¿del narco? ¿de ser el país más peligroso para ser periodista? Patético.",1917777626271473747,https://x.com/MarionaGumpert/status/1917777626271473747,45,8,89,84358,6,,True,xhoaxjonas,https://x.com/xhoaxjonas,Vane¹¹ ⁸¹,xhoaxjonas,es,Top
(@@TampicoGob OR @@MonicaVTampico) min_replies:0 min_faves:0 min_retweets:0,https://x.com/search?q=(@@TampicoGob OR @@MonicaVTampico) min_replies:0 min_faves:0 min_retweets:0 until:2025-05-02 since:2025-05-01&src=typed_query,LA MONA QUILOMBERA 2.0 🗡🐵,https://x.com/MONAQUILOMBERA,MONAQUILOMBERA,False,2025-05-01 03:14:01+00:00,False,POR CADA VOTO DE CHIARA AL 9009 SUBO UN AUDIO PUTEANDO A FACU VERON Y NACHOMIVODKA,1917779514458808435,https://x.com/MONAQUILOMBERA/status/1917779514458808435,82,219,1352,23273,20,https://pbs.twimg.com/media/Gp1STkqW8AABqYb.jpg,False,,,,,es,Top
(@@TampicoGob OR @@MonicaVTampico) min_replies:0 min_faves:0 min_retweets:0,https://x.com/search?q=(@@TampicoGob OR @@MonicaVTampico) min_replies:0 min_faves:0 min_retweets:0 until:2025-05-02 since:2025-05-01&src=typed_query,PRIMONETA 💅🏻,https://x.com/LAPRIM0NETA,LAPRIM0NETA,False,2025-05-01 03:15:15+00:00,False,🚨 LLEGÓ EL MOMENTO : - BASTA DE ALIANZAS - BASTA DE EXCUSAS - BASTA DE HIPOCRESÍAS Y CAG0NES - LA TATONETA OFICIAL IRÁ POR LA ACOMODADA MANCUSO CON TODO LO QUE TENEMOS: CHIARA AL 9009 CHIARA AL 7020 🇺🇾 #granhermano #GranHermanoAr,1917779825235726433,https://x.com/LAPRIM0NETA/status/1917779825235726433,186,822,3536,36615,11,https://pbs.twimg.com/media/Gp1SlpMWoAANpOL.jpg,False,,,,,es,Top
(@@TampicoGob OR @@MonicaVTampico) min_replies:0 min_faves:0 min_retweets:0,https://x.com/search?q=(@@TampicoGob OR @@MonicaVTampico) min_replies:0 min_faves:0 min_retweets:0 until:2025-05-02 since:2025-05-01&src=typed_query,Luziago Time 🌙,https://x.com/MarculiTime,MarculiTime,False,2025-05-01 03:20:27+00:00,False,"Gabriela: Todas las quilomberas y Luz Chiara: Es bastante quilombera pero se hace la tranquila y se hace la ZORRA, que es diferente. Acá se hace la tranquila pero tiene bastante carácter y de mierda Tana: Es violenta Chiara: Que se vaya a la mierda CHIARA AL 9009 #GranHermano",1917781133581848875,https://x.com/MarculiTime/status/1917781133581848875,24,115,254,10110,37,https://pbs.twimg.com/amplify_video_thumb/1917781025641349120/img/wVcmtvGifz9Wp7cu.jpg,False,,,,,es,Top
(@@TampicoGob OR @@MonicaVTampico) min_replies:0 min_faves:0 min_retweets:0,https://x.com/search?q=(@@TampicoGob OR @@MonicaVTampico) min_replies:0 min_faves:0 min_retweets:0 until:2025-05-02 since:2025-05-01&src=typed_query,patricia🌿,https://x.com/pinaysipatricia,pinaysipatricia,False,2025-05-01 03:56:43+00:00,False,Let's walk together for good governance. 🩷🩷🩷 #KikoBamSaSenado #Muntinlupa,1917790259624173941,https://x.com/pinaysipatricia/status/1917790259624173941,7,77,411,6444,1,https://pbs.twimg.com/media/Gp1cE-ZaYAAoybo.jpg,False,,,,,en,Top
(@@TampicoGob OR @@MonicaVTampico) min_replies:0 min_faves:0 min_retweets:0,https://x.com/search?q=(@@TampicoGob OR @@MonicaVTampico) min_replies:0 min_faves:0 min_retweets:0 until:2025-05-02 since:2025-05-01&src=typed_query,qdequilombo,https://x.com/onlyqdequilombo,onlyqdequilombo,False,2025-05-01 04:41:36+00:00,False,"La mona quilombera metiéndose con un pibe de 18 AÑOS,amenazando de arruinarle la carrera cuando el pibe no tiene nada que ver solo fue apoyar a su hermana,pero esta es la verdadera cara de los fans de tato son un asco #GranHermano",1917801555291406494,https://x.com/onlyqdequilombo/status/1917801555291406494,0,35,209,1939,4,,False,,,,,es,Top
(@@TampicoGob OR @@MonicaVTampico) min_replies:0 min_faves:0 min_retweets:0,https://x.com/search?q=(@@TampicoGob OR @@MonicaVTampico) min_replies:0 min_faves:0 min_retweets:0 until:2025-05-02 since:2025-05-01&src=typed_query,"DRA. MERCEDES PAVON ""SUPERMUELITA FIFÍ""",https://x.com/GARCIPAVON,GARCIPAVON,True,2025-05-01 05:51:04+00:00,False,"Por favor, ayuda para difundir, hasta encontrarla, gracias. 🙏🙏🙏 #HastaEncontrarteNAOMI",1917819036349374515,https://x.com/GARCIPAVON/status/1917819036349374515,5,688,219,10228,0,,False,,,,,es,Top
(@@TampicoGob OR @@MonicaVTampico) min_replies:0 min_faves:0 min_retweets:0,https://x.com/search?q=(@@TampicoGob OR @@MonicaVTampico) min_replies:0 min_faves:0 min_retweets:0 until:2025-05-02 since:2025-05-01&src=typed_query,Luis Torres Montero,https://x.com/Malapalabrero,Malapalabrero,False,2025-05-01 05:58:12+00:00,False,"A la que nunca trabajó en su vida, recibió todo fácil desde que fue exprimera dama de la Dictadura, congresista del montón con meses sin acudir a su curul, y cuando no en otros años, cobrando a los otros congresistas para su sueldo; añade los pagos de BCP, Odebrecht, para las campañas donde perdió tres veces, y sin saber la justicia aún dónde están todos esos millones de soles, encargándose de envilecer la política peruana en 20 años, solo para la corrupción de toda una sarta de delincuentes naranjas. Nadie en sus cinco sentidos puede felicitar por el Día del Trabajo a la floja número uno de la política peruana.",1917820833487110415,https://x.com/Malapalabrero/status/1917820833487110415,63,184,467,8532,6,https://pbs.twimg.com/media/Gp12Mo1WkAAfJdf.jpg,False,,,,,es,Top
(@@TampicoGob OR @@MonicaVTampico) min_replies:0 min_faves:0 min_retweets:0,https://x.com/search?q=(@@TampicoGob OR @@MonicaVTampico) min_replies:0 min_faves:0 min_retweets:0 until:2025-05-02 since:2025-05-01&src=typed_query,sofi🐥❤️,https://x.com/soavila_2,soavila_2,False,2025-05-01 06:26:40+00:00,False,"Tranquila @maripaz_vilas , la venganza tocará en el campo , por ahora un dibujito que hice con mucho cariño,espero te guste 🤍✨🙂‍↕️, te queremos Mapi 🐣. Pollitos ayúdenme para que lo pueda ver nuestra 10 ,muchas gracias por el apoyo que le dan a mis dibujos,los tqm❤️‍🩹",1917827997878337679,https://x.com/soavila_2/status/1917827997878337679,13,27,511,7967,5,https://pbs.twimg.com/media/Gp1-ZZ2WcAAxCb5.jpg,False,,,,,es,Top
(@@TampicoGob OR @@MonicaVTampico) min_replies:0 min_faves:0 min_retweets:0,https://x.com/search?q=(@@TampicoGob OR @@MonicaVTampico) min_replies:0 min_faves:0 min_retweets:0 until:2025-05-02 since:2025-05-01&src=typed_query,xevt - xhvt,https://x.com/xevtfm,xevtfm,True,2025-05-01 07:46:36+00:00,False,"#ConSaborAFeria 🌺✨ ¡Tabasco tiene Flor! 60 años después, María Fernanda Palma Miramontes le da una nueva Flor de Oro a Balancán.",1917848112183357871,https://x.com/xevtfm/status/1917848112183357871,12,177,527,36828,11,https://pbs.twimg.com/media/Gp2QrtIWMAA35pd.jpg,False,,,,,es,Top
(@@TampicoGob OR @@MonicaVTampico) min_replies:0 min_faves:0 min_retweets:0,https://x.com/search?q=(@@TampicoGob OR @@MonicaVTampico) min_replies:0 min_faves:0 min_retweets:0 until:2025-05-02 since:2025-05-01&src=typed_query,xCONITO 🇻🇪 (COMMS OPEN)❗,https://x.com/XCONITO,XCONITO,False,2025-05-01 07:50:04+00:00,False,"My Little Sombra AU por xCONITO. Cap Extra #01 ""Manzanas Agrias"" (Link to English version at the end) Abro hilo (1/10) 🧵 #mylittlesombra #mlptwt #conito",1917848983331840089,https://x.com/XCONITO/status/1917848983331840089,16,235,3390,97508,999,https://pbs.twimg.com/media/Gp2RfJcWAAAAgU7.jpg,False,,,,,es,Top
