"path";"id";"parent_id";"level";"object_id";"object_type";"object_key";"query_status";"query_time";"query_type";"message";"created_time";"like_count";"comment_count";"error.message"
"964877296876825_1274917260864832/474462132406835_122157433298546197";"128";"2";"1";"474462132406835_122157433298546197";"data";"data.*";"fetched (200)";"2025-11-14 08:25:43.710187";"Facebook:/<page-id>/posts";"Gracias a la Fundación Pantaleon y su directora Patricia Altamirano, en colaboración con el Gobierno Municipal de Cd. Mante y su alcaldesa Paty Chío, las y los alumnos de la primaria Miguel Hidalgo visitaron la exposición INSECTUS , donde tuvieron un espacio de aprendizaje y participación en los divertidos talleres educativos🧠🎨  Fue una jornada donde la curiosidad, el aprendizaje y la diversión se unieron para despertar el amor por la ciencia y la naturaleza. 🌿";"2025-05-29T23:19:04+0000";"";"";""
"964877296876825_1274917260864832/474462132406835_122157433298546197/474462132406835_122157433298546197";"3050";"128";"2";"474462132406835_122157433298546197";"data";"data.*";"fetched (200)";"2025-11-14 08:46:00.614730";"Facebook:/<post-id>/comments";"";"2025-05-29T23:48:09+0000";"0";"0";""
"TampicoGob/474462132406835_122157433298546197/474462132406835_122157433298546197";"3050";"128";"2";"474462132406835_122157433298546197";"data";"data.*";"fetched (200)";"2025-11-14 08:46:00.614730";"Facebook:/<post-id>/comments";"";"2025-05-29T23:48:09+0000";"0";"0";""
"964877296876825_1274917260864832/964877296876825_1273837107639514";"16";"1";"1";"964877296876825_1273837107639514";"data";"data.*";"fetched (200)";"2025-11-14 08:25:39.435838";"Facebook:/<page-id>/posts";"Disfrutando de este hermoso árbol orejón. Que tengan un jueves de éxito y bendiciones.";"2025-05-29T14:11:35+0000";"";"";""
"964877296876825_1274917260864832/964877296876825_1273837107639514/964877296876825_1273837107639514";"693";"16";"2";"964877296876825_1273837107639514";"data";"data.*";"fetched (200)";"2025-11-14 08:27:05.051698";"Facebook:/<post-id>/comments";"Excelente dia Lic. Mónica 🙋‍♀️";"2025-05-29T14:14:50+0000";"1";"0";""
"964877296876825_1274917260864832/474462132406835_1274800880876470";"125";"2";"1";"474462132406835_1274800880876470";"data";"data.*";"fetched (200)";"2025-11-14 08:25:43.710187";"Facebook:/<page-id>/posts";"Encabecé la instalación del Sistema Intersectorial Municipal de Protección y Gestión Integral de Derechos Humanos de las Personas con Discapacidad (SIPRODDIS), un esfuerzo conjunto entre sociedad civil y distintas instituciones que comparten un mismo objetivo, garantizar la inclusión, el respeto y la dignidad de todas las personas con discapacidad en nuestro municipio.  Durante este evento tomaron protesta la Lic. Libby Zacil Adame  Secretaria Ejecutiva del Sistema, y la C.P. María de la Luz Martínez Barrón.  También me llenó de orgullo escuchar las participaciones Cilia Alejandra García y Héctor Manuel Hernández, dos grandes talentos de nuestra Secretaría de Cultura. 🌟  Además, celebramos la firma del convenio entre el Hospital Ángeles y el ciudadano Fidel Alonso Ruiz Franco, un acto que refleja que cuando hay voluntad, sí se pueden construir alianzas por el bienestar de todos.  Agradezco la presencia de la presidenta de DIF Tampico la Dra. Luz Adriana Villarreal Anaya, el Director de DIF Tampico, el Dr. Humberto Granados Cepeda y el Director del  Hospital Ángeles Tampico, el Dr. Miguel Alfredo Baltazar Arana.  Desde el Gobierno de Tampico seguiremos trabajando de la mano con cada sector para romper barreras y abrir más espacios de oportunidad, empleo y desarrollo para quienes más lo necesitan.";"2025-05-30T20:58:57+0000";"";"";""
"964877296876825_1274917260864832/474462132406835_1274800880876470/474462132406835_1274800880876470";"2983";"125";"2";"474462132406835_1274800880876470";"data";"data.*";"fetched (200)";"2025-11-14 08:45:59.120618";"Facebook:/<post-id>/comments";"Agradesco ala señora presidenta Mónica Villarreal  por hacer esta labor que desde las caminatas de campaña estuvimos y seguimos apoyándola a el hospital ángeles por brindarme la oportunidad de laborar muchas gracias";"2025-05-30T21:25:13+0000";"0";"0";""
"TampicoGob/474462132406835_1274800880876470/474462132406835_1274800880876470";"2983";"125";"2";"474462132406835_1274800880876470";"data";"data.*";"fetched (200)";"2025-11-14 08:45:59.120618";"Facebook:/<post-id>/comments";"Agradesco ala señora presidenta Mónica Villarreal  por hacer esta labor que desde las caminatas de campaña estuvimos y seguimos apoyándola a el hospital ángeles por brindarme la oportunidad de laborar muchas gracias";"2025-05-30T21:25:13+0000";"0";"0";""
"964877296876825_1274917260864832/964877296876825_1273291787694046";"21";"1";"1";"964877296876825_1273291787694046";"data";"data.*";"fetched (200)";"2025-11-14 08:25:39.435838";"Facebook:/<page-id>/posts";"";"2025-05-28T20:51:43+0000";"";"";""
"964877296876825_1274917260864832/964877296876825_1273291787694046/964877296876825_1273291787694046";"832";"21";"2";"964877296876825_1273291787694046";"data";"data.*";"fetched (200)";"2025-11-14 08:27:07.392235";"Facebook:/<post-id>/comments";"Hermosos animalitos, sin representativos de nuestra bella Ciudad.";"2025-05-28T21:44:20+0000";"0";"0";""
"964877296876825_1298207705202454/474462132406835_1277059177317307";"8226";"7965";"1";"474462132406835_1277059177317307";"data";"data.*";"fetched (200)";"2025-11-14 09:12:22.578189";"Facebook:/<page-id>/posts";"Esta tarde me reuní con vecinos y vecinas de Lomas de Rosales, representados por Sergio Guevara, presidente de la Asociación de Colonos. 🙌🏻 Platicamos abiertamente sobre lo que se ha logrado y también sobre lo que aún falta por hacer. Me dio mucho gusto escuchar su reconocimiento por los avances en servicios públicos.  Estoy convencida de que cuando gobierno y ciudadanía se escuchan y colaboran, los resultados son mucho más fuertes y duraderos.   ¡Gracias por la confianza y por sumar con propuestas!👏🏻";"2025-06-02T21:58:23+0000";"";"";""
"964877296876825_1298207705202454/474462132406835_1277059177317307/474462132406835_1277059177317307";"15349";"8226";"2";"474462132406835_1277059177317307";"data";"data.*";"fetched (200)";"2025-11-14 09:16:17.160666";"Facebook:/<post-id>/comments";"Excelente";"2025-06-02T21:58:29+0000";"0";"0";""
