comment_text,published_at,query
Asu que que padre enrrolla los taquitos !!!,2025-06-17T07:46:42Z,presidenta municipal de Tampico
Asu que que padre enrrolla los taquitos !!!,2025-06-17T07:46:42Z,Presidenta municipal de Tampico
Mi dios estamos de mal en peor 🙏😭 México por favor 🙏 basta de vainas por favor 🙏,2025-06-17T09:47:33Z,Gobierno de Tampico
Mi dios estamos de mal en peor 🙏😭 México por favor 🙏 basta de vainas por favor 🙏,2025-06-17T09:47:33Z,gobierno de Tampico
"El mundo al revés,  esto huele a podrido",2025-06-17T10:41:28Z,Gobierno de Tampico
"El mundo al revés,  esto huele a podrido",2025-06-17T10:41:28Z,gobierno de Tampico
Que bien  Bro buen video gracias por compartirlo,2025-06-17T11:48:13Z,presidenta municipal de Tampico
Que bien  Bro buen video gracias por compartirlo,2025-06-17T11:48:13Z,Presidenta municipal de Tampico
La verdad estos gobiernos de México en general no piensan en los niños y pues la verdad que padre que esto se haya hecho en las juntas Jal un ejemplo para los demás municipios que aprendan a hacer lo bueno con nuestro dinero estos Políticos que tenemos que nomás piensan en su bolsilo,2025-06-17T11:49:50Z,presidenta municipal de Tampico
La verdad estos gobiernos de México en general no piensan en los niños y pues la verdad que padre que esto se haya hecho en las juntas Jal un ejemplo para los demás municipios que aprendan a hacer lo bueno con nuestro dinero estos Políticos que tenemos que nomás piensan en su bolsilo,2025-06-17T11:49:50Z,Presidenta municipal de Tampico
"Usualemte este tipo de perosonas son gente muy conglictiva e inadaptada y llegan a invadir casas de gente mas tranquila y les perturban su estilo de vida a la gente tranquila que ya estaba ahi, es un caso bastante comun y es una calamidad",2025-06-17T12:39:13Z,Gobierno de Tampico
"Usualemte este tipo de perosonas son gente muy conglictiva e inadaptada y llegan a invadir casas de gente mas tranquila y les perturban su estilo de vida a la gente tranquila que ya estaba ahi, es un caso bastante comun y es una calamidad",2025-06-17T12:39:13Z,gobierno de Tampico
"Fomentando la delincuencia, vaya estupidez, una idea que solo podría salir de la 4te",2025-06-17T12:47:54Z,Gobierno de Tampico
"Fomentando la delincuencia, vaya estupidez, una idea que solo podría salir de la 4te",2025-06-17T12:47:54Z,gobierno de Tampico
Dueños  demanden a infonavit demanden a infonavit,2025-06-17T13:02:20Z,Gobierno de Tampico
Dueños  demanden a infonavit demanden a infonavit,2025-06-17T13:02:20Z,gobierno de Tampico
Demandas   de  dueños a infonavit por robo de su propiedad,2025-06-17T13:03:57Z,Gobierno de Tampico
Demandas   de  dueños a infonavit por robo de su propiedad,2025-06-17T13:03:57Z,gobierno de Tampico
Que rico❤❤😊,2025-06-17T13:04:11Z,presidenta municipal de Tampico
Que rico❤❤😊,2025-06-17T13:04:11Z,Presidenta municipal de Tampico
"Tanto trabajar para que te den un crédito y ahora resulta que cualquier delincuente puede meterse a una propiedad y quedarse con ella. Para esto querian el. Poder Judicial, para joder cada día al pueblo.",2025-06-17T13:19:18Z,Gobierno de Tampico
"Tanto trabajar para que te den un crédito y ahora resulta que cualquier delincuente puede meterse a una propiedad y quedarse con ella. Para esto querian el. Poder Judicial, para joder cada día al pueblo.",2025-06-17T13:19:18Z,gobierno de Tampico
"Todo se ve delicioso. Pero también tiene que ver mucho el área donde se cocine. Yo veo esa cocina muy sucia deberían tener más cuidado con esto , más si es comida para venta. Es mi humilde opinión",2025-06-17T14:23:07Z,presidenta municipal de Tampico
"Todo se ve delicioso. Pero también tiene que ver mucho el área donde se cocine. Yo veo esa cocina muy sucia deberían tener más cuidado con esto , más si es comida para venta. Es mi humilde opinión",2025-06-17T14:23:07Z,Presidenta municipal de Tampico
Da el contexto completo...........,2025-06-17T14:37:37Z,Gobierno de Tampico
Da el contexto completo...........,2025-06-17T14:37:37Z,gobierno de Tampico
"No mms!!...antes nos quejamos del PRIAN por robar y hacer sus chanchullos!...pero ésto va más allá, aparte de que Morena también roba al estilo PRIAN, tienen gente muy endeja al poder!",2025-06-17T14:40:02Z,Gobierno de Tampico
"No mms!!...antes nos quejamos del PRIAN por robar y hacer sus chanchullos!...pero ésto va más allá, aparte de que Morena también roba al estilo PRIAN, tienen gente muy endeja al poder!",2025-06-17T14:40:02Z,gobierno de Tampico
Claudia en vez de mejorar el pais lo esta atrasando con sus ideas opsoletas solo se fija en pura estupides no a hecho nada por el pais solo lo a estado undiendo no sabe negociar no sabe llevar la criminalidad que descepcionante gobierno,2025-06-17T15:13:46Z,Gobierno de Tampico
Claudia en vez de mejorar el pais lo esta atrasando con sus ideas opsoletas solo se fija en pura estupides no a hecho nada por el pais solo lo a estado undiendo no sabe negociar no sabe llevar la criminalidad que descepcionante gobierno,2025-06-17T15:13:46Z,gobierno de Tampico
Soy morenista pero estoy en desacuerdo ....hay dos funcionarios en acapulco kalani kagua y diana saucedo en el estado de guerrero que invaden decenas de casas y las rentan a personas ....y con el apoyo de el delegado de el registro publico de la propiedad en acapulco lo hacen en casas ara tras de plaza patio en acapulco,2025-06-17T15:22:26Z,Gobierno de Tampico
