comment_text,published_at,query
"Tengan cuidado, el agua tiene muchas bacterias y virus, que puede entrar por la nariz, boca y oídos, si llega al cerebro es mortal, no entiendo como los padres permiten eso.",2025-07-08T06:00:31Z,Gobierno de Tampico
😂😂😂😂😂😂😂😂,2025-07-08T06:00:56Z,Gobierno de Tampico
La inocencia de los niños y expuestos a tanta enfermedad 😢,2025-07-08T06:01:04Z,Gobierno de Tampico
Fuuueraaa de México 😡,2025-07-08T06:01:11Z,presidenta municipal de Tampico
Fuuueraaa de México 😡,2025-07-08T06:01:11Z,Presidenta municipal de Tampico
Agua con caca 👌,2025-07-08T06:01:34Z,Gobierno de Tampico
Basura de personas. Ojala pagen el dan~o al propietario.,2025-07-08T06:02:10Z,Gobierno de Tampico
La inocencia de los niños hermoso🥹🥹🥹👏👏👏👏,2025-07-08T06:03:18Z,Gobierno de Tampico
DIOS✝️👑🕊️❤️🙏 GUARDE Y BENDIGA A TODOS LOS NIÑOS ❤,2025-07-08T06:03:23Z,Gobierno de Tampico
"Bravo,  ésto no es España 😂",2025-07-08T06:04:22Z,Gobierno de Tampico
"Todo muy bonito y que bien que lo disfruten ❤,,😬pero tengan mucho cuidado ahí bacterias que de las aguas sucias oo estancadas que si te entra una puedes perder asta  la vida ,oo alguna amputación o amputaciones en tu cuerpo 😌así que por seguridad, mejor solo ver y pues si se mojan los pies o bajo la rodilla no pasa nada amenos que tengas una erida,o si tienes que y no ahy de otra pues ni modo , pero por gusto ariegarce 🚫🚫que Dios los  cuide y lo proteja siempre 🌹🙏",2025-07-08T06:04:25Z,Gobierno de Tampico
Los ovnis no los cuidaron,2025-07-08T06:05:39Z,Gobierno de Tampico
Pues que mas la libertad es lo mas lindo   que los niños disfruten. Nosotros cruzamos el rio bravo Dios sabra de que tanta mescla viene y seguimos,2025-07-08T06:06:19Z,Gobierno de Tampico
¿no saben respetar los nombres propios? ignorantes,2025-07-08T06:07:12Z,Gobierno de Tampico
Es su pais de la 4t,2025-07-08T06:07:20Z,Gobierno de Tampico
Los vecinos unidos actúan mejor que las autoridades en contra de personas abusivas .,2025-07-08T06:08:23Z,Gobierno de Tampico
"Ánimo Tampico. Cuidado con infecciones,  heridas y otros factores de riesgo. SER saludable cuidado personal. Evitar golpear la nariz con una mano o con una pierna. Cuidémonos mucho 🇲🇽",2025-07-08T06:12:57Z,Gobierno de Tampico
Y el gobierna cuatrotero legalizando y apapachando a los invasores.,2025-07-08T06:14:56Z,Gobierno de Tampico
Benditos todos los niños del mundo ❤,2025-07-08T06:17:39Z,Gobierno de Tampico
Con los tamarindos ahi nadando 😂,2025-07-08T06:17:52Z,Gobierno de Tampico
"No se que es peor, que invadan una casa que no es suya y se burlen o que las desalojen y no reciban ningun tipo de castigo",2025-07-08T06:18:42Z,Gobierno de Tampico
Jalapa Veracruz ay los tránsitos me quitaron 5mil pesos me yevaron al cajero solo por traer placas de nuevo león ahuevo querían dinero y al fin les di amenazado fui y no vuelvo a ir en carro a Veracruz,2025-07-08T06:21:35Z,presidenta municipal de Tampico
Jalapa Veracruz ay los tránsitos me quitaron 5mil pesos me yevaron al cajero solo por traer placas de nuevo león ahuevo querían dinero y al fin les di amenazado fui y no vuelvo a ir en carro a Veracruz,2025-07-08T06:21:35Z,Presidenta municipal de Tampico
La verdad... Vine a burlarme JAJAJAJAJAJA QUE BUENA DESPEINADA!!!,2025-07-08T06:25:34Z,Gobierno de Tampico
A todos esos les espera una hermosa orden de aprehencion,2025-07-08T06:25:42Z,presidenta municipal de Tampico
A todos esos les espera una hermosa orden de aprehencion,2025-07-08T06:25:42Z,Presidenta municipal de Tampico
Jajaja escuincles y padres pendejos! Van a terminar todos chorrillentos,2025-07-08T06:26:38Z,Gobierno de Tampico
😊😊y si así es México siempre viendo el lado bueno 😂que viva el ingenió de los niños 🎉🎉🎉,2025-07-08T06:27:13Z,Gobierno de Tampico
ESO ES TODO UNIRNOS COMO MEXICANOS ABORRECIENDO LA INVASION Y ENTRE TODOS ECHARLOS PRIMERO DIOS POR DELANTE,2025-07-08T06:31:09Z,Gobierno de Tampico
"Los inditos de Tamaulipas no saben que son aguas de drenaje , ojalá no enfermen",2025-07-08T06:33:09Z,Gobierno de Tampico
😂😂😂<br>🐀,2025-07-08T06:34:35Z,presidenta municipal de Tampico
😂😂😂<br>🐀,2025-07-08T06:34:35Z,Presidenta municipal de Tampico
"Interesante que haya muchos comentarios donde se elogia a Doña Carlota pero no hay realmente crítica al gobierno que permite y no hace valer la ley de los verdaderos propietarios, pero bueno lo bueno es que el país se está &quot;transformando&quot;.",2025-07-08T06:39:51Z,Gobierno de Tampico
Ches parasitos los invasores,2025-07-08T06:41:11Z,Gobierno de Tampico
Enseñan a sus hijas a robar a ser ratas,2025-07-08T06:43:29Z,Gobierno de Tampico
"Ella es argentina no  me extraña, su xenofobia ni su racismo.  En sudamérica  ya los conocen a los argentinos.. 🤦🏻‍♂️",2025-07-08T06:44:52Z,presidenta municipal de Tampico
"Ella es argentina no  me extraña, su xenofobia ni su racismo.  En sudamérica  ya los conocen a los argentinos.. 🤦🏻‍♂️",2025-07-08T06:44:52Z,Presidenta municipal de Tampico
11 años Dios mio y las autoridades pa cuándo van a regresar la orden a esta ciudad.,2025-07-08T06:45:44Z,Gobierno de Tampico
"Que le quiten su ciudadanía, y qué la expulsen  del pais.<br><br>Por prepotente y xenofobica.",2025-07-08T06:46:07Z,presidenta municipal de Tampico
"Que le quiten su ciudadanía, y qué la expulsen  del pais.<br><br>Por prepotente y xenofobica.",2025-07-08T06:46:07Z,Presidenta municipal de Tampico
"Como están los mexicanos,con las Lady",2025-07-08T06:46:27Z,Gobierno de Tampico
Que bueno que ya las sacaron estás abusiva s q injusto q estos seres tengan esas agallas para meterme a casa apenas,2025-07-08T06:46:35Z,Gobierno de Tampico
Que paguen la renta de 10 años por gorronas,2025-07-08T06:50:13Z,Gobierno de Tampico
Dejen las aguas negras... Y que tal si les sale un Juancho😊.,2025-07-08T06:50:57Z,Gobierno de Tampico
Todo bien con los padres??,2025-07-08T06:54:31Z,Gobierno de Tampico
LO QUE NO SABEN ES QUE ESO YA VA A SER LEGAL SEGUN MORENA EN EL CONGRESO,2025-07-08T06:54:32Z,Gobierno de Tampico
MONTAJE.,2025-07-08T06:54:46Z,Gobierno de Tampico
MONTAJE.,2025-07-08T06:54:46Z,gobierno de Tampico
Es lo menos que se merecen.,2025-07-08T06:58:02Z,Gobierno de Tampico
Es Ladies invasoras  no Lady&#39;s invasoras,2025-07-08T07:02:08Z,Gobierno de Tampico
Uiii me queda con las ganas de ver una doña carlota 2.0,2025-07-08T07:02:24Z,Gobierno de Tampico
"y luego porque andan todos &quot;enronchados&quot; como los que jugaron con la espuma de desagüe en la inundación de los cuartos en Naucalpan? si es agua de inundación seguro tiene toxicidad, por las mezclas de lluvia acida y mezclada con aguas de drenaje, y químicos dispersos, en poco tiempo veremos el reportaje de éstos niños en los hospitales con problemas de la piel y del sistema digestivo, oidos y más, igual que los de las &quot;espumas viajeras&quot; de Naucalpan, en que momento, MÉXICO ha llegado a éstos niveles de &quot;sentido común&quot;??",2025-07-08T07:07:14Z,Gobierno de Tampico
Gracias a Dios que las sacaron 🙏,2025-07-08T07:08:03Z,Gobierno de Tampico
Con mucho dinero actuaron al instante otro batallan años y nada pero que bueno que tuvieron final feliz los dueños,2025-07-08T07:14:23Z,Gobierno de Tampico
