Query_Str,Post_URL,Author_Name,Author_Web_Page_URL,Author_Handle,Verified_Status,UTC_Time,Ads,Tweet_Content,Post_ID,Tweet_URL,Reply_Count,Repost_Count,Like_Count,View_Count,Bookmark_Count,Tweet_Image_URL,Replying_to,Reply_to_Whom,Reply_to_Whom_URL,Reply_to_Whom_Username,Reply_to_Whom_Handle,Language,Type
(@@TampicoGob OR @@MonicaVTampico) min_replies:0 min_faves:0 min_retweets:0,https://x.com/search?q=(@@TampicoGob OR @@MonicaVTampico) min_replies:0 min_faves:0 min_retweets:0 until:2025-07-30 since:2025-07-29&src=typed_query,Sonia Álvaro,https://x.com/s_msonia,s_msonia,False,2025-07-29 07:08:54+00:00,False,"Soy del mundo. Como un ave que vuela y vuela sin importar las fronteras. Alzo mi voz por los que no tienen voz y alzo mi vuelo hacia la buena gente,que cada día con su buen ❤️ hacen de este loco 🌎 un buen lugar para vivir. #FelizMartes #microcuentos #BuenosDiasATodos",1950091144747974851,https://x.com/s_msonia/status/1950091144747974851,29,124,376,3542,5,https://pbs.twimg.com/media/GxAdkAQWYAAqB99.jpg,False,,,,,es,Top
(@@TampicoGob OR @@MonicaVTampico) min_replies:0 min_faves:0 min_retweets:0,https://x.com/search?q=(@@TampicoGob OR @@MonicaVTampico) min_replies:0 min_faves:0 min_retweets:0 until:2025-07-30 since:2025-07-29&src=typed_query,Mónica O. abogada,https://x.com/Monicao2712,Monicao2712,True,2025-07-29 07:20:33+00:00,False,"📌¡Qué mal se ven defendiendo a políticos que andan de vacaciones en el extranjero! España, Tokio, etc. Parece que ganan muy bien en el servicio público, porque se les olvidó la austeridad republicana. ¡No puede haber gobierno rico de vacaciones en Europa, con pueblo pobre! Los principios y postulados de mi presidente @lopezobrador se los están pasando por el arco del triunfo. Definitivamente, los únicos congruentes son mi presidente @lopezobrador y nuestra presidenta @Claudiashein. Pregunta seria: ¿cuándo vieron a mi presidente de vacaciones en Europa y en hotel de lujo? No tienen vergüenza: @mario_delgado, @RicardoMonrealA @amlopezbeltran. No defiendan lo indefendible, compañeros. Decía mi presidente @lopezobrador_ ; ""El servicio público no es para enriquecerse, quién quiera dinero que se dedique a otra cosa"". ""El poder solo tiene sentido y se convierte en virtud cuando se pone al servicio de los demás. Lastima que no aprendieron nada! #AusteridadRepublicana #NoAlGobiernoRico #CongruenciaYa #VacacionesConVergüenza #VivaLa4t",1950094076482634157,https://x.com/Monicao2712/status/1950094076482634157,143,208,375,13059,5,https://pbs.twimg.com/media/GxAgOjGXMAADLpc.jpg,False,,,,,es,Top
(@@TampicoGob OR @@MonicaVTampico) min_replies:0 min_faves:0 min_retweets:0,https://x.com/search?q=(@@TampicoGob OR @@MonicaVTampico) min_replies:0 min_faves:0 min_retweets:0 until:2025-07-30 since:2025-07-29&src=typed_query,Hugheston,https://x.com/norwh,norwh,False,2025-07-29 09:17:31+00:00,False,"Anoche, faltando a penas unos minutos para que termine el 28 de julio falleció Monona. Te amamos para siempre abuela 🤍",1950123512594911387,https://x.com/norwh/status/1950123512594911387,63,33,1321,15959,4,https://pbs.twimg.com/media/GxA6_pCWMAAf40C.jpg,False,,,,,es,Top
(@@TampicoGob OR @@MonicaVTampico) min_replies:0 min_faves:0 min_retweets:0,https://x.com/search?q=(@@TampicoGob OR @@MonicaVTampico) min_replies:0 min_faves:0 min_retweets:0 until:2025-07-30 since:2025-07-29&src=typed_query,Soy Un Mono,https://x.com/SoyUnMonor,SoyUnMonor,False,2025-07-29 09:18:25+00:00,False,"Potemos, el partido que aplaude la llegada de inmigración ilegal descontrolada de países donde no se respetan los derechos de la mujer, sorprendido porque aumentan las agresiones sexuales. Por supuesto, la culpa será de la tuboderecha fach &amp; the furious.",1950123738160046456,https://x.com/SoyUnMonor/status/1950123738160046456,23,146,556,7094,12,,False,,,,,es,Top
(@@TampicoGob OR @@MonicaVTampico) min_replies:0 min_faves:0 min_retweets:0,https://x.com/search?q=(@@TampicoGob OR @@MonicaVTampico) min_replies:0 min_faves:0 min_retweets:0 until:2025-07-30 since:2025-07-29&src=typed_query,Tucusito 🌹,https://x.com/WAHM28,WAHM28,False,2025-07-29 09:37:42+00:00,False,"Que Dios te bendiga, te cuide, te ampare, te proteja y te favorezca, que no te apartes de Él. Que La Virgen te cubra con su manto, que te acompañe tu Ángel de la guarda, que te guíe el Espiritu Santo y que Dios te regale el mejor dia de tu vida. La paz sea contigo. #FelizMartes",1950128592412610693,https://x.com/WAHM28/status/1950128592412610693,78,100,552,9275,15,https://pbs.twimg.com/media/GxA_nsrXwAAEg_N.jpg,False,,,,,es,Top
(@@TampicoGob OR @@MonicaVTampico) min_replies:0 min_faves:0 min_retweets:0,https://x.com/search?q=(@@TampicoGob OR @@MonicaVTampico) min_replies:0 min_faves:0 min_retweets:0 until:2025-07-30 since:2025-07-29&src=typed_query,Yudelkis Ortiz Barceló,https://x.com/YudelkisOrtizB,YudelkisOrtizB,False,2025-07-29 11:24:15+00:00,False,"Participamos en la ceremonia de imposición de condecoraciones y entrega de reconocimientos a la Oficina de Atención a Combatientes de #ProvinciaGranma,en el Parque Museo Ñico López. Muchas felicidades a todos los condecorados,de manera especial a @YanetsyTerry",1950155405063078006,https://x.com/YudelkisOrtizB/status/1950155405063078006,5,536,357,1552,0,https://pbs.twimg.com/media/GxBXHAIWQAAP8vw.jpg;https://pbs.twimg.com/media/GxBXGzWXYAAmtpO.jpg;https://pbs.twimg.com/media/GxBXHD2XMAAL9ip.jpg;https://pbs.twimg.com/media/GxBXHAKW8AA5V83.jpg,False,,,,,es,Top
(@@TampicoGob OR @@MonicaVTampico) min_replies:0 min_faves:0 min_retweets:0,https://x.com/search?q=(@@TampicoGob OR @@MonicaVTampico) min_replies:0 min_faves:0 min_retweets:0 until:2025-07-30 since:2025-07-29&src=typed_query,MENTAL HABITO,https://x.com/MentalHabito,MentalHabito,True,2025-07-29 11:54:26+00:00,False,"Nunca seré la amiga envidiosa. Siempre seré la “si no sabes, yo te enseño” “si no tienes, yo te doy” “si puedes, pero si te cuesta mucho hazlo tranquila que yo te ayudo” y eso me define como persona.💘",1950163002574975171,https://x.com/MentalHabito/status/1950163002574975171,1,227,452,74050,33,,False,,,,,es,Top
(@@TampicoGob OR @@MonicaVTampico) min_replies:0 min_faves:0 min_retweets:0,https://x.com/search?q=(@@TampicoGob OR @@MonicaVTampico) min_replies:0 min_faves:0 min_retweets:0 until:2025-07-30 since:2025-07-29&src=typed_query,Maria Guadalupe 🇵🇷,https://x.com/mariakokamontil,mariakokamontil,False,2025-07-29 13:11:57+00:00,False,☕️☕️☕️☕️☕️☕️☕️☕️☕️📖📖📖📖📖📖📖📖📖☀️☀️☀️☀️☀️☀️☀️☀️☀️☀️☀️☀️,1950182508605174268,https://x.com/mariakokamontil/status/1950182508605174268,42,111,833,10994,5,https://pbs.twimg.com/media/GxBwqAaXwAElrBf.jpg,False,,,,,qme,Top
(@@TampicoGob OR @@MonicaVTampico) min_replies:0 min_faves:0 min_retweets:0,https://x.com/search?q=(@@TampicoGob OR @@MonicaVTampico) min_replies:0 min_faves:0 min_retweets:0 until:2025-07-30 since:2025-07-29&src=typed_query,PioPioChile 🐤,https://x.com/piopiochile,piopiochile,False,2025-07-29 14:12:56+00:00,False,Veo que Monica Perez sigue En tendencia desde el domingo. No dejemos que se pierda este meme,1950197858151354836,https://x.com/piopiochile/status/1950197858151354836,18,1626,3032,49192,26,https://pbs.twimg.com/media/GxB-ngWXsAA0ATd.jpg,False,,,,,es,Top
(@@TampicoGob OR @@MonicaVTampico) min_replies:0 min_faves:0 min_retweets:0,https://x.com/search?q=(@@TampicoGob OR @@MonicaVTampico) min_replies:0 min_faves:0 min_retweets:0 until:2025-07-30 since:2025-07-29&src=typed_query,Mandrilito,https://x.com/MandrilitoNeura,MandrilitoNeura,True,2025-07-29 14:45:33+00:00,False,"Dejando las mandrileadas de lado, debo decir que es una lástima si lo hizo por tanto prejuicio. Realmente una tipaza, y yo también la juzgué al segundo que la vi con todo lo que estaba sucediendo con Pareja y los armados de lista. Si hubiese decidido hacerse 10 tatuajes más, la re bancaba al darme cuenta de que era de las buenas.",1950206065439617532,https://x.com/MandrilitoNeura/status/1950206065439617532,13,7,270,7635,2,,True,TraductorTeAma,https://x.com/TraductorTeAma,Traductor 🥹💕💐,TraductorTeAma,es,Top
(@@TampicoGob OR @@MonicaVTampico) min_replies:0 min_faves:0 min_retweets:0,https://x.com/search?q=(@@TampicoGob OR @@MonicaVTampico) min_replies:0 min_faves:0 min_retweets:0 until:2025-07-30 since:2025-07-29&src=typed_query,Un poco de tendencias,https://x.com/unpocotendencia,unpocotendencia,True,2025-07-29 14:49:36+00:00,False,"“Tomás Yankelevich” Porque murió la nieta de 8 años de Cris Morena y Gustavo Yankelevich, hija de Tomás yankelevich en un accidente de barco en Miami.",1950207083652989109,https://x.com/unpocotendencia/status/1950207083652989109,8,65,526,221436,46,https://pbs.twimg.com/media/GxCHATvWIAAu6J5.jpg,False,,,,,es,Top
