Query_Str,Post_URL,Author_Name,Author_Web_Page_URL,Author_Handle,Verified_Status,UTC_Time,Ads,Tweet_Content,Post_ID,Tweet_URL,Reply_Count,Repost_Count,Like_Count,View_Count,Bookmark_Count,Tweet_Image_URL,Replying_to,Reply_to_Whom,Reply_to_Whom_URL,Reply_to_Whom_Username,Reply_to_Whom_Handle,Language,Type
(@@TampicoGob OR @@MonicaVTampico) min_replies:0 min_faves:0 min_retweets:0,https://x.com/search?q=(@@TampicoGob OR @@MonicaVTampico) min_replies:0 min_faves:0 min_retweets:0 until:2025-08-20 since:2025-08-19&src=typed_query,🤍 ERAS TOUR 8/24 & 8/27,https://x.com/SwiftlyDJ,SwiftlyDJ,False,2025-08-19 14:53:14+00:00,False,"@MonicaVTampico Señora ¿usted no se cansa? Pero de hacerse mensa! Igual que el inútil de su hermano, cuento los días para que se le acabe el mandato en Tampico.",1957818142152900646,https://x.com/SwiftlyDJ/status/1957818142152900646,0,0,0,49,0,,True,MonicaVTampico,https://x.com/MonicaVTampico,Mónica Villarreal Anaya,MonicaVTampico,es,Top
(@@TampicoGob OR @@MonicaVTampico) min_replies:0 min_faves:0 min_retweets:0,https://x.com/search?q=(@@TampicoGob OR @@MonicaVTampico) min_replies:0 min_faves:0 min_retweets:0 until:2025-08-20 since:2025-08-19&src=typed_query,Des,https://x.com/DesGon,DesGon,False,2025-08-19 18:47:50+00:00,False,%!(EXTRA string=Elefante Blanco MX) https://vt.tiktok.com/ZSAFuoJr5/ Insisto @Dr_AVillarreal que está pasando con @Comapa_Sur @MonicaVTampico @erasmoglz pésimo servicio y caro con qué finalidad el #aumentodelagua #Tampico #Madero,1957877180408500394,https://x.com/DesGon/status/1957877180408500394,0,0,0,56,0,,False,,,,,es,Top
(@@TampicoGob OR @@MonicaVTampico) min_replies:0 min_faves:0 min_retweets:0,https://x.com/search?q=(@@TampicoGob OR @@MonicaVTampico) min_replies:0 min_faves:0 min_retweets:0 until:2025-08-20 since:2025-08-19&src=typed_query,Tampicosos 🌶️🔥,https://x.com/TampicososTV,TampicososTV,False,2025-08-19 22:05:48+00:00,False,"Continúa la fiesta dentro del @TampicoGob de @MonicaVTampico, nueva baja dentro del ayuntamiento de Morena. Apenas 9 meses de gobierno y ya hubo más bajas que en cualquier mercado de transferencias del fútbol.",1957927002175950900,https://x.com/TampicososTV/status/1957927002175950900,0,0,0,234,0,https://pbs.twimg.com/media/Gyv0OwJXAAA5RFO.jpg,False,,,,,es,Top
(@@TampicoGob OR @@MonicaVTampico) min_replies:0 min_faves:0 min_retweets:0,https://x.com/search?q=(@@TampicoGob OR @@MonicaVTampico) min_replies:0 min_faves:0 min_retweets:0 until:2025-08-21 since:2025-08-20&src=typed_query,Lía Limón,https://x.com/lialimon,lialimon,True,2025-08-20 18:55:08+00:00,False,"#MéxicoMágico aquí en #Tamaulipas, con los gobiernos de @PartidoMorenaMx lo que fluye es el huachicol, porque los drenajes no, esos están colapsados. A pesar del aumento en las tarifas de agua y servicios de drenaje, estos cada vez están peor y la alcaldesa @MonicaVTampico, hermana del gobernador, brilla por su ausencia.",1958241407702819095,https://x.com/lialimon/status/1958241407702819095,3,20,51,1322,0,https://pbs.twimg.com/amplify_video_thumb/1958240408384737280/img/S85wtGDAqsc68LE2.jpg,False,,,,,es,Top
(@@TampicoGob OR @@MonicaVTampico) min_replies:0 min_faves:0 min_retweets:0,https://x.com/search?q=(@@TampicoGob OR @@MonicaVTampico) min_replies:0 min_faves:0 min_retweets:0 until:2025-08-21 since:2025-08-20&src=typed_query,Tampicosos 🌶️🔥,https://x.com/TampicososTV,TampicososTV,False,2025-08-20 21:58:04+00:00,False,Ciudad Deportiva de #Tampico del @TampicoGob de @MonicaVTampico tiene arrinconada la copa del Campeón de Campeones 1958-59 del Club Deportivo Tampico. Esperamos la directiva de la @JaibaBrava_TM lo pueda rescatar para sus vitrinas como atractivo para la foto en la Jaiba Tienda 🦀,1958287445335912526,https://x.com/TampicososTV/status/1958287445335912526,5,8,32,2475,1,https://pbs.twimg.com/media/Gy08DSmbsAAGcJ2.jpg;https://pbs.twimg.com/media/Gy08DSRboAAAXtJ.jpg;https://pbs.twimg.com/media/Gy08DSXaYAEUIOA.jpg,False,,,,,es,Top
(@@TampicoGob OR @@MonicaVTampico) min_replies:0 min_faves:0 min_retweets:0,https://x.com/search?q=(@@TampicoGob OR @@MonicaVTampico) min_replies:0 min_faves:0 min_retweets:0 until:2025-08-21 since:2025-08-20&src=typed_query,Guillermo Gonzalez,https://x.com/Guillermogoto,Guillermogoto,False,2025-08-20 22:13:32+00:00,False,"@TampicososTV @TampicoGob @MonicaVTampico @JaibaBrava_TM A esa señora @MonicaVTampico no le interesa lo más mínimo sobre Tampico , ni si quiera nació aquí",1958291335078674589,https://x.com/Guillermogoto/status/1958291335078674589,0,0,3,143,0,,True,TampicososTV,https://x.com/TampicososTV,Tampicosos 🌶️🔥,TampicososTV,es,Top
(@@TampicoGob OR @@MonicaVTampico) min_replies:0 min_faves:0 min_retweets:0,https://x.com/search?q=(@@TampicoGob OR @@MonicaVTampico) min_replies:0 min_faves:0 min_retweets:0 until:2025-08-22 since:2025-08-21&src=typed_query,Luis,https://x.com/luis_corriendo,luis_corriendo,False,2025-08-21 01:46:14+00:00,False,Que lo done al Museo de la Ciudad. ES PATRIMONIO DE LOS JAIBOS @MonicaVTampico,1958344863730065482,https://x.com/luis_corriendo/status/1958344863730065482,0,1,5,350,0,,False,,,,,es,Top
(@@TampicoGob OR @@MonicaVTampico) min_replies:0 min_faves:0 min_retweets:0,https://x.com/search?q=(@@TampicoGob OR @@MonicaVTampico) min_replies:0 min_faves:0 min_retweets:0 until:2025-08-22 since:2025-08-21&src=typed_query,Jerry,https://x.com/cpgerardo_rmz,cpgerardo_rmz,False,2025-08-21 02:10:44+00:00,False,@TampicososTV @TampicoGob @MonicaVTampico @JaibaBrava_TM Porque esa no esta en el.museo de la ciudad? El municipio tenia la de campeón de copa y esta en el museo de la ciudad,1958351031059775924,https://x.com/cpgerardo_rmz/status/1958351031059775924,0,0,0,78,0,,True,TampicososTV,https://x.com/TampicososTV,Tampicosos 🌶️🔥,TampicososTV,es,Top
(@@TampicoGob OR @@MonicaVTampico) min_replies:0 min_faves:0 min_retweets:0,https://x.com/search?q=(@@TampicoGob OR @@MonicaVTampico) min_replies:0 min_faves:0 min_retweets:0 until:2025-08-22 since:2025-08-21&src=typed_query,JT,https://x.com/javiktmo,javiktmo,False,2025-08-21 02:50:49+00:00,False,"@TampicososTV @TampicoGob @MonicaVTampico @JaibaBrava_TM Tendría que estar en el museo de la ciudad de Tampico 🥹 aquí quedaría excelente, no que está ahí arrumbado 🥲",1958361117362970845,https://x.com/javiktmo/status/1958361117362970845,1,1,5,511,0,https://pbs.twimg.com/media/Gy1_DbiX0AAtnxp.jpg,True,TampicososTV,https://x.com/TampicososTV,Tampicosos 🌶️🔥,TampicososTV,es,Top
(@@TampicoGob OR @@MonicaVTampico) min_replies:0 min_faves:0 min_retweets:0,https://x.com/search?q=(@@TampicoGob OR @@MonicaVTampico) min_replies:0 min_faves:0 min_retweets:0 until:2025-08-22 since:2025-08-21&src=typed_query,Liverpool fc Reynosa,https://x.com/mcroca182,mcroca182,False,2025-08-21 04:34:23+00:00,False,@javiktmo @TampicososTV @TampicoGob @MonicaVTampico @JaibaBrava_TM Ubicación del museo porfa,1958387179337466317,https://x.com/mcroca182/status/1958387179337466317,1,0,0,63,0,,True,javiktmo,https://x.com/javiktmo,JT,javiktmo,es,Top
