comment_text,published_at,query
Me dio mucho miedito 👉🏻👈🏻,2025-08-19T06:23:00Z,presidenta municipal de Tampico
Me dio mucho miedito 👉🏻👈🏻,2025-08-19T06:23:00Z,Presidenta municipal de Tampico
"Apoco habian cocodrilos?<br><br><br>Yo ni en cuenta, y eso que se inundo casi la mitad de mi poblado",2025-08-19T06:24:41Z,Gobierno de Tampico
Gracias por ayudarlo,2025-08-19T06:31:53Z,Gobierno de Tampico
Ya tiene OF???,2025-08-19T06:33:17Z,Gobierno de Tampico
Ya sabemos!!!,2025-08-19T06:40:55Z,presidenta municipal de Tampico
Ya sabemos!!!,2025-08-19T06:40:55Z,Presidenta municipal de Tampico
Como ?ya estan en satelite Directo!!😮,2025-08-19T06:42:15Z,presidenta municipal de Tampico
Como ?ya estan en satelite Directo!!😮,2025-08-19T06:42:15Z,Presidenta municipal de Tampico
CARLOS Manzo🎉habla Bien!,2025-08-19T06:43:14Z,presidenta municipal de Tampico
CARLOS Manzo🎉habla Bien!,2025-08-19T06:43:14Z,Presidenta municipal de Tampico
Oremos❤A Dios de Abraham,2025-08-19T06:44:48Z,presidenta municipal de Tampico
Oremos❤A Dios de Abraham,2025-08-19T06:44:48Z,Presidenta municipal de Tampico
Jajajaja saldra adelante? Solo invadiendo otras casa,2025-08-19T07:31:21Z,Gobierno de Tampico
"Qur ferga paso, si te la liberaron sin marchar????",2025-08-19T07:36:49Z,presidenta municipal de Tampico
"Qur ferga paso, si te la liberaron sin marchar????",2025-08-19T07:36:49Z,Presidenta municipal de Tampico
"En ese Colegio Rafael Tejeda curse mi primaria desde 1966 hasta 1972 el director era el profesor Serafín Luna y sus hijas eran maestras ahí la construcción a mano derecha fue hecha mucho después ahí era el patio y a la izquierda con portales eran las aulas de dos pisos, era primaria y tres salones de arriba comercio, ahí cursaron grandes generaciones de niños y jóvenes que fueron y son grandes profesionistas, ese colegio figuró mucho en deportes en las rondas infantiles, eventos artísticos a nivel estado siempre obteniendo primeros  lugares, una pena que la hayan cerrado unos años después de que falleció el director Luna pues sus hijas no pudieron sostener ese gran colegio ubicado en calle Obregón entre Isauro Alfaro y Aquiles Serdán enfrente de el colegio pasaba el tranvía en esos años yo todos los días me iba en el a clases, gratos recuerdos de esos años una construcción bien funcional, limpia con buenos salones, su gran patio muy limpio todo ojalá algunos comenten aquí anécdotas de ese colegio, saludos buen video.",2025-08-19T08:09:57Z,Gobierno de Tampico
"En ese Colegio Rafael Tejeda curse mi primaria desde 1966 hasta 1972 el director era el profesor Serafín Luna y sus hijas eran maestras ahí la construcción a mano derecha fue hecha mucho después ahí era el patio y a la izquierda con portales eran las aulas de dos pisos, era primaria y tres salones de arriba comercio, ahí cursaron grandes generaciones de niños y jóvenes que fueron y son grandes profesionistas, ese colegio figuró mucho en deportes en las rondas infantiles, eventos artísticos a nivel estado siempre obteniendo primeros  lugares, una pena que la hayan cerrado unos años después de que falleció el director Luna pues sus hijas no pudieron sostener ese gran colegio ubicado en calle Obregón entre Isauro Alfaro y Aquiles Serdán enfrente de el colegio pasaba el tranvía en esos años yo todos los días me iba en el a clases, gratos recuerdos de esos años una construcción bien funcional, limpia con buenos salones, su gran patio muy limpio todo ojalá algunos comenten aquí anécdotas de ese colegio, saludos buen video.",2025-08-19T08:09:57Z,gobierno de Tampico
Tengo mi  credencial del INAPAN  tiene algúnos añitos. Sigue funcionando. ?,2025-08-19T08:15:39Z,Gobierno de Tampico
"Lo de la historia de que fallecieron unos niños y de una monja se me hace muy fantástica, pues nunca hubo monjas en el colegio puras maestras y muy buenas tal vez eso sucedió después de nuestra generación o alguien inventó eso pues en los años que estuve ahí nunca sucedió ningún hecho sangriento lástima de lugar buena ubicación salones espaciosos es para que hubiera continuado funcionando y fuera todavía el famoso Colegio Rafael Tejeda",2025-08-19T08:24:06Z,Gobierno de Tampico
"Lo de la historia de que fallecieron unos niños y de una monja se me hace muy fantástica, pues nunca hubo monjas en el colegio puras maestras y muy buenas tal vez eso sucedió después de nuestra generación o alguien inventó eso pues en los años que estuve ahí nunca sucedió ningún hecho sangriento lástima de lugar buena ubicación salones espaciosos es para que hubiera continuado funcionando y fuera todavía el famoso Colegio Rafael Tejeda",2025-08-19T08:24:06Z,gobierno de Tampico
Mira que fregona!! Ponte a trabajar tu y tu mamá  huevona! Que bueno que te dieron tu jalon de greñas!,2025-08-19T09:09:41Z,Gobierno de Tampico
Ya está lo suficientemente grandecita para ponerse a trabajar y ganar dinero y pagar su renta! Que se deje de dramas! Todo se paga en la vida!,2025-08-19T09:13:50Z,Gobierno de Tampico
"Che rolon ya tenia rato guardado la primera vez que la escuché fue ahí en el barrio antes q saliera de pura suerte caimos ese día, pura crema con el drxxgga🙌🏻😎",2025-08-19T09:51:12Z,Gobierno de Tampico
"Che rolon ya tenia rato guardado la primera vez que la escuché fue ahí en el barrio antes q saliera de pura suerte caimos ese día, pura crema con el drxxgga🙌🏻😎",2025-08-19T09:51:12Z,gobierno de Tampico
"Che rolon ya tenia rato guardado la primera vez que la escuché fue ahí en el barrio antes q saliera de pura suerte caimos ese día, pura crema con el drxxgga🙌🏻😎",2025-08-19T09:51:12Z,Gobierno de Tampico
"Che rolon ya tenia rato guardado la primera vez que la escuché fue ahí en el barrio antes q saliera de pura suerte caimos ese día, pura crema con el drxxgga🙌🏻😎",2025-08-19T09:51:12Z,gobierno de Tampico
Muy bien aganlo más ceguido,2025-08-19T12:56:53Z,presidenta municipal de Tampico
Muy bien aganlo más ceguido,2025-08-19T12:56:53Z,Presidenta municipal de Tampico
Ya Dejen de estar publicando tonterias porq El gobierno de Mexico se esta dejando humillar ah Todo mexico q hipocritas por ESO estamos como estamos,2025-08-19T13:05:28Z,presidenta municipal de Tampico
Ya Dejen de estar publicando tonterias porq El gobierno de Mexico se esta dejando humillar ah Todo mexico q hipocritas por ESO estamos como estamos,2025-08-19T13:05:28Z,Presidenta municipal de Tampico
"EEUU UBICA, MEXICO ARRESTA.",2025-08-19T14:08:21Z,presidenta municipal de Tampico
"EEUU UBICA, MEXICO ARRESTA.",2025-08-19T14:08:21Z,Presidenta municipal de Tampico
"Esto no debe pasar la justicia por propia mano es muy peligroso , pero hay veces que algunas excepciones no caen mal y estos cabrones le van a pensar 2 veces volver a hacerlo chi.... a mi mad.... si no lo piensan , que bueno por cabulas 🤭🤭🤭🤭🤭",2025-08-19T14:28:47Z,presidenta municipal de Tampico
"Esto no debe pasar la justicia por propia mano es muy peligroso , pero hay veces que algunas excepciones no caen mal y estos cabrones le van a pensar 2 veces volver a hacerlo chi.... a mi mad.... si no lo piensan , que bueno por cabulas 🤭🤭🤭🤭🤭",2025-08-19T14:28:47Z,Presidenta municipal de Tampico
Es lo que se buscan y es lo que origuinan por sus corruciones,2025-08-19T15:12:45Z,presidenta municipal de Tampico
Es lo que se buscan y es lo que origuinan por sus corruciones,2025-08-19T15:12:45Z,Presidenta municipal de Tampico
Entro al país sabiendo que si hay acuerdos con los EEUU pero se lavan los manos donde diciendo no saber y se dejan sorprender los políticos y al pueblo <br><br>No nieguen esos convenios,2025-08-19T16:30:23Z,presidenta municipal de Tampico
Entro al país sabiendo que si hay acuerdos con los EEUU pero se lavan los manos donde diciendo no saber y se dejan sorprender los políticos y al pueblo <br><br>No nieguen esos convenios,2025-08-19T16:30:23Z,Presidenta municipal de Tampico
Buen día saludos a todos desde SPl México,2025-08-19T16:44:25Z,presidenta municipal de Tampico
Buen día saludos a todos desde SPl México,2025-08-19T16:44:25Z,Presidenta municipal de Tampico
"Esa mujer tiene un chingo de conocimiento, esta enterada de todo.",2025-08-19T17:40:50Z,gobierno de Tampico
"Sigue lo mismo en todo México y la presidenta con A no hizo la diferencia aún y con todo el poder en sus manos, ha preferido dedicarse a dar discursos feministas y a promover leyes de ideologías de género.. pero parece nadie estarse dando cuenta..!!",2025-08-19T17:47:48Z,presidenta municipal de Tampico
"Sigue lo mismo en todo México y la presidenta con A no hizo la diferencia aún y con todo el poder en sus manos, ha preferido dedicarse a dar discursos feministas y a promover leyes de ideologías de género.. pero parece nadie estarse dando cuenta..!!",2025-08-19T17:47:48Z,Presidenta municipal de Tampico
"Qué buen jalón de pelos, lo aplaudo",2025-08-19T19:04:49Z,Gobierno de Tampico
"Pobrecita!!!  Ahora se victimizan!, pero seguramente cuando les pidieron desocupar la propiedad en buen plan  o pagar su renta con todo el cinismo habran dicho, pues ni le pago, ni me salgo y hagale como quiera.... un tiempo hacerlo por necesidad y hablar con los dueños prometer pagarles renta se vale y como humanos esta bien apoyarnos, pero 10 añis viviendo del cinismo y la conchudez son mamadas. Antes les fue bien y no estan en el tambo por daño moral, invasion ilegal de propiedad privada, seguro buscaran otra casa abandonada para seguir viviendo como sanguijuelas.",2025-08-19T19:08:20Z,Gobierno de Tampico
excelente,2025-08-19T19:21:00Z,Gobierno de Tampico
excelente,2025-08-19T19:21:00Z,gobierno de Tampico
Eso no es raro los mugrosos gabachos nos  bijilan desde 1980,2025-08-19T19:30:44Z,presidenta municipal de Tampico
Eso no es raro los mugrosos gabachos nos  bijilan desde 1980,2025-08-19T19:30:44Z,Presidenta municipal de Tampico
"Este dron lo puso President Trump entrando el. Yo soy X-Navy Americano I tiene mucho rato ya volando. nadamas agarrando info de todo tipo. E.U. ya save a que horas se duermen,cenan,se levatan prendes el carro 😂.pero absolutely todo eso es la intelligensia de la militar Americana.",2025-08-19T19:43:32Z,presidenta municipal de Tampico
"Este dron lo puso President Trump entrando el. Yo soy X-Navy Americano I tiene mucho rato ya volando. nadamas agarrando info de todo tipo. E.U. ya save a que horas se duermen,cenan,se levatan prendes el carro 😂.pero absolutely todo eso es la intelligensia de la militar Americana.",2025-08-19T19:43:32Z,Presidenta municipal de Tampico
El ejercito de México dan risa no sirven🤣👎,2025-08-19T20:12:13Z,presidenta municipal de Tampico
El ejercito de México dan risa no sirven🤣👎,2025-08-19T20:12:13Z,Presidenta municipal de Tampico
Abrazos no madrazos jajajajaja,2025-08-19T20:22:41Z,presidenta municipal de Tampico
Abrazos no madrazos jajajajaja,2025-08-19T20:22:41Z,Presidenta municipal de Tampico
"Que ricos en todo nuestro Mexico tenemos una variedad enorme de distintos tacos, enchiladas, algunos rellenos de frijol, queso, carne, pollo,pescado o de verduras  cada estado es distinto nunca saben igual, es tan maravilloso mi Mexico lindo y querido❤❤❤❤ pais de manos trabajadoras",2025-08-19T20:32:05Z,presidenta municipal de Tampico
"Que ricos en todo nuestro Mexico tenemos una variedad enorme de distintos tacos, enchiladas, algunos rellenos de frijol, queso, carne, pollo,pescado o de verduras  cada estado es distinto nunca saben igual, es tan maravilloso mi Mexico lindo y querido❤❤❤❤ pais de manos trabajadoras",2025-08-19T20:32:05Z,Presidenta municipal de Tampico
"pues si, ni modo que nos pongan un gasoducto desde rusia a méxico .",2025-08-19T20:47:44Z,gobierno de Tampico
Viva Tampico hermoso,2025-08-19T21:49:26Z,Gobierno de Tampico
ese we empezó siendo ridículo y cada vez más y más ridículo,2025-08-19T21:54:24Z,Gobierno de Tampico
Para descuento del autobús en la central solo hacen el descuento hasta k halla una corrida k tenga esos beneficios no es en todas las corridas ni en el horario que se requiera solo en los que la linea tenga,2025-08-19T22:07:10Z,Gobierno de Tampico
El sen̈or se ha de haver caido por que contodo y zapatos,2025-08-19T22:40:04Z,Gobierno de Tampico
Por gandallas,2025-08-19T23:08:26Z,Gobierno de Tampico
"Saco algún permiso para volar el dron,o no hay problema si lo vuela ahi?",2025-08-19T23:56:21Z,Gobierno de Tampico
"Saco algún permiso para volar el dron,o no hay problema si lo vuela ahi?",2025-08-19T23:56:21Z,gobierno de Tampico
