Query_Str,Post_URL,Author_Name,Author_Web_Page_URL,Author_Handle,Verified_Status,UTC_Time,Ads,Tweet_Content,Post_ID,Tweet_URL,Reply_Count,Repost_Count,Like_Count,View_Count,Bookmark_Count,Tweet_Image_URL,Replying_to,Reply_to_Whom,Reply_to_Whom_URL,Reply_to_Whom_Username,Reply_to_Whom_Handle,Language,Type
(@@TampicoGob OR @@MonicaVTampico) min_replies:0 min_faves:0 min_retweets:0,https://x.com/search?q=(@@TampicoGob OR @@MonicaVTampico) min_replies:0 min_faves:0 min_retweets:0 until:2025-09-03 since:2025-09-02&src=typed_query,Tania Larios,https://x.com/TaniaLariosMX,TaniaLariosMX,True,2025-09-02 06:16:44+00:00,False,@lopezdoriga Es como Claudia en la campaña diciendo que siga la corrupción!,1962761593218875794,https://x.com/TaniaLariosMX/status/1962761593218875794,5,4,282,2239,0,,True,lopezdoriga,https://x.com/lopezdoriga,Joaquín López-Dóriga,lopezdoriga,es,Top
(@@TampicoGob OR @@MonicaVTampico) min_replies:0 min_faves:0 min_retweets:0,https://x.com/search?q=(@@TampicoGob OR @@MonicaVTampico) min_replies:0 min_faves:0 min_retweets:0 until:2025-09-03 since:2025-09-02&src=typed_query,lady march,https://x.com/ladycmarc,ladycmarc,False,2025-09-02 08:27:08+00:00,False,"Así te conocimos. En Vitoria. Temblando como nadie. Maica. De Cartagena, Murcia. Visitadora médico y modelo. 25 años. Así empezó el viaje. Aquí zarpó el barco. #Maiquistas2S @Maiibenedicto",1962794406647345405,https://x.com/ladycmarc/status/1962794406647345405,12,64,230,44077,43,https://pbs.twimg.com/amplify_video_thumb/1962794298572763137/img/0M3Tc_HIz1drBFbx.jpg,False,,,,,es,Top
(@@TampicoGob OR @@MonicaVTampico) min_replies:0 min_faves:0 min_retweets:0,https://x.com/search?q=(@@TampicoGob OR @@MonicaVTampico) min_replies:0 min_faves:0 min_retweets:0 until:2025-09-03 since:2025-09-02&src=typed_query,Tucusito 🌹,https://x.com/WAHM28,WAHM28,False,2025-09-02 09:02:57+00:00,False,"Que Dios te bendiga, te cuide, te ampare, te proteja y te favorezca, que no te apartes de Él. Que La Virgen te cubra con su manto, que te acompañe tu Ángel de la guarda, que te guíe el Espiritu Santo y que Dios te regale el mejor dia de tu vida. La paz contigo. #FelizMartes",1962803423364988936,https://x.com/WAHM28/status/1962803423364988936,49,60,309,5729,3,https://pbs.twimg.com/media/Gz1HT9ZW8AAtkjs.jpg,False,,,,,es,Top
(@@TampicoGob OR @@MonicaVTampico) min_replies:0 min_faves:0 min_retweets:0,https://x.com/search?q=(@@TampicoGob OR @@MonicaVTampico) min_replies:0 min_faves:0 min_retweets:0 until:2025-09-03 since:2025-09-02&src=typed_query,David Insua,https://x.com/SoyDavidInsua,SoyDavidInsua,False,2025-09-02 09:04:19+00:00,False,Ver a María Pombo hacer de nuevo apología del analfabetismo es especialmente doloroso si uno recuerda que es tataranieta de Concha Espina. ¿Qué pensaría su tatarabuela (a la que dice admirar) al verla decir que leer no hace mejor a nadie y que no pasa nada por no tocar un libro?,1962803767113302277,https://x.com/SoyDavidInsua/status/1962803767113302277,64,492,3978,300515,145,,False,,,,,es,Top
(@@TampicoGob OR @@MonicaVTampico) min_replies:0 min_faves:0 min_retweets:0,https://x.com/search?q=(@@TampicoGob OR @@MonicaVTampico) min_replies:0 min_faves:0 min_retweets:0 until:2025-09-03 since:2025-09-02&src=typed_query,Española @Unha327,https://x.com/Monika41463408,Monika41463408,False,2025-09-02 09:46:23+00:00,False,"Pues acabo de preparar el aperitivo (txipirones encebollados) para mi madre, tiene alzheimer y no sabe quién soy, pero yo sí sé que ella es mi mamá. TKM ❤️❤️",1962814351183696092,https://x.com/Monika41463408/status/1962814351183696092,74,55,547,10490,2,https://pbs.twimg.com/media/Gz1RP7WWIAEfZ5l.jpg,False,,,,,es,Top
(@@TampicoGob OR @@MonicaVTampico) min_replies:0 min_faves:0 min_retweets:0,https://x.com/search?q=(@@TampicoGob OR @@MonicaVTampico) min_replies:0 min_faves:0 min_retweets:0 until:2025-09-03 since:2025-09-02&src=typed_query,Mona 🍫🧁♥️,https://x.com/Monasterlino,Monasterlino,False,2025-09-02 09:52:07+00:00,False,"Qué foto maravillosa🥹❤️ #mafin son PERFECTAS🫶🏻 Siendo heterosexual nunca pensé que me enamoraría de esta pareja perfecta.Cómo no iba a ser así?Después de todo, siempre he estado ENAMORADA DEL AMOR ( El amor es amor) Estas dos mujeres me dejaron sin aliento🥹 Fina vuelta PRONTO🫶🏻",1962815792954704098,https://x.com/Monasterlino/status/1962815792954704098,20,25,497,15070,78,https://pbs.twimg.com/media/Gz1SjXbXsAA8xCs.jpg,False,,,,,es,Top
(@@TampicoGob OR @@MonicaVTampico) min_replies:0 min_faves:0 min_retweets:0,https://x.com/search?q=(@@TampicoGob OR @@MonicaVTampico) min_replies:0 min_faves:0 min_retweets:0 until:2025-09-03 since:2025-09-02&src=typed_query,BINI MIKHA FAN SUPPORT,https://x.com/mikhalitesfs,mikhalitesfs,True,2025-09-02 10:48:04+00:00,False,"[MikhFS Thanksgiving Dinner - Moxy's Trivia Night] Special thanks to @bini_mikha 's good friends, @rajoserrano and @juanpatricho, for gracing the event and interacting with our Mikhalite and Bloom attendees. We are honored to have you on our event. ❤️ Hope you liked our little Moxy plushie gift 😊 #BINIMikha #BINI #MikhFS_Exclusive #MikhFS_Moxy",1962829873560592864,https://x.com/mikhalitesfs/status/1962829873560592864,0,93,366,21027,4,https://pbs.twimg.com/media/Gz1fXPOaoAIyVVU.jpg;https://pbs.twimg.com/media/Gz1fXdNaoAAF_d0.jpg;https://pbs.twimg.com/media/Gz1fXcNbkAAS_S3.jpg;https://pbs.twimg.com/media/Gz1fXetaoAQhE8A.jpg,False,,,,,en,Top
(@@TampicoGob OR @@MonicaVTampico) min_replies:0 min_faves:0 min_retweets:0,https://x.com/search?q=(@@TampicoGob OR @@MonicaVTampico) min_replies:0 min_faves:0 min_retweets:0 until:2025-09-03 since:2025-09-02&src=typed_query,César Astudillo Salcedo,https://x.com/ComandoChavin,ComandoChavin,True,2025-09-02 11:19:31+00:00,False,"NUNCA OLVIDAR A SENDERO LUMINOSO 30 de agosto de 1991, criminales comunistas de Sendero luminoso asesinaron a Juana López León, lideresa vecinal del asentamiento humano Juan Pablo II (Callao)y coordinadora del programa Vaso de Leche. Fue acribillada en tórax y cabeza , luego su cuerpo fue dinamitado, dejando un perverso mensaje de terror a la población, ya que Juana López se había resistido a los senderistas de su zona. hoy - en su nueva narrativa- quieren llamar conflicto armado interno, al genocidio y crimen impune. Por Juana López nadie se indigna. Nadie protesta, nadie levanta el puñito.",1962837788971114967,https://x.com/ComandoChavin/status/1962837788971114967,0,236,338,4116,5,https://pbs.twimg.com/media/Gz1mkGSXAAA7L2Q.jpg,False,,,,,es,Top
(@@TampicoGob OR @@MonicaVTampico) min_replies:0 min_faves:0 min_retweets:0,https://x.com/search?q=(@@TampicoGob OR @@MonicaVTampico) min_replies:0 min_faves:0 min_retweets:0 until:2025-09-03 since:2025-09-02&src=typed_query,Mónica Saade,https://x.com/MonicaSaadeX,MonicaSaadeX,True,2025-09-02 13:19:50+00:00,False,😏Salió generala la muchachita Otra perla de Juliana Guerrero 👇,1962868068196962436,https://x.com/MonicaSaadeX/status/1962868068196962436,39,333,358,6485,2,https://pbs.twimg.com/media/Gz2CGa3XoAAQsFJ.jpg,False,,,,,es,Top
(@@TampicoGob OR @@MonicaVTampico) min_replies:0 min_faves:0 min_retweets:0,https://x.com/search?q=(@@TampicoGob OR @@MonicaVTampico) min_replies:0 min_faves:0 min_retweets:0 until:2025-09-03 since:2025-09-02&src=typed_query,Liberando a VNZLA🇺🇸🇮🇱🇻🇪,https://x.com/Tuntundaddy,Tuntundaddy,False,2025-09-02 13:38:25+00:00,False,La CIA está protegiendo a María Corina Machado.,1962872744179011727,https://x.com/Tuntundaddy/status/1962872744179011727,11,112,1251,18466,14,,False,,,,,es,Top
