comment_text,published_at,query
Adolfo Cerqueda <br>No ha hecho nada por el municipio de Nezahualcóyotl,2025-09-30T06:11:16Z,presidenta municipal de Tampico
Adolfo Cerqueda <br>No ha hecho nada por el municipio de Nezahualcóyotl,2025-09-30T06:11:16Z,Presidenta municipal de Tampico
"Disfruten lo votado, merecido se lo tienen...😂😂😂😂",2025-09-30T06:11:44Z,presidenta municipal de Tampico
"Disfruten lo votado, merecido se lo tienen...😂😂😂😂",2025-09-30T06:11:44Z,Presidenta municipal de Tampico
"Que digno y gratificante es ver su trabajo, que orgullo demostrar al mundo esa prueba gastronómica, tal vez no es alta cocina, tal vez no se compare con la cocina Gourmet, pero eso señores es amor, la dedicación y cultura, no me importa que sea comida de la calle, es comida que enamora los sentidos, es identidad y orgullo, sol los colores y sabores de México 🇲🇽 ❤",2025-09-30T06:49:26Z,presidenta municipal de Tampico
"Que digno y gratificante es ver su trabajo, que orgullo demostrar al mundo esa prueba gastronómica, tal vez no es alta cocina, tal vez no se compare con la cocina Gourmet, pero eso señores es amor, la dedicación y cultura, no me importa que sea comida de la calle, es comida que enamora los sentidos, es identidad y orgullo, sol los colores y sabores de México 🇲🇽 ❤",2025-09-30T06:49:26Z,Presidenta municipal de Tampico
Que colonias son de Nezahualcóyotl,2025-09-30T07:13:06Z,presidenta municipal de Tampico
Que colonias son de Nezahualcóyotl,2025-09-30T07:13:06Z,Presidenta municipal de Tampico
"Este wey ni argumentos tiene para afirmar todas sus estupideses ,",2025-09-30T07:49:40Z,Gobierno de Tampico
"Este wey ni argumentos tiene para afirmar todas sus estupideses ,",2025-09-30T07:49:40Z,gobierno de Tampico
excelente👽🛸,2025-09-30T11:38:32Z,Gobierno de Tampico
Perro cara de pitbull con lentes,2025-09-30T12:05:38Z,Gobierno de Tampico
Perro cara de pitbull con lentes,2025-09-30T12:05:38Z,gobierno de Tampico
la naturaleza recupero lo k pertenecer ahora tiene k hacer un estudio para reparar el daño y no vuelva a repetir,2025-09-30T13:03:22Z,presidenta municipal de Tampico
la naturaleza recupero lo k pertenecer ahora tiene k hacer un estudio para reparar el daño y no vuelva a repetir,2025-09-30T13:03:22Z,Presidenta municipal de Tampico
"El dinero para desasolve y mantenimiento está en sus pensiones del bienestar, usenlas para reparar sus casas y comprar muebles nuevos 😂😂😂😂 PD disfruten lo votado",2025-09-30T13:38:38Z,presidenta municipal de Tampico
"El dinero para desasolve y mantenimiento está en sus pensiones del bienestar, usenlas para reparar sus casas y comprar muebles nuevos 😂😂😂😂 PD disfruten lo votado",2025-09-30T13:38:38Z,Presidenta municipal de Tampico
POR. MAS. QUE. LOS. CHAYOTEROS. QUIEREN. QUE. LA. GENTE. SE. ENOJE. NO. LES  FUNSIONA  😂😂😂😂,2025-09-30T14:03:45Z,presidenta municipal de Tampico
POR. MAS. QUE. LOS. CHAYOTEROS. QUIEREN. QUE. LA. GENTE. SE. ENOJE. NO. LES  FUNSIONA  😂😂😂😂,2025-09-30T14:03:45Z,Presidenta municipal de Tampico
"Los ovnis existen, van a venir en masa todos en algún momento a la tierra. Existen los marcianos, están más avanzados tecnológicamente más que nosotros! 🛸🛸🛸",2025-09-30T14:07:37Z,Gobierno de Tampico
"MUCHOS ESTUDIANTES D BACHILLERATO EN EL PUERTO D VERACRUZ SE QUEDAN SIN ESTUDIOS YA Q SOLO HAY 2 UNIVERSIDADES D GOBIERNO, PRESIDENTA SOLICITAMOS MAS UNIVERSIDAD D GOBIERNO EN EL PUERTO D VERACRUZ.  por favor",2025-09-30T14:38:09Z,presidenta municipal de Tampico
"MUCHOS ESTUDIANTES D BACHILLERATO EN EL PUERTO D VERACRUZ SE QUEDAN SIN ESTUDIOS YA Q SOLO HAY 2 UNIVERSIDADES D GOBIERNO, PRESIDENTA SOLICITAMOS MAS UNIVERSIDAD D GOBIERNO EN EL PUERTO D VERACRUZ.  por favor",2025-09-30T14:38:09Z,Presidenta municipal de Tampico
Ya no tiren basura 🗑️,2025-09-30T15:09:07Z,presidenta municipal de Tampico
Ya no tiren basura 🗑️,2025-09-30T15:09:07Z,Presidenta municipal de Tampico
💚💚💚💚💚💚💚💚💚💚💚💚💚💚💚💚💚💚💚💚💚💚💚💚💚💚💚💚💚💚💚💚💚💚💚💚💚💚💚💚💚💚💚💚💚💚💚💚💚💚💚💚💚💚💚💚💚💚💚💚💚💚💚💚💚💚💚💚💚💚💚💚💚💚💚💚💚💚💚💚💚💚💚💚💚💚💚💚💚💚💚💚💚💚💚💚💚💚💚💚💚💚💚💚💚💚💚💚💚💚💚💚💚💚💚💚💚💚💚💚💚💚💚💚💚💚💚💚💚💚💚💚💚💚💚💚💚💚💚💚💚💚💚💚💚💚💚💚💚💚💚💚💚💚💚💚💚💚💚💚💚💚💚💚💚💚💚💚💚💚💚💚💚💚💚💚💚💚💚💚💚💚💚💚💚💚💚💚💚💚💚💚💚💚💚,2025-09-30T15:18:30Z,presidenta municipal de Tampico
💚💚💚💚💚💚💚💚💚💚💚💚💚💚💚💚💚💚💚💚💚💚💚💚💚💚💚💚💚💚💚💚💚💚💚💚💚💚💚💚💚💚💚💚💚💚💚💚💚💚💚💚💚💚💚💚💚💚💚💚💚💚💚💚💚💚💚💚💚💚💚💚💚💚💚💚💚💚💚💚💚💚💚💚💚💚💚💚💚💚💚💚💚💚💚💚💚💚💚💚💚💚💚💚💚💚💚💚💚💚💚💚💚💚💚💚💚💚💚💚💚💚💚💚💚💚💚💚💚💚💚💚💚💚💚💚💚💚💚💚💚💚💚💚💚💚💚💚💚💚💚💚💚💚💚💚💚💚💚💚💚💚💚💚💚💚💚💚💚💚💚💚💚💚💚💚💚💚💚💚💚💚💚💚💚💚💚💚💚💚💚💚💚💚💚,2025-09-30T15:18:30Z,Presidenta municipal de Tampico
