"path";"id";"parent_id";"level";"object_id";"object_type";"object_key";"query_status";"query_time";"query_type";"message";"created_time";"like_count";"comment_count";"error.message"
"964877296876825_1399160001773890/964877296876825_717406368038358";"18775";"18739";"1";"964877296876825_717406368038358";"data";"data.*";"fetched (200)";"2025-11-15 03:20:14.332334";"Facebook:/<page-id>/posts";"";"2025-10-27T18:52:24+0000";"";"";""
"964877296876825_1399160001773890/964877296876825_717406368038358/964877296876825_717406368038358";"20388";"18775";"2";"964877296876825_717406368038358";"data";"data.*";"fetched (200)";"2025-11-15 03:23:14.877782";"Facebook:/<post-id>/comments";"💀❤️";"2025-10-28T02:35:02+0000";"1";"0";""
"monicavtampico/964877296876825_717406368038358/964877296876825_717406368038358";"20388";"18775";"2";"964877296876825_717406368038358";"data";"data.*";"fetched (200)";"2025-11-15 03:23:14.877782";"Facebook:/<post-id>/comments";"💀❤️";"2025-10-28T02:35:02+0000";"1";"0";""
"964877296876825_1399160001773890/964877296876825_1391756235847600";"18802";"18739";"1";"964877296876825_1391756235847600";"data";"data.*";"fetched (200)";"2025-11-15 03:20:16.125971";"Facebook:/<page-id>/posts";"";"2025-10-22T23:40:55+0000";"";"";""
"964877296876825_1399160001773890/964877296876825_1391756235847600/964877296876825_1391756235847600";"20955";"18802";"2";"964877296876825_1391756235847600";"data";"data.*";"fetched (200)";"2025-11-15 03:23:35.434798";"Facebook:/<post-id>/comments";"";"2025-10-22T23:48:53+0000";"0";"0";""
"monicavtampico/964877296876825_1391756235847600/964877296876825_1391756235847600";"20955";"18802";"2";"964877296876825_1391756235847600";"data";"data.*";"fetched (200)";"2025-11-15 03:23:35.434798";"Facebook:/<post-id>/comments";"";"2025-10-22T23:48:53+0000";"0";"0";""
"964877296876825_1399160001773890/474462132406835_1390815665941657";"18966";"18740";"1";"474462132406835_1390815665941657";"data";"data.*";"fetched (200)";"2025-11-15 03:20:25.909603";"Facebook:/<page-id>/posts";"Te invito a disfrutar del Jazz Internacional Tampico Fest 2025, del 20 al 24 de octubre.   Este martes 21 pueden disfrutar de la presentación de Pedro Ojesto & Flamenco Jazz Company desde España, en el Teatro Principal a las 7:30 pm  Además, a las 6:00 pm, se llevará a cabo la presentación del libro “El Jazz en México: Yo tengo otros datos” de Alain Derbez. 📚  📲 Consulta la cartelera 👇🏻: https://acortar.link/zbO0HF  🎟 Boletos gratis en:  📍Espacio Cultural  Metropolitano  https://maps.app.goo.gl/SCddfyrc41EdUStj7?g_st=ipc  📍Lindero de Avenida Hidalgo https://maps.app.goo.gl/HgbzMZZ9y9iD5VB9A?g_st=ipc  📍Plaza de Armas (Para-libros) https://maps.app.goo.gl/Ycr1iLS159o7m7T8A?g_st=ipc  📍La Pequeña Nueva Orleans. https://maps.app.goo.gl/R5tsHCn2p2ya2nKC7?g_st=ipc";"2025-10-21T18:54:10+0000";"";"";""
"964877296876825_1399160001773890/474462132406835_1390815665941657/474462132406835_1390815665941657";"23517";"18966";"2";"474462132406835_1390815665941657";"data";"data.*";"fetched (200)";"2025-11-15 03:25:24.381759";"Facebook:/<post-id>/comments";"";"2025-10-21T21:40:15+0000";"1";"0";""
"TampicoGob/474462132406835_1390815665941657/474462132406835_1390815665941657";"23517";"18966";"2";"474462132406835_1390815665941657";"data";"data.*";"fetched (200)";"2025-11-15 03:25:24.381759";"Facebook:/<post-id>/comments";"";"2025-10-21T21:40:15+0000";"1";"0";""
"964877296876825_1399160001773890/474462132406835_1393520372337853";"18932";"18740";"1";"474462132406835_1393520372337853";"data";"data.*";"fetched (200)";"2025-11-15 03:20:24.883974";"Facebook:/<page-id>/posts";"Quiero invitarlos al gran cierre del Jazz Internacional Tampico Fest 2025.  Donde podrán disfrutar presentaciones como la de Pedro Ojesto & Flamenco Jazz Company y el dueto de Andrea Motis, desde Barcelona, España.  🕢 7:30 pm 📍 Lugar: Teatro Principal https://maps.app.goo.gl/dsYepALpHu1186kY9?g_st=ipc  🎟 Boletos gratis en:  📍Espacio Cultural  Metropolitano  https://maps.app.goo.gl/SCddfyrc41EdUStj7?g_st=ipc  📍Lindero de Avenida Hidalgo https://maps.app.goo.gl/HgbzMZZ9y9iD5VB9A?g_st=ipc  📍Plaza de Armas (Para-libros) https://maps.app.goo.gl/Ycr1iLS159o7m7T8A?g_st=ipc  📍La Pequeña Nueva Orleans. https://maps.app.goo.gl/R5tsHCn2p2ya2nKC7?g_st=ipc";"2025-10-24T22:12:46+0000";"";"";""
"964877296876825_1399160001773890/474462132406835_1393520372337853/474462132406835_1393520372337853";"22993";"18932";"2";"474462132406835_1393520372337853";"data";"data.*";"fetched (200)";"2025-11-15 03:25:01.473307";"Facebook:/<post-id>/comments";"Muchas felicidades a todos y en especial al arreglista el Mtro Jaime de la Rosa";"2025-10-25T00:50:53+0000";"1";"0";""
"TampicoGob/474462132406835_1393520372337853/474462132406835_1393520372337853";"22993";"18932";"2";"474462132406835_1393520372337853";"data";"data.*";"fetched (200)";"2025-11-15 03:25:01.473307";"Facebook:/<post-id>/comments";"Muchas felicidades a todos y en especial al arreglista el Mtro Jaime de la Rosa";"2025-10-25T00:50:53+0000";"1";"0";""
"964877296876825_1399160001773890/474462132406835_1160279249527422";"18948";"18740";"1";"474462132406835_1160279249527422";"data";"data.*";"fetched (200)";"2025-11-15 03:20:24.883974";"Facebook:/<page-id>/posts";"Sesión Ordinaria de Cabildo No. 40 del H. Ayuntamiento de Tampico.";"2025-10-23T19:15:55+0000";"";"";""
