comment_text,published_at,query
"Jajajaja no me hagas reír con tus palabras, ahora resulta que ya se les brindo el apoyo, si al día de hoy 21 de octubre del 25 no les han ayudado ni se ha solucionado el problema el gobierno no quiere ayudar a la gente damnificada, y la presidenta Claudia y su gobierno quieren monopolizar el apoyo a la gente, ya que si de manera autónoma la gente acude a ste lugar para llevar los apoyos los militares de la Sedena no les permiten el acceso por orden de la presidenta. Está señora, es decir; la corrupta, mentirosa, lacra y encubridora de delincuentes de su misma o peor condición (presidenta Claudia), quiere recabar apoyo deo pueblo mexicano para que el gobierno se encargue de triangular y se roben los apoyos a fin de que solo una pequeña parte llegue a la población afectada, pero la mayoría la robe el mismo gobierno. Ahora el que fuera ella  posterior del desastre solo fue para engañar a la gente y pararse el cuello como una presidenta que si le interesa el pueblo de México lo cual es mentira, por qué si de verdad quisiera ayudar a la gente no necesitaba ir sino resolver movilizando de forma inmediata el acceso a maquinaria y así, solucionar el tema de inmediato, pero no le importa hacerlo por qué solo es una inútil para con el pueblo de México, así como su gobierno fallido.",2025-10-21T06:04:05Z,presidenta municipal de Tampico
"Jajajaja no me hagas reír con tus palabras, ahora resulta que ya se les brindo el apoyo, si al día de hoy 21 de octubre del 25 no les han ayudado ni se ha solucionado el problema el gobierno no quiere ayudar a la gente damnificada, y la presidenta Claudia y su gobierno quieren monopolizar el apoyo a la gente, ya que si de manera autónoma la gente acude a ste lugar para llevar los apoyos los militares de la Sedena no les permiten el acceso por orden de la presidenta. Está señora, es decir; la corrupta, mentirosa, lacra y encubridora de delincuentes de su misma o peor condición (presidenta Claudia), quiere recabar apoyo deo pueblo mexicano para que el gobierno se encargue de triangular y se roben los apoyos a fin de que solo una pequeña parte llegue a la población afectada, pero la mayoría la robe el mismo gobierno. Ahora el que fuera ella  posterior del desastre solo fue para engañar a la gente y pararse el cuello como una presidenta que si le interesa el pueblo de México lo cual es mentira, por qué si de verdad quisiera ayudar a la gente no necesitaba ir sino resolver movilizando de forma inmediata el acceso a maquinaria y así, solucionar el tema de inmediato, pero no le importa hacerlo por qué solo es una inútil para con el pueblo de México, así como su gobierno fallido.",2025-10-21T06:04:05Z,Presidenta municipal de Tampico
A qué hora  fue?,2025-10-21T06:21:48Z,Gobierno de Tampico
Aquí en Guatemala se llaman granizadas a lo que ustedes se le llaman raspados,2025-10-21T06:27:21Z,Gobierno de Tampico
Aquí son a 10 quetzales las granizadas y a demás con una papa s que tú gustes,2025-10-21T06:29:18Z,Gobierno de Tampico
Por qué seisieron esas cosas por qué no son cumplidos consugobierno,2025-10-21T06:32:51Z,presidenta municipal de Tampico
Por qué seisieron esas cosas por qué no son cumplidos consugobierno,2025-10-21T06:32:51Z,Presidenta municipal de Tampico
Viva. Viva. Viva. ❤❤❤❤❤❤❤😊,2025-10-21T07:22:12Z,presidenta municipal de Tampico
Viva. Viva. Viva. ❤❤❤❤❤❤❤😊,2025-10-21T07:22:12Z,Presidenta municipal de Tampico
"Te amo mucho Claudia, tu primer grito de independencia es el más bello y más cuando se te ibaa voz al decir de los migrantes.<br><br>Tu emoción al ondear la bandera vale mil corazones",2025-10-21T07:48:00Z,presidenta municipal de Tampico
"Te amo mucho Claudia, tu primer grito de independencia es el más bello y más cuando se te ibaa voz al decir de los migrantes.<br><br>Tu emoción al ondear la bandera vale mil corazones",2025-10-21T07:48:00Z,Presidenta municipal de Tampico
Q c√l3ro es El Pais Mexicano 😎,2025-10-21T08:08:36Z,presidenta municipal de Tampico
Q c√l3ro es El Pais Mexicano 😎,2025-10-21T08:08:36Z,Presidenta municipal de Tampico
Falso!! No crean este tipo de noticias.,2025-10-21T09:10:51Z,Gobierno de Tampico
Falso!! No crean este tipo de noticias.,2025-10-21T09:10:51Z,gobierno de Tampico
esta vieja siempre se safa con q. no ha sido comprobado? la presidenta le esta dando quebrada al carter para q&#39; se ganen a ese municipio,2025-10-21T09:30:38Z,presidenta municipal de Tampico
esta vieja siempre se safa con q. no ha sido comprobado? la presidenta le esta dando quebrada al carter para q&#39; se ganen a ese municipio,2025-10-21T09:30:38Z,Presidenta municipal de Tampico
No nos vamos a rendir porque esto es algo malvado potencias como eeuu tienen tecnologia para controlar El clima y causar inundaciones🎉❤,2025-10-21T10:39:21Z,presidenta municipal de Tampico
No nos vamos a rendir porque esto es algo malvado potencias como eeuu tienen tecnologia para controlar El clima y causar inundaciones🎉❤,2025-10-21T10:39:21Z,Presidenta municipal de Tampico
SE DEBE TENER DUCTOS o tuberías para DESVIAR el AGUA A PRESAS y ZONAS DESERTICAS del PAIS y zonas donde se Pueda SEMBRAR.,2025-10-21T11:01:03Z,Gobierno de Tampico
"Comprenden que la gobernadora no puede dividirse para  estar al mismo tiempo en los lugares desastre, dios les bendiga a los que vivieron las desgracias en el país México.",2025-10-21T11:01:25Z,presidenta municipal de Tampico
"Comprenden que la gobernadora no puede dividirse para  estar al mismo tiempo en los lugares desastre, dios les bendiga a los que vivieron las desgracias en el país México.",2025-10-21T11:01:25Z,Presidenta municipal de Tampico
Pena  le diera señora en opinar ya que ustedes no hacen nada,2025-10-21T11:11:03Z,presidenta municipal de Tampico
Pena  le diera señora en opinar ya que ustedes no hacen nada,2025-10-21T11:11:03Z,Presidenta municipal de Tampico
Osea que si hubo aviso  para prevenir que la gente saliera antes de la inundación!,2025-10-21T11:13:38Z,gobierno de Tampico
