"path";"id";"parent_id";"level";"object_id";"object_type";"object_key";"query_status";"query_time";"query_type";"message";"created_time";"like_count";"comment_count";"error.message"
"964877296876825_1399160001773890/474462132406835_1398556198500937";"18878";"18740";"1";"474462132406835_1398556198500937";"data";"data.*";"fetched (200)";"2025-11-15 03:20:22.572771";"Facebook:/<page-id>/posts";"Inauguramos este hermoso altar en la Plaza de Armas, un homenaje a nuestras tradiciones y a la memoria de quienes nos acompañan desde el corazón.  Los invito a que vengan y se tomen una fotografía en este espacio que celebra la esencia de nuestras tradiciones en estas fechas especiales.  Plaza de Armas  📍 https://maps.app.goo.gl/zffDq83p7mcxMHVj6?g_st=ipc";"2025-10-31T02:59:55+0000";"";"";""
"964877296876825_1399160001773890/474462132406835_1398556198500937/474462132406835_1398556198500937";"22288";"18878";"2";"474462132406835_1398556198500937";"data";"data.*";"fetched (200)";"2025-11-15 03:24:28.514500";"Facebook:/<post-id>/comments";"Geniales nuestras tradiciones";"2025-10-31T02:57:32+0000";"1";"1";""
"TampicoGob/474462132406835_1398556198500937/474462132406835_1398556198500937";"22288";"18878";"2";"474462132406835_1398556198500937";"data";"data.*";"fetched (200)";"2025-11-15 03:24:28.514500";"Facebook:/<post-id>/comments";"Geniales nuestras tradiciones";"2025-10-31T02:57:32+0000";"1";"1";""
"964877296876825_1399160001773890/964877296876825_1398214718535085";"18756";"18739";"1";"964877296876825_1398214718535085";"data";"data.*";"fetched (200)";"2025-11-15 03:20:13.008732";"Facebook:/<page-id>/posts";"Hoy celebro la vida de mi hermana, la Dra. Luz Adriana Villarreal Anaya, Presidenta del DIF Tampico.   Una mujer de gran corazón, comprometida, entregada y siempre dispuesta a servir a los demás con una sonrisa.  Me siento muy orgullosa de ti y de todo lo que haces por las familias tampiqueñas.  ¡Te deseo un año lleno de bendiciones, salud y alegrías!";"2025-10-30T15:35:35+0000";"";"";""
"964877296876825_1399160001773890/964877296876825_1398214718535085/964877296876825_1398214718535085";"19926";"18756";"2";"964877296876825_1398214718535085";"data";"data.*";"fetched (200)";"2025-11-15 03:22:57.329798";"Facebook:/<post-id>/comments";"Muchas Felicidades";"2025-10-30T15:37:42+0000";"1";"0";""
"monicavtampico/964877296876825_1398214718535085/964877296876825_1398214718535085";"19926";"18756";"2";"964877296876825_1398214718535085";"data";"data.*";"fetched (200)";"2025-11-15 03:22:57.329798";"Facebook:/<post-id>/comments";"Muchas Felicidades";"2025-10-30T15:37:42+0000";"1";"0";""
"964877296876825_1399160001773890/964877296876825_122179147754546197";"18769";"18739";"1";"964877296876825_122179147754546197";"data";"data.*";"fetched (200)";"2025-11-15 03:20:13.008732";"Facebook:/<page-id>/posts";"Esta tarde no te pierdas del Marching Fest: Sinfonía de los Muertos, un espectáculo lleno de ritmo y cultura.  Ven y celebra con nosotros.🙌🏻  📍 Delegación Zona Norte Tampico https://maps.app.goo.gl/C1ezc3tyi7w3bg549?g_st=ipc 🕖 7:00 p.m.";"2025-10-28T14:23:46+0000";"";"";""
"964877296876825_1399160001773890/964877296876825_122179147754546197/964877296876825_122179147754546197";"20210";"18769";"2";"964877296876825_122179147754546197";"data";"data.*";"fetched (200)";"2025-11-15 03:23:09.187546";"Facebook:/<post-id>/comments";"";"2025-10-28T15:35:19+0000";"2";"0";""
"monicavtampico/964877296876825_122179147754546197/964877296876825_122179147754546197";"20210";"18769";"2";"964877296876825_122179147754546197";"data";"data.*";"fetched (200)";"2025-11-15 03:23:09.187546";"Facebook:/<post-id>/comments";"";"2025-10-28T15:35:19+0000";"2";"0";""
"964877296876825_1399160001773890/474462132406835_1222022963287014";"18886";"18740";"1";"474462132406835_1222022963287014";"data";"data.*";"fetched (200)";"2025-11-15 03:20:22.572771";"Facebook:/<page-id>/posts";"Desde el vivero de Tampico   Lectura en el jardín   “Flores Altares y Cantares”. 🌼";"2025-10-30T01:25:54+0000";"";"";""
