Query_Str,Post_URL,Author_Name,Author_Web_Page_URL,Author_Handle,Verified_Status,UTC_Time,Ads,Tweet_Content,Post_ID,Tweet_URL,Reply_Count,Repost_Count,Like_Count,View_Count,Bookmark_Count,Tweet_Image_URL,Replying_to,Reply_to_Whom,Reply_to_Whom_URL,Reply_to_Whom_Username,Reply_to_Whom_Handle,Language,Type
(@@TampicoGob OR @@MonicaVTampico) min_replies:0 min_faves:0 min_retweets:0,https://x.com/search?q=(@@TampicoGob OR @@MonicaVTampico) min_replies:0 min_faves:0 min_retweets:0 until:2025-11-05 since:2025-11-04&src=typed_query,Tampicosos 🌶️🔥,https://x.com/TampicososTV,TampicososTV,False,2025-11-04 20:59:07+00:00,False,"Robos a mano armada en negocios, asaltos, carteristas, fugas, baches, suciedad y ningún avance, todo retroceso. Así el @TampicoGob de @MonicaVTampico.",1985814085431337054,https://x.com/TampicososTV/status/1985814085431337054,0,2,3,211,0,https://pbs.twimg.com/media/G48HYspW0AAnJfa.jpg,False,,,,,es,Top
(@@TampicoGob OR @@MonicaVTampico) min_replies:0 min_faves:0 min_retweets:0,https://x.com/search?q=(@@TampicoGob OR @@MonicaVTampico) min_replies:0 min_faves:0 min_retweets:0 until:2025-11-06 since:2025-11-05&src=typed_query,M,https://x.com/mbez95,mbez95,False,2025-11-05 23:44:38+00:00,False,Buenas tardes un saludo al municipio de Tampico encabezado por @MonicaVTampico excelente presidenta..@TampicoGob ojalá y pongan más atención a la casa de la cultura ya que se está tomando como cantina a falta de vigilancia ojalá y se haga algo al respecto saludos @elsolde_tampico,1986218127412089119,https://x.com/mbez95/status/1986218127412089119,0,0,0,3,0,https://pbs.twimg.com/media/G5B23GDWgAA47H8.jpg,False,,,,,es,Top
(@@TampicoGob OR @@MonicaVTampico) min_replies:0 min_faves:0 min_retweets:0,https://x.com/search?q=(@@TampicoGob OR @@MonicaVTampico) min_replies:0 min_faves:0 min_retweets:0 until:2025-11-06 since:2025-11-05&src=typed_query,Amazon México Asuntos Públicos,https://x.com/AmazonMexPolicy,AmazonMexPolicy,False,2025-11-05 23:54:07+00:00,False,¡Honrados de ser nombrados como el mejor empleador en Tampico por @STPS_mx! Estamos entusiasmados de seguir trabajando con @TampicoGob para crear buenos empleos y apoyar el crecimiento económico.,1986220514562486647,https://x.com/AmazonMexPolicy/status/1986220514562486647,1,0,0,148,0,https://pbs.twimg.com/media/G5B5CANWMAIBGr7.jpg,False,,,,,es,Top
(@@TampicoGob OR @@MonicaVTampico) min_replies:0 min_faves:0 min_retweets:0,https://x.com/search?q=(@@TampicoGob OR @@MonicaVTampico) min_replies:0 min_faves:0 min_retweets:0 until:2025-11-08 since:2025-11-07&src=typed_query,😱Noticias🔥Tendencia,https://x.com/TampicoNetwork,TampicoNetwork,False,2025-11-07 14:45:25+00:00,False,En Estados Unidos Donald Trump desmantela la agenda woke y solo reconoce 2 géneros. En Tampico un regidor trans morenista protagoniza pelea en cabildo contra una regidora y la denunciará por violencia de género por llamarlo regidor @MonicaVTampico pierdes el tiempo en tonterías😡,1986807206713659473,https://x.com/TampicoNetwork/status/1986807206713659473,0,0,2,192,0,https://pbs.twimg.com/tweet_video_thumb/G5KOn7PX0AE_ceZ.jpg,False,,,,,es,Top
(@@TampicoGob OR @@MonicaVTampico) min_replies:0 min_faves:0 min_retweets:0,https://x.com/search?q=(@@TampicoGob OR @@MonicaVTampico) min_replies:0 min_faves:0 min_retweets:0 until:2025-11-08 since:2025-11-07&src=typed_query,Tampicosos 🌶️🔥,https://x.com/TampicososTV,TampicososTV,False,2025-11-07 16:33:26+00:00,False,"Tanto miedo le tiene el actual @TampicoGob a Pepe Schekaibán, que inventan irregularidades, en lugar de ponerse a trabajar. Sino es por el trabajo heredado un año atrás, Tampico estuviera peor de lo que está, no han hecho NADA por la ciudad. Ponte A TRABAJAR, @MonicaVTampico.",1986834387166433649,https://x.com/TampicososTV/status/1986834387166433649,0,1,8,190,0,,False,,,,,es,Top
(@@TampicoGob OR @@MonicaVTampico) min_replies:0 min_faves:0 min_retweets:0,https://x.com/search?q=(@@TampicoGob OR @@MonicaVTampico) min_replies:0 min_faves:0 min_retweets:0 until:2025-11-11 since:2025-11-10&src=typed_query,Mónica🌻⁰⁶⁸,https://x.com/monicaaasc__,monicaaasc__,False,2025-11-10 00:09:15+00:00,False,"Jugamos con el short blanco, volvemos a ver esta combinación❤️🤍🖤",1987673874067013894,https://x.com/monicaaasc__/status/1987673874067013894,0,9,271,2835,2,https://pbs.twimg.com/media/G5Wi2hrW4AAHN1C.jpg,False,,,,,es,Top
(@@TampicoGob OR @@MonicaVTampico) min_replies:0 min_faves:0 min_retweets:0,https://x.com/search?q=(@@TampicoGob OR @@MonicaVTampico) min_replies:0 min_faves:0 min_retweets:0 until:2025-11-11 since:2025-11-10&src=typed_query,Willfukei 🍓💎3️⃣🦁🍑🍊👸🏻🍆🦢🐐🐹🐰🌸,https://x.com/Willfukei,Willfukei,False,2025-11-10 00:36:16+00:00,False,Momoko was too cute 😺🫶🏻🥰 #MOMOMETAL #BABYMETAL #BABYMETALWORLDTOUR2025 #Mexico #ArenaCDMX,1987680671251202205,https://x.com/Willfukei/status/1987680671251202205,1,53,612,9474,54,https://pbs.twimg.com/media/G5Wo6W4XEAA5ipV.jpg,False,,,,,en,Top
(@@TampicoGob OR @@MonicaVTampico) min_replies:0 min_faves:0 min_retweets:0,https://x.com/search?q=(@@TampicoGob OR @@MonicaVTampico) min_replies:0 min_faves:0 min_retweets:0 until:2025-11-11 since:2025-11-10&src=typed_query,Juana Politizada,https://x.com/juanapolitizada,juanapolitizada,True,2025-11-10 00:46:22+00:00,False,Sobre el video con Tamara Pettinato: “Ella nunca me dijo algo lindo”,1987683214031557065,https://x.com/juanapolitizada/status/1987683214031557065,69,37,420,14299,42,https://pbs.twimg.com/amplify_video_thumb/1987683149959036928/img/Gxrwen-587nUEn-_.jpg,False,,,,,es,Top
(@@TampicoGob OR @@MonicaVTampico) min_replies:0 min_faves:0 min_retweets:0,https://x.com/search?q=(@@TampicoGob OR @@MonicaVTampico) min_replies:0 min_faves:0 min_retweets:0 until:2025-11-11 since:2025-11-10&src=typed_query,🍞Marupan🍞,https://x.com/marupan_desu,marupan_desu,False,2025-11-10 00:48:25+00:00,False,30 days of DDLC ships: Day 1 of MCmoni She's between a rock and a hard place 🗿 Everyone welcome our beloved Club President today! #DokiDokiLiteratureClub #DDLC #Monika #MC #MCmoni,1987683730454913146,https://x.com/marupan_desu/status/1987683730454913146,15,54,590,9069,94,https://pbs.twimg.com/media/G5Wr0WlXwAAu-E9.jpg;https://pbs.twimg.com/media/G5Wr0XFXsAAIUPP.jpg;https://pbs.twimg.com/media/G5Wr0X_XMAAwjWk.jpg;https://pbs.twimg.com/media/G5Wr0asW4AEwu7Z.jpg,False,,,,,en,Top
(@@TampicoGob OR @@MonicaVTampico) min_replies:0 min_faves:0 min_retweets:0,https://x.com/search?q=(@@TampicoGob OR @@MonicaVTampico) min_replies:0 min_faves:0 min_retweets:0 until:2025-11-11 since:2025-11-10&src=typed_query,"🇨🇱🚫Traidores, NO!!",https://x.com/Incorru47125032,Incorru47125032,False,2025-11-10 00:58:43+00:00,False,"Señores de La Granja, San Joaquín, Ñuñoa, Macul, Providencia y Santiago. Esta doña, aunque pudiendo, nunca hizo nada por ustedes. Cumplan con su deber y no le den el voto a esta mala persona. Chile necesita gente buena para seguir avanzando hacia una sociedad más justa. Fin.",1987686320978751806,https://x.com/Incorru47125032/status/1987686320978751806,114,790,1202,18419,3,https://pbs.twimg.com/media/G5WuLLWXkAAGl0-.jpg,False,,,,,es,Top
