fecha_semana,nombre_semana,author,datetime,datetime_parsed_utc,url,text,replies,retweets,likes,bookmarks,views,query_used,is_reply,in_reply_to_url
,semana_23diciembre_25_29diciembre_25,@TampicoGob,2025-12-23T18:11:50.000Z,2025-12-23T18:11:50+00:00,https://x.com/TampicoGob/status/2003528991827980537,"El Gobierno Municipal de Tampico informa a la Clase 2006 y Remisos que realizaron su Servicio Militar Nacional en 2025 que están en los últimos días para recoger su Cartilla Militar Liberada. Consulten fechas, sedes y requisitos.",0,2,4,0,0,from:TampicoGob since:2025-12-23 until:2025-12-29,False,
,semana_23diciembre_25_29diciembre_25,@Jaume_Osante,2025-12-28T01:43:23.000Z,2025-12-28T01:43:23+00:00,https://x.com/Jaume_Osante/status/2005092183020634534,Tampico brilla en Navidad con turismo récord y derrama histórica #Tampico #RevistaDebate #nota @TampicoGob,0,0,0,0,0,@TampicoGob since:2025-12-23 until:2025-12-29,False,
,semana_23diciembre_25_29diciembre_25,@Jaume_Osante,2025-12-24T14:51:39.000Z,2025-12-24T14:51:39+00:00,https://x.com/Jaume_Osante/status/2003841005364376018,Navidad con esperanza y unidad: Mónica Villarreal envía mensaje a Tampico #Tampico #RevistaDebate #nota @MonicaVTampico @TampicoGob,0,0,0,0,0,@TampicoGob since:2025-12-23 until:2025-12-29,False,
,semana_23diciembre_25_29diciembre_25,@Jaume_Osante,2025-12-23T02:29:22.000Z,2025-12-23T02:29:22+00:00,https://x.com/Jaume_Osante/status/2003291813239496896,Tampico reconoce a Tránsito y apuesta por movilidad segura y justicia laboral #Tampico #RevistaDebate #nota @TampicoGob,0,0,0,0,0,@TampicoGob since:2025-12-23 until:2025-12-29,False,
,semana_23diciembre_25_29diciembre_25,@TampicososTV,2025-12-28T23:31:23.000Z,2025-12-28T23:31:23+00:00,https://x.com/TampicososTV/status/2005421351964962934,Feliz Día de los Inocentes a los que creyeron en @MonicaVTampico,0,1,11,0,0,@MonicaVTampico since:2025-12-23 until:2025-12-29,False,
,semana_23diciembre_25_29diciembre_25,@LaJaibitaGirl,2025-12-27T23:21:52.000Z,2025-12-27T23:21:52+00:00,https://x.com/LaJaibitaGirl/status/2005056566639448352,Es la peor administración qué he visto en muchos años y mire que la de Inguanzo se dice también fue un desastre,0,2,5,0,0,@MonicaVTampico since:2025-12-23 until:2025-12-29,False,
,semana_23diciembre_25_29diciembre_25,@StevenTaylor85,2025-12-24T01:49:40.000Z,2025-12-24T01:49:40+00:00,https://x.com/StevenTaylor85/status/2003644209631494461,…disfruten lo votado.,0,0,0,0,0,@MonicaVTampico since:2025-12-23 until:2025-12-29,False,
,semana_23diciembre_25_29diciembre_25,@StevenTaylor85,2025-12-24T01:48:53.000Z,2025-12-24T01:48:53+00:00,https://x.com/StevenTaylor85/status/2003644014051107056,Pero la gente votó por el “bienestar”,1,0,0,0,0,@MonicaVTampico since:2025-12-23 until:2025-12-29,False,
,semana_23diciembre_25_29diciembre_25,@StevenTaylor85,2025-12-24T00:58:02.000Z,2025-12-24T00:58:02+00:00,https://x.com/StevenTaylor85/status/2003631218844401790,¿Cuáles fotos? ¿Cuál trabajo?,1,0,0,0,0,@MonicaVTampico since:2025-12-23 until:2025-12-29,False,
,semana_23diciembre_25_29diciembre_25,@YZhong82183,2025-12-23T23:11:45.000Z,2025-12-23T23:11:45+00:00,https://x.com/YZhong82183/status/2003604472162054553,,0,0,0,0,0,@MonicaVTampico since:2025-12-23 until:2025-12-29,False,
,semana_23diciembre_25_29diciembre_25,@olgapsosa,2025-12-23T19:33:56.000Z,2025-12-23T19:33:56+00:00,https://x.com/olgapsosa/status/2003549652784939310,Un gusto saludar y conversar de #Tampico querido con la presidenta municipal @MonicaVTampico #EsTiempoDeMujeres,1,3,15,0,0,@MonicaVTampico since:2025-12-23 until:2025-12-29,False,
