tipo,url,post_url_padre,fecha,texto,num_comentarios
POST,https://www.facebook.com/reel/1249071796880057/,,2026-03-23T00:59:55.000Z,"Seguimos trabajando con cercanía y sensibilidad, pusimos en marcha “Pasos de Bienestar”, un programa pensado para el cuidado de los pies y el bienestar de las y los tampiqueños.

A través de esta iniciativa, estamos acercando atención podológica especializada y apoyos ortopédicos totalmente gratuitos, para ayudar a mejorar la movilidad, reducir molestias y prevenir complicaciones futuras.

En esta jornada estamos  brindando:
♦️Consulta y diagnóstico podológico
♦️Limpieza y corte de uñas especializado
♦️Tratamiento de callosidades y durezas
♦️Valoración de la pisada
♦️Entrega de plantillas personalizadas (a quienes lo requieran).

#TampicoteCuida.
#TampicoVaconTodos.",133
POST,https://www.facebook.com/monicavtampico/posts/pfbid0xYh4VcL11n34xLTFd7PuB2SJyVvdXFmXixLv6RJ2jvYkzyaxfBMGVcqEv4TA3vbSl,,2026-03-24T01:41:35.000Z,"Hoy tuve el honor de acompañar a nuestro Gobernador el Dr. Américo Villarreal Anaya en la presentación de su Cuarto Informe de Gobierno, un momento que refleja el compromiso y la transformación de nuestro Estado de Tamaulipas. Desde Tampico, celebramos los avances que se están logrando en todas las regiones, gracias a un liderazgo cercano que trabaja de la mano con las y los tamaulipecos.",43
POST,https://www.facebook.com/reel/26587161894303796/,,2026-03-25T15:15:54.000Z,"Esta obra no solo mejora la vialidad, también mejora la calidad de vida de quienes viven aquí. Para eso trabajamos todos los días: para escuchar, atender y cumplir. Seguimos avanzando con obras integrales, ejerciendo los recursos con responsabilidad y construyendo un Tampico más digno para todas y todos.                                                                    #TampicoVaconTodos.",89
POST,https://www.facebook.com/monicavtampico/posts/pfbid0263nTb3C7e6cUL7WJ5F7ZA2KNZ5BsCjgR5J9nhuoysv1EX5dGEKiipQMfdhVnxApJl,,2026-03-25T23:49:53.000Z,"Participamos en la 1era Jornada Nacional de Lucha contra el Dengue y Chikungunya, en coordinación con el Gobierno del Estado, reforzando acciones de prevención y concientización para proteger la salud de la ciudadanía.

Seguimos sumando esfuerzos para combatir estas enfermedades, promoviendo la limpieza de espacios, la eliminación de criaderos y el cuidado de nuestras familias.",35
POST,https://www.facebook.com/monicavtampico/posts/pfbid02hvtjkK4WVEQhYNB5SbXHwSVoXfxpf5Po7ZzC8f3XoSwdEVZCBrkt2CvVPLVRf2oZl,,2026-03-27T00:46:49.000Z,"Desde la Laguna del Carpintero dimos el arranque oficial del Operativo de Semana Santa “Tampico Te Cuida”, una estrategia integral pensada para brindar seguridad, tranquilidad y bienestar a todas las familias tampiqueñas y a quienes nos visitan en esta temporada.

Con la participación coordinada de distintas corporaciones reforzamos la vigilancia en puntos turísticos, zonas comerciales y espacios públicos, asegurando que cada persona pueda disfrutar de unas vacaciones seguras y en paz.

#TampicoVaConTodos
#TampicoTeCuida",24
POST,https://www.facebook.com/monicavtampico/posts/pfbid024sCcczrkTpYf5nVm78jxRNhYPJUGcJDna3csfaua5Daiec4s6EyQZZz6kGMDjzP3l,,2026-03-27T05:47:29.000Z,"Hoy dimos inicio a nuestras queridas Fiestas de Abril 2026 🎉

Con mucha alegría, celebramos también la coronación de nuestra Reina, Mary Cindy 👑, quien representa el orgullo, y la tradición de las y los tampiqueños.

Cerramos nuestra noche disfrutando de la Expo Rodeo 2026.

Los invito a seguir disfrutando juntos de estas fiestas que nos unen y llenan de vida a nuestro querido Tampico.

#TampicoVaconTodos
#TampicoteCuida",55
POST,https://www.facebook.com/monicavtampico/posts/pfbid0oR8bGscqMJiwsnmbaRQhzM7nwxDAgwwTkJRNAm2SAof2bCkWViPvC5CGULzNMbe8l,,2026-03-28T00:10:34.000Z,"Asistí al “Diálogo Local por la Paz. Tampico”, un espacio muy valioso donde coincidimos quienes creemos que la paz se construye todos los días y desde todos los sectores. 🤝

Me dio mucho gusto compartir este diálogo con representantes de la institución educativa, Instituto Cultural Tampico, asociaciones de padres de familia, líderes sociales y comunidades religiosas, todas y todos comprometidos con el bienestar de nuestra ciudad.

Estos encuentros nos permiten escucharnos, intercambiar ideas y fortalecer la colaboración para atender de raíz las causas de la violencia y seguir reconstruyendo el tejido social.

#TampicoVaconTodos
#TampicoteCuida
#ConstruyendoLaPaz",34
POST,https://www.facebook.com/monicavtampico/posts/pfbid0Uc1jg24Y1aeSq7XqwncD23jCAZbs8J4rN1VM8Qnf5YXeEESdnQeGg9rKHGcfcTKcl,,2026-03-28T18:30:41.000Z,"Supervisé la instalación de antidestellantes y captafaros en el distribuidor vial frente al aeropuerto, acciones que mejoran la visibilidad y fortalecen la seguridad vial en beneficio de la ciudadanía.

Seguimos trabajando en cada detalle para que nuestras calles sean más seguras y transitables para todas y todos.",226
COMENTARIO,https://www.facebook.com/monicavtampico/posts/pfbid0oR8bGscqMJiwsnmbaRQhzM7nwxDAgwwTkJRNAm2SAof2bCkWViPvC5CGULzNMbe8l?comment_id=1652167112466883,https://www.facebook.com/monicavtampico/posts/pfbid0oR8bGscqMJiwsnmbaRQhzM7nwxDAgwwTkJRNAm2SAof2bCkWViPvC5CGULzNMbe8l,2026-03-28T18:24:52.000Z,Excelente.,
COMENTARIO,https://www.facebook.com/monicavtampico/posts/pfbid0oR8bGscqMJiwsnmbaRQhzM7nwxDAgwwTkJRNAm2SAof2bCkWViPvC5CGULzNMbe8l?comment_id=1365077165396081,https://www.facebook.com/monicavtampico/posts/pfbid0oR8bGscqMJiwsnmbaRQhzM7nwxDAgwwTkJRNAm2SAof2bCkWViPvC5CGULzNMbe8l,2026-03-28T16:48:31.000Z,¡Genial que esté participando en estos esfuerzos por la paz! Su compromiso es inspirador.,
