tipo,url,post_url_padre,fecha,texto,num_comentarios
POST,https://www.facebook.com/monicavtampico/posts/pfbid0kqJJyvsxBfX4x2sQpvHk3NXSibRWDkWmNbKhBhBXerJEZnVAekUQFbj1FjRq1CAel,,2026-04-20T14:51:06.000Z,"Trabajando por un Tampico que va con TODOS, por un Tampico que te  CUIDA. ¡Buenos días!",178
POST,https://www.facebook.com/monicavtampico/posts/pfbid0xpCjmWFuQ1KfvBPZuAsxV1kcs88x7PYgCmKESgPbDKbK3s6p7DxGNWWVx8F6imm5l,,2026-04-21T15:04:00.000Z,Sostuvimos una reunión más para dar seguimiento y brindar atención puntual a los programas y proyectos prioritarios que beneficiarán a las y los tampiqueños.  La coordinación es fundamental  para asegurar que cada acción se traduzca en resultados concretos en beneficio de las y los tampiqueños.  #TampicoVaconTodos #TampicoteCuida,52
POST,https://www.facebook.com/reel/1380757963859476/,,2026-04-22T14:12:21.000Z,"Con el programa Salud Casa por Casa, llevamos atención médica directamente a los hogares, porque este es un programa en favor del bienestar de las y los tampiqueños, pensado para quienes más lo necesitan.

Aquí, la salud no es un privilegio, es un derecho que llega hasta tu puerta.

#TampicoteCuida
#TampicoVaconTodos",145
POST,https://www.facebook.com/monicavtampico/posts/pfbid0Vm59daE4auDPoQzSLDqob7QCfkHr4S2d5UNKH6X1F1YFMbD9UiSkW7Prth9eo4k9l,,2026-04-23T14:12:25.000Z,"🚛 ¡Ya son 206 jornadas de descacharrización!

Cada jornada representa menos criaderos de mosquitos y más prevención.

📍 Recuerda sacar tus objetos en desuso: llantas, muebles, electrodomésticos y todo aquello que pueda acumular agua.

#TampicoteCuida",73
POST,https://www.facebook.com/reel/2076432512936961/,,2026-04-23T17:06:51.000Z,"Hoy realizamos la Cuarta Entrega de Becas Municipales, reconociendo el esfuerzo, la dedicación y el talento de las y los estudiantes de nivel primaria y universidad.

Seguimos impulsando la educación como base para un mejor futuro.

#TampicoteCuida",63
POST,https://www.facebook.com/monicavtampico/posts/pfbid0B1ff3cL6ooa7iLj7nPG4b5aiJNChHgpYpvmvhgg12nfxdExcoWfZeTyKGJePjZ95l,,2026-04-24T04:59:03.000Z,"Hoy celebramos el Día Internacional del Libro reconociendo el poder de las palabras y nuestra identidad cultural.

Inauguramos el espacio en honor a Sor Juana y a las creadoras tampiqueñas, mujeres que han dejado huella con su talento y sensibilidad. También rendimos homenaje al escultor Antonio López, cuyo trabajo nos invita a sentir y reflexionar.

Los invito a disfrutar de la poesía, el arte y a recorrer los espacios llenos de libros e historias. Sigamos haciendo de Tampico una ciudad que vive y celebra la cultura.

#TampicoteCuida",32
POST,https://www.facebook.com/reel/1269181822035644/,,2026-04-25T02:13:17.000Z,"El programa Sonrisas del Bienestar sigue impactando de manera positiva a las familias tampiqueñas. 

Estuvimos en la colonia Luis Echeverría, acercando atención dental gratuita y de calidad, apoyando la salud bucal y también la economía de quienes más lo necesitan. Hoy, más de mil personas han sido beneficiadas con este programa que transforma sonrisas y mejora la calidad de vida.

Seguimos trabajando para cuidar de nuestra gente y llevar bienestar a cada Tampiqueño.",120
POST,https://www.facebook.com/reel/2405384606635803/,,2026-04-25T18:52:02.000Z,"Me dio mucho gusto acompañar a las y los vecinos de la colonia Tancol 33 en sus actividades deportivas. 

Agradezco de corazón el reconocimiento que me brindaron; es un honor seguir trabajando juntos para las y los tampiqueños .

Seguimos trabajando en acciones que promuevan el deporte.

#TampicoTeCuida",36
COMENTARIO,https://www.facebook.com/reel/2405384606635803/?comment_id=1346796477498469,https://www.facebook.com/reel/2405384606635803/,2026-04-26T23:35:50.000Z,Tampico te cuida 🫶👏,
COMENTARIO,https://www.facebook.com/reel/2405384606635803/?comment_id=941455481924783,https://www.facebook.com/reel/2405384606635803/,2026-04-26T21:07:02.000Z,El deporte es Cultura!,
COMENTARIO,https://www.facebook.com/reel/2405384606635803/?comment_id=1712473099910484,https://www.facebook.com/reel/2405384606635803/,2026-04-26T05:32:19.000Z,Ecxelente trabajo en equipo presidenta !!!!,
COMENTARIO,https://www.facebook.com/monicavtampico/posts/pfbid0B1ff3cL6ooa7iLj7nPG4b5aiJNChHgpYpvmvhgg12nfxdExcoWfZeTyKGJePjZ95l?comment_id=912986751791347,https://www.facebook.com/monicavtampico/posts/pfbid0B1ff3cL6ooa7iLj7nPG4b5aiJNChHgpYpvmvhgg12nfxdExcoWfZeTyKGJePjZ95l,2026-04-25T20:10:38.000Z,Excelente trabajo,
COMENTARIO,https://www.facebook.com/monicavtampico/posts/pfbid0B1ff3cL6ooa7iLj7nPG4b5aiJNChHgpYpvmvhgg12nfxdExcoWfZeTyKGJePjZ95l?comment_id=3910818649053483,https://www.facebook.com/monicavtampico/posts/pfbid0B1ff3cL6ooa7iLj7nPG4b5aiJNChHgpYpvmvhgg12nfxdExcoWfZeTyKGJePjZ95l,2026-04-25T12:32:03.000Z,Miy bien!!,
COMENTARIO,https://www.facebook.com/monicavtampico/posts/pfbid0B1ff3cL6ooa7iLj7nPG4b5aiJNChHgpYpvmvhgg12nfxdExcoWfZeTyKGJePjZ95l?comment_id=35867000189551825,https://www.facebook.com/monicavtampico/posts/pfbid0B1ff3cL6ooa7iLj7nPG4b5aiJNChHgpYpvmvhgg12nfxdExcoWfZeTyKGJePjZ95l,2026-04-25T03:52:05.000Z,Grato evento y convivencia. Felicidades,
