tipo,url,post_url_padre,fecha,texto,num_comentarios
POST,https://www.facebook.com/monicavtampico/posts/pfbid0SC7tekeFAYqCUs86ddt15rj65Xn98ij4u1fW7xTTsq6jG2Dp6uV4NyExy4dRra9Hl,,2026-04-27T04:47:55.000Z,"Seguimos trabajando de manera constante y puntual con los trabajos de fumigación en diferentes colonias de nuestro Tampico.

A través de la Secretaría de Servicios Públicos, en coordinación con el Distrito de Salud del Bienestar No.2, estamos comprometidos a brindar espacios más limpios, seguros y saludables para toda la ciudadanía.

Aquí te informamos el calendario de esta semana 🗓️ 

#TampicoTeCuida
#TampicoVaconTodos",144
POST,https://www.facebook.com/monicavtampico/posts/pfbid02E3GzZWge2td9Hv6pbfTYQPxAVk6fNGtumzL8f6BT9qeYE72XLGCgMam7aPGUtJFLl,,2026-04-28T21:43:40.000Z,"Hoy tuve la oportunidad de acompañar a la titular de la Secretaría de Turismo (SECTUR), Josefina Rodríguez Zamora, así como al secretario de Turismo del Gobierno del Estado de Tamaulipas, Benjamin Hernández Rodriguez, en la inauguración del stand de Tamaulipas en el Tianguis Turístico México, en su edición número 50, desde Acapulco, Guerrero.

Desde Tampico, participamos con orgullo, convencidos de que las relaciones que estamos construyendo abrirán puertas para el desarrollo de nuestra ciudad. 

Tenemos mucho que ofrecer: nuestra riqueza cultural, nuestra historia, nuestra gastronomía y la calidez de nuestra gente.

Seguimos trabajando para que Tampico se consolide como un destino competitivo, atractivo y lleno de oportunidades, llevando lo mejor de nuestra tierra a los ojos del mundo.",51
POST,https://www.facebook.com/monicavtampico/videos/1700469917974607/,,2026-04-29T23:23:51.000Z,"Acompáñenme desde el Tianguis Turístico 2026, para conocer la promoción de nuestro municipio y estado, que estamos realizando desde Acapulco, Gro. lugar sede del evento referencial del turismo en nuestro país.",241
POST,https://www.facebook.com/reel/811298178343108/,,2026-04-30T18:15:29.000Z,"Los invito a disfrutar de una gran función de lucha libre con El Texano Jr. y Súper Nova, dos grandes del ring que nos harán vivir una tarde llena de alegría y diversión.

Nos vemos a partir de las 4:00 pm en el Auditorio Municipal de Tampico para festejar juntos a las y los niños como se merecen, creando momentos inolvidables en familia.
📍https://maps.app.goo.gl/jdcKEUfmn3NvMyVHA

¡Las y los esperamos con mucho gusto! 

#TampicoteCuida
#TampicoVaconTodos",15
POST,https://www.facebook.com/reel/2440175309764130/,,2026-05-01T02:13:06.000Z,"Seguimos celebrando a las niñas y niños de Tampico, en esta convivencia familiar, donde les regalamos estos momentos de alegría y diversión.

Gracias a las más de cinco mil niñas y niños que nos acompañan.",112
POST,https://www.facebook.com/monicavtampico/posts/pfbid02bkaUFEtmE6XcALj1Gvivk36N4q4sz4CGsXfXXkxk2us6TupbEaDE7Ewd73aNacZPl,,2026-05-01T20:47:17.000Z,"Asistí con mucho gusto a la celebración del 102 Aniversario de Ciudad Madero, nuestra ciudad hermana.

Al pueblo maderense, mi reconocimiento por el orgullo con el que celebran su origen y su futuro. Reconozco también el trabajo y compromiso de su alcalde, Erasmo González Robledo, con quien compartimos la visión de seguir fortaleciendo el desarrollo y bienestar de nuestra zona conurbada.

Felicidades al Mtro. Calixto Méndez Gómez, a quien durante en este evento se le otorgó la medalla al mérito ciudadano “Candelario Garza”.",28
POST,https://www.facebook.com/monicavtampico/posts/pfbid0qy1Kwdvgku9R7RaGDUCBzXTHkWf772sEoSpGGUqrb8Eb9MhaZoeaoh2SEwDtaUKul,,2026-05-02T05:07:33.000Z,"Agradezco la invitación de la diputada Lucero Deosdady Martínez a este bonito festejo del Día de la Niñez en la colonia Solidaridad, Voluntad y Trabajo. 👧🏻👦🏻

Me llena el corazón ver a nuestras niñas y niños disfrutar de una tarde tan especial, llena de sorpresas, juegos y momentos de diversión pensados para ellos.",65
POST,https://www.facebook.com/monicavtampico/posts/pfbid02DYhQBbvEXq8kNJSyRiXP1FX5fHJGfcxVq9icHsnynXF7e98TU2z3wafUo3Mdb4el,,2026-05-02T22:31:13.000Z,"Felicidades a la ciudad de Altamira por su 277 aniversario de fundación, una historia llena de identidad, trabajo y orgullo que sigue creciendo con el paso de los años. 

Reconozco el gran trabajo mi amigo el presidente municipal, Armando Martínez Manríquez, quien con compromiso y dedicación ha impulsado el desarrollo de Ciudad Altamira.",21
COMENTARIO,https://www.facebook.com/monicavtampico/posts/pfbid02DYhQBbvEXq8kNJSyRiXP1FX5fHJGfcxVq9icHsnynXF7e98TU2z3wafUo3Mdb4el?comment_id=1001707189204635,https://www.facebook.com/monicavtampico/posts/pfbid02DYhQBbvEXq8kNJSyRiXP1FX5fHJGfcxVq9icHsnynXF7e98TU2z3wafUo3Mdb4el,2026-05-03T22:57:15.000Z,Vamos de la mano 🫶🏽,
COMENTARIO,https://www.facebook.com/monicavtampico/posts/pfbid02DYhQBbvEXq8kNJSyRiXP1FX5fHJGfcxVq9icHsnynXF7e98TU2z3wafUo3Mdb4el?comment_id=2064408748287122,https://www.facebook.com/monicavtampico/posts/pfbid02DYhQBbvEXq8kNJSyRiXP1FX5fHJGfcxVq9icHsnynXF7e98TU2z3wafUo3Mdb4el,2026-05-03T21:19:58.000Z,"Gracias Presidente Armando. Viva Altamira,! Y a seguir trabajando por nuestra ciudad.Saludos y bendiciones Sra.Monica Villareal.",
COMENTARIO,https://www.facebook.com/monicavtampico/posts/pfbid02DYhQBbvEXq8kNJSyRiXP1FX5fHJGfcxVq9icHsnynXF7e98TU2z3wafUo3Mdb4el?comment_id=1336354481709824,https://www.facebook.com/monicavtampico/posts/pfbid02DYhQBbvEXq8kNJSyRiXP1FX5fHJGfcxVq9icHsnynXF7e98TU2z3wafUo3Mdb4el,2026-05-03T18:30:39.000Z,Pilares en Movimiento Mx,
COMENTARIO,https://www.facebook.com/monicavtampico/posts/pfbid02DYhQBbvEXq8kNJSyRiXP1FX5fHJGfcxVq9icHsnynXF7e98TU2z3wafUo3Mdb4el?comment_id=1214408990612214,https://www.facebook.com/monicavtampico/posts/pfbid02DYhQBbvEXq8kNJSyRiXP1FX5fHJGfcxVq9icHsnynXF7e98TU2z3wafUo3Mdb4el,2026-05-03T05:20:19.000Z,En hora buena Altamira por Aniversario de su fundacion y tambien un saludo a su presidente Armando Armando Martínez Manríquez  y tambien un Saludos Ala mejor presidenta  de nuestro tampico  Monica Villarreal  y no se queda Atras Ciudad Madero Con Su buen Presidente ErasmoGonzalez Robledo,
COMENTARIO,https://www.facebook.com/monicavtampico/posts/pfbid02DYhQBbvEXq8kNJSyRiXP1FX5fHJGfcxVq9icHsnynXF7e98TU2z3wafUo3Mdb4el?comment_id=794322650221792,https://www.facebook.com/monicavtampico/posts/pfbid02DYhQBbvEXq8kNJSyRiXP1FX5fHJGfcxVq9icHsnynXF7e98TU2z3wafUo3Mdb4el,2026-05-03T02:49:36.000Z,Felicidades !!!,
COMENTARIO,https://www.facebook.com/monicavtampico/posts/pfbid02DYhQBbvEXq8kNJSyRiXP1FX5fHJGfcxVq9icHsnynXF7e98TU2z3wafUo3Mdb4el?comment_id=1523560839432370,https://www.facebook.com/monicavtampico/posts/pfbid02DYhQBbvEXq8kNJSyRiXP1FX5fHJGfcxVq9icHsnynXF7e98TU2z3wafUo3Mdb4el,2026-05-03T00:38:02.000Z,Firmes y dignos la nueva croc,
COMENTARIO,https://www.facebook.com/monicavtampico/posts/pfbid0qy1Kwdvgku9R7RaGDUCBzXTHkWf772sEoSpGGUqrb8Eb9MhaZoeaoh2SEwDtaUKul?comment_id=1670669283966111,https://www.facebook.com/monicavtampico/posts/pfbid0qy1Kwdvgku9R7RaGDUCBzXTHkWf772sEoSpGGUqrb8Eb9MhaZoeaoh2SEwDtaUKul,2026-05-03T13:47:55.000Z,Felicidades Lic. Mónica Villarreal y Diputada Lucero. Gracias por llenar de alegría a los niños  en este bonito evento. 💐🎂🥳,
COMENTARIO,https://www.facebook.com/monicavtampico/posts/pfbid0qy1Kwdvgku9R7RaGDUCBzXTHkWf772sEoSpGGUqrb8Eb9MhaZoeaoh2SEwDtaUKul?comment_id=981954061285361,https://www.facebook.com/monicavtampico/posts/pfbid0qy1Kwdvgku9R7RaGDUCBzXTHkWf772sEoSpGGUqrb8Eb9MhaZoeaoh2SEwDtaUKul,2026-05-02T23:42:35.000Z,Arriba Morena,
COMENTARIO,https://www.facebook.com/monicavtampico/posts/pfbid0qy1Kwdvgku9R7RaGDUCBzXTHkWf772sEoSpGGUqrb8Eb9MhaZoeaoh2SEwDtaUKul?comment_id=1549568580125809,https://www.facebook.com/monicavtampico/posts/pfbid0qy1Kwdvgku9R7RaGDUCBzXTHkWf772sEoSpGGUqrb8Eb9MhaZoeaoh2SEwDtaUKul,2026-05-02T22:14:51.000Z,Gran evento para que los niños disfruten de su día 👏👏👏,
COMENTARIO,https://www.facebook.com/monicavtampico/posts/pfbid0qy1Kwdvgku9R7RaGDUCBzXTHkWf772sEoSpGGUqrb8Eb9MhaZoeaoh2SEwDtaUKul?comment_id=1463051858117450,https://www.facebook.com/monicavtampico/posts/pfbid0qy1Kwdvgku9R7RaGDUCBzXTHkWf772sEoSpGGUqrb8Eb9MhaZoeaoh2SEwDtaUKul,2026-05-02T20:37:48.000Z,Genial Evento Alcaldesa y Diputada!!!,
COMENTARIO,https://www.facebook.com/monicavtampico/posts/pfbid0qy1Kwdvgku9R7RaGDUCBzXTHkWf772sEoSpGGUqrb8Eb9MhaZoeaoh2SEwDtaUKul?comment_id=2524708427968364,https://www.facebook.com/monicavtampico/posts/pfbid0qy1Kwdvgku9R7RaGDUCBzXTHkWf772sEoSpGGUqrb8Eb9MhaZoeaoh2SEwDtaUKul,2026-05-02T19:57:04.000Z,Felicidades Lic. Lucero es el resultado de la constancia diaria y ese amor a la gente,
COMENTARIO,https://www.facebook.com/monicavtampico/posts/pfbid0qy1Kwdvgku9R7RaGDUCBzXTHkWf772sEoSpGGUqrb8Eb9MhaZoeaoh2SEwDtaUKul?comment_id=802840985953793,https://www.facebook.com/monicavtampico/posts/pfbid0qy1Kwdvgku9R7RaGDUCBzXTHkWf772sEoSpGGUqrb8Eb9MhaZoeaoh2SEwDtaUKul,2026-05-02T19:43:58.000Z,"Excelente evento para la niñez, aplausos para quien lo haya organizado",
COMENTARIO,https://www.facebook.com/monicavtampico/posts/pfbid0qy1Kwdvgku9R7RaGDUCBzXTHkWf772sEoSpGGUqrb8Eb9MhaZoeaoh2SEwDtaUKul?comment_id=992146053332059,https://www.facebook.com/monicavtampico/posts/pfbid0qy1Kwdvgku9R7RaGDUCBzXTHkWf772sEoSpGGUqrb8Eb9MhaZoeaoh2SEwDtaUKul,2026-05-02T19:18:48.000Z,Excelente evento diputada Lucero Deosdady Martínez,
