iso_week,fecha_inicio,fecha_fin
2026-W01,2025-12-29,2026-01-04
2026-W02,2026-01-05,2026-01-11
2026-W03,2026-01-12,2026-01-18
2026-W04,2026-01-19,2026-01-25
2026-W05,2026-01-26,2026-02-01
2026-W06,2026-02-02,2026-02-08
2026-W07,2026-02-09,2026-02-15
2026-W08,2026-02-16,2026-02-22
2026-W09,2026-02-23,2026-03-01
2026-W10,2026-03-02,2026-03-08
2026-W11,2026-03-09,2026-03-15
2026-W12,2026-03-16,2026-03-22
2026-W13,2026-03-23,2026-03-29
2026-W14,2026-03-30,2026-04-05
2026-W15,2026-04-06,2026-04-12
2026-W16,2026-04-13,2026-04-19
2026-W17,2026-04-20,2026-04-26
2026-W18,2026-04-27,2026-05-03
2026-W19,2026-05-04,2026-05-10
2026-W20,2026-05-11,2026-05-17
2026-W21,2026-05-18,2026-05-24
2026-W22,2026-05-25,2026-05-31
2026-W23,2026-06-01,2026-06-07
2026-W24,2026-06-08,2026-06-14
2026-W25,2026-06-15,2026-06-21
2026-W26,2026-06-22,2026-06-28
2026-W27,2026-06-29,2026-07-05
2026-W28,2026-07-06,2026-07-12
2026-W29,2026-07-13,2026-07-19
2026-W30,2026-07-20,2026-07-26
2026-W31,2026-07-27,2026-08-02
2026-W32,2026-08-03,2026-08-09
2026-W33,2026-08-10,2026-08-16
2026-W34,2026-08-17,2026-08-23
2026-W35,2026-08-24,2026-08-30
2026-W36,2026-08-31,2026-09-06
2026-W37,2026-09-07,2026-09-13
2026-W38,2026-09-14,2026-09-20
2026-W39,2026-09-21,2026-09-27
2026-W40,2026-09-28,2026-10-04
2026-W41,2026-10-05,2026-10-11
2026-W42,2026-10-12,2026-10-18
2026-W43,2026-10-19,2026-10-25
2026-W44,2026-10-26,2026-11-01
2026-W45,2026-11-02,2026-11-08
2026-W46,2026-11-09,2026-11-15
2026-W47,2026-11-16,2026-11-22
2026-W48,2026-11-23,2026-11-29
2026-W49,2026-11-30,2026-12-06
2026-W50,2026-12-07,2026-12-13
2026-W51,2026-12-14,2026-12-20
2026-W52,2026-12-21,2026-12-27
2026-W53,2026-12-28,2027-01-03
