fecha_inicio_semana,fecha,horizonte,outer_fold_index,y_current,y_true,modelo_ganador_real,modelo_ganador_real_operativo,modelo_predicho_raw,modelo_predicho,modelo_selector_fijo_raw,modelo_selector_fijo,prediccion_modelo_elegido,prediccion_modelo_ganador_real,prediccion_selector_fijo,error_final,indicador_acierto_selector,indicador_acierto_selector_fijo,prob_modelo_predicho,probabilidades_clases_json,selection_mode,selection_reason,fixed_selection_reason,rows_train,n_clases_train,clases_train,n_modelos_disponibles_test,modelos_disponibles_test,prediccion_E1_v5_clean,prediccion_E2_v3_clean,prediccion_E3_v2_clean,prediccion_E5_v4_clean,prediccion_E7_v3_clean,prediccion_E9_v2_clean
2025-11-10,2025-11-10,4,1,0.0692562741764684,0.0821158156091689,E5_v4_clean,E5_v4_clean,E5_v4_clean,E5_v4_clean,E2_v3_clean,E2_v3_clean,0.0911388778963248,0.0911388778963248,-0.0464671006604679,0.009023062287155895,1,0,0.625841254542215,"{""E1_v5_clean"": 0.10459423808128032, ""E2_v3_clean"": 0.23694836520162765, ""E5_v4_clean"": 0.625841254542215, ""E7_v3_clean"": 0.03261614217487721}",logistic_regression_multinomial,raw_prediction_available,ranking_best_available,12,4,"E1_v5_clean,E2_v3_clean,E5_v4_clean,E7_v3_clean",5,"E1_v5_clean,E2_v3_clean,E3_v2_clean,E5_v4_clean,E7_v3_clean",0.1154851925443213,-0.0464671006604679,0.1123089741876265,0.0911388778963248,0.0482306049520496,
2025-11-17,2025-11-17,4,2,0.218016998769719,0.303813076524669,E1_v5_clean,E1_v5_clean,E1_v5_clean,E1_v5_clean,E5_v4_clean,E5_v4_clean,0.1150936108067977,0.1150936108067977,0.0931422674322861,-0.1887194657178713,1,0,0.46426528993261224,"{""E1_v5_clean"": 0.46426528993261224, ""E2_v3_clean"": 0.18712910971186306, ""E5_v4_clean"": 0.33077542833965995, ""E7_v3_clean"": 0.017830172015864704}",logistic_regression_multinomial,raw_prediction_available,ranking_best_available,13,4,"E1_v5_clean,E2_v3_clean,E5_v4_clean,E7_v3_clean",5,"E1_v5_clean,E2_v3_clean,E3_v2_clean,E5_v4_clean,E7_v3_clean",0.1150936108067977,0.0864270853626582,0.1076104490017496,0.0931422674322861,0.0603073921036034,
2025-11-24,2025-11-24,4,3,0.12751595957534,0.0677012815654136,E9_v2_clean,E9_v2_clean,E5_v4_clean,E5_v4_clean,E5_v4_clean,E5_v4_clean,0.1255998207257801,0.0337494800222115,0.1255998207257801,0.0578985391603665,0,0,0.7792485456769043,"{""E1_v5_clean"": 0.17727563861951487, ""E2_v3_clean"": 0.03352722899004537, ""E5_v4_clean"": 0.7792485456769043, ""E7_v3_clean"": 0.009948586713535441}",logistic_regression_multinomial,raw_prediction_available,ranking_best_available,14,4,"E1_v5_clean,E2_v3_clean,E5_v4_clean,E7_v3_clean",6,"E1_v5_clean,E2_v3_clean,E3_v2_clean,E5_v4_clean,E7_v3_clean,E9_v2_clean",0.1190620107773438,0.116740825374389,0.1243627685792366,0.1255998207257801,0.1633975386307834,0.0337494800222115
2025-12-01,2025-12-01,4,4,0.279605962079427,0.583621878201202,E2_v3_clean,E2_v3_clean,E9_v2_clean,E9_v2_clean,E9_v2_clean,E9_v2_clean,0.0709802865490951,0.2453068296572707,0.0709802865490951,-0.512641591652107,0,0,0.6576091474541033,"{""E1_v5_clean"": 0.21732135927784052, ""E2_v3_clean"": 0.08138943604784296, ""E5_v4_clean"": 0.03168002304785436, ""E7_v3_clean"": 0.012000034172358856, ""E9_v2_clean"": 0.6576091474541033}",logistic_regression_multinomial,raw_prediction_available,ranking_best_available,15,5,"E1_v5_clean,E2_v3_clean,E5_v4_clean,E7_v3_clean,E9_v2_clean",6,"E1_v5_clean,E2_v3_clean,E3_v2_clean,E5_v4_clean,E7_v3_clean,E9_v2_clean",0.1173402499923326,0.2453068296572707,0.1135232050358652,0.1010550951263508,0.0815541287161707,0.0709802865490951
2025-12-08,2025-12-08,4,5,0.0821158156091689,0.108341978085893,E5_v4_clean,E5_v4_clean,E2_v3_clean,E2_v3_clean,E5_v4_clean,E5_v4_clean,0.1969549491746086,0.1182203237087229,0.1182203237087229,0.08861297108871559,0,1,0.6326481751584004,"{""E1_v5_clean"": 0.0008089758343182352, ""E2_v3_clean"": 0.6326481751584004, ""E5_v4_clean"": 0.35864201611329244, ""E7_v3_clean"": 0.004411411462703672, ""E9_v2_clean"": 0.0034894214312853203}",logistic_regression_multinomial,raw_prediction_available,ranking_best_available,16,5,"E1_v5_clean,E2_v3_clean,E5_v4_clean,E7_v3_clean,E9_v2_clean",6,"E1_v5_clean,E2_v3_clean,E3_v2_clean,E5_v4_clean,E7_v3_clean,E9_v2_clean",0.1258411218181266,0.1969549491746086,0.1261622049602215,0.1182203237087229,-0.2146014605681351,0.2111404356063508
2025-12-15,2025-12-15,4,6,0.303813076524669,0.0687870202028637,E7_v3_clean,E7_v3_clean,E2_v3_clean,E2_v3_clean,E5_v4_clean,E5_v4_clean,0.2988462991771213,0.015634199072311,0.1434020792279643,0.2300592789742576,0,0,0.4204078051987421,"{""E1_v5_clean"": 0.1367334604649022, ""E2_v3_clean"": 0.4204078051987421, ""E5_v4_clean"": 0.14877009735385768, ""E7_v3_clean"": 0.005189981609313127, ""E9_v2_clean"": 0.2888986553731848}",logistic_regression_multinomial,raw_prediction_available,ranking_best_available,17,5,"E1_v5_clean,E2_v3_clean,E5_v4_clean,E7_v3_clean,E9_v2_clean",6,"E1_v5_clean,E2_v3_clean,E3_v2_clean,E5_v4_clean,E7_v3_clean,E9_v2_clean",0.1258923583922039,0.2988462991771213,0.143587113752917,0.1434020792279643,0.015634199072311,0.1411232038011961
2025-12-22,2025-12-22,4,7,0.0677012815654136,0.245426229585526,E7_v3_clean,E7_v3_clean,E7_v3_clean,E7_v3_clean,E5_v4_clean,E5_v4_clean,0.1748189327770946,0.1748189327770946,0.1064288090907538,-0.07060729680843142,1,0,0.45656195940966837,"{""E1_v5_clean"": 0.008524060728955304, ""E2_v3_clean"": 0.09770095907077612, ""E5_v4_clean"": 0.3799615859136375, ""E7_v3_clean"": 0.45656195940966837, ""E9_v2_clean"": 0.05725143487696266}",logistic_regression_multinomial,raw_prediction_available,ranking_best_available,18,5,"E1_v5_clean,E2_v3_clean,E5_v4_clean,E7_v3_clean,E9_v2_clean",6,"E1_v5_clean,E2_v3_clean,E3_v2_clean,E5_v4_clean,E7_v3_clean,E9_v2_clean",0.1238942439398002,0.1062785027904751,0.1246746491583606,0.1064288090907538,0.1748189327770946,0.0921949968147911
2025-12-29,2025-12-29,4,8,0.583621878201202,0.320565191490885,E9_v2_clean,E9_v2_clean,E7_v3_clean,E7_v3_clean,E5_v4_clean,E5_v4_clean,-0.0321183783450202,0.1902265375436937,0.0876215804559303,-0.3526835698359052,0,0,0.6694388862613527,"{""E1_v5_clean"": 0.11931402833898877, ""E2_v3_clean"": 0.18115886056721534, ""E5_v4_clean"": 0.017260703357907265, ""E7_v3_clean"": 0.6694388862613527, ""E9_v2_clean"": 0.012827521474535988}",logistic_regression_multinomial,raw_prediction_available,ranking_best_available,19,5,"E1_v5_clean,E2_v3_clean,E5_v4_clean,E7_v3_clean,E9_v2_clean",6,"E1_v5_clean,E2_v3_clean,E3_v2_clean,E5_v4_clean,E7_v3_clean,E9_v2_clean",0.1262960538158083,0.0649191276240334,0.134072847401174,0.0876215804559303,-0.0321183783450202,0.1902265375436937
2026-01-05,2026-01-05,4,9,0.108341978085893,0.170007405822799,E3_v2_clean,E3_v2_clean,E5_v4_clean,E5_v4_clean,E5_v4_clean,E5_v4_clean,0.153960359809883,0.1745777537444799,0.153960359809883,-0.016047046012915983,0,0,0.4420172880351123,"{""E1_v5_clean"": 0.0029933694666496764, ""E2_v3_clean"": 0.0479290335514508, ""E5_v4_clean"": 0.4420172880351123, ""E7_v3_clean"": 0.43004516443537105, ""E9_v2_clean"": 0.0770151445114162}",logistic_regression_multinomial,raw_prediction_available,ranking_best_available,20,5,"E1_v5_clean,E2_v3_clean,E5_v4_clean,E7_v3_clean,E9_v2_clean",6,"E1_v5_clean,E2_v3_clean,E3_v2_clean,E5_v4_clean,E7_v3_clean,E9_v2_clean",0.13178883678786,0.2055252004440035,0.1745777537444799,0.153960359809883,0.4152045437375782,0.155306875619023
2026-01-12,2026-01-12,4,10,0.0687870202028637,-0.0198367240853288,E1_v5_clean,E1_v5_clean,E3_v2_clean,E3_v2_clean,E9_v2_clean,E9_v2_clean,0.1514071641393527,0.131489977824234,0.1362258372054299,0.1712438882246815,0,0,0.47652947720295885,"{""E1_v5_clean"": 0.008511010530185005, ""E2_v3_clean"": 0.03462840384635491, ""E3_v2_clean"": 0.47652947720295885, ""E5_v4_clean"": 0.04395267932311098, ""E7_v3_clean"": 0.4101521219760347, ""E9_v2_clean"": 0.026226307121355583}",logistic_regression_multinomial,raw_prediction_available,ranking_best_available,21,6,"E1_v5_clean,E2_v3_clean,E3_v2_clean,E5_v4_clean,E7_v3_clean,E9_v2_clean",6,"E1_v5_clean,E2_v3_clean,E3_v2_clean,E5_v4_clean,E7_v3_clean,E9_v2_clean",0.131489977824234,0.2367606736461288,0.1514071641393527,0.1425903239178272,0.2051925940270023,0.1362258372054299
