2026-04-11 08:34:40 | INFO | radar.facebook_institutional_extractor | Inicio de corrida | run_id=fb_w12_backfill_fix week_name=2026-03-16_semana_16marzo_22marzo_26 output_root=/home/emilio/Documentos/RAdAR/Datos_RAdAR/Facebook week_name_mode=exact_range
2026-04-11 08:34:40 | INFO | radar.facebook_institutional_extractor | Parametros efectivos | since=2026-03-16 until=2026-03-22 pages=2 seed=42 weekly_cap=100 max_posts=8 max_comments_per_post=25 include_replies=True dry_run=False
2026-04-11 08:34:40 | INFO | radar.facebook_institutional_extractor | Paginas institucionales objetivo | pages=MonicaVillarreal:964877296876825:monicavtampico, GobiernoTampico:474462132406835:tampicogob
2026-04-11 08:34:40 | INFO | radar.facebook_institutional_extractor | Procesando pagina 1/2 | page_id=964877296876825 page_label=MonicaVillarreal page_handle=monicavtampico
2026-04-11 08:34:40 | INFO | radar.facebook_institutional_extractor | Descubriendo posts candidatos | page_id=964877296876825 page_label=MonicaVillarreal results_limit=100 since=2026-03-16 until=2026-03-22
2026-04-11 08:36:33 | INFO | radar.facebook_institutional_extractor | Posts actor completado | page_id=964877296876825 status=SUCCEEDED usage_usd=0.0910 items=23
2026-04-11 08:36:33 | INFO | radar.facebook_institutional_extractor | Posts seleccionados por sampling | seleccionados=8 candidatos=23 regla=temporal_even_spacing_by_created_time_with_seed_tiebreak
2026-04-11 08:36:33 | INFO | radar.facebook_institutional_extractor | Bajando comentarios | page_id=964877296876825 post_id=1510834640606425 requested=25 remaining_page_cap=100 include_replies=True
2026-04-11 08:36:49 | INFO | radar.facebook_institutional_extractor | Comentarios materializados | page_id=964877296876825 post_id=1510834640606425 status=selected_post_with_comments usage_usd=0.0010 rows=5 enriched=False
2026-04-11 08:36:49 | INFO | radar.facebook_institutional_extractor | Bajando comentarios | page_id=964877296876825 post_id=1510546790635210 requested=25 remaining_page_cap=95 include_replies=True
2026-04-11 08:37:02 | INFO | radar.facebook_institutional_extractor | Comentarios materializados | page_id=964877296876825 post_id=1510546790635210 status=selected_post_with_comments usage_usd=0.0010 rows=7 enriched=False
2026-04-11 08:37:02 | INFO | radar.facebook_institutional_extractor | Bajando comentarios | page_id=964877296876825 post_id=1509646950725194 requested=25 remaining_page_cap=88 include_replies=True
2026-04-11 08:37:16 | INFO | radar.facebook_institutional_extractor | Comentarios materializados | page_id=964877296876825 post_id=1509646950725194 status=selected_post_with_comments usage_usd=0.0010 rows=4 enriched=False
2026-04-11 08:37:16 | INFO | radar.facebook_institutional_extractor | Bajando comentarios | page_id=964877296876825 post_id=1508893380800551 requested=25 remaining_page_cap=84 include_replies=True
2026-04-11 08:37:36 | INFO | radar.facebook_institutional_extractor | Comentarios materializados | page_id=964877296876825 post_id=1508893380800551 status=selected_post_with_comments usage_usd=0.0010 rows=6 enriched=False
2026-04-11 08:37:36 | INFO | radar.facebook_institutional_extractor | Bajando comentarios | page_id=964877296876825 post_id=1507512864271936 requested=25 remaining_page_cap=78 include_replies=True
2026-04-11 08:37:49 | INFO | radar.facebook_institutional_extractor | Comentarios materializados | page_id=964877296876825 post_id=1507512864271936 status=selected_post_with_comments usage_usd=0.0000 rows=6 enriched=False
2026-04-11 08:37:49 | INFO | radar.facebook_institutional_extractor | Bajando comentarios | page_id=964877296876825 post_id=1507217994301423 requested=25 remaining_page_cap=72 include_replies=True
2026-04-11 08:38:05 | INFO | radar.facebook_institutional_extractor | Comentarios materializados | page_id=964877296876825 post_id=1507217994301423 status=selected_post_with_comments usage_usd=0.0010 rows=4 enriched=False
2026-04-11 08:38:05 | INFO | radar.facebook_institutional_extractor | Bajando comentarios | page_id=964877296876825 post_id=1506520287704527 requested=25 remaining_page_cap=68 include_replies=True
2026-04-11 08:38:21 | INFO | radar.facebook_institutional_extractor | Comentarios materializados | page_id=964877296876825 post_id=1506520287704527 status=selected_post_with_comments usage_usd=0.0010 rows=5 enriched=False
2026-04-11 08:38:21 | INFO | radar.facebook_institutional_extractor | Bajando comentarios | page_id=964877296876825 post_id=1505912757765280 requested=25 remaining_page_cap=63 include_replies=True
2026-04-11 08:38:36 | INFO | radar.facebook_institutional_extractor | Comentarios materializados | page_id=964877296876825 post_id=1505912757765280 status=selected_post_with_comments usage_usd=0.0000 rows=10 enriched=False
2026-04-11 08:38:36 | INFO | radar.facebook_institutional_extractor | Procesando pagina 2/2 | page_id=474462132406835 page_label=GobiernoTampico page_handle=tampicogob
2026-04-11 08:38:36 | INFO | radar.facebook_institutional_extractor | Descubriendo posts candidatos | page_id=474462132406835 page_label=GobiernoTampico results_limit=100 since=2026-03-16 until=2026-03-22
2026-04-11 08:39:56 | INFO | radar.facebook_institutional_extractor | Posts actor completado | page_id=474462132406835 status=SUCCEEDED usage_usd=0.1710 items=38
2026-04-11 08:39:56 | INFO | radar.facebook_institutional_extractor | Posts seleccionados por sampling | seleccionados=8 candidatos=38 regla=temporal_even_spacing_by_created_time_with_seed_tiebreak
2026-04-11 08:39:56 | INFO | radar.facebook_institutional_extractor | Bajando comentarios | page_id=474462132406835 post_id=122196918896546197 requested=25 remaining_page_cap=100 include_replies=True
2026-04-11 08:40:13 | INFO | radar.facebook_institutional_extractor | Comentarios materializados | page_id=474462132406835 post_id=122196918896546197 status=selected_post_with_comments usage_usd=0.0010 rows=5 enriched=False
2026-04-11 08:40:13 | INFO | radar.facebook_institutional_extractor | Bajando comentarios | page_id=474462132406835 post_id=122197709816562112 requested=25 remaining_page_cap=95 include_replies=True
2026-04-11 08:40:37 | INFO | radar.facebook_institutional_extractor | Comentarios materializados | page_id=474462132406835 post_id=122197709816562112 status=selected_post_with_comments usage_usd=0.0010 rows=5 enriched=False
