comment_text,published_at,query
Son dos ciudades diferentes Tampico y madero no solo una,2024-12-03T11:29:17Z,Gobierno de Tampico
Son dos ciudades diferentes Tampico y madero no solo una,2024-12-03T11:29:17Z,Gobierno de Tampico
Si fuera un ciudadano ya lo estuvieran extorcionando por las luces de cualquier parte del la uniformadad,2024-12-04T02:02:52Z,presidenta municipal de Tampico
Si fuera un ciudadano ya lo estuvieran extorcionando por las luces de cualquier parte del la uniformadad,2024-12-04T02:02:52Z,Presidenta municipal de Tampico
Si fuera un ciudadano ya lo estuvieran extorcionando por las luces de cualquier parte del la uniformadad,2024-12-04T02:02:52Z,Gobierno de Tampico
Si fuera un ciudadano ya lo estuvieran extorcionando por las luces de cualquier parte del la uniformadad,2024-12-04T02:02:52Z,gobierno de Tampico
Si fuera un ciudadano ya lo estuvieran extorcionando por las luces de cualquier parte del la uniformadad,2024-12-04T02:02:52Z,presidenta municipal de Tampico
Si fuera un ciudadano ya lo estuvieran extorcionando por las luces de cualquier parte del la uniformadad,2024-12-04T02:02:52Z,Presidenta municipal de Tampico
Si fuera un ciudadano ya lo estuvieran extorcionando por las luces de cualquier parte del la uniformadad,2024-12-04T02:02:52Z,Gobierno de Tampico
Si fuera un ciudadano ya lo estuvieran extorcionando por las luces de cualquier parte del la uniformadad,2024-12-04T02:02:52Z,gobierno de Tampico
Una gran invitada👏🏻👏🏻👏🏻,2024-12-04T04:25:56Z,presidenta municipal de Tampico
Una gran invitada👏🏻👏🏻👏🏻,2024-12-04T04:25:56Z,Presidenta municipal de Tampico
Una gran invitada👏🏻👏🏻👏🏻,2024-12-04T04:25:56Z,presidenta municipal de Tampico
Una gran invitada👏🏻👏🏻👏🏻,2024-12-04T04:25:56Z,Presidenta municipal de Tampico
Hola,2024-12-05T00:12:23Z,Gobierno de Tampico
Hola,2024-12-05T00:12:23Z,gobierno de Tampico
Hola,2024-12-05T00:12:23Z,Gobierno de Tampico
Hola,2024-12-05T00:12:23Z,gobierno de Tampico
No chillen y disfruten su voto chairos,2024-12-05T00:32:18Z,presidenta municipal de Tampico
No chillen y disfruten su voto chairos,2024-12-05T00:32:18Z,Presidenta municipal de Tampico
No chillen y disfruten su voto chairos,2024-12-05T00:32:18Z,Gobierno de Tampico
No chillen y disfruten su voto chairos,2024-12-05T00:32:18Z,gobierno de Tampico
No chillen y disfruten su voto chairos,2024-12-05T00:32:18Z,presidenta municipal de Tampico
No chillen y disfruten su voto chairos,2024-12-05T00:32:18Z,Presidenta municipal de Tampico
No chillen y disfruten su voto chairos,2024-12-05T00:32:18Z,Gobierno de Tampico
No chillen y disfruten su voto chairos,2024-12-05T00:32:18Z,gobierno de Tampico
Ahuihui cállese y respete reglas.seguramente eres un agachado del PRIAN.,2024-12-05T02:06:29Z,presidenta municipal de Tampico
Ahuihui cállese y respete reglas.seguramente eres un agachado del PRIAN.,2024-12-05T02:06:29Z,Presidenta municipal de Tampico
Ahuihui cállese y respete reglas.seguramente eres un agachado del PRIAN.,2024-12-05T02:06:29Z,Gobierno de Tampico
