Query_Str,Post_URL,Author_Name,Author_Web_Page_URL,Author_Handle,Verified_Status,UTC_Time,Ads,Tweet_Content,Post_ID,Tweet_URL,Reply_Count,Repost_Count,Like_Count,View_Count,Bookmark_Count,Tweet_Image_URL,Replying_to,Reply_to_Whom,Reply_to_Whom_URL,Reply_to_Whom_Username,Reply_to_Whom_Handle,Language,Type
(@@TampicoGob OR @@MonicaVTampico) min_replies:0 min_faves:0 min_retweets:0,https://x.com/search?q=(@@TampicoGob OR @@MonicaVTampico) min_replies:0 min_faves:0 min_retweets:0 until:2025-01-15 since:2025-01-14&src=typed_query,Vox Populi Noticias,https://x.com/VoxPopuliNoti,VoxPopuliNoti,True,2025-01-14 06:06:19+00:00,False,Tampico Participa en la Definición del Rumbo de la Cuarta Transformación: Mónica Villarreal La ciudad fue sede del Foro de Consulta para la integración del Plan Nacional de Desarrollo 2025-2030 https://voxpopulinoticias.com.mx/2025/01/presentan-en-tampico-el-plan-nacional-de-desarrollo/ #Tampico #Tamaulipas @MonicaVTampico,1879047373793738771,https://x.com/VoxPopuliNoti/status/1879047373793738771,0,1,0,123,0,https://pbs.twimg.com/media/GhO3n5nWwAAkF9Q.jpg,False,,,,,es,Top
(@@TampicoGob OR @@MonicaVTampico) min_replies:0 min_faves:0 min_retweets:0,https://x.com/search?q=(@@TampicoGob OR @@MonicaVTampico) min_replies:0 min_faves:0 min_retweets:0 until:2025-01-15 since:2025-01-14&src=typed_query,VamosTampico,https://x.com/yosoytampico,yosoytampico,False,2025-01-14 15:55:36+00:00,False,@MonicaVTampico Zona Norte de Tampico Solicitan Limpieza de Drenaje o Desazolve #ColVillaHermosa #Tampico Aguas Negras cientos de calles de la Zona Norte @Comapa_Sur @GobTampico2024,1879195670856552836,https://x.com/yosoytampico/status/1879195670856552836,0,1,1,41,0,,True,MonicaVTampico,https://x.com/MonicaVTampico,Mónica Villarreal Anaya,MonicaVTampico,es,Top
(@@TampicoGob OR @@MonicaVTampico) min_replies:0 min_faves:0 min_retweets:0,https://x.com/search?q=(@@TampicoGob OR @@MonicaVTampico) min_replies:0 min_faves:0 min_retweets:0 until:2025-01-15 since:2025-01-14&src=typed_query,VamosTampico,https://x.com/yosoytampico,yosoytampico,False,2025-01-14 15:59:49+00:00,False,Sexta avenida (Av Armada d Mexico)Tampico Altamira hay unas planas camionetas chatarras sin luces ni señalamientos YA ANTERIORMENTE HUBO MUCHOS ACCIDENTES esperando q nuestras autoridades puedan ver esto se evite algún suceso accidente @GobTampico2024 @MonicaVTampico,1879196732359385270,https://x.com/yosoytampico/status/1879196732359385270,0,1,0,49,0,,False,,,,,es,Top
(@@TampicoGob OR @@MonicaVTampico) min_replies:0 min_faves:0 min_retweets:0,https://x.com/search?q=(@@TampicoGob OR @@MonicaVTampico) min_replies:0 min_faves:0 min_retweets:0 until:2025-01-15 since:2025-01-14&src=typed_query,VamosTampico,https://x.com/yosoytampico,yosoytampico,False,2025-01-14 16:02:52+00:00,False,Tampico Colonia Villa Hermosa Colapso en alcantarillas provocan hundimientos y baches en la Avenida Villa Hermosa Divisoria Tampico Altamira Aguas negras @delenorte_tam @GobMunTampico @Comapa_Sur @MonicaVTampico @Dr_AVillarreal @AltamiraComapa @GobAltamira4T,1879197502114803902,https://x.com/yosoytampico/status/1879197502114803902,0,1,0,55,0,,False,,,,,es,Top
(@@TampicoGob OR @@MonicaVTampico) min_replies:0 min_faves:0 min_retweets:0,https://x.com/search?q=(@@TampicoGob OR @@MonicaVTampico) min_replies:0 min_faves:0 min_retweets:0 until:2025-01-15 since:2025-01-14&src=typed_query,VamosTampico,https://x.com/yosoytampico,yosoytampico,False,2025-01-14 16:03:41+00:00,False,"Autoridades de Tampico Madero y Altamira no están haciendo nada por proteger vidas. Chequen velocidad, sin luces no tienen rótulos transporte Público si van drogados o alcohólicos. Eso causa Accidentes muertes @MonicaVTampico @GobCiudadMadero @GobAltamira @gobtam @PCTamaulipas",1879197705089806611,https://x.com/yosoytampico/status/1879197705089806611,0,1,0,41,0,,False,,,,,es,Top
(@@TampicoGob OR @@MonicaVTampico) min_replies:0 min_faves:0 min_retweets:0,https://x.com/search?q=(@@TampicoGob OR @@MonicaVTampico) min_replies:0 min_faves:0 min_retweets:0 until:2025-01-15 since:2025-01-14&src=typed_query,VamosTampico,https://x.com/yosoytampico,yosoytampico,False,2025-01-14 16:05:13+00:00,False,"Solicitan Drenar Drenaje zona Norte Tampico, Desazolve y limpieza de redes y drenajes a cielo abierto Colonia VillaHermosa Calle 10a y Divisoria Tampico y Altamira Col. Jazmin, GEMA, el triunfo, albañiles #Tampico #Altamira @MonicaVTampico @Comapa_Sur @GobAltamira4T",1879198092756672923,https://x.com/yosoytampico/status/1879198092756672923,0,1,0,90,0,,False,,,,,es,Top
(@@TampicoGob OR @@MonicaVTampico) min_replies:0 min_faves:0 min_retweets:0,https://x.com/search?q=(@@TampicoGob OR @@MonicaVTampico) min_replies:0 min_faves:0 min_retweets:0 until:2025-01-15 since:2025-01-14&src=typed_query,VamosTampico,https://x.com/yosoytampico,yosoytampico,False,2025-01-14 16:05:49+00:00,False,"Avenida VillaHermosa entre calle 7, 8, 9° y calle 10A enfrente de la primaria Eliseo Zamudio #Tampico hay unas planas camionetas chatarras sin luces ni señalamientos. YA ANTERIORMENTE HUBO ACCIDENTES Col. Villahermosa @GobMunTampico @PCiviltampico @delenorte_tam @MonicaVTampico",1879198240857612301,https://x.com/yosoytampico/status/1879198240857612301,0,1,0,79,0,,False,,,,,es,Top
(@@TampicoGob OR @@MonicaVTampico) min_replies:0 min_faves:0 min_retweets:0,https://x.com/search?q=(@@TampicoGob OR @@MonicaVTampico) min_replies:0 min_faves:0 min_retweets:0 until:2025-01-15 since:2025-01-14&src=typed_query,VamosTampico,https://x.com/yosoytampico,yosoytampico,False,2025-01-14 16:06:31+00:00,False,Sexta avenida (Armada de Mexico)Tampico Altamira hay unas planas camionetas chatarras sin luces ni señalamientos YA ANTERIORMENTE HUBO MUCHOS ACCIDENTES esperando q nuestras autoridades puedan ver esto se evite algún suceso accidente @MonicaVTampico @GobAltamira4T @PCTamaulipas,1879198420055036075,https://x.com/yosoytampico/status/1879198420055036075,0,1,0,44,0,,False,,,,,es,Top
(@@TampicoGob OR @@MonicaVTampico) min_replies:0 min_faves:0 min_retweets:0,https://x.com/search?q=(@@TampicoGob OR @@MonicaVTampico) min_replies:0 min_faves:0 min_retweets:0 until:2025-01-15 since:2025-01-14&src=typed_query,VamosTampico,https://x.com/yosoytampico,yosoytampico,False,2025-01-14 16:07:10+00:00,False,Transporte Público #Tampico #Madero #Altamira Todo los de la ruta Altamira Tampico Altamira Madero y Pedrera Tampico Transportes Sin Ley #Transporte #Muertes #Accidentes #Tampico #Madero #Altamira @MonicaVTampico @GobCiudadMadero @GobAltamira4T @gobtam @PCTamaulipas,1879198582672331125,https://x.com/yosoytampico/status/1879198582672331125,0,1,0,72,0,,False,,,,,es,Top
(@@TampicoGob OR @@MonicaVTampico) min_replies:0 min_faves:0 min_retweets:0,https://x.com/search?q=(@@TampicoGob OR @@MonicaVTampico) min_replies:0 min_faves:0 min_retweets:0 until:2025-01-15 since:2025-01-14&src=typed_query,VamosTampico,https://x.com/yosoytampico,yosoytampico,False,2025-01-14 16:09:43+00:00,False,Solicitan Pintado de señalización y delimita áreas sobre pavimentos calles y avenidas zona Norte Tampico @MonicaVTampico @delenorte_tam @ObrasPubTampico @gobtam_sur,1879199224572891293,https://x.com/yosoytampico/status/1879199224572891293,0,1,0,51,0,,False,,,,,es,Top
(@@TampicoGob OR @@MonicaVTampico) min_replies:0 min_faves:0 min_retweets:0,https://x.com/search?q=(@@TampicoGob OR @@MonicaVTampico) min_replies:0 min_faves:0 min_retweets:0 until:2025-01-15 since:2025-01-14&src=typed_query,VamosTampico,https://x.com/yosoytampico,yosoytampico,False,2025-01-14 16:15:09+00:00,False,Solicitan Pintado de señalización y delimita áreas sobre pavimentos calles y avenidas zona Norte Tampico avenida VillaHermosa Ave. las Torres @MonicaVTampico @delenorte_tam @ObrasPubTampico @GobMunTampico,1879200590586343716,https://x.com/yosoytampico/status/1879200590586343716,0,1,0,77,0,,False,,,,,es,Top
